row_number,name,cas_raw,issues
23958,Nitrobenzothiazole,6/5/2942,INVALID_CAS
23959,Nitrobenzothiazole,7/6/2942,INVALID_CAS
23999,Nitrophenyloctanoate,10/1/1956,INVALID_CAS
24001,Nitrophenylphenylether,12/8/2216,INVALID_CAS
24044,Nonyne,9/3/3452,INVALID_CAS
24057,"O,S-Diethylmethylphosphonothioate",10/6/2511,INVALID_CAS
24223,Oxo-4-(2-thienyl)butyricacid,8/1/4653,INVALID_CAS
24352,Pentamethylbenzonitrile,10/5/5144,INVALID_CAS
24379,Pentyn-1-ol,4/5/5390,INVALID_CAS
24381,Pentyn-2-ol,11/5/2117,INVALID_CAS
24386,Pentynoicacid,9/4/6089,INVALID_CAS
24403,Perfluoro-tert-butanol,2/1/2378,INVALID_CAS
24468,Phenoxyaniline,12/7/3586,INVALID_CAS
24474,Phenoxybiphenyl,4/1/6738,INVALID_CAS
24572,Phenylethyl-1-boronicaciddiethanolamineester,4/8/4848,INVALID_CAS
24573,Phenylethylisothiocyanate,9/2/2257,INVALID_CAS
24598,Phenylphthalide,11/8/5398,INVALID_CAS
24622,Phenylthiazole-4-carboxylicacid,10/2/7113,INVALID_CAS
24701,Piperonylisobutyrate,8/5/5461,INVALID_CAS
24702,Piperonylonitrile,9/4/4421,INVALID_CAS
24711,"Poly(acrylicacid),25wt%soln.inwater",1/4/9003,INVALID_CAS
24734,"Polyphenylmethylsiloxane,MW2500-2700",12/3/9005,INVALID_CAS
24860,"Potassiumiodate,0.1NStandardizedSolution",5/6/7758,INVALID_CAS
24868,"Praseodymium(III)acetatehydrate,(REO)",12/7/6192,INVALID_CAS
24892,Propargylbenzoate,4/5/6750,INVALID_CAS
24925,Propylphosphonicdichloride,4/7/4708,INVALID_CAS
24978,"Pyridine-3,4-dicarboximide",1/1/4664,INVALID_CAS
24979,"Pyridine-3,4-dicarboxylicanhydride",8/8/4664,INVALID_CAS
25122,S-Benzyl-L-cysteine,1/1/3054,INVALID_CAS
25139,S-tert-Butyl-L-cysteinehydrochloride,9/6/2481,INVALID_CAS
25194,Silver(I)behenate,5/6/2489,INVALID_CAS
25307,"Sodium4-n-octylbenzenesulfonate,,waterlessthan",3/7/6149,INVALID_CAS
25310,Sodiumcarbonatedecahydrate,2/1/6132,INVALID_CAS
25311,"Sodiumcarbonatemonohydrate,min",11/6/5968,INVALID_CAS
25327,Sodiumoctanoate,6/1/1984,INVALID_CAS
25366,"Strontium2-ethylhexanoate,in2-ethylhexanoicacid(8-",2/5/2457,INVALID_CAS
25378,Subtilisin (Compound proteinase),1/1/9014,INVALID_CAS
25423,"Tellurium(IV)ethoxide,tech.,remainderethanol",1/8/2017,INVALID_CAS
25438,"tert-Butoxybis(dimethylamino)methane,tech.",8/7/5815,INVALID_CAS
25555,"tert-Butylpropane-1,3-diol",5/8/2819,INVALID_CAS
25561,tert-Octylamine,107-45-9,UNKNOWN_FAMILY:primary_amines|ROLE_FAMILY_MISMATCH:base:primary_amines
25726,"Tetramethylcyclopentadiene,mixedisomers,tech.",10/9/4249,INVALID_CAS
25943,trans-2-Phenylvinylboronicacid,5/7/6783,INVALID_CAS
26003,Tri(4-morpholinyl)phosphineoxide,12/7/4441,INVALID_CAS
26008,"Tri(o-tolyl)phosphite,typicallyC,H",8/4/2622,INVALID_CAS
26023,Tri-n-butyltinfluoride,10/4/1983,INVALID_CAS
26036,Triacetoxy(vinyl)silane,8/9/4130,INVALID_CAS
26182,"Trimethyl1,2,4-benzenetricarboxylate",10/1/2459,INVALID_CAS
26213,Trimethylsilyl-3-butyn-1-ol,12/6/2117,INVALID_CAS
26271,Tripotassiumcitratemonohydrate,5/6/6100,INVALID_CAS
26345,Trisodium citrate dihydrate,4/3/6132,INVALID_CAS
26420,Vinylbenzeneboronicacid,4/9/2156,INVALID_CAS
26452,Xanthopterinmonohydrate,1/1/5979,INVALID_CAS
26462,YeastExtract,1/2/8013,INVALID_CAS
26648,Borontrifluoride,7/2/7637,INVALID_CAS
26719,"Deuteriumchloride,w/winDO,(Isotopic)",5/7/7698,INVALID_CAS
26839,"Hydroxylaminehydrochloride,ACS",11/1/5470,INVALID_CAS
26933,"Lithiumperchlorate,anhydrous,ACS,min",3/9/7791,INVALID_CAS
27002,"Phosphorus(III)chloride,min",12/2/7719,INVALID_CAS
27035,"Potassium,solid,(metalsbasis)",9/7/7440,INVALID_CAS
27043,Potassiumbromate,1/2/7758,INVALID_CAS
27044,"Potassiumbromide,SpectroscopyGrade",2/3/7758,INVALID_CAS
27045,Potassiumchlorate,4/9/3811,INVALID_CAS
27049,"Potassiumhydrogenphosphate,ACS,min",11/4/7758,INVALID_CAS
27068,Pyruvatedecarboxylase,4/1/9001,INVALID_CAS
27080,"Rubidiumchloride,(metalsbasis)",11/9/7791,INVALID_CAS
27095,"Selenicacid,aq.soln.",8/6/7783,INVALID_CAS
27100,"Selenium(IV)oxide,(metalsbasis)",8/4/7446,INVALID_CAS
27157,"Sodiumchlorate,min",9/9/7775,INVALID_CAS
27168,"Sodiumperchloratemonohydrate,ACS,85.0-",7/3/7791,INVALID_CAS
27201,"Strontiumsulfate,ReagentGrade",2/6/7759,INVALID_CAS
27220,"Tellurium(IV)oxide,tech.",7/3/7446,INVALID_CAS
27245,"Thionylchloride,1Msoln.indichloromethane",9/7/7719,INVALID_CAS
27310,tetrakis(acetonitrile)copper(I) hexafluorophosphate,CC1=C(C=C(C=C1)C(=O)N)N=NC(C(=O)C)C(=O)NC2=C(C=C(C=C2)C3=CC(=C(C=C3)NC(=O)C(C(=O)C)N=NC4=C(C=CC(=C4)C(=O)N)C)C)C,INVALID_CAS|UNKNOWN_ROLE:pd_ii_salts|UNKNOWN_FAMILY:Cd(2) catalyst|ROLE_FAMILY_MISMATCH:pd_ii_salts:Cd(2) catalyst
