name,abbreviation,cas,smiles,formula,type,density,mw,bp,mp,volatile,viscose,role_1,family_1,tag_1,role_2,family_2,tag_2,migration_issues
"Tellurium(IV)ethoxide,tech.,remainderethanol",,1/8/2017,C1COCCN1CCN,C8H20O4Te,liquid,1.52,307.842,88,,,,organic_compound,,,,,,INVALID_CAS
"tert-Butoxybis(dimethylamino)methane,tech.",,8/7/5815,CC(C)(C)OC(N(C)C)N(C)C,C9H22N2O,liquid,1,174.284,176.9,,,,organic_compound,,,,,,INVALID_CAS
"tert-Butylpropane-1,3-diol",,5/8/2819,CC(C)(C)C(CO)CO,C7H16O2,powder,0.947,132.201,100,54,,,organic_compound,,,,,,INVALID_CAS
tert-Octylamine,tert-Octylamine,107-45-9,CC(C)(C)CC(C)(C)N,C8H19N,liquid,0.805,129.2432,143.4,-67,0,0,organic_compound,,,base,primary_amines,,UNKNOWN_FAMILY:primary_amines|ROLE_FAMILY_MISMATCH:base:primary_amines
"Tetramethylcyclopentadiene,mixedisomers,tech.",,10/9/4249,CC1=C(C(=C(C1)C)C)C,C9H14,liquid,0.9,122.207,146.8,,,,organic_compound,,,,,,INVALID_CAS
trans-2-Phenylvinylboronicacid,,5/7/6783,B(C=CC1=CC=CC=C1)(O)O,C8H9BO2,powder,1.2,147.967,315.9,146,,,organic_compound,,,,,,INVALID_CAS
Tri(4-morpholinyl)phosphineoxide,,12/7/4441,C1CCN(C1)CC#CC(C2=CC=CC=C2)(C3=CC=CC=C3)O,C12H24N3O4P,powder,1.4,305.31,476.4,188,,,organic_compound,,,,,,INVALID_CAS
"Tri(o-tolyl)phosphite,typicallyC,H",,8/4/2622,CC1=CC=CC=C1OP(OC2=CC=CC=C2C)OC3=CC=CC=C3C,C21H21O3P,liquid,,352.363,200,,,,organic_compound,,,,,,INVALID_CAS
Tri-n-butyltinfluoride,,10/4/1983,CCCC[Sn](CCCC)(CCCC)F,C12H27FSn,powder,1,309.051,267.3,269,,,organic_compound,,,,,,INVALID_CAS
Triacetoxy(vinyl)silane,,8/9/4130,CC(=O)O[Si](C=C)(OC(=O)C)OC(=O)C,C8H12O6Si,liquid,1.167,232.263,212.3,7,,,organic_compound,,,,,,INVALID_CAS
"Trimethyl1,2,4-benzenetricarboxylate",,10/1/2459,COC(=O)C1=CC(=C(C=C1)C(=O)OC)C(=O)OC,C12H12O6,powder,1.261,252.22,194,38,,,organic_compound,,,,,,INVALID_CAS
Trimethylsilyl-3-butyn-1-ol,,12/6/2117,C1=CC=NC(=C1)SSC2=CC=CC=N2,C7H14OSi,liquid,1,142.271,159.3,,,,organic_compound,,,,,,INVALID_CAS
Tripotassiumcitratemonohydrate,,5/6/6100,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[K+].[K+].[K+],C6H7K3O8,powder,1.98,324.41,309.6,275,,,organic_compound,,,,,,INVALID_CAS
Trisodium citrate dihydrate,,4/3/6132,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],C6H9Na3O9,powder,1.76,294.1,,300,0,0,organic_compound,,,,,,INVALID_CAS
Vinylbenzeneboronicacid,,4/9/2156,B(C1=CC=C(C=C1)C=C)(O)O,C8H9BO2,powder,1.2,147.967,306.2,190,,,organic_compound,,,,,,INVALID_CAS
Xanthopterinmonohydrate,,1/1/5979,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)OCC4C(C(C(O4)N5C=CC(=O)NC5=O)OC(C6=CC=CC=C6)(C7=CC=CC=C7)C8=CC=CC=C8)O,C6H7N5O3,powder,,197.151,458.7,,,,organic_compound,,,,,,INVALID_CAS
YeastExtract,,1/2/8013,C1=CC=C2C(=C1)C=CC3=C2C(C4=CC=CC=C34)CC(=O)O,n,powder,1.5,319.193,365.8,,,,organic_compound,,,,,,INVALID_CAS
Borontrifluoride,,7/2/7637,B(F)(F)F,,powder,,,,,,,other_reagent,,,,,,INVALID_CAS
"Deuteriumchloride,w/winDO,(Isotopic)",,5/7/7698,Cl,ClD,liquid,1.2,37.467,-84.9,-114,,,other_reagent,,,,,,INVALID_CAS
"Hydroxylaminehydrochloride,ACS",,11/1/5470,NO,ClH4NO,powder,1.67,69.491,56.5,155,,,other_reagent,,,,,,INVALID_CAS
"Lithiumperchlorate,anhydrous,ACS,min",,3/9/7791,[Li+].[O-]Cl(=O)(=O)=O,,powder,,,,,,,other_reagent,,,,,,INVALID_CAS
"Phosphorus(III)chloride,min",,12/2/7719,P(Cl)(Cl)Cl,Cl3P,liquid,1.574,137.333,75.5,-112,,,other_reagent,,,,,,INVALID_CAS
"Potassium,solid,(metalsbasis)",,9/7/7440,[K+],,powder,,,,,,,other_reagent,,,,,,INVALID_CAS
Potassiumbromate,,1/2/7758,[O-]Br(=O)=O.[K+],BrKO3,powder,3.27,167.001,,350,,,other_reagent,,,,,,INVALID_CAS
"Potassiumbromide,SpectroscopyGrade",,2/3/7758,[K+].[Br-],BrK,powder,3.119,119.002,58.8,734,,,other_reagent,,,,,,INVALID_CAS
Potassiumchlorate,,4/9/3811,[O-]Cl(=O)=O.[K+],,powder,,,,,,,other_reagent,,,,,,INVALID_CAS
"Potassiumhydrogenphosphate,ACS,min",,11/4/7758,OP(=O)([O-])[O-].[K+].[K+],HK2O4P,powder,2,174.18,158,340,,,other_reagent,,,,,,INVALID_CAS
Pyruvatedecarboxylase,,4/1/9001,,,powder,,,,,,,other_reagent,,,,,,INVALID_CAS
"Rubidiumchloride,(metalsbasis)",,11/9/7791,[Cl-].[Rb+],ClRb,powder,2.8,120.921,1390,715,,,other_reagent,,,,,,INVALID_CAS
"Selenicacid,aq.soln.",,8/6/7783,O[Se](=O)(=O)O,H2O4Se,powder,1.407,144.973,260,58,,,other_reagent,,,,,,INVALID_CAS
"Selenium(IV)oxide,(metalsbasis)",,8/4/7446,O=[Se]=O,O2Se,powder,3.95,110.959,684.9,315,,,other_reagent,,,,,,INVALID_CAS
"Sodiumchlorate,min",,9/9/7775,[O-]Cl(=O)=O.[Na+],,powder,,,,,,,other_reagent,,,,,,INVALID_CAS
"Sodiumperchloratemonohydrate,ACS,85.0-",,7/3/7791,O.[O-]Cl(=O)(=O)=O.[Na+],,powder,,,,,,,other_reagent,,,,,,INVALID_CAS
"Strontiumsulfate,ReagentGrade",,2/6/7759,[O-]S(=O)(=O)[O-].[Sr+2],O4SSr,powder,3.96,183.683,330,1600,,,other_reagent,,,,,,INVALID_CAS
"Tellurium(IV)oxide,tech.",,7/3/7446,O=[Se]=O,O2Te,powder,5.67,159.599,1245,733,,,other_reagent,,,,,,INVALID_CAS
"Thionylchloride,1Msoln.indichloromethane",,9/7/7719,O=S(Cl)Cl,Cl2OS,liquid,2.1,118.97,79,-105,,,other_reagent,,,,,,INVALID_CAS
tetrakis(acetonitrile)copper(I) hexafluorophosphate,[Cu(CH3CN)4]PF6,CC1=C(C=C(C=C1)C(=O)N)N=NC(C(=O)C)C(=O)NC2=C(C=C(C=C2)C3=CC(=C(C=C3)NC(=O)C(C(=O)C)N=NC4=C(C=CC(=C4)C(=O)N)C)C)C,C8H12CuF6N4P,powder,,372.718,,160,,,metal_catalyst,pd_ii_salts,Cd(2) catalyst,,,,,INVALID_CAS|UNKNOWN_ROLE:pd_ii_salts|UNKNOWN_FAMILY:Cd(2) catalyst|ROLE_FAMILY_MISMATCH:pd_ii_salts:Cd(2) catalyst
