"ELN_ID","PLATENUMBER","Coordinate","AREA_TOTAL_REDUCED","Base","Catalyst","Solvent","Ligand","Additive","Coupling Reagent","Secondary Solvent","Tertiary Solvent","Reaction Type","FG A","FG B","FG_sorted","z-Score","output_column"
"ELN032036-283",1,"G11",0.28,,"dppfPdCl2","MeCN","dppf","TMEDA, TPGS-750M",,,,"Negishi, in-situ","Alkyl-I","ArBr","Alkyl-I, ArBr",-0.04,"3.5 h at 40 °C"
"ELN032036-287",1,"G11",0,"NMI",,"anisole","No Ligand",,,,,"Condensation","RCO2R","RNH2","RCO2R, RNH2",-1.33,
"ELN032036-287",4,"G11",61.03,"DBU",,"tAmOH","No Ligand",,,,,"Condensation","RCO2R","RNH2","RCO2R, RNH2",0.84,"4 h at 60 °C, then 2 h at 80 °C"
"ELN032036-287",5,"G11",0,"KOtPent",,"tAmOH","No Ligand",,,,,"Condensation","RCO2R","RNH2","RCO2R, RNH2",-1.33,
"ELN032036-288",1,"G11",0.52,"NMI",,"MeCN","No Ligand",,"CDI",,,"Amide coupling","RCO2H or M","ArNH2","ArNH2, RCO2H or M",-0.71,"22 h at 40 °C"
"ELN032036-289",1,"G11",0,"KHMDS","AlphosPd)2cod","PhMe","AlPhos",,,,,"Arylation, acidic C-H","ArBr","Alkyl-H acidic","Alkyl-H acidic, ArBr",-0.93,
"ELN032036-289",2,"G11",6.18,"LiHMDS","tBuXPhos Pd(allyl)OTf","PhMe","Me4tBuXPhos",,,,,"Arylation, acidic C-H","ArBr","Alkyl-H acidic","Alkyl-H acidic, ArBr",-0.57,"1.5 h at 40 °C, then 18.5 h at 60 °C"
"ELN032036-289",3,"G11",11.93,"CsF","XantPhos Pd(allyl)Cl","Dioxane","XantPhos",,,,,"Arylation, acidic C-H","ArBr","Alkyl-H acidic","Alkyl-H acidic, ArBr",-0.24,"24 h at 60 °C"
"ELN032036-292",1,"G11",2.83,"K3PO4","P(tBu)3 Pd(crotyl)Cl","Dioxane","P(tBu)3","TBAB",,"water",,"Suzuki-Miyaura","ArB(OR)2","ArBr","ArB(OR)2, ArBr",-0.71,"4 h at 60 °C"
"ELN032036-294",1,"G11",0.79,,"AmPhos2PdCl2","Brij 35","AmPhos","TMEDA",,"water",,"Negishi, in-situ","ArBr","Alkyl-Br","Alkyl-Br, ArBr",-1.05,"6 h at 45 °C"
"ELN032036-294",2,"G11",32.84,,"AmPhos2PdCl2","Brij 35","AmPhos","TMEDA",,"water",,"Negishi, in-situ","ArBr","Alkyl-Br","Alkyl-Br, ArBr",0.9,"48 h at 45 °C"
"ELN032036-294",4,"G11",12.7,,"AmPhos2PdCl2","DMI","AmPhos","TMEDA",,,,"Negishi, in-situ","ArBr","Alkyl-Br","Alkyl-Br, ArBr",-0.33,"55 h at 45 °C"
"ELN032036-294",5,"G11",43.03,,"AmPhos2PdCl2","Brij 35","AmPhos","TMEDA",,"water",,"Negishi, in-situ","ArBr","Alkyl-Br","Alkyl-Br, ArBr",1.52,"55 h at 45 °C"
"ELN032036-294",6,"G11",51.05,,"AmPhos2PdCl2","Brij 35","AmPhos","TMEDA",,"water",,"Negishi, in-situ","ArBr","Alkyl-Br","Alkyl-Br, ArBr",2.01,"22 h at 45 °C"
"ELN032036-302",1,"G11",2.85,"DBU",,"acetone","No Ligand","TBAI",,,,"Alkylation","Alkyl-OSO2R","arom. NH","Alkyl-OSO2R, arom. NH",-0.81,"4 h at 45 °C"
"ELN032036-298",1,"G11",4.74,"NaOtBu","dppfPdCl2","THF","dppf",,,,,"Buchwald-Hartwig","ArCl","RCONH2","ArCl, RCONH2",-0.27,"2 h at 60 °C, then 20.5 h at 80 °C"
"ELN032036-298",2,"G11",0,"TMG","BrettPhos Pd(crotyl)OTf","MeTHF","BrettPhos",,,,,"Buchwald-Hartwig","ArCl","RCONH2","ArCl, RCONH2",-0.54,
"ELN032036-298",3,"G11",13.69,"NaOtBu","XantPhosPdCl2","tAmOH","XantPhos",,,,,"Buchwald-Hartwig","ArCl","RCONH2","ArCl, RCONH2",0.25,"23 h at 40 °C"
"ELN032036-300",1,"G11",78.53,"DIPEA",,"acetone","No Ligand","LiI",,,,"Alkylation","Alkyl-OSO2R","arom. NH","Alkyl-OSO2R, arom. NH",0.71,"4 h at 45 °C, then 17.5 h at 40 °C"
"ELN032036-300",3,"G11",24.67,"CsOH.H2O",,"acetone","No Ligand",,,,,"Alkylation","Alkyl-OSO2R","arom. NH","Alkyl-OSO2R, arom. NH",-0.93,"2 h at 45 °C, then 68 h at 70 °C"
"ELN032036-301",1,"G11",0,"K3PO4","cataCXiumA Pd G3","MeOH","CataCXiumA",,,"water",,"Suzuki-Miyaura","alkeneB(OR)2","ArCl","alkeneB(OR)2, ArCl",-0.56,
"ELN032036-301",2,"G11",0,"K3PO4","meCgPPh Pd G3","anisole","meCgPPh",,,"Brij 35","water","Suzuki-Miyaura","alkeneB(OR)2","ArCl","alkeneB(OR)2, ArCl",-0.56,
"ELN032036-301",3,"G11",98.2,"K2CO3","dcypfPdCl2","Brij 35","dcypf",,,"Dioxane","water","Suzuki-Miyaura","alkeneB(OR)2","ArCl","alkeneB(OR)2, ArCl",2.64,"2 h at 60 °C, then 3.5 h at 80 °C"
"ELN032036-301",4,"G11",0,"Na2CO3","dtbpfPdCl2","THF","dtbpf",,,"water",,"Suzuki-Miyaura","alkeneB(OR)2","ArCl","alkeneB(OR)2, ArCl",-0.56,
"ELN032036-302",3,"G11",2.35,"Cs2CO3",,"DMC","No Ligand",,,,,"Alkylation","Alkyl-OSO2R","arom. NH","Alkyl-OSO2R, arom. NH",-0.82,"9.5 h at 90 °C"
"ELN032036-303",1,"G11",39.01,"K3PO4","bridged tBuPhosphinito PdCl2","MeOH","bridged tBuPhosphinito",,,"water",,"Suzuki-Miyaura","alkeneB(OR)2","ArBr","alkeneB(OR)2, ArBr",-0.15,"2 h at 60 °C, then 18 h at 80 °C"
"ELN032036-304",1,"G11",15.05,,"CataCXiumA Pd(allyl)Cl","TPGS-750M","CataCXiumA","TMEDA",,,,"Negishi, in-situ","ArBr","Alkyl-Br","Alkyl-Br, ArBr",-0.14,"23 h at 45 °C"
"ELN032036-304",2,"G11",0,"TMEDA","Piperidinyl-amino-pincer PdCl","MeCN","Piperidinyl-amino-pincer","Octanoic acid",,"TPGS-750M",,"Negishi, in-situ","ArBr","Alkyl-Br","Alkyl-Br, ArBr",-0.92,
"ELN032036-304",3,"G11",23.66,,"P(tBu)3 Pd(crotyl)Cl","acetone","P(tBu)3",,,"Brij 35","water","Negishi, in-situ","ArBr","Alkyl-Br","Alkyl-Br, ArBr",0.3,"23 h at 45 °C"
"ELN032036-304",4,"G11",44.64,,"XPhos Pd(crotyl)Cl","Brij 35","XPhos",,,"PhMe","water","Negishi, in-situ","ArBr","Alkyl-Br","Alkyl-Br, ArBr",1.39,"46 h at 45 °C"
"ELN032036-304",7,"G11",0.05,,"Cu2O, Ni(OAc)2","MeTHF","Me4phen",,,"Octanoic acid",,"Negishi, in-situ","ArBr","Alkyl-Br","Alkyl-Br, ArBr",-0.92,"18.5 h at 45 °C"
