name,abbreviation,cas,smiles,formula,type,density,mw,bp,mp,volatile,viscose,role_1,family_1,tag_1,role_2,family_2,tag_2,,
Methyl 4-hydroxyphenylacetate,,14199-15-6,COC(=O)Cc1ccc(O)cc1,C9H10O3,powder,1.181,166.1739,318.8,55,0,0,organic_compound,,,,,,,
4-Aminobenzoic acid,,150-13-0,Nc1ccc(C(=O)O)cc1,C7H7NO2,powder,1.374,137.136,339.9,186,0,0,organic_compound,,,,,,,
Cyelohexanecarboxylic acid,,98-89-5,O=C(O)C1CCCCC1,C7H12O2,liquid,1.079,128.169,233,30,0,0,organic_compound,,,,,,,
4-Methoxybenzoic anhydride,,794-94-5,COc1ccc(C(=O)OC(=O)c2ccc(OC)cc2)cc1,C16H14O5,powder,1.219,286.2794,453.5,92,0,0,organic_compound,,,,,,,
Naphthalene,,91-20-3,c1ccc2ccccc2c1,C10H8,powder,1.037,128.1705,221.5,80.2,0,0,organic_compound,,,,,,,
Anthracene,,120-12-7,c1ccc2cc3ccccc3cc2c1,C14H10,powder,1.28,178.2292,340,215,0,0,organic_compound,,,,,,,
beta-Cholestanol,,80-97-7,CC(C)CCCC(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,C27H48O,powder,0.957,388.6694,455.532,140,0,0,organic_compound,,,,,,,
4-fluorobenzoyl 4-fluorobenzoate,,25569-77-1,O=C(OC(=O)c1ccc(F)cc1)c1ccc(F)cc1,C14H8F2O3,liquid,1.343,262.2083,382.8,,0,0,organic_compound,,,,,,,
3-O-Methyl Estrone,,1624-62-0,COc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12,C19H24O2,liquid,1.103,284.3927,427.4,,0,0,organic_compound,,,,,,,
6(5H)-phenanthridinone,,1015-89-0,O=c1[nH]c2ccccc2c2ccccc12,C13H9NO,powder,1.231,195.2167,274.843,290,0,0,organic_compound,,,,,,,
"6-Methyl-1,2,3,4-tetrahydroquinoline",,91-61-2,Cc1ccc2c(c1)CCCN2,C10H13N,liquid,0.99,147.2169,264.2,,0,0,organic_compound,,,,,,,
"2H-1,4-Benzoxazin-3(4H)-one",,5466-88-6,O=C1COc2ccccc2N1,C8H7NO2,powder,1.245,149.1467,337.728,172,0,0,organic_compound,,,,,,,
4-Ethylanisole,,1515-95-3,CCc1ccc(OC)cc1,C9H12O,liquid,0.931,136.191,195.5,,0,0,organic_compound,,,,,,,
1-Phenylpyrrole,,635-90-5,c1ccc(-n2cccc2)cc1,C10H9N,powder,0.97,143.1852,234,58,0,0,organic_compound,,,,,,,
8-Aminoquinoline,,578-66-5,Nc1cccc2cccnc12,C9H8N2,powder,1.21,144.1732,289.8,62,0,0,organic_compound,,,,,,,
2'-Fluoroacetanilide,,399-31-5,CC(=O)Nc1ccccc1F,C8H8FNO,powder,1.04,153.1536,302.1,76,0,0,organic_compound,,,,,,,
sodium thiophenolate,,930-69-8,Sc1ccccc1,C6H5NaS,liquid,,132.159,169.1,300,0,0,organic_compound,,,,,,,
N-(4-Acetylphenyl)maleimide,,1082-85-5,CC(=O)c1ccc(N2C(=O)C=CC2=O)cc1,C12H9NO3,liquid,1.33,215.2048,403.6,,0,0,organic_compound,,,,,,,
1-(4-Acetylphenyl)-2-thiourea,,71680-92-7,CC(=O)c1ccc(NC(N)=S)cc1,C9H10N2OS,liquid,1.302,194.253,354.3,,0,0,organic_compound,,,,,,,
1-Acetylpiperazine,,13889-98-0,CC(=O)N1CCNCC1,C6H12N2O,powder,,128.1723,257.9,31,0,0,organic_compound,,,,,,,
N-Acetylphthalimide,,1971-49-9,CC(=O)N1C(=O)c2ccccc2C1=O,C10H7NO3,powder,1.413,189.1675,345.4,139,0,0,organic_compound,,,,,,,
4-(4-Acetyl-1-piperazinyl)phenylboronic Acid Pinacol Ester,,1218791-38-8,CC(=O)N1CCN(c2ccc(B3OC(C)(C)C(C)(C)O3)cc2)CC1,C18H27BN2O3,liquid,,330.23,,,0,0,organic_compound,,,,,,,
1-Acetyl Isonipecotoyl Chloride,,59084-16-1,CC(=O)N1CCC(C(=O)Cl)CC1,C8H12ClNO2,powder,1.224,189.639,308,135,0,0,organic_compound,,,,,,,
1-Acetyl-4-piperidinecarboxylic acid,,25503-90-6,CC(=O)N1CCC(C(=O)O)CC1,C8H13NO3,powder,,171.1937,374,182,0,0,organic_compound,,,,,,,
"ethanone, 1-[4-(5-fluoro-1,2-benzisoxazol-3-yl)-1-piperidinyl]-",,84163-10-0,CC(=O)N1CCC(c2noc3ccc(F)cc23)CC1,C14H15FN2O2,liquid,,262.2795,,,0,0,organic_compound,,,,,,,
N-Acetyl-4-piperidone,,32161-06-1,CC(=O)N1CCC(=O)CC1,C7H11NO2,liquid,1.126,141.1677,218.8,,0,0,organic_compound,,,,,,,
Adenosine 5'-diphosphate disodium salt,,16178-48-6,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O,C10H13N5Na2O10P2,liquid,,471.1648,,,0,0,organic_compound,,,,,,,
N-Acetyl-L-proline,,68-95-1,CC(=O)N1CCCC1C(=O)O,C7H11NO3,powder,,157.1671,366.2,115,0,0,organic_compound,,,,,,,
adenosine 5'-monophosphate,,61-19-8,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,C10H14N5O7P,powder,,347.2212,798.518,178,0,0,organic_compound,,,,,,,
"disodium hydrate hydrogen {[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy(hydroxy)phosphoryl phosphonato}oxyphosphonate",,34369-07-8,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,C10H16N5Na2O14P3,liquid,,569.16,,,0,0,organic_compound,,,,,,,
Adipamide,,628-94-4,NC(=O)CCCCC(N)=O,C6H12N2O2,liquid,1.18,144.1717,412.4,,0,0,organic_compound,,,,,,,
Adipic acid monoethyl ester,,626-86-8,CCOC(=O)CCCCC(=O)O,C8H14O4,liquid,1.098,174.1944,285.72,28,0,0,organic_compound,,,,,,,
Adipic dihydrazide,,1071-93-8,NNC(=O)CCCCC(=O)NN,C6H14N4O2,powder,1.186,174.201,519.3,175,0,0,organic_compound,,,,,,,
Adiponitrile,,111-69-3,N#CCCCCC#N,C6H8N2,liquid,0.945,108.1411,296.1,1,0,0,organic_compound,,,,,,,
Adipic Acid,,124-04-9,O=C(O)CCCCC(=O)O,C6H10O4,powder,,146.1412,338.5,151,0,0,organic_compound,,,,,,,
1-Allyl-3-(2-hydroxyethyl)-2-thiourea,,105-81-7,C=CCNC(=S)NCCO,C6H12N2OS,powder,1.694,160.237,295.535,77,0,0,organic_compound,,,,,,,
Allyl iodide,,556-56-9,C=CCI,C3H5I,liquid,1.826,167.9763,103,,0,0,organic_compound,,,,,,,
1-Allylimidazole,,31410-01-2,C=CCn1ccnc1,C6H8N2,liquid,0.94,108.1411,251.5,,0,0,organic_compound,,,,,,,
3-Isocyanatoprop-1-ene,,1476-23-9,C=CCN=C=O,C4H5NO,liquid,0.85,83.0886,88,,0,0,organic_compound,,,,,,,
3-Aminobenzonitrile,,2237-30-1,N#Cc1cccc(N)c1,C7H6N2,powder,,118.1359,288,50,0,0,organic_compound,,,,,,,
4-Aminobenzonitrile,,873-74-5,N#Cc1ccc(N)cc1,C7H6N2,powder,1.14,118.1359,286.5,83,0,0,organic_compound,,,,,,,
2-Aminobenzophenone,,2835-77-0,Nc1ccccc1C(=O)c1ccccc1,C13H11NO,powder,1.161,197.2325,383.7,105,0,0,organic_compound,,,,,,,
3-Aminobenzophenone,,2835-78-1,Nc1cccc(C(=O)c2ccccc2)c1,C13H11NO,liquid,1.161,197.2325,381,,0,0,organic_compound,,,,,,,
4-Aminobenzophenone,,1137-41-3,Nc1ccc(C(=O)c2ccccc2)cc1,C13H11NO,liquid,1.161,197.2325,372.7,,0,0,organic_compound,,,,,,,
2-Aminobenzothiazole,,136-95-8,Nc1nc2ccccc2s1,C7H6N2S,powder,1.394,150.201,274,129,0,0,organic_compound,,,,,,,
"5-Amino-1,3-benzothiazole",,1123-93-9,Nc1ccc2scnc2c1,C7H6N2S,liquid,,150.201,,,0,0,organic_compound,,,,,,,
"4-Amino-2,1,3-benzothiadiazole",,767-64-6,Nc1cccc2nsnc12,C6H5N3S,powder,1.485,151.189,303,65,0,0,organic_compound,,,,,,,
6-Aminobenzothiazole,,533-30-2,Nc1ccc2ncsc2c1,C7H6N2S,powder,,150.201,,89,0,0,organic_compound,,,,,,,
2-Amino-benzothiazole-6-carboxylic acid,,93-85-6,Nc1nc2ccc(C(=O)O)cc2s1,C8H6N2O2S,powder,1.604,194.21,466.6,265,0,0,organic_compound,,,,,,,
"7-amino-2H-1,4-benzoxazin-3(4H)-one",,26215-14-5,Nc1ccc2c(c1)OCC(=O)N2,C8H8N2O2,liquid,1.344,164.1613,434.8,,0,0,organic_compound,,,,,,,
"1,3-Benzoxazol-6-amine",,177492-52-3,Nc1ccc2ncoc2c1,C7H6N2O,powder,1.317,134.1353,282.296,88,0,0,organic_compound,,,,,,,
2-Amino-4-(4-bromophenyl)thiazole,,2103-94-8,Nc1nc(-c2ccc(Br)cc2)cs1,C9H7BrN2S,powder,1.636,255.134,410.9,227,0,0,organic_compound,,,,,,,
5-bromopyrazin-2-amine,,59489-71-3,Nc1cnc(Br)cn1,C4H4BrN3,powder,1.844,173.999,274.2,106.5,0,0,organic_compound,,,,,,,
2-Amino-3-bromopyridine,,13534-99-1,Nc1ncccc1Br,C5H5BrN2,powder,,173.011,232,63,0,0,organic_compound,,,,,,,
2-Amino-4-bromopyridine,,84249-14-9,Nc1cc(Br)ccn1,C5H5BrN2,powder,1.71,173.011,268.2,136,0,0,organic_compound,,,,,,,
2-Amino-5-bromopyridine,,1072-97-5,Nc1ccc(Br)cn1,C5H5BrN2,powder,,173.011,230.9,135,0,0,organic_compound,,,,,,,
3-amino-4-bromopyrazole,,16461-94-2,Nc1[nH]ncc1Br,C3H4BrN3,powder,2.039,161.988,346.6,133,0,0,organic_compound,,,,,,,
2-Amino-6-bromopyridine,,19798-81-3,Nc1cccc(Br)n1,C5H5BrN2,powder,,173.011,273,88,0,0,organic_compound,,,,,,,
3-Amino-2-bromopyridine,,39856-58-1,Nc1cccnc1Br,C5H5BrN2,powder,1.71,173.011,292.5,74,0,0,organic_compound,,,,,,,
3-Amino-5-bromopyridine,,13535-01-8,Nc1cncc(Br)c1,C5H5BrN2,powder,1.326,173.011,275.8,65,0,0,organic_compound,,,,,,,
4-Amino-2-bromopyridine,,7598-35-8,Nc1ccnc(Br)c1,C5H5BrN2,powder,1.71,173.011,321.3,92,0,0,organic_compound,,,,,,,
4-Amino-3-bromopyridine,,13534-98-0,Nc1ccncc1Br,C5H5BrN2,powder,,173.011,275.8,67,0,0,organic_compound,,,,,,,
3-Amino-6-bromopyridine,,13534-97-9,Nc1ccc(Br)nc1,C5H5BrN2,powder,1.71,173.011,291.2,75,0,0,organic_compound,,,,,,,
2-Amino-5-bromopyrimidine,,7752-82-1,Nc1ncc(Br)cn1,C4H4BrN3,powder,1.844,173.999,340.743,239,0,0,organic_compound,,,,,,,
4-Amino-2-bromo-5-cyanopyrimidine,,94741-70-5,N#Cc1cnc(Br)nc1N,C5H3BrN4,powder,1.944,199.008,457.658,254,0,0,organic_compound,,,,,,,
3-Bromo-5-(trifluoromethyl)pyridin-2-amine,,79456-30-7,Nc1ncc(C(F)(F)F)cc1Br,C6H4BrF3N2,liquid,1.79,241.009,221.703,,0,0,organic_compound,,,,,,,
5-bromo-3-(trifluoromethyl)pyridin-2-amine,,79456-34-1,Nc1ncc(Br)cc1C(F)(F)F,C6H4BrF3N2,liquid,1.79,241.009,216.6,,0,0,organic_compound,,,,,,,
sec-butylamine,,13952-84-6,CCC(C)N,C4H11N,liquid,0.72,73.1368,62.9,-104,0,0,organic_compound,,,,,,,
2-Amino-5-bromothiazole monohydrobromide,,61296-22-8,Nc1ncc(Br)s1,C3H4Br2N2S,powder,,259.95,,165,0,0,organic_compound,,,,,,,
(R)-(-)-2-Amino-1-butanol,,5856-63-3,CCC(N)CO,C4H11NO,liquid,0.944,89.1362,172,-2,0,0,organic_compound,,,,,,,
4-Amino-1-butanol,,13325-10-5,NCCCCO,C4H11NO,liquid,0.967,89.1362,206,16,0,0,organic_compound,,,,,,,
2-amino-N-(sec-butyl)benzamide,,30391-87-8,CCC(C)NC(=O)c1ccccc1N,C11H16N2O,liquid,1.056,192.2575,366.9,,0,0,organic_compound,,,,,,,
5-Amino-3-(tert-butyl)-1-methyl-1H-pyrazole,,118430-73-2,Cn1nc(C(C)(C)C)cc1N,C8H15N3,powder,,153.2248,,157,0,0,organic_compound,,,,,,,
2-Amino-4-tert-butylphenol,,1199-46-8,CC(C)(C)c1ccc(O)c(N)c1,C10H15NO,powder,1.053,165.2322,274.9,160,0,0,organic_compound,,,,,,,
2-Amino-5-chloro-3-nitropyridine,,5409-39-2,Nc1ncc(Cl)cc1[N+](=O)[O-],C5H4ClN3O2,powder,1.596,173.557,305.8,193,0,0,organic_compound,,,,,,,
3-Amino-5-tert-butylisoxazole,,55809-36-4,CC(C)(C)c1cc(N)no1,C7H12N2O,powder,1.042,140.183,248.1,110,0,0,organic_compound,,,,,,,
2-Amino-4-chlorophenol,,95-85-2,Nc1cc(Cl)ccc1O,C6H6ClNO,powder,,143.571,,134,0,0,organic_compound,,,,,,,
4-Amino-2-chlorophenol,,3964-52-1,Nc1ccc(O)c(Cl)c1,C6H6ClNO,powder,1.406,143.571,292.7,150,0,0,organic_compound,,,,,,,
4-Amino-3-chlorophenol Hydrochloride,,52671-64-4,Nc1ccc(O)cc1Cl,C6H7Cl2NO,powder,,180.032,314,255,0,0,organic_compound,,,,,,,
1-(4-Chlorophenyl)-3-methyl-1H-pyrazol-5-ylamine,,40401-39-6,Cc1cc(N)n(-c2ccc(Cl)cc2)n1,C10H10ClN3,liquid,1.32,207.659,358.5,,0,0,organic_compound,,,,,,,
(3R)-3-amino-4-(2-chlorophenyl)butanoic acid hydrochloride,,268734-28-7,NC(CC(=O)O)Cc1ccccc1Cl,C10H13Cl2NO2,liquid,,250.122,388.4,,0,0,organic_compound,,,,,,,
3-amino-3-(2-chlorophenyl)propionic acid,,68208-20-8,NC(CC(=O)O)c1ccccc1Cl,C9H10ClNO2,liquid,1.333,199.634,336.5,,0,0,organic_compound,,,,,,,
DL-?-(3-Chlorophenyl)alanine,,68208-21-9,NC(CC(=O)O)c1cccc(Cl)c1,C9H10ClNO2,powder,1.333,199.634,334.7,222,0,0,organic_compound,,,,,,,
3-amino-3-(4-chlorophenyl)propionic acid,,19947-39-8,NC(CC(=O)O)c1ccc(Cl)cc1,C9H10ClNO2,powder,1.333,199.634,345.8,223,0,0,organic_compound,,,,,,,
5-Amino-3-(4-chlorophenyl)-1H-pyrazole,,78583-81-0,Nc1cc(-c2ccc(Cl)cc2)[nH]n1,C9H8ClN3,powder,1.378,193.633,463.8,172,0,0,organic_compound,,,,,,,
5-Amino-1-(2-chlorophenyl)-1H-pyrazole-4-carbonitrile,,64096-89-5,N#Cc1cnn(-c2ccccc2Cl)c1N,C10H7ClN4,liquid,,218.642,,,0,0,organic_compound,,,,,,,
5-Amino-1-(3-chlorophenyl)-1H-pyrazole-4-carbonitrile,,51516-68-8,N#Cc1cnn(-c2cccc(Cl)c2)c1N,C10H7ClN4,liquid,1.411,218.642,433.947,,0,0,organic_compound,,,,,,,
1-(4-chlorophenyl)pyrazol-3-amine,,66000-39-3,Nc1ccn(-c2ccc(Cl)cc2)n1,C9H8ClN3,liquid,1.364,193.633,349.04,,0,0,organic_compound,,,,,,,
5-Amino-1-(4-chlorophenyl)-1H-pyrazole-4-carbonitrile,,51516-67-7,N#Cc1cnn(-c2ccc(Cl)cc2)c1N,C10H7ClN4,powder,1.41,218.642,424.2,170,0,0,organic_compound,,,,,,,
"5-(4-chlorophenyl)-1,2,4-thiadiazol-3-amine",,89894-30-4,Nc1nsc(-c2ccc(Cl)cc2)n1,C8H6ClN3S,liquid,1.461,211.671,383.9,,0,0,organic_compound,,,,,,,
"3-(4-chlorophenyl)-1,2,4-thiadiazol-5-amine",,19922-07-7,Nc1nc(-c2ccc(Cl)cc2)ns1,C8H6ClN3S,liquid,1.461,211.671,383.9,,0,0,organic_compound,,,,,,,
4-(4-chlorophenyl)thiazol-2-amine,,2103-99-3,Nc1nc(-c2ccc(Cl)cc2)cs1,C9H7ClN2S,powder,1.389,210.683,389.8,169,0,0,organic_compound,,,,,,,
2-Amino-6-chloropurine,,10310-21-1,Nc1nc(Cl)c2[nH]cnc2n1,C5H4ClN5,powder,1.77,169.572,623.9,300,0,0,organic_compound,,,,,,,
3-Chloropyrazin-2-amine,,6863-73-6,Nc1nccnc1Cl,C4H4ClN3,liquid,1.437,129.548,248.1,,0,0,organic_compound,,,,,,,
6-Chloropyridazin-3-amine,,5469-69-2,Nc1ccc(Cl)nn1,C4H4ClN3,powder,1.438,129.548,363.153,210,0,0,organic_compound,,,,,,,
3-chloropyridin-2-amine,,39620-04-7,Nc1ncccc1Cl,C5H5ClN2,liquid,1.327,128.56,206.953,,0,0,organic_compound,,,,,,,
5-chloropyridin-2-amine,,1072-98-6,Nc1ccc(Cl)cn1,C5H5ClN2,powder,,128.56,257.8,134,0,0,organic_compound,,,,,,,
6-chloropyridin-2-amine,,45644-21-1,Nc1cccc(Cl)n1,C5H5ClN2,powder,1.327,128.56,255.72,69,0,0,organic_compound,,,,,,,
3-Amino-2-chloropyridine,,6298-19-7,Nc1cccnc1Cl,C5H5ClN2,powder,1.326,128.56,262.8,77,0,0,organic_compound,,,,,,,
2-Amino-4-chloropyridine,,19798-80-2,Nc1cc(Cl)ccn1,C5H5ClN2,liquid,,128.56,240.8,,0,0,organic_compound,,,,,,,
3-Amino-4-chloropyridine,,20511-15-3,Nc1cnccc1Cl,C5H5ClN2,liquid,1.326,128.56,247.6,,0,0,organic_compound,,,,,,,
3-Amino-5-chloropyridine,,22353-34-0,Nc1cncc(Cl)c1,C5H5ClN2,liquid,,128.56,,,0,0,organic_compound,,,,,,,
4-Amino-2-chloropyridine,,14432-12-3,Nc1ccnc(Cl)c1,C5H5ClN2,powder,,128.56,299.9,89,0,0,organic_compound,,,,,,,
3-chloropyridin-4-amine,,19798-77-7,Nc1ccncc1Cl,C5H5ClN2,powder,,128.56,250.9,44,0,0,organic_compound,,,,,,,
5-Amino-2-chloropyridine,,5350-93-6,Nc1ccc(Cl)nc1,C5H5ClN2,powder,1.326,128.56,292.6,80,0,0,organic_compound,,,,,,,
"3-Amino-2,5-dichloropyridine",,78607-32-6,Nc1cc(Cl)cnc1Cl,C5H4Cl2N2,powder,1.498,163.005,287.009,124,0,0,organic_compound,,,,,,,
"3-Amino-2,6-dichloropyridine",,62476-56-6,Nc1ccc(Cl)nc1Cl,C5H4Cl2N2,powder,1.497,163.005,305.3,122,0,0,organic_compound,,,,,,,
2-Amino-4-ethylpyridine,,33252-32-3,CCc1ccnc(N)c1,C7H10N2,liquid,1.037,122.1677,242.2,,0,0,organic_compound,,,,,,,
3-(2-Aminoethyl)pyridine,,20173-24-4,NCCc1cccnc1,C7H10N2,liquid,,122.1677,228.8,,0,0,organic_compound,,,,,,,
4-(2-Aminoethyl)pyridine,,13258-63-4,NCCc1ccncc1,C7H10N2,liquid,1.0238,122.1677,230.7,,0,0,organic_compound,,,,,,,
N-(2-Aminoethyl)pyrrolidine,,7154-73-6,NCCN1CCCC1,C6H14N2,liquid,0.959,114.1888,152.117,,0,0,organic_compound,,,,,,,
2-Amino-6-ethylpyridine,,21717-29-3,CCc1cccc(N)n1,C7H10N2,liquid,1.037,122.1677,218.8,,0,0,organic_compound,,,,,,,
"2-Amino-5-ethyl-1,3,4-thiadiazole",,14068-53-2,CCc1nnc(N)s1,C4H7N3S,powder,1.285,129.183,267.2,200,0,0,organic_compound,,,,,,,
"2-Amino-5-ethylthio-1,3,4-thiadiazole",,25660-70-2,CCSc1nnc(N)s1,C4H7N3S2,liquid,1.39,161.248,322.2,,0,0,organic_compound,,,,,,,
2-Aminofluorene,,153-78-6,Nc1ccc2c(c1)Cc1ccccc1-2,C13H11N,powder,1.203,181.2331,358.3,126,0,0,organic_compound,,,,,,,
9-Aminofluorene Hydrochloride,,5978-75-6,NC1c2ccccc2-c2ccccc21,C13H12ClN,liquid,,217.694,331.1,,0,0,organic_compound,,,,,,,
1-Amino-9-fluorenone,,6344-62-3,Nc1cccc2c1C(=O)c1ccccc1-2,C13H9NO,powder,1.327,195.2167,406.2,118,0,0,organic_compound,,,,,,,
2-Amino-9-fluorenone,,3096-57-9,Nc1ccc2c(c1)C(=O)c1ccccc1-2,C13H9NO,powder,1.327,195.2167,426.4,152,0,0,organic_compound,,,,,,,
"3-fluoro-4-(tetramethyl-1,3,2-dioxaborolan-2-yl)aniline",,819057-45-9,CC1(C)OB(c2ccc(N)cc2F)OC1(C)C,C12H17BFNO2,liquid,1.11,237.078,343.6,,0,0,organic_compound,,,,,,,
"2-fluoro-4-(tetramethyl-1,3,2-dioxaborolan-2-yl)aniline",,819058-34-9,CC1(C)OB(c2ccc(N)c(F)c2)OC1(C)C,C12H17BFNO2,liquid,1.11,237.078,333.5,,0,0,organic_compound,,,,,,,
4-Amino-3-fluorobenzoic acid,,455-87-8,Nc1ccc(C(=O)O)cc1F,C7H6FNO2,liquid,,155.1264,,,0,0,organic_compound,,,,,,,
5-Amino-2-fluorobenzoic acid,,56741-33-4,Nc1ccc(F)c(C(=O)O)c1,C7H6FNO2,powder,1.43,155.1264,351.3,185,0,0,organic_compound,,,,,,,
4-Amino-2-fluorobenzoic acid,,446-31-1,Nc1ccc(C(=O)O)c(F)c1,C7H6FNO2,powder,1.43,155.1264,318.1,210,0,0,organic_compound,,,,,,,
2-Amino-6-fluorobenzonitrile,,77326-36-4,N#Cc1c(N)cccc1F,C7H5FN2,powder,1.032,136.1264,182.6,125,0,0,organic_compound,,,,,,,
3-amino-4-fluorobenzonitrile,,859855-53-1,N#Cc1ccc(F)c(N)c1,C7H5FN2,liquid,1.25,136.1264,279.1,,0,0,organic_compound,,,,,,,
4-Amino-3-fluorobenzonitrile,,63069-50-1,N#Cc1ccc(N)c(F)c1,C7H5FN2,powder,1.439,136.1264,583.8,70,0,0,organic_compound,,,,,,,
5-Amino-2-fluorobenzonitrile,,53312-81-5,N#Cc1cc(N)ccc1F,C7H5FN2,powder,1.65,136.1264,261.1,92,0,0,organic_compound,,,,,,,
2-Amino-5-fluorobenzothiazole,,20358-07-0,Nc1nc2cc(F)ccc2s1,C7H5FN2S,liquid,1.492,168.191,312.039,,0,0,organic_compound,,,,,,,
2-Amino-6-fluorobenzothiazole,,348-40-3,Nc1nc2ccc(F)cc2s1,C7H5FN2S,powder,1.236,168.191,136.2,181,0,0,organic_compound,,,,,,,
2-Amino-4-fluorophenol,,399-97-3,Nc1cc(F)ccc1O,C6H6FNO,powder,1.788,127.1163,202.4,130,0,0,organic_compound,,,,,,,
2-Amino-3-nitro-6-(4-fluorobenzylamino)pyridine,,33400-49-6,Nc1nc(NCc2ccc(F)cc2)ccc1[N+](=O)[O-],C12H11FN4O2,liquid,1.447,262.2397,464.5,,0,0,organic_compound,,,,,,,
2-Amino-5-fluorophenol,,53981-24-1,Nc1ccc(F)cc1O,C6H6FNO,powder,1.368,127.1163,296.5,38,0,0,organic_compound,,,,,,,
4-Amino-2-fluorophenol,,399-96-2,Nc1ccc(O)c(F)c1,C6H6FNO,liquid,,127.1163,,,0,0,organic_compound,,,,,,,
4-Amino-3-fluorophenol,,399-95-1,Nc1ccc(O)cc1F,C6H6FNO,powder,1.347,127.1163,263.3,135,0,0,organic_compound,,,,,,,
2-amino-1-(2-fluorophenyl)ethanol,,3225-74-9,NCC(O)c1ccccc1F,C8H10FNO,liquid,1.209,155.1695,287.417,,0,0,organic_compound,,,,,,,
(3S)-3-amino-3-(2-fluorophenyl)propanoic acid,,151911-32-9,NC(CC(=O)O)c1ccccc1F,C9H10FNO2,liquid,1.289,183.1796,302.6,,0,0,organic_compound,,,,,,,
"phenol, 5-amino-2-fluoro-",,100367-48-4,Nc1ccc(F)c(O)c1,C6H6FNO,liquid,,127.1163,,,0,0,organic_compound,,,,,,,
(3S)-3-amino-3-(3-fluorophenyl)propanoic acid,,723284-79-5,NC(CC(=O)O)c1cccc(F)c1,C9H10FNO2,liquid,1.289,183.1796,305.7,,0,0,organic_compound,,,,,,,
3-Amino-3-(4-fluorophenyl)propanoic acid,,325-89-3,NC(CC(=O)O)c1ccc(F)cc1,C9H10FNO2,powder,,183.1796,,224,0,0,organic_compound,,,,,,,
5-Amino-3-(4-fluorophenyl)-1H-pyrazole,,72411-52-0,Nc1cc(-c2ccc(F)cc2)[nH]n1,C9H8FN3,liquid,1.334,177.1783,435.4,,0,0,organic_compound,,,,,,,
2-Aminoindane hydrochloride,,2338-18-3,NC1Cc2ccccc2C1,C9H12ClN,powder,,169.651,226.2,245,0,0,organic_compound,,,,,,,
"(1S,2R)-1-Amino-2,3-dihydro-1H-inden-2-ol",,126456-43-7,C1C(C(C2=CC=CC=C21)N)O,C9H11NO,powder,1.3,149.19,290,118,,,organic_compound,,,,,,,
1H-Indazol-3-ylamine,,874-05-5,Nc1[nH]nc2ccccc12,C7H7N3,liquid,1.367,133.1506,376.6,,0,0,organic_compound,,,,,,,
5-Aminoindan,,24425-40-9,Nc1ccc2c(c1)CCC2,C9H11N,powder,1.102,133.1903,248.8,34,0,0,organic_compound,,,,,,,
5-Aminoindazole,,19335-11-6,Nc1ccc2[nH]ncc2c1,C7H7N3,powder,1.48,133.1506,495.4,175,0,0,organic_compound,,,,,,,
4-Aminoindole,,5192-23-4,Nc1cccc2[nH]ccc12,C8H8N2,powder,1.268,132.1625,354,106,0,0,organic_compound,,,,,,,
7-Amino-1H-indazole,,21443-96-9,Nc1cccc2c[nH]nc12,C7H7N3,liquid,1.367,133.1506,376.6,,0,0,organic_compound,,,,,,,
6-Aminoindole,,5318-27-4,Nc1ccc2cc[nH]c2c1,C8H8N2,powder,1.26,132.1625,439.2,75,0,0,organic_compound,,,,,,,
5-Phenyl-o-toluidine,,80938-67-6,Cc1ccc(-c2ccccc2)cc1N,C13H13N,powder,1.057,183.249,347.2,58,0,0,organic_compound,,,,,,,
tert-butyl N-[5-(aminomethyl)pyridin-2-yl]carbamate,,187237-37-2,CC(C)(C)OC(=O)Nc1ccc(CN)cn1,C11H17N3O2,liquid,1.165,223.2716,321.371,,0,0,organic_compound,,,,,,,
3-(Aminomethyl)-1-N-Boc-piperidine,,162167-97-7,CC(C)(C)OC(=O)N1CCCC(CN)C1,C11H22N2O2,liquid,,214.3046,299.4,,0,0,organic_compound,,,,,,,
2-(Aminomethyl)-1-N-Boc-piperidine,,370069-31-1,CC(C)(C)OC(=O)N1CCCCC1CN,C11H22N2O2,liquid,,214.3046,,,0,0,organic_compound,,,,,,,
1-Boc-4-(aminomethyl)piperidine,,144222-22-0,CC(C)(C)OC(=O)N1CCC(CN)CC1,C11H22N2O2,liquid,1.017,214.3046,283,,0,0,organic_compound,,,,,,,
"(R)-2-(Aminomethyl)pyrrolidine, N1-BOC protected",,259537-92-3,CC(C)(C)OC(=O)N1CCCC1CN,C10H20N2O2,liquid,,200.278,,,0,0,organic_compound,,,,,,,
(R)-(-)-2-Amino-3-methylbutane,,34701-33-2,CC(C)C(C)N,C5H13N,liquid,0.754,87.1634,85.5,,0,0,organic_compound,,,,,,,
4-Aminomethyl-1-N-butylpiperidine,,65017-57-4,CCCCN1CCC(CN)CC1,C10H22N2,liquid,0.883,170.2951,225.1,,0,0,organic_compound,,,,,,,
