name,aliases,roles,mention_count,source_columns,reconciliation_status
PS-750-M,PS-750-M,solvent,28,Secondary Solvent | Solvent,unresolved
py.HF,py.HF,additive,16,Additive,unresolved
PyCIU,PyCIU,coupling_reagent,32,Coupling Reagent,unresolved
QPhos Pd(crotyl)Cl,QPhos Pd(crotyl)Cl,catalyst,1344,Catalyst,unresolved
QPhosPd G6 Br,QPhosPd G6 Br,catalyst,38,Catalyst,unresolved
(R)-Binap,(R)-Binap,ligand,31,Ligand,unresolved
(R)-BINAP Pd(allyl)Cl,(R)-BINAP Pd(allyl)Cl,catalyst,533,Catalyst,unresolved
(R)-DTBM-segphos,(R)-DTBM-segphos,ligand,4,Ligand,unresolved
(R)-MeOBiPHEP,(R)-MeOBiPHEP,ligand,4,Ligand,unresolved
(R)-Tol-BINAP,(R)-Tol-BINAP,ligand,4,Ligand,unresolved
rac-AntPhos,rac-AntPhos,ligand,24,Ligand,unresolved
rac-AntPhos Pd(allyl)Cl,rac-AntPhos Pd(allyl)Cl,catalyst,24,Catalyst,unresolved
rac-BINAP Pd G3,rac-BINAP Pd G3,catalyst,756,Catalyst,unresolved
RockPhos Pd G6 Br,RockPhos Pd G6 Br,catalyst,182,Catalyst,unresolved
Rovis-NHC*HBF4,Rovis-NHC*HBF4,catalyst,24,Catalyst,unresolved
(Ru(p-cymene)Cl2)2,(Ru(p-cymene)Cl2)2,catalyst,264,Catalyst,unresolved
RuPhos Pd(crotyl)Cl,RuPhos Pd(crotyl)Cl,catalyst,841,Catalyst,unresolved
(S)-DM-segphos,(S)-DM-segphos,ligand,4,Ligand,unresolved
Schley Ligand,Schley Ligand,ligand,12,Ligand,unresolved
Sodium phenoxide,Sodium phenoxide,base,44,Base,unresolved
SPhos Pd(allyl)OTf,SPhos Pd(allyl)OTf,catalyst,206,Catalyst,unresolved
SPhos Pd(crotyl)Cl,SPhos Pd(crotyl)Cl,catalyst,1606,Catalyst,unresolved
SPhos Pd-Fe nanoparticles,SPhos Pd-Fe nanoparticles,catalyst,56,Catalyst,unresolved
SPhos Pd G4,SPhos Pd G4,catalyst,78,Catalyst,unresolved
SPhos Pd(tBuInd)Cl,SPhos Pd(tBuInd)Cl,catalyst,100,Catalyst,unresolved
Strykers reagent,Strykers reagent,catalyst,24,Catalyst,unresolved
TBAHS,TBAHS,additive,32,Additive,unresolved
TBD,TBD,additive | base,248,Additive | Base,unresolved
tBu isocyanide,tBu isocyanide,additive,24,Additive,unresolved
"tBu-NpPh-Biphenyl-benzene-1,2-diamine","tBu-NpPh-Biphenyl-benzene-1,2-diamine",ligand,52,Ligand,unresolved
tBu)PhCPhos Pd G3,tBu)PhCPhos Pd G3,catalyst,113,Catalyst,unresolved
tBubpyCAMCN,tBubpyCAMCN,ligand,152,Ligand,unresolved
tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos Pd(allyl)OTf,catalyst,2771,Catalyst,unresolved
tBuBrettPhos Pd G3,tBuBrettPhos Pd G3,catalyst,74,Catalyst,unresolved
tBuBrettPhos Pd G6 bromide,tBuBrettPhos Pd G6 bromide,catalyst,12,Catalyst,unresolved
tBuXPhos Pd(allyl)OTf,tBuXPhos Pd(allyl)OTf,catalyst,1383,Catalyst,unresolved
TCE,TCE,solvent,16,Solvent,unresolved
TCFH,TCFH,coupling_reagent,230,Coupling Reagent,unresolved
Tetramethylammonium hydroxide 10% MeOH,Tetramethylammonium hydroxide 10% MeOH,base,16,Base,unresolved
Tf2O,Tf2O,coupling_reagent,12,Coupling Reagent,unresolved
thiazolium-NHC*HCl,thiazolium-NHC*HCl,catalyst,228,Catalyst,unresolved
TIPSH,TIPSH,additive,16,Additive,unresolved
TMP,TMP,base,190,Base,unresolved
TMPMgCl.LiCl,TMPMgCl.LiCl,base,52,Base,unresolved
(TMS)2S,(TMS)2S,additive,4,Additive,unresolved
TMSOTf,TMSOTf,additive,36,Additive,unresolved
TPAP,TPAP,ligand,16,Ligand,unresolved
TPGS-1000,TPGS-1000,solvent,6,Secondary Solvent,unresolved
TPGS-750M,TPGS-750M,additive | solvent,720,Additive | Secondary Solvent | Solvent,unresolved
"trans-1,2-Diaminocyclohexane","trans-1,2-Diaminocyclohexane",ligand,168,Ligand,unresolved
trans-Hyp,trans-Hyp,ligand,262,Ligand,unresolved
Triflouroacetic anhydride,Triflouroacetic anhydride,additive,8,Additive,unresolved
triisobutylphosphatrane Pd G6,triisobutylphosphatrane Pd G6,catalyst,534,Catalyst,unresolved
Tris(hydroxymethyl)aminomethane,Tris(hydroxymethyl)aminomethane,base,10,Base,unresolved
TrixiePhos Pd G3,TrixiePhos Pd G3,catalyst,279,Catalyst,unresolved
VPhos Pd G3,VPhos Pd G3,catalyst,32,Catalyst,unresolved
VPhos Pd G4,VPhos Pd G4,catalyst,322,Catalyst,unresolved
Weix 2-pyridyl-N-cyanocarboxamidine,Weix 2-pyridyl-N-cyanocarboxamidine,ligand,24,Ligand,unresolved
Weix 2-pyridylcarboxamidine,Weix 2-pyridylcarboxamidine,ligand,8,Ligand,unresolved
Weix 2-pyridyldicarboxamidine bis-HCl,Weix 2-pyridyldicarboxamidine bis-HCl,ligand,24,Ligand,unresolved
XantPhos Pd(allyl)Cl,XantPhos Pd(allyl)Cl,catalyst,2124,Catalyst,unresolved
XantPhosPdCl2,XantPhosPdCl2,catalyst,892,Catalyst,unresolved
XPhos Pd(crotyl)Cl,XPhos Pd(crotyl)Cl,catalyst,1588,Catalyst,unresolved
XPhos Pd G4,XPhos Pd G4,catalyst,254,Catalyst,unresolved
XPhos Pd(tBuInd)Cl,XPhos Pd(tBuInd)Cl,catalyst,108,Catalyst,unresolved
XtalFluor-M,XtalFluor-M,coupling_reagent,24,Coupling Reagent,unresolved
ZnBr2,ZnBr2,additive,184,Additive,unresolved
ZnO,ZnO,base,16,Base,unresolved
