reaction_type,reaction_category,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive
Cn_Coupling,C-N Coupling,50.79,0.27,R-Carbamate,Ar-I,CuBr,trans-NN-Dimethylcyclohexane-12-diamine,DBU,THF,TBAB
Cn_Coupling,C-N Coupling,41.03,-0.12,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,DBU,MeCN,
Suzuki_Miyaura,,75.8,0.34,Ar-Br,Ar-B(OH)2,PPh3)2PdCl2,PPh3,Cs2CO3,PhMe,
Suzuki_Miyaura,,89.04,-0.29,Ar-Br,Ar-B(OH)2,PPh3)2PdCl2,PPh3,Na2CO3,"PhMe, water",
Suzuki_Miyaura,,54.96,0.53,Ar-Br,Ar-B(OH)2,PPh3)2PdCl2,PPh3,K2CO3,"PhMe, water",
Suzuki_Miyaura,,7.76,-2.39,Ar-Br,Ar-B(OH)2,PPh3)2PdCl2,PPh3,K2CO3,"PhMe, water",
Cn_Coupling,C-N Coupling,0,-0.4,Ar-Br,R2CH-NHR,rac-BINAP Pd G3,BINAP,LiHMDS,PhMe,
Cn_Coupling,C-N Coupling,91.65,0.69,Ar-Cl,Ar-NH2,BrettPhos Pd(crotyl)OTf,BrettPhos,KOAc,Dioxane,
Cn_Coupling,C-N Coupling,64.37,-0.51,Ar-Cl,Ar-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,KOAc,PhMe,TBAB
Cn_Coupling,C-N Coupling,76.32,0.02,Ar-Cl,Ar-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"PhMe, water",
Cn_Coupling,C-N Coupling,92.08,0.71,Ar-Cl,Ar-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"MeCN, water",
Cn_Coupling,C-N Coupling,94.03,0.8,Ar-Cl,Ar-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"MeCN, water",
Cn_Coupling,C-N Coupling,91.44,0.68,Ar-Cl,Ar-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"MeCN, water",
Suzuki_Miyaura,,6.97,-0.26,Ar-Br,Alkenyl-B(OR)2,PPh3)2PdCl2,PPh3,K3PO4,"PhMe, water",
Suzuki_Miyaura,,0,-0.94,Ar-Br,Alkenyl-B(OR)2,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,"PhMe, water",
Cn_Coupling,C-N Coupling,9.72,0.86,Ar-NH2,Ar-Cl,BrettPhos Pd(crotyl)OTf,BrettPhos,K2CO3,PhMe,
Cn_Coupling,C-N Coupling,5.45,0.17,Ar-NH2,Ar-Cl,BrettPhos Pd(crotyl)OTf,BrettPhos,K2CO3,"Dioxane, water",
Cn_Coupling,C-N Coupling,0,-0.71,Ar-NH2,Ar-Cl,QPhos Pd(crotyl)Cl,QPhos,K3PO4,o-Xylene,
Co_Coupling,,0,-0.37,Ar-Br,Ar-OH,QPhos Pd(crotyl)Cl,QPhos,K3PO4,Dioxane,
Suzuki_Miyaura,,41.98,0.74,Alkenyl-B(OR)2,Ar-Br,dpppPdCl2,dppp,K3PO4,"PhMe, water",
Suzuki_Miyaura,,1.84,-1.64,Alkenyl-B(OR)2,Ar-Br,dpppPdCl2,dppp,K3PO4,"PhMe, water",
Suzuki_Miyaura,,4.74,-0.86,Ar-I,Ar-B(OR)2,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,K2CO3,PhMe,water
Suzuki_Miyaura,,68.78,1.68,Ar-I,Ar-B(OR)2,PPh3)2PdCl2,PPh3,Cs2CO3,PhMe,
Cn_Coupling,C-N Coupling,34.81,1.77,Ar-I,Ar-NHR,XantPhos Pd G2,XantPhos,K3PO4,PhMe,
