reaction_type,reaction_category,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive
Suzuki_Miyaura,,0,-1.18,Ar-Br,Ar-B(OH)2,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,Cs2CO3,THF,water
Suzuki_Miyaura,,0.45,-1.5,Ar-Br,Ar-B(OH)2,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,Cs2CO3,THF,water
Negishi,,1.9,-0.19,R-Mg,Ar-Br,XantPhos Pd(allyl)Cl,XantPhos,,,
Suzuki_Miyaura,,54.61,-0.16,Ar-B(OR)2,Ar-Br,meCgPPh Pd G3,meCgPPh,K2CO3,"EtOH, water",
Heck,,0,-0.88,Any-Alkene,Ar-Br,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,DBU,Propionitrile,
Heck,,32.22,1.97,Any-Alkene,Ar-Br,Me4tBuXPhos Pd G3,Me4tBuXPhos,"TBD, TMP",tAmOH,TBAC
Heck,,16.8,0.6,Any-Alkene,Ar-Br,dppdtbpf)PdCl2,dppdtbpf,"TBD, TMP",MeTHF,TBAC
Condensation,,0,-0.33,Ar-NH2,R-SO2Cl,,No Ligand,lutidine,MeCN,TMEDA
Suzuki_Miyaura,,3.58,-1.05,Alkenyl-B(OR)2,Ar-Br,SPhos Pd(crotyl)Cl,SPhos,NaHCO3,"DMF, water",
Cn_Coupling,C-N Coupling,0,-0.82,R-CONH2,Ar-Cl,dppfPdCl2,dppf,DBU,MeTHF,
Cn_Coupling,C-N Coupling,20.06,-0.06,R-CONH2,Ar-Cl,JackiePhos Pd G3,JackiePhos,Cs2CO3,MeTHF,
Cn_Coupling,C-N Coupling,1.52,-0.59,Ar-NH2,Ar-Br,N-XantPhos Pd G3,N-XantPhos,K2CO3,tAmOH,
Cn_Coupling,C-N Coupling,0,-0.72,Ar-Br,R-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"iPrOH, water",
C_H_Activation,C-H Activation,0,-1.1,Ar-H,Ar-Br,PEPPSI-IPENT,IPENT,K2CO3,DMI,KOPiv
C_H_Activation,C-H Activation,0,-1.1,Ar-H,Ar-Br,dtbpfPdCl2,dtbpf,NaHCO3,"anisole, NMP",KOPiv
C_H_Activation,C-H Activation,37.48,0.08,Ar-H,Ar-Br,Pd(OAc)2,Missing,"K2CO3, NMI",anisole,KOAc
Suzuki_Miyaura,,0,-0.13,Ar-B(OH)2,Ar-Cl,,No Ligand,Cs2CO3,,18-crown-6
Suzuki_Miyaura,,66.74,0.46,Ar-Br,Ar-B(OR)2,PPh3)2PdCl2,PPh3,Na2CO3,"EtOH, water",
Suzuki_Miyaura,,6.1,-1.54,Ar-Br,Ar-B(OR)2,XPhos Pd G2,XPhos,K3PO4,"iPrOAc, water",
Cn_Coupling,C-N Coupling,1.43,-0.55,Ar-NH2,Ar-Br,[Pd(allyl)(RockPhos)]OTf,RockPhos,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,11.95,-0.2,Ar-Br,R-NHR,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,THF,
Cn_Coupling,C-N Coupling,97.72,1.5,R-NHR,Ar-Cl,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,MeTHF,
Cn_Coupling,C-N Coupling,80.92,0.76,Ar-Cl,Ar-NHR,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,MeTHF,
Cn_Coupling,C-N Coupling,51.46,0.16,Ar-NHR,Ar-Br,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,LiHMDS,MeTHF,
Cn_Coupling,C-N Coupling,4.68,-0.93,Ar-Br,R-NHR,XantPhos Pd(allyl)Cl,XantPhos,LiHMDS,tAmOH,
Cn_Coupling,C-N Coupling,0,-0.43,R-NHR,Ar-Br,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,MeTHF,
Cn_Coupling,C-N Coupling,51.02,0.25,Ar-Br,R2CH-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,LiHMDS,MeTHF,
Cn_Coupling,C-N Coupling,26.1,-0.62,Ar-Br,R2CH-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,LiHMDS,MeTHF,
Cn_Coupling,C-N Coupling,13.89,0.75,R-NHR,Ar-Cl,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,MeTHF,
Cn_Coupling,C-N Coupling,73.39,1.95,Ar-NHR,Ar-Cl,RuPhos Pd(crotyl)Cl,RuPhos,KOtBu,MeTHF,
Cn_Coupling,C-N Coupling,37.06,1.04,Ar-NR2,Ar-Br,RuPhos Pd(crotyl)Cl,RuPhos,K3PO4,tAmOH,
Cn_Coupling,C-N Coupling,69.97,2.83,Any-CONHR,Ar-Cl,tBuXPhos Pd G3,tBuXPhos,K3PO4,tAmOH,
Cn_Coupling,C-N Coupling,33.7,0.67,R-CONH2,Ar-Br,XantPhosPdCl2,XantPhos,K3PO4,tAmOH,
Condensation,,31.22,-0.05,Any-CONHR,R-NH2,,No Ligand,KHMDS,THF,PyClOP
Condensation,,41,0.64,Any-CONHR,R-NH2,,No Ligand,KOtPent,THF,pyBOP
Condensation,,46.96,1.06,Any-CONHR,R-NH2,,No Ligand,KOtPent,MeTHF,pyBOP
Cn_Coupling,C-N Coupling,0,-0.5,R-NHR,Ar-Br,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,Dioxane,
Suzuki_Miyaura,,0,-0.39,Ar-Cl,Alkenyl-B(OR)2,XPhos Pd(crotyl)Cl,XPhos,K3PO4,"Dioxane, water",
Co_Coupling,,5.05,-0.01,R2CH-OH,Ar-Br,XPhos Pd(crotyl)Cl,XPhos,KHMDS,tAmOH,
Co_Coupling,,1.79,-0.51,R2CH-OH,Ar-Br,CuI,No Ligand,KHMDS,DMF,
Cn_Coupling,C-N Coupling,14.22,-0.74,AromN-H,Ar-Cl,P(oTol)3 Pd(crotyl)Cl,P(oTol)3,KHMDS,Dioxane,
Wittig,,0,-0.4,rch2pph3x,r2co,,No Ligand,KHMDS,DCM,
C_H_Activation,C-H Activation,0,-0.47,Ar-H,Ar-Br,dtbpfPdCl2,dtbpf,Cs2CO3,NMP,KOPiv
Amide_Formation,,6.47,-0.94,R-CO2H,R-CO2H,,No Ligand,,iPrOH,"OxymaPure, CDI"
Amide_Formation,,10.11,-0.83,R-CO2H,R-CO2H,,No Ligand,,iPrOH,"HOSu, BOP-Cl"
Amide_Formation,,9.32,-0.85,R-CO2H,R-CO2H,,No Ligand,,iPrOH,"Imidazole, DIC"
Cn_Coupling,C-N Coupling,41.26,0.12,Ar-Br,R-NHR,tBuXPhos Pd G3,tBuXPhos,Na2CO3,"PhMe, water",
Cn_Coupling,C-N Coupling,8.72,-0.76,Ar-Br,R-NHR,dppfPdCl2,dppf,KOtBu,MeTHF,
Cn_Coupling,C-N Coupling,86.98,0.98,Ar-NH2,Ar-Br,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,tAmOH,
Cn_Coupling,C-N Coupling,58.25,1.13,Ar-Br,Ar-NH2,MorDalphos Pd G3,MorDalphos,LiHMDS,Dioxane,
C_H_Activation,C-H Activation,0,-1.01,Ar-H,R-CCH,(Ru(p-cymene)Cl2)2,No Ligand,,MeCN,KOAc
C_H_Activation,C-H Activation,18.66,-0.25,Ar-H,R-CCH,(Ru(p-cymene)Cl2)2,No Ligand,,"acetone, AcOH","AcOH, TFE"
Cn_Coupling,C-N Coupling,20.63,-0.56,Ar-Br,R-CONH2,rac-BINAP Pd G3,BINAP,NaOtBu,MeTHF,
Cn_Coupling,C-N Coupling,61.14,0.63,Ar-Br,R-NHR,AmPhos Pd(crotyl)Cl,AmPhos,KHMDS,Dioxane,
Snar,,0,-0.66,R2CH-OH,Any-CONHR,,No Ligand,DMAP,THF,PyOxim
Snar,,8.82,0.1,R2CH-OH,Any-CONHR,,No Ligand,"KOtBu, NaOtBu",anisole,BOP-Cl
Cn_Coupling,C-N Coupling,9.58,-0.38,Ar-Cl,R2CH-NH2,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,Dioxane,
Cn_Coupling,C-N Coupling,5.55,-0.55,Ar-Cl,R2CH-NH2,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,PhMe,water
Cn_Coupling,C-N Coupling,10.18,1.64,R2CH-NH2,Ar-Br,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,PhMe,water
Condensation,,22.91,-0.42,enolether,Any-OR,,No Ligand,NH3,MeCN,
Condensation,,47.42,0.56,R-Cl,R-NH2,,No Ligand,NMM,MeCN,
Condensation,,43.66,0.4,R-Cl,R-NH2,,No Ligand,lutidine,anisole,water
Condensation,,14.77,-0.8,R-Cl,R-NH2,,No Ligand,DIPEA,water,water
C_H_Activation,C-H Activation,0,-0.7,Ar-H,Ar-I,dtbpfPdCl2,dtbpf,Cs2CO3,DMAc,Sodium trifluoroacetate
Cn_Coupling,C-N Coupling,0.96,-0.56,AromN-H,Ar-Cl,rac-BINAP Pd G3,BINAP,K2CO3,Dioxane,
Cn_Coupling,C-N Coupling,3.75,-0.72,AromN-H,Ar-Cl,rac-BINAP Pd G3,BINAP,K2CO3,Dioxane,
Cn_Coupling,C-N Coupling,1.76,-0.16,Ar-Cl,AromN-H,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,Cs2CO3,PhMe,
Cn_Coupling,C-N Coupling,0,-1.9,Ar-Br,R2CH-NH2,CuO,No Ligand,K2CO3,DMI,
Cn_Coupling,C-N Coupling,65.89,0.29,Ar-Br,R2CH-NH2,Cu2O,No Ligand,DBU,NBP,water
Cn_Coupling,C-N Coupling,81.64,0.81,Ar-Br,R2CH-NH2,Cu2O,No Ligand,DBU,ethylene glycol,
Cn_Coupling,C-N Coupling,37.48,-0.65,Ar-Br,R2CH-NH2,Cu2O,No Ligand,K3PO4,"BuOH, NMI",
Cn_Coupling,C-N Coupling,77.77,0.69,Ar-Br,R2CH-NH2,Cu2O,BTMPO,K3PO4,"BuOH, DMI",
Cn_Coupling,C-N Coupling,75.71,1.27,R-Carbamate,Ar-I,Cu2O,trans-NN-Dimethylcyclohexane-12-diamine,DBU,MeTHF,
Cn_Coupling,C-N Coupling,32.48,-0.46,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,K3PO4,DMF,
Cn_Coupling,C-N Coupling,45.73,0.07,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,K3PO4,"THF, water",
Cn_Coupling,C-N Coupling,0,-1.76,R-Carbamate,Ar-I,CuBr,trans-NN-Dimethylcyclohexane-12-diamine,K2CO3,iPrOH,
Cn_Coupling,C-N Coupling,59.94,0.64,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,K2CO3,anisole,TBAB
Cn_Coupling,C-N Coupling,2.84,-1.65,R-Carbamate,Ar-I,CuI,BTMPO,K2CO3,iPrOAc,
Cn_Coupling,C-N Coupling,45.75,0.07,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,DBU,MeCN,
Cn_Coupling,C-N Coupling,25.49,-0.74,R-Carbamate,Ar-I,Cu2O,trans-NN-Dimethylcyclohexane-12-diamine,Na2CO3,MeTHF,
Cn_Coupling,C-N Coupling,65.85,0.88,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,DBU,MeCN,
Suzuki_Miyaura,,94.82,1.15,Ar-Br,Ar-B(OH)2,XPhos Pd(crotyl)Cl,XPhos,K2CO3,tAmOH,
Suzuki_Miyaura,,82.45,-1.5,Ar-Br,Ar-B(OH)2,XPhos Pd(crotyl)Cl,XPhos,K2CO3,"tAmOH, water",
Suzuki_Miyaura,,16.11,-1.32,Ar-Br,Ar-B(OH)2,XPhos Pd(crotyl)Cl,XPhos,Na2CO3,"tAmOH, water",
Suzuki_Miyaura,,92.55,0.51,Ar-Br,Ar-B(OH)2,XPhos Pd(crotyl)Cl,XPhos,Na2CO3,"tAmOH, water",
Cn_Coupling,C-N Coupling,4.77,0.3,Ar-Br,R2CH-NHR,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,tAmOH,
Cn_Coupling,C-N Coupling,72.63,-0.14,Ar-Cl,Ar-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,Cs2CO3,MeTHF,
Suzuki_Miyaura,,14.46,0.47,Ar-Br,Alkenyl-B(OR)2,XPhos Pd(crotyl)Cl,XPhos,Na2CO3,"tAmOH, water",
Condensation,,0.49,-1.28,thiourea,R-CHO,,No Ligand,DIPEA,water,water
Condensation,,2.71,-0.99,thiourea,R-CHO,,No Ligand,NMM,"anisole, MeTHF",water
Cn_Coupling,C-N Coupling,5.43,0.17,Ar-NH2,Ar-Cl,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,NaOtBu,Dioxane,
Co_Coupling,,47.32,4.22,Ar-Br,Ar-OH,[Pd(allyl)(Me4-tBu-XPhos)]OTf,Me4tBuXPhos,NaOtBu,PhMe,
Suzuki_Miyaura,,45.57,1,Alkenyl-B(OR)2,Ar-Br,XPhos Pd(crotyl)Cl,XPhos,Na2CO3,"tAmOH, water",
Suzuki_Miyaura,,54.44,0.22,Alkenyl-B(OR)2,Ar-Br,XPhos Pd(crotyl)Cl,XPhos,Na2CO3,"tAmOH, water",
Suzuki_Miyaura,,7.44,-0.75,Ar-I,Ar-B(OR)2,XPhos Pd(crotyl)Cl,XPhos,K2CO3,Dioxane,
Cn_Coupling,C-N Coupling,0.97,-0.58,Ar-I,Ar-NHR,RuPhos Pd G4,RuPhos,K2CO3,tAmOH,
Cn_Coupling,C-N Coupling,10.21,0.07,Ar-I,Ar-NHR,QPhos Pd(crotyl)Cl,QPhos,K3PO4,"DMAc, water",
Suzuki_Miyaura,,67.04,1.48,Ar-Br,Ar-BF3K,DPEPhos Pd(allyl)Cl,DPEPhos,K2CO3,"tAmOH, water",
Suzuki_Miyaura,,50.82,0.23,Ar-Br,Ar-B(OH)2,dtbpfPdCl2,dtbpf,K2CO3,"PhMe, water",
Amide_Formation,,45.78,1.76,R-CO2H,R-NH2,,No Ligand,DIPEA,THF,PyClOP
Cn_Coupling,C-N Coupling,8.7,-0.31,Ar-OSO2R,R-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,KHMDS,MeTHF,
Cn_Coupling,C-N Coupling,19.85,-0.15,R-NH2,Ar-OSO2R,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,KHMDS,MeTHF,
Cn_Coupling,C-N Coupling,0,-0.42,Ar-Br,R-NHR,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,tAmOH,
C_H_Borylation,,0.51,-0.35,Ar-H,Ar-H,[Ir(cod)Cl]2,Me4phen,,MeTHF,
Cn_Coupling,C-N Coupling,1.03,-0.78,AromN-H,Ar-Cl,dtbpfPdCl2,dtbpf,NaHCO3,tAmOH,water
Cn_Coupling,C-N Coupling,0,-0.33,Ar-Br,AromN-H,CuI,NN-Dibenzyloxamide,Cs2CO3,BuOH,
Cn_Coupling,C-N Coupling,2.47,-0.84,Ar-NH2,Ar-Br,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,PhMe,
Amide_Formation,,42.96,-0.76,R2CH-NHR,R-CO2H,,No Ligand,,TBME,"OxymaPure, DIC"
Amide_Formation,,86.78,0.81,R2CH-NHR,R-CO2H,,No Ligand,,"anisole, EtOAc","HOPO, DIC"
Amide_Formation,,66.84,0.1,R2CH-NHR,R-CO2H,,No Ligand,,"DMC, heptane","HOPO, DIC"
Amide_Formation,,90.01,1.41,R-NH2,R-NH2,,No Ligand,,MeCN,"OxymaPure, DIC"
Cn_Coupling,C-N Coupling,69.87,1.73,Ar-Br,R-CONH2,AlphosPd)2cod,AlPhos,K3PO4,"PhMe, water",
Hydration,,2.57,-0.33,R-CN,R-CN,,No Ligand,Na2CO3,"DMI, water",
Suzuki_Miyaura,,34.83,0.88,Ar-Cl,Ar-B(OR)2,dppfPdCl2,dppf,Na2CO3,"iPrOH, water",
Cn_Coupling,C-N Coupling,90.79,1.45,Ar-NH2,Ar-Cl,AlphosPd)2cod,AlPhos,K3PO4,"MeTHF, water",
Cn_Coupling,C-N Coupling,7.78,-0.05,Ar-Br,AromN-H,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,K2CO3,tAmOH,
Amide_Formation,,4.04,-1.35,Ar-NH2,R-CO2H,,No Ligand,NMM,THF,DIC
Amide_Formation,,1.91,-1.41,Ar-NH2,R-CO2H,,No Ligand,NMM,MeCN,CDI
Cn_Coupling,C-N Coupling,22.52,1.02,AromN-H,Ar-Br,CuI,MNBO,Cs2CO3,Dioxane,
Cn_Coupling,C-N Coupling,0,-0.44,Ar-Cl,R2CH-NHR,JackiePhos Pd G3,JackiePhos,K3PO4,"tAmOH, water",
Cn_Coupling,C-N Coupling,49.21,4.64,Ar-Cl,R2CH-NHR,AmPhos2PdCl2,AmPhos,Cs2CO3,MeCN,
Glycosidation,,6.7,-1.38,RCH2-OH,R-Ester,,No Ligand,,chlorobenzene,
Glycosidation,,53.67,0.76,RCH2-OH,R-Ester,,No Ligand,,anisole,
Cn_Coupling,C-N Coupling,35.82,0.28,AromN-H,Ar-Br,CuI,MNBO,Cs2CO3,Dioxane,
Cn_Coupling,C-N Coupling,56.96,0.5,Ar-Br,R2CH-NH2,rac-BINAP Pd G3,BINAP,K3PO4,"MeCN, water",
Suzuki_Miyaura,,0.46,-0.53,Ar-B(OH)2,R-CONHR,dtbpfPdCl2,dtbpf,"Cs2CO3, Na2CO3","EtOH, water",PyClOP
Cn_Coupling,C-N Coupling,17.94,-1.29,Ar-Br,R2CH-NH2,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,NaOtBu,tAmOH,
Hydrolysis,,0,-0.72,Ar-Br,Ar-Br,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,Cs2CO3,NMP,B(OH)3
Hydrolysis,,0,-0.72,Ar-Br,Ar-Br,N-XantPhos Pd G3,N-XantPhos,KOH,"MeCN, water",B(OH)3
Condensation,,0,-0.26,R-Carbamate,R2CH-NH2,,No Ligand,NaOtBu,Dioxane,MsCl
Amide_Formation,,0,-0.7,R-CO2H,R2CH-NH2,,No Ligand,NMM,tAmOH,TCFH
Amide_Formation,,0,-0.7,R-CO2H,R2CH-NH2,,No Ligand,K3PO4,water,DIC
Suzuki_Miyaura,,30.33,-0.62,Alkenyl-B(OR)2,Ar-Br,(R)-BINAP Pd(allyl)Cl,BINAP,K3PO4,"Dioxane, water",
Stannylation,,4.84,-0.25,Ar-Br,R-Sn,XPhos Pd(crotyl)Cl,XPhos,,EtOAc,
Stannylation,,0,-0.54,Ar-Br,R-Sn,XPhos Pd(crotyl)Cl,XPhos,,EtOAc,
Cn_Coupling,C-N Coupling,12.22,-0.28,Ar-Cl,R2CH-NH2,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,K3PO4,"MeCN, water",
Cn_Coupling,C-N Coupling,22.43,0.24,Ar-Cl,R2CH-NH2,,No Ligand,Li2CO3,DMSO,
Cn_Coupling,C-N Coupling,100,3.72,Ar-Br,R-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,Cs2CO3,tAmOH,
Cn_Coupling,C-N Coupling,0,-0.21,R-NH2,Ar-Br,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,KOH,"tAmOH, water",
Cn_Coupling,C-N Coupling,7.32,-1,R2CH-NH2,Ar-Br,rac-BINAP Pd G3,BINAP,K3PO4,"MeCN, water",
Cn_Coupling,C-N Coupling,75.74,1.05,R2CH-NH2,Ar-Br,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,NaOtBu,tAmOH,
Cn_Coupling,C-N Coupling,0,-1.22,R2CH-NH2,Ar-Br,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,NaOtBu,tAmOH,
Co_Coupling,,9.53,0.08,Ar-OH,Ar-Br,CuI,MNBO,Cs2CO3,MeCN,
Amide_Formation,,25.66,-0.28,R-NHR,R-CO2H,,No Ligand,DIPEA,THF,PyClOP
Cn_Coupling,C-N Coupling,0,-0.5,AromN-H,Ar-Br,,No Ligand,K2CO3,tAmOH,
Condensation,,0,-0.74,Ar-NH2,R-SO2Cl,,No Ligand,NMI,MeCN,
Condensation,,0,-0.74,Ar-NH2,R-SO2Cl,,No Ligand,Dabco,PhMe,
Condensation,,100,3.24,Ar-NH2,R-SO2Cl,,No Ligand,DIPEA,MeCN,
Co_Coupling,,0,-0.3,Ar-Br,R2CH-OH,BippyPhos Pd(allyl)OTf,BippyPhos,LiHMDS,PhMe,
Suzuki_Miyaura,,45.51,-0.72,Ar-Br,RCH2-B(OH)2,RuPhos Pd(crotyl)Cl,RuPhos,Ag2O,Dioxane,
Suzuki_Miyaura,,2.17,-0.77,Ar-B(OH)2,Ar-Br,XPhos Pd(crotyl)Cl,XPhos,K2CO3,tAmOH,
Suzuki_Miyaura,,6.78,-0.1,Ar-B(OH)2,Ar-Br,dppdtbpf)PdCl2,dppdtbpf,Cs2CO3,anisole,
Amide_Formation,,90.83,3.74,R-CO2H,Ar-NH2,,No Ligand,NMI,DMI,TCFH
Amide_Formation,,37.75,1.14,R-CO2H,Ar-NH2,,No Ligand,lutidine,MeCN,PivCl
Amide_Formation,,0,-0.7,R-CO2H,Ar-NH2,,No Ligand,,anisole,IBCF
Amide_Formation,,6.41,-0.39,R-CO2H,Ar-NH2,,No Ligand,"NEt3, NMM",THF,PivCl
Snar,,43.77,1.46,Ar-F,AromN-H,,No Ligand,K3PO4,"DMI, water",
Snar,,22.93,0.15,Ar-F,AromN-H,,No Ligand,CsF,acetone,
Arylation_Acidic_C_H,,0,-0.46,Ar-Br,R-H-acidic,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,DMSO,
Arylation_Acidic_C_H,,0,-0.46,Ar-Br,R-H-acidic,SPhos Pd(crotyl)Cl,SPhos,TMG,DMI,
Arylation_Acidic_C_H,,0,-0.46,Ar-Br,R-H-acidic,SPhos Pd(crotyl)Cl,SPhos,DIPEA,DMAc,
Arylation_Acidic_C_H,,27.55,0.6,Ar-Br,R-H-acidic,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,DMSO,
Arylation_Acidic_C_H,,0,-0.6,Ar-Br,R-H-acidic,XPhos Pd G2,XPhos,KHMDS,TBME,
Co_Coupling,,4.18,0.3,Ar-OH,Ar-Br,CuO,Etyhl cyclohexanone-2-carboxylate,DBU,DMSO,
Co_Coupling,,16.33,-0.33,Ar-OH,Ar-I,CuI,DL-Proline,Cs2CO3,Dioxane,
Co_Coupling,,19.64,-0.17,Ar-OH,Ar-I,CuI,NN-Dibenzyloxamide,K2CO3,Dioxane,
Co_Coupling,,0.85,-1.1,Ar-OH,Ar-I,CuO,trans-Hyp,DBU,DMSO,
Co_Coupling,,32.38,0.46,Ar-OH,Ar-I,Cu2O,NN-Dibenzyloxamide,K2CO3,anisole,
Co_Coupling,,12.65,-0.51,Ar-OH,Ar-I,Cu2O,trans-Hyp,K3PO4,"NMI, water",
Suzuki_Miyaura,,25.49,0.05,Ar-Cl,Ar-B(OR)2,P(Cy)3 Pd(crotyl)Cl,P(Cy)3,K3PO4,"MeCN, water",
Suzuki_Miyaura,,6.67,-0.85,Ar-Cl,Ar-B(OR)2,meCgPPh Pd G3,meCgPPh,Na2CO3,"anisole, water",Potassium 2-ethylhexanoate
C_H_Activation,C-H Activation,0,-0.82,Ar-H,Ar-Cl,PEPPSI-IPENT,IPENT,"K2CO3, KOPiv",DMI,
C_H_Activation,C-H Activation,12.4,0.2,Ar-H,Ar-Cl,XantPhos Pd(allyl)Cl,XantPhos,K2CO3,"BuOH, water","Potassium 2-ethylhexanoate, TBAC"
C_H_Activation,C-H Activation,1.58,-0.69,Ar-H,Ar-Cl,XantPhosPdCl2,XantPhos,K2HPO4,"water, xylenes",Potassium 2-ethylhexanoate
Heck,,1.04,-0.68,Ar-Cl,Any-Alkene,AmPhos2PdCl2,AmPhos,DIPEA,Propionitrile,
Heck,,0,-0.76,Ar-Cl,Any-Alkene,AdBrettPhosPd G6 Br,Ad-BrettPhos,K2CO3,tAmOH,
Heck,,0,-0.76,Ar-Cl,Any-Alkene,tBuXPhos Pd G3,tBuXPhos,DIPEA,ethylene glycol,TBAC
Heck,,0,-0.76,Ar-Cl,Any-Alkene,Me4tBuXPhos Pd G3,Me4tBuXPhos,N-Methyldicyclohexylamin,"BuOH, water",Potassium 2-ethylhexanoate
Dimerization_Reductive,,0,-0.92,Ar-OSO2R,Ar-OSO2R,AmPhos Pd(crotyl)Cl,AmPhos,"Cs2CO3, Potassium 2-ethylhexanoate","EtOH, water",
Dimerization_Reductive,,0,-0.92,Ar-OSO2R,Ar-OSO2R,XPhos Pd(crotyl)Cl,XPhos,KOAc,DMSO,
Suzuki_Miyaura,,93.96,0.57,Ar-Cl,Ar-B(OH)2,CataCXiumA Pd(allyl)Cl,CataCXiumA,K3PO4,"Dioxane, water",
Arylation_Acidic_C_H,,0,-0.5,Ar-Br,R-H-acidic,QPhos Pd(crotyl)Cl,QPhos,K3PO4,"tAmOH, water",
Arylation_Acidic_C_H,,0,-0.5,Ar-Br,R-H-acidic,BippyPhos Pd(allyl)OTf,BippyPhos,KOtBu,Dioxane,
Arylation_Acidic_C_H,,34.45,1.84,Ar-Br,R-H-acidic,BippyPhos Pd(allyl)OTf,BippyPhos,KOtBu,Dioxane,
Cn_Coupling,C-N Coupling,74.72,1.41,Any-CONHR,Ar-Cl,tBuXPhos Pd G3,tBuXPhos,K3PO4,"tAmOH, water",
Cn_Coupling,C-N Coupling,45.92,0.82,Ar-Cl,Ar-NH2,cBridP Pd(allyl)Cl,cBridP,KOH,"MeTHF, water",
Cn_Coupling,C-N Coupling,28.23,0.11,Ar-Cl,Ar-NH2,cBridP Pd(allyl)Cl,cBridP,DBU,iPrOAc,
C_H_Activation,C-H Activation,27.59,1.09,Ar-H,Ar-Br,RuPhos Pd(crotyl)Cl,RuPhos,NaHCO3,"DMAc, water",Potassium 2-ethylhexanoate
C_H_Activation,C-H Activation,15.57,0.12,Ar-H,Ar-Br,cBridP Pd(allyl)Cl,cBridP,"NaHCO3, Potassium 2-ethylhexanoate","DMAc, water",TBAB
Dehydration,,0,-0.53,R-CONHR,R-CONHR,,No Ligand,DIPEA,THF,Diethylchlorophosphate
Dehydration,,10.35,0.61,R-CONHR,R-CONHR,,No Ligand,DBU,THF,BOP-Cl
Cn_Coupling,C-N Coupling,0,-0.78,Ar-Cl,R2CH-NH2,rac-BINAP Pd G3,BINAP,NaOtBu,MeTHF,
Cn_Coupling,C-N Coupling,0,-0.78,Ar-Cl,R2CH-NH2,MorDalphos Pd G3,MorDalphos,K2CO3,anisole,
Cn_Coupling,C-N Coupling,4.28,-0.59,Ar-Cl,R2CH-NH2,tBuBrettPhos Pd G3,tBuBrettPhos,K3PO4,"MeCN, water",
Suzuki_Miyaura,,15.6,1.21,Ar-Br,Ar-Br,dppfPdCl2,dppf,"K3PO4, KOAc","tAmOH, water",TBAB
Suzuki_Miyaura,,9.87,0.3,Ar-Br,Ar-Br,dppfPdCl2,dppf,"K3PO4, KOAc","tAmOH, water",TBAB
Snar,,0,-0.44,R2CH-OH,Ar-F,,No Ligand,K2CO3,TPGS-750M,
Suzuki_Miyaura,,0,-0.2,Ar-Br,Ar-Br,dtbpfPdCl2,dtbpf,K3PO4,"TPGS-750M, water",
Negishi_In_Situ,,2.64,0.41,R-I,Ar-Br,"Cu2O, Ni(OAc)2",Me4phen,,"Coolade, PhMe",
Miyaura_Borylation,,41.74,2.21,Ar-Br,Ar-Br,dppfPdCl2,dppf,Potassium 2-ethylhexanoate,"tAmOH, water",
