reaction_id,yield,z_score,reactant_1,reactant_2,reactant_3,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
Minisci,74,0.0,R2CH-CO2H,Ar-H,,,,,,(NH4)2S2O8,,,,,DMSO/H2O,False,O=C(O)C1CCCCC1.c1ccc2cnncc2c1>>c1ccc2c(C3CCCCC3)nnc(C3CCCCC3)c2c1,,"Organic Letters (2018), 20(21), 6863-6867"
Minisci,82,0.14,R2CH-CO2H,Ar-Alkyl,,,,,,(NH4)2S2O8,,,,,DMSO/H2O,False,O=C(O)C1CCCCC1.Cc1ccc2ccc3ccc(C)nc3c2n1>>Cc1cc(C2CCCCC2)c2ccc3c(C4CCCCC4)cc(C)nc3c2n1,Pyridine / Quinoline,"Organic Letters (2018), 20(21), 6863-6867"
Minisci,71,-1.25,Ar-Alkyl,R2CH-CO2H,,,,,,(NH4)2S2O8,,,,,DMSO/H2O,False,Cc1ccc2ccccc2n1.O=C(O)C1CCCC1>>Cc1cc(C2CCCC2)c2ccccc2n1,Pyridine / Quinoline,"Organic Letters (2018), 20(21), 6863-6867"
Minisci,71,-1.25,Ar-Alkyl,R2CH-CO2H,,,,,,(NH4)2S2O8,,,,,DMSO/H2O,False,Cc1ccc2ccccc2n1.CCCC(CCC)C(=O)O>>CCCC(CCC)c1cc(C)nc2ccccc12,Pyridine / Quinoline,"Organic Letters (2018), 20(21), 6863-6867"
Minisci,91,0.0,Ar-Alkyl,R2CH-CO2H,,,,,,(NH4)2S2O8,,,,,DMSO/H2O,False,Cc1ccc2ccccc2n1.CC(=O)N[C@@H](C)C(=O)O>>CC(=O)NC(C)c1cc(C)nc2ccccc12,Pyridine / Quinoline / CONHR / N(R)COR,"Organic Letters (2018), 20(21), 6863-6867"
Minisci,74,0.0,Ar-Alkyl,R2CH-CO2H,,,,,,(NH4)2S2O8,,,,,DMSO/H2O,False,Cc1ccc2ccccc2n1.O=C(O)C1CCC(F)(F)CC1>>Cc1cc(C2CCC(F)(F)CC2)c2ccccc2n1,Pyridine / Quinoline / F,"Organic Letters (2018), 20(21), 6863-6867"
Minisci,86,0.0,RCH2-CO2H,Ar-Alkyl,,,,,,(NH4)2S2O8,,,,,DMSO/H2O,False,COc1ccc(CC(=O)O)cc1OC.Cc1cc2ccccc2cn1>>COc1ccc(Cc2nc(C)cc3ccccc23)cc1OC,Isoquinoline / Pyridine / OR,"Organic Letters (2018), 20(21), 6863-6867"
Minisci,72,0.0,Acyl-CO2H,Ar-Alkyl,,FeSO4-7H2O,,NaOH,,,,,,64-18-6/ammonium thiosulfate,DMSO/DCM/H2O,False,CC(=O)C(=O)O.Cc1cnc2ccccc2n1>>CC(=O)c1nc2ccccc2nc1C,Pyrimidine / COR,"Tetrahedron (2019), 75(10), 1425-1430"
Minisci,93,0.0,Ar-H,Acyl-CO2H,,FeSO4-7H2O,,NaOH,,,,,,64-18-6/ammonium thiosulfate,DMSO/DCM/H2O,False,c1cnccn1.CC(C)CC(=O)C(=O)O>>CC(C)CC(=O)c1cnccn1,Pyrimidine / COR,"Tetrahedron (2019), 75(10), 1425-1430"
Minisci,74,-0.71,Ar-H,Acyl-CO2H,,FeSO4-7H2O,,NaOH,,,,,,64-18-6/ammonium thiosulfate,DMSO/DCM/H2O,False,c1cnccn1.O=C(O)C(=O)c1ccccc1>>O=C(c1ccccc1)c1cnccn1,Pyrimidine / COR,"Tetrahedron (2019), 75(10), 1425-1430"
Minisci,92,0.0,Ar-H,Acyl-CO2H,,FeSO4-7H2O,,NaOH,,,,,,64-18-6/ammonium thiosulfate,DMSO/DCM/H2O,False,c1cnccn1.O=C(O)C(=O)c1cccs1>>O=C(c1cnccn1)c1cccs1,Pyrimidine / Thiophene / COR,"Tetrahedron (2019), 75(10), 1425-1430"
Minisci,70,0.0,Acyl-CO2H,Ar-Br,,,,,,,,AgBF4,,"(4,4'-Di-t-butyl-2,2'-bipyridine)bis[3,5-difluoro-2-[5-trifluoromethyl-2-pyridinyl-kN)phenyl-kC]iridium(III) hexafluorophosphate",MeCN/H2O,False,O=C(O)C(=O)c1ccccc1.Brc1cncc2ccccc12>>O=C(c1ccccc1)c1ncc(Br)c2ccccc12,Isoquinoline / Br / COR,"Journal of Organic Chemistry (2019), 84(9), 5067-5077"
