reaction_id,detected_reaction_type,reaction_smiles,yield,z_score,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,Reaction_Key
suzuki_miyaura_sample500,buchwald_hartwig_co,OB(O)c1ccc(O)cc1.CCOC(OCC)c1ccc(/C=C/c2c(Br)c(/C=C/c3ccc(C(OCC)OCC)cc3)c(Br)c(/C=C/c3ccc(C(OCC)OCC)cc3)c2Br)cc1.CC(C)[Si](Cl)(C(C)C)C(C)C>>CC(C)[Si](Oc1ccc(-c2c(/C=C/c3ccc(C=O)cc3)c(-c3ccc(O[Si](C(C)C)(C(C)C)C(C)C)cc3)c(/C=C/c3ccc(C=O)cc3)c(-c3ccc(O[Si](C(C)C)(C(C)C)C(C)C)cc3)c2/C=C/c2ccc(C=O)cc2)cc1)(C(C)C)C(C)C,73,0.0,Ar-B(OH)2|Ar-OH,Ar-Br|RCH2-OR|Ar-Alkyl,Alkyl-Si*,Alkyl-Si*|Ar-Ar|Ar-CHO,dppf-PdCl2,,K2CO3,HCl,,,Im,,,EtOH/PhMe/H2O/CHCl3/DMF,Si*,"Chemistry - A European Journal (2017), 23(5), 1060-1068",Ar-B(OH)2|Ar-Br -> Ar-CHO || Alkyl-Si*|Ar-Alkenyl
suzuki_miyaura_sample500,,COC(OC)c1ccccc1Br.C=CC(CCCC)B1OC(C)(C)C(C)(C)O1>>C=CC(CCCC)c1ccccc1C=O,73,0.71,Ar-Br|R2CH-OR,Alkyl-Bpin,,Ar-CHO,[PdCl(C3H5)]2,RuPhos,K3PO4,HCl,,,,,,THF/H2O,,"Organic Letters (2017), 19(11), 2929-2932",Alkyl-Bpin|Ar-Br -> Ar-CHO || Ar-Alkyl
suzuki_miyaura_sample500,,COC(OC)c1ccccc1Br.C=CC(C)(C)B1OC(C)(C)C(C)(C)O1>>C=CC(C)(C)c1ccccc1C=O,71,-0.71,Ar-Br|R2CH-OR,Alkyl-Bpin,,Ar-CHO,[PdCl(C3H5)]2,RuPhos,K3PO4,HCl,,,,,,THF/H2O,,"Organic Letters (2017), 19(11), 2929-2932",Alkyl-Bpin|Ar-Br -> Ar-CHO || Ar-Alkyl
suzuki_miyaura_sample500,,CC(C)(C)OC(=O)[N-]c1c[n+](-c2ccc(I)cc2)no1.CCOC(/C=C/B1OC(C)(C)C(C)(C)O1)OCC>>CC(C)(C)OC(=O)[N-]c1c[n+](-c2ccc(/C=C/C=O)cc2)no1,96,0.0,Ar-I,Alkenyl-Bpin|RCH2-OR,,Alkenyl-CHO|Ar-Alkenyl,Pd(OAc)2,DPPE,K2CO3,HCl,,,,,,MeCN/H2O,AromN,"Chemical Communications (Cambridge, United Kingdom) (2020), 56(52), 7183-7186",Alkenyl-Bpin|Ar-I -> Alkenyl-CHO || Ar-AromN
suzuki_miyaura_sample500,buchwald_hartwig_cn,COc1ccc(B(O)O)cc1OC.COC(OC)c1ccc2c(Nc3cccc(Br)c3Cl)nsc2c1>>COc1ccc(-c2cccc(Nc3nsc4cc(C=O)ccc34)c2Cl)cc1OC,100,0.0,Ar-B(OH)2,Ar-Br|R2CH-OR|Ar-Alkyl,,Ar-Ar|Ar-CHO,dppf-PdCl2,,Na2CO3,HCl,,,,,,Dioxane/H2O/Me2CO,NHR / Cl / OR,"European Journal of Medicinal Chemistry (2021), 217113377",Ar-B(OH)2|Ar-Br -> Ar-CHO || Ar-Cl|Ar-NHR|Ar-OR
suzuki_miyaura_sample500,buchwald_hartwig_cn,Brc1ccc2nccnc2c1.COC(OC)c1ccc2c(Nc3cccc(B4OC(C)(C)C(C)(C)O4)c3Cl)nsc2c1>>O=Cc1ccc2c(Nc3cccc(-c4ccc5nccnc5c4)c3Cl)nsc2c1,81,0.0,Ar-Br,Ar-Bpin|R2CH-OR|Ar-Alkyl,,Ar-Ar|Ar-CHO,dppf-PdCl2,,Na2CO3,HCl,,,,,,Dioxane/H2O/Me2CO,Pyrimidine / NHR / Cl,"European Journal of Medicinal Chemistry (2021), 217113377",Ar-Bpin|Ar-Br -> Ar-CHO || Ar-Cl|Ar-NHR|Pyrimidine
suzuki_miyaura_sample500,buchwald_hartwig_cn,COC(OC)c1ccc2c(Nc3cccc(Br)c3Cl)nsc2c1.COC(=O)CCCCOc1ccc(B2OC(C)(C)C(C)(C)O2)cc1>>COC(=O)CCCCOc1ccc(-c2cccc(Nc3nsc4cc(C=O)ccc34)c2Cl)cc1,72,0.0,Ar-Br|R2CH-OR|Ar-Alkyl,Ar-Bpin,,Ar-Ar|Ar-CHO,dppf-PdCl2,,Na2CO3,HCl,,,,,,Dioxane/H2O/Me2CO,NHR / CO2R / Cl / OR,"European Journal of Medicinal Chemistry (2021), 217113377",Ar-Bpin|Ar-Br -> Ar-CHO || Ar-Cl|Ar-NHR|Ar-OR|RCH2-CO2R|R_acidic-H
suzuki_miyaura_sample500,,C[C@H]1[C@@H](CO)NC(=O)[C@@H]1Cl.OB(O)c1cccnc1>>C[C@@H]1[C@@H]2OC[C@H]1N(c1cccnc1)C2=O,79,0.0,RCH2-OH|R2CH-CONHR|Alkyl-N(R)COR|R2CH-Cl,Ar-B(OH)2,,Ar-N(R)COR|RCH2-OR,Cu(OAc)2,,KHMDS,,,,,,,H2O/DMF/THF,Pyridine,"Organic Letters (2016), 18(21), 5748-5751",Ar-B(OH)2|RCH2-OH -> Ar-N(R)COR || Pyridine|R_acidic-H
suzuki_miyaura_sample500,buchwald_hartwig_co,CI.O=Cc1cccc(O)c1Br.OB(O)c1ccccc1>>COc1cccc(C(=O)O)c1-c1ccccc1,70,0.0,CH3-I,Ar-CHO|Ar-Br|Ar-OH,Ar-B(OH)2,Ar-Ar|Ar-CO2H|Ar-OR,Pd(OAc)2,DPPF,K2CO3/K3PO4/KOH,,,,,,Hydrogen peroxide,DMF/H2O/DME/MeOH,,"Journal of Organic Chemistry (2018), 83(10), 5791-5800",Ar-B(OH)2|Ar-CHO|CH3-I -> Ar-CO2H || None
suzuki_miyaura_sample500,buchwald_hartwig_co,CCBr.O=Cc1cccc(O)c1Br.OB(O)c1ccccc1>>CCOc1cccc(C(=O)O)c1-c1ccccc1,76,0.0,RCH2-Br,Ar-CHO|Ar-Br|Ar-OH,Ar-B(OH)2,Ar-Ar|Ar-CO2H|Ar-OR,Pd(OAc)2,DPPF,K2CO3/K3PO4/KOH,,,,,,Hydrogen peroxide,DMF/H2O/DME/MeOH,,"Journal of Organic Chemistry (2018), 83(10), 5791-5800",Ar-B(OH)2|Ar-CHO|RCH2-Br -> Ar-CO2H || None
