source_reaction_type,reactive_site_1_normalized_label,reactive_site_2_normalized_label,reactive_site_1_display_label,reactive_site_2_display_label,yield_pct,z_score,catalyst,ligand,base,primary_solvent,secondary_solvent,tertiary_solvent,additive,coupling_reagent,procedure_text,reactive_site_1_source_label,reactive_site_1_signature,reactive_site_1_center_class,reactive_site_1_attachment_class,reactive_site_1_alpha_branched,reactive_site_1_qualifier_scope,reactive_site_1_mapping_status,reactive_site_2_source_label,reactive_site_2_signature,reactive_site_2_center_class,reactive_site_2_attachment_class,reactive_site_2_alpha_branched,reactive_site_2_qualifier_scope,reactive_site_2_mapping_status
Heck,Ar-Cl,H2C=CH2,Ar–Cl,alkene,24.42,1.09,Me4tBuXPhos Pd G3,Me4tBuXPhos,DIPEA,tAmOH,,,TBAC,,20 h at 100 °C,ArCl,LG|Ar|Cl,,,,,canonical,alkene,PI|Alkene,,,,,canonical
Heck,Ar-Cl,H2C=CH2,Ar–Cl,alkene,32.44,1.7,AlphosPd)2cod,AlPhos,DIPEA,tAmOH,,,,,"5 h at 100 °C, then 14 h at 120 °C",ArCl,LG|Ar|Cl,,,,,canonical,alkene,PI|Alkene,,,,,canonical
Heck,Ar-Cl,H2C=CH2,Ar–Cl,alkene,0.35,-0.73,Me3(OMe)tBuXPhos Pd G3,Me3(OMe)-tBuXPhos,TMG,tAmOH,,,,,"5.5 h at 100 °C, then 18.5 h at 120 °C",ArCl,LG|Ar|Cl,,,,,canonical,alkene,PI|Alkene,,,,,canonical
Heck,Ar-Cl,H2C=CH2,Ar–Cl,alkene,2.02,-0.61,tBuXPhos Pd G3,tBuXPhos,N-Methyldicyclohexylamin,tAmOH,water,,Potassium 2-ethylhexanoate,,21 h at 120 °C,ArCl,LG|Ar|Cl,,,,,canonical,alkene,PI|Alkene,,,,,canonical
Suzuki-Miyaura,Ar-Cl,Ar-B(OH)2,Ar–Cl,Ar–B(OH)₂,89.14,0.38,PPh3)2PdCl2,PPh3,Na2CO3,MeTHF,water,,,,"4 h at 60 °C, then 16 h at 80 °C",ArCl,LG|Ar|Cl,,,,,canonical,ArB(OH)2,TM|Ar|B(OH)2,,,,,canonical
"Arylation, acidic C-H",Ar-Br,Alkyl-H acidic,Ar–Br,Alkyl-H acidic,16.8,0.64,XantPhosPdCl2,XantPhos,Cs2CO3,tAmOH,,,,,"4.5 h at 80 °C, then 18 h at 110 °C",ArBr,LG|Ar|Br,,,,,canonical,Alkyl-H acidic,,,,,,unresolved
"Arylation, acidic C-H",Ar-Br,Alkyl-H acidic,Ar–Br,Alkyl-H acidic,0,-0.5,Me4tBuXPhos Pd G3,Me4tBuXPhos,DBU,Dioxane,,,,,,ArBr,LG|Ar|Br,,,,,canonical,Alkyl-H acidic,,,,,,unresolved
"Arylation, acidic C-H",Ar-Br,Alkyl-H acidic,Ar–Br,Alkyl-H acidic,0,-0.5,Me4tBuXPhos Pd G3,Me4tBuXPhos,DBU,Dioxane,,,,,,ArBr,LG|Ar|Br,,,,,canonical,Alkyl-H acidic,,,,,,unresolved
Buchwald-Hartwig,Lactam,Ar-Cl,Lactam,Ar–Cl,29.5,0.01,QPhos Pd(crotyl)Cl,QPhos,K3PO4,MeTHF,water,,,,"4 h at 60 °C, then 18 h at 80 °C",Lactam,,,,,,unresolved,ArCl,LG|Ar|Cl,,,,,canonical
Buchwald-Hartwig,Ar-Cl,Ar-NH2,Ar–Cl,Ar–NH₂,1.4,-0.96,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,K3PO4,PhMe,water,,,,"4 h at 60 °C, then 1.5 h at 80 °C",ArCl,LG|Ar|Cl,,,,,canonical,ArNH2,XH|N|H2|Ar,primary,,,,canonical
Buchwald-Hartwig,Ar-Cl,Ar-NH2,Ar–Cl,Ar–NH₂,66.59,1.65,AdBrettPhosPd G6 Br,Ad-BrettPhos,NaOtBu,MeTHF,,,,,1 h at 40 °C,ArCl,LG|Ar|Cl,,,,,canonical,ArNH2,XH|N|H2|Ar,primary,,,,canonical
CH-Activation,ArH,Ar-Br,ArH,Ar–Br,0,-1.13,XantPhos Pd(allyl)Cl,XantPhos,NaHCO3,xylenes,,,TBAC,,,ArH,,,,,,unresolved,ArBr,LG|Ar|Br,,,,,canonical
CH-Activation,ArH,Ar-Br,ArH,Ar–Br,12.45,-0.13,meCgPPh Pd G3,meCgPPh,"KOPiv, NaHCO3",DMAc,,,TBAC,,6 h at 140 °C,ArH,,,,,,unresolved,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,Ar-Cl,R-NH2,Ar–Cl,R–NH₂ (α-C branched),19.54,0.09,RuPhos Pd(crotyl)Cl,RuPhos,LiHMDS,MeTHF,,,,,"2 h at 40 °C, then 2 h at 80 °C",ArCl,LG|Ar|Cl,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Buchwald-Hartwig,Ar-Cl,R-NH2,Ar–Cl,R–NH₂ (α-C branched),7.22,-0.46,SPhos Pd(tBuInd)Cl,SPhos,Na2CO3,MeCN,water,,,,"8 h at 40 °C, then 15 h at 80 °C",ArCl,LG|Ar|Cl,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Buchwald-Hartwig,Ar-Cl,R-NH2,Ar–Cl,R–NH₂ (α-C branched),24.25,0.3,RuPhos Pd G3,RuPhos,Cs2CO3,MeTHF,,,,,6 h at 80 °C,ArCl,LG|Ar|Cl,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
SNAr,R-OH,Ar-F,R–OH (α-C branched),Ar–F,26.05,0.53,,No Ligand,KOtBu,Dioxane,,,,,2 h at 40 °C,Alkyl-OH a-branch,XH|O|H1|Alkyl,,,true,attached_alkyl,qualified,ArF,LG|Ar|F,,,,,canonical
"Negishi, in-situ",R-I,Ar-Br,R–I,Ar–Br,0,-0.54,"Cu2O, Ni(OAc)2",Me4phen,,MeTHF,TPGS-750M,,,,,Alkyl-I,LG|Alkyl|I,,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
"Negishi, in-situ",R-I,Ar-Br,R–I,Ar–Br,0,-0.28,VPhos Pd G3,VPhos,,,,,"TMEDA, TPGS-750M",,,Alkyl-I,LG|Alkyl|I,,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
"Negishi, in-situ",R-I,Ar-Br,R–I,Ar–Br,0,-0.13,VPhos Pd G3,VPhos,,,,,"TMEDA, TPGS-750M",,,Alkyl-I,LG|Alkyl|I,,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
Condensation,R-C(O)OR,R-NH2,R–C(O)OR,R–NH₂,83.48,1.63,,No Ligand,NaOtBu,MeOH,tAmOH,,,,22 h at 60 °C,RCO2R,EC|Acyl|Alkyl|OR|ester,,,,,canonical,RNH2,XH|N|H2|Alkyl,primary,,,,canonical
Condensation,R-C(O)OR,R-NH2,R–C(O)OR,R–NH₂,17.08,-0.72,,No Ligand,Cs2CO3,MeOH,nBuOAc,,,,"4 h at 60 °C, then 2 h at 80 °C",RCO2R,EC|Acyl|Alkyl|OR|ester,,,,,canonical,RNH2,XH|N|H2|Alkyl,primary,,,,canonical
Condensation,R-C(O)OR,R-NH2,R–C(O)OR,R–NH₂,0.8,-1.3,,No Ligand,K2CO3,anisole,tAmOH,,,,21.5 h at 60 °C,RCO2R,EC|Acyl|Alkyl|OR|ester,,,,,canonical,RNH2,XH|N|H2|Alkyl,primary,,,,canonical
Amide coupling,RCO2H or M,Ar-NH2,RCO2H or M,Ar–NH₂,4.77,-0.49,,No Ligand,DIPEA,MeCN,,,,pyBOP,22 h at 40 °C,RCO2H or M,,,,,,unresolved,ArNH2,XH|N|H2|Ar,primary,,,,canonical
"Arylation, acidic C-H",Ar-Br,Alkyl-H acidic,Ar–Br,Alkyl-H acidic,42.12,1.51,XantPhosPdCl2,XantPhos,NaOtBu,Dioxane,,,,,3 h at 60 °C,ArBr,LG|Ar|Br,,,,,canonical,Alkyl-H acidic,,,,,,unresolved
"Arylation, acidic C-H",Ar-Br,Alkyl-H acidic,Ar–Br,Alkyl-H acidic,0,-0.93,dppfPdCl2,dppf,NaOtBu,DMI,,,,,,ArBr,LG|Ar|Br,,,,,canonical,Alkyl-H acidic,,,,,,unresolved
"Arylation, acidic C-H",Ar-Br,Alkyl-H acidic,Ar–Br,Alkyl-H acidic,23.01,0.4,RockPhos Pd G3,RockPhos,NaH,anisole,,,,,5 h at 60 °C,ArBr,LG|Ar|Br,,,,,canonical,Alkyl-H acidic,,,,,,unresolved
Suzuki-Miyaura,Ar-B(OR)2,Ar-Br,Ar–B(OR)₂,Ar–Br,46.44,1.28,SPhos Pd(crotyl)Cl,SPhos,K3PO4,anisole,water,,TBAB,,4 h at 60 °C,ArB(OR)2,TM|Ar|B(OR)2,,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
"Negishi, in-situ",Ar-Br,R-Br,Ar–Br,R–Br,0,-1.1,RuPhos Pd(crotyl)Cl,RuPhos,,MeCN,water,,"Potassium 2-ethylhexanoate, TMEDA",,,ArBr,LG|Ar|Br,,,,,canonical,Alkyl-Br,LG|Alkyl|Br,,,,,canonical
"Negishi, in-situ",Ar-Br,R-Br,Ar–Br,R–Br,20.68,0.16,RuPhos Pd(crotyl)Cl,RuPhos,,MeCN,water,,"Potassium 2-ethylhexanoate, TMEDA",,24 h at 45 °C,ArBr,LG|Ar|Br,,,,,canonical,Alkyl-Br,LG|Alkyl|Br,,,,,canonical
"Negishi, in-situ",Ar-Br,R-Br,Ar–Br,R–Br,22.02,0.24,RuPhos Pd(crotyl)Cl,RuPhos,,iPrOAc,,,TMEDA,,55 h at 45 °C,ArBr,LG|Ar|Br,,,,,canonical,Alkyl-Br,LG|Alkyl|Br,,,,,canonical
"Negishi, in-situ",Ar-Br,R-Br,Ar–Br,R–Br,18.84,0.05,RuPhos Pd(crotyl)Cl,RuPhos,,MeCN,water,,"Potassium 2-ethylhexanoate, TMEDA",,55 h at 45 °C,ArBr,LG|Ar|Br,,,,,canonical,Alkyl-Br,LG|Alkyl|Br,,,,,canonical
"Negishi, in-situ",Ar-Br,R-Br,Ar–Br,R–Br,11.39,-0.41,RuPhos Pd(crotyl)Cl,RuPhos,,MeCN,water,,"Potassium 2-ethylhexanoate, TMEDA",,22 h at 45 °C,ArBr,LG|Ar|Br,,,,,canonical,Alkyl-Br,LG|Alkyl|Br,,,,,canonical
Buchwald-Hartwig,Ar-Cl,R-C(O)-NH2,Ar–Cl,R–C(O)–NH₂,0,-0.54,XPhos Pd G2,XPhos,Cs2CO3,MeCN,,,,,,ArCl,LG|Ar|Cl,,,,,canonical,RCONH2,XH|N|H2|C(O)R,primary,,,,canonical
Buchwald-Hartwig,Ar-Cl,R-C(O)-NH2,Ar–Cl,R–C(O)–NH₂,67.66,3.38,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,Cs2CO3,tAmOH,,,,,22 h at 80 °C,ArCl,LG|Ar|Cl,,,,,canonical,RCONH2,XH|N|H2|C(O)R,primary,,,,canonical
Buchwald-Hartwig,Ar-Cl,R-C(O)-NH2,Ar–Cl,R–C(O)–NH₂,5.14,-0.24,BippyPhos Pd(allyl)OTf,BippyPhos,KOtBu,MeTHF,,,,,6 h at 40 °C,ArCl,LG|Ar|Cl,,,,,canonical,RCONH2,XH|N|H2|C(O)R,primary,,,,canonical
Alkylation,R-OSO2R,AromN-H,R–OSO₂R,AromN–H,75.33,0.62,,No Ligand,KHMDS,EtOH,,,,,"4 h at 45 °C, then 17.5 h at 40 °C",Alkyl-OSO2R,LG|Alkyl|OSO2R,,,,,canonical,arom. NH,XH|N_aromatic|H1|HeteroAr,,,,,canonical
Alkylation,R-OSO2R,AromN-H,R–OSO₂R,AromN–H,90.75,1.09,,No Ligand,Cs2CO3,Dioxane,,,NaI,,"2 h at 45 °C, then 68 h at 70 °C",Alkyl-OSO2R,LG|Alkyl|OSO2R,,,,,canonical,arom. NH,XH|N_aromatic|H1|HeteroAr,,,,,canonical
Suzuki-Miyaura,Alkenyl-B(OR)2,Ar-Cl,Alkenyl–B(OR)₂,Ar–Cl,0.42,-0.55,AmPhos2PdCl2,AmPhos,K2CO3,THF,water,,,,"2 h at 60 °C, then 3 h at 80 °C",alkeneB(OR)2,TM|Alkenyl|B(OR)2,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Suzuki-Miyaura,Alkenyl-B(OR)2,Ar-Cl,Alkenyl–B(OR)₂,Ar–Cl,0,-0.56,SPhos Pd(crotyl)Cl,SPhos,Cs2CO3,anisole,Brij 35,,Octanoic acid,,,alkeneB(OR)2,TM|Alkenyl|B(OR)2,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Suzuki-Miyaura,Alkenyl-B(OR)2,Ar-Cl,Alkenyl–B(OR)₂,Ar–Cl,38.29,0.69,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,K2CO3,Dioxane,water,,TBAB,,"2 h at 60 °C, then 16 h at 80 °C",alkeneB(OR)2,TM|Alkenyl|B(OR)2,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Suzuki-Miyaura,Alkenyl-B(OR)2,Ar-Cl,Alkenyl–B(OR)₂,Ar–Cl,0,-0.56,dtbpfPdCl2,dtbpf,Na2CO3,Brij 35,Dioxane,water,Potassium 2-ethylhexanoate,,,alkeneB(OR)2,TM|Alkenyl|B(OR)2,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Alkylation,R-OSO2R,AromN-H,R–OSO₂R,AromN–H,36.87,0.21,,No Ligand,KHMDS,EtOH,,,,,"4 h at 45 °C, then 17.5 h at 40 °C",Alkyl-OSO2R,LG|Alkyl|OSO2R,,,,,canonical,arom. NH,XH|N_aromatic|H1|HeteroAr,,,,,canonical
Alkylation,R-OSO2R,AromN-H,R–OSO₂R,AromN–H,8.28,-0.64,,No Ligand,NaH,DMI,,,ZnBr2,,9.5 h at 90 °C,Alkyl-OSO2R,LG|Alkyl|OSO2R,,,,,canonical,arom. NH,XH|N_aromatic|H1|HeteroAr,,,,,canonical
Suzuki-Miyaura,Alkenyl-B(OR)2,Ar-Br,Alkenyl–B(OR)₂,Ar–Br,71.81,0.93,AmPhos2PdCl2,AmPhos,K2CO3,THF,water,,,,"2 h at 60 °C, then 18 h at 80 °C",alkeneB(OR)2,TM|Alkenyl|B(OR)2,,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
"Negishi, in-situ",Ar-Br,R-Br,Ar–Br,R–Br,66.62,2.52,XPhos Pd(crotyl)Cl,XPhos,,Brij 35,water,,"Potassium 2-ethylhexanoate, TMEDA",,47 h at 45 °C,ArBr,LG|Ar|Br,,,,,canonical,Alkyl-Br,LG|Alkyl|Br,,,,,canonical
"Negishi, in-situ",Ar-Br,R-Br,Ar–Br,R–Br,0,-0.92,BippyPhos Pd(allyl)OTf,BippyPhos,TMEDA,Brij 35,water,,Octanoic acid,,,ArBr,LG|Ar|Br,,,,,canonical,Alkyl-Br,LG|Alkyl|Br,,,,,canonical
"Negishi, in-situ",Ar-Br,R-Br,Ar–Br,R–Br,32.39,0.76,AmPhos2PdCl2,AmPhos,,Brij 35,PhMe,water,Octanoic acid,,46 h at 45 °C,ArBr,LG|Ar|Br,,,,,canonical,Alkyl-Br,LG|Alkyl|Br,,,,,canonical
"Negishi, in-situ",Ar-Br,R-Br,Ar–Br,R–Br,41.51,1.23,AmPhos2PdCl2,AmPhos,,Brij 35,PhMe,water,,,46 h at 45 °C,ArBr,LG|Ar|Br,,,,,canonical,Alkyl-Br,LG|Alkyl|Br,,,,,canonical
"Negishi, in-situ",Ar-Br,R-Br,Ar–Br,R–Br,26.14,0.43,"Cu2O, Ni(OAc)2",Me4phen,,PhMe,TPGS-750M,,Potassium 2-ethylhexanoate,,42 h at 45 °C,ArBr,LG|Ar|Br,,,,,canonical,Alkyl-Br,LG|Alkyl|Br,,,,,canonical
Suzuki-Miyaura,Ar-Cl,R-B(OR)2,Ar–Cl,R–B(OR)₂,4.25,-1,rac-BINAP Pd G3,BINAP,Na2CO3,Dioxane,water,,Potassium 2-ethylhexanoate,,"3 h at 60 °C, then 18 h at 80 °C",ArCl,LG|Ar|Cl,,,,,canonical,Alkyl-B(OR)2,TM|Alkyl|B(OR)2,,,,,canonical
Suzuki-Miyaura,Ar-Cl,R-B(OR)2,Ar–Cl,R–B(OR)₂,37.79,0.13,cataCXiumA Pd G3,CataCXiumA,Na2CO3,MeOH,PhMe,water,,,22 h at 80 °C,ArCl,LG|Ar|Cl,,,,,canonical,Alkyl-B(OR)2,TM|Alkyl|B(OR)2,,,,,canonical
Condensation,R-NH2,ROR,R–NH₂,ROR,2.8,-0.32,,No Ligand,,Formamide,,,,,"2 h at 40 °C, then 16 h at 80 °C",RNH2,XH|N|H2|Alkyl,primary,,,,canonical,ROR,,,,,,unresolved
Buchwald-Hartwig,Ar-Cl,R1R2-NH,Ar–Cl,R¹R²–NH (≥1 α-C branched),1.31,-0.2,SPhos Pd(crotyl)Cl,SPhos,NaOtBu,Dioxane,,,,,3.5 h at 80 °C,ArCl,LG|Ar|Cl,,,,,canonical,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified
Cyclization,RNHNH2,RCO2H or M,RNHNH2,RCO2H or M,0,-0.59,,No Ligand,KOtPent,DMI,,,,T3P,,RNHNH2,,,,,,unresolved,RCO2H or M,,,,,,unresolved
Cyclization,RNHNH2,RCO2H or M,RNHNH2,RCO2H or M,0,-0.59,,No Ligand,TMSOK,anisole,,,,thionyl chloride,,RNHNH2,,,,,,unresolved,RCO2H or M,,,,,,unresolved
Suzuki-Miyaura,Ar-Cl,Ar-B(OH)2,Ar–Cl,Ar–B(OH)₂,93.07,0.8,dtbpfPdCl2,dtbpf,Na2CO3,PhMe,water,,,,"3 h at 60 °C, then 17 h at 80 °C",ArCl,LG|Ar|Cl,,,,,canonical,ArB(OH)2,TM|Ar|B(OH)2,,,,,canonical
Addition,Alkyl-H acidic,RCN,Alkyl-H acidic,RCN,0,-0.4,,No Ligand,Li2CO3,THF,,,,,,Alkyl-H acidic,,,,,,unresolved,RCN,,,,,,unresolved
"Negishi, in-situ",Ar-Cl,Ar-Br,Ar–Cl,Ar–Br,0,-0.37,P(Cy3) Pd G3,P(Cy)3,,Brij 35,PhMe,water,Sodium octanoate,,,ArCl,LG|Ar|Cl,,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
"Suzuki-Miyaura, in situ",Ar-Br,Alkenyl-I,Ar–Br,Alkenyl–I,0.21,-0.66,"CuI, XPhos Pd(crotyl)Cl",XPhos,,Propionitrile,,,,,2 h at 50 °C,ArBr,LG|Ar|Br,,,,,canonical,alkene-I,LG|Alkenyl|I,,,,,canonical
"Suzuki-Miyaura, in situ",Ar-Cl,Ar-Br,Ar–Cl,Ar–Br,0,-0.5,XPhos Pd(crotyl)Cl,XPhos,,Brij 35,PhMe,,water,,,ArCl,LG|Ar|Cl,,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
"Suzuki-Miyaura, in situ",Ar-Cl,Ar-Br,Ar–Cl,Ar–Br,36.02,3.62,P(tBu)(Cy)2)2PdCl2,P(tBu)(Cy)2,,MeTHF,,,Octanoic acid,,"11 h at 45 °C, then 49 h at 60 °C",ArCl,LG|Ar|Cl,,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,18.54,0.16,SPhos Pd(crotyl)Cl,SPhos,NaOtBu,Dioxane,,,,,7.5 h at 80 °C,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,15.35,0.01,AmPhos2PdCl2,AmPhos,KOtBu,PhMe,,,,,9.5 h at 80 °C,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,35.81,1.01,Pd-PEPPSI-IHept Cl 3-chloropyridine,IHept Cl,NaOtBu,tAmOH,,,Potassium 2-ethylhexanoate,,"2.5 h at 60 °C, then 15.5 h at 80 °C",R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,NaOtBu,Dioxane,,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,5.26,-0.49,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,NaBHT,PhMe,,,Potassium 2-ethylhexanoate,,22 h at 80 °C,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,20.39,0.25,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,MeTHF,,,,,16 h at 80 °C,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,19.23,0.2,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,MeTHF,,,,,16 h at 80 °C,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,9.92,-0.26,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,MeTHF,,,,,16 h at 80 °C,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,20.13,0.24,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,MeTHF,,,,,16 h at 80 °C,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,20.28,0.25,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,MeTHF,,,,,16 h at 80 °C,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,MeTHF,,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,3.36,-0.58,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,MeTHF,,,,,16 h at 80 °C,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,7.98,-0.35,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,MeTHF,,,,,16 h at 80 °C,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,18.2,0.15,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,MeTHF,,,,,16 h at 80 °C,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,RockPhos Pd G6 Br,RockPhos,NaOtBu,PhMe,,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,Me3(OMe)tBuXPhos Pd G3,Me3(OMe)-tBuXPhos,NaOtBu,PhMe,,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,23.08,0.38,BippyPhos Pd(allyl)OTf,BippyPhos,NaOtBu,PhMe,,,,,"2 h at 60 °C, then 20.5 h at 80 °C",R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,NaOtBu,PhMe,,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,2.54,-0.62,,No Ligand,NaOtBu,PhMe,,,,,"2 h at 60 °C, then 21 h at 80 °C",R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,TrixiePhos Pd G3,TrixiePhos,KOH,tAmOH,water,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,48.27,1.62,,No Ligand,,iPrOH,tAmOH,,,,2 h at 60 °C,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,28.56,0.65,"Jackie CPhos Pd G4, XantPhos Pd(allyl)Cl","Jackie CPhos, XantPhos",NaOtBu,CPME,,,,,"2 h at 60 °C, then 21 h at 80 °C",R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
