shortlist_k,w_stage1,w_stage2,apyr_mean,spearman_mean,top1_hit_ge_70,top3_hit_ge_70,objective_score
25,0.3,0.7,81.27384486759487,0.47058341961054223,0.4318181818181818,0.5909090909090909,0.5793610922944994
25,0.4,0.6,82.0816232037823,0.47090017271002355,0.4090909090909091,0.5681818181818182,0.4072659638278694
25,0.5,0.5,81.7642603864195,0.4708512827969834,0.42045454545454547,0.5681818181818182,0.4882134464147973
25,0.6,0.4,82.0718587906088,0.4665751435267709,0.42045454545454547,0.5795454545454546,0.525535183036322
25,0.7,0.30000000000000004,83.01679261906536,0.46428841387252323,0.4318181818181818,0.5568181818181818,0.7429726916781895
25,0.8,0.19999999999999996,83.41802029302029,0.4535324294887614,0.4318181818181818,0.5340909090909091,0.7610139304943111
25,0.9,0.09999999999999998,84.33029620529622,0.4512130624902987,0.4318181818181818,0.5340909090909091,0.8660747808568113
25,1.0,0.0,84.48556511056512,0.4536533693702833,0.4318181818181818,0.5340909090909091,0.882339884063742
30,0.0,1.0,81.67224610974613,0.47315089805073407,0.4318181818181818,0.5795454545454546,0.6372912314530128
30,0.1,0.9,81.52921956046957,0.4788231757944985,0.4318181818181818,0.5795454545454546,0.6197785647601682
30,0.2,0.8,80.58308470808471,0.4798421839891327,0.4318181818181818,0.5795454545454546,0.4993942017597729
30,0.3,0.7,81.27384486759487,0.48244178189984555,0.4318181818181818,0.5909090909090909,0.589955173262906
30,0.4,0.6,82.0816232037823,0.4827488368777211,0.4090909090909091,0.5681818181818182,0.4178513806415617
30,0.5,0.5,81.7642603864195,0.4826544750329726,0.42045454545454547,0.5681818181818182,0.49875823929454705
30,0.6,0.4,82.0718587906088,0.47823193779323386,0.42045454545454547,0.5795454545454546,0.5359491861910715
30,0.7,0.30000000000000004,83.01679261906536,0.4757791677788465,0.4318181818181818,0.5568181818181818,0.7532383568941554
30,0.8,0.19999999999999996,83.41802029302029,0.4648038773512839,0.4318181818181818,0.5340909090909091,0.771083671017794
30,0.9,0.09999999999999998,84.33029620529622,0.4622585827251359,0.4318181818181818,0.5340909090909091,0.8759426810652232
