Reaction_Type_Standardized,Reaction_Key,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Product_Type,Reactant_Types_Key,All_Reactant_Motifs,All_Product_Motifs,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-OR|H-AromN -> Ar-AromN || Any-OR|Ar-OR|R-OR,Ar-OR|H-AromN -> Ar-AromN || Any-OR|Ar-OR|R-OR,False,"H-AromN,AromN-H,Benzimidazole","Ar-OR,Any-OR,R-OR,Any-OH","Ar-AromN,Any-AromN,Ar-OR,Any-OR,R-OR",Ar-OR|H-AromN -> Ar-AromN || Any-OR|Ar-OR|R-OR,Any-OH|Any-OR|Ar-OR|AromN-H|Benzimidazole|H-AromN|R-OR,Any-AromN|Any-OR|Ar-AromN|Ar-OR|R-OR,94.0,c1ccc2[nH]cnc2c1.COc1ccccc1B(O)c1ccccc1OC>>COc1ccccc1-n1cnc2ccccc21,Cu(OAc)2,,,MeOH,TMEDA,,,-0.7071067811865475
Ar-R -> Ar-AromN || Ar-R,Ar-R -> Ar-AromN || Ar-R,False,"Ar-R,H-AromN,AromN-H,Benzimidazole","Ar-R,Any-OH","Ar-R,Ar-AromN,Any-AromN",Ar-R -> Ar-AromN || Ar-R,Any-OH|Ar-R|AromN-H|Benzimidazole|H-AromN,Any-AromN|Ar-AromN|Ar-R,71.0,Cc1nc2ccccc2[nH]1.Cc1ccc(B(O)c2ccc(C)cc2)cc1>>Cc1ccc(-n2c(C)nc3ccccc32)cc1,Cu(OAc)2,,,MeOH,TMEDA,,,-0.7071067811865476
Ar-B(OH)2|H-AromN -> Ar-AromN || Any-CO2R|Ar-Br|Ar-CO2R|Ar-X,Ar-B(OH)2|H-AromN -> Ar-AromN || Any-CO2R|Ar-Br|Ar-CO2R|Ar-X,False,"Ar-Br,Ar-X,H-AromN,AromN-H","Ar-B(OH)2,Any-B(OH)2,Ar-CO2R,Any-CO2R","Ar-Br,Ar-X,Ar-AromN,Any-AromN,Ar-CO2R,Any-CO2R",Ar-B(OH)2|H-AromN -> Ar-AromN || Any-CO2R|Ar-Br|Ar-CO2R|Ar-X,Any-B(OH)2|Any-CO2R|Ar-B(OH)2|Ar-Br|Ar-CO2R|Ar-X|AromN-H|H-AromN,Any-AromN|Any-CO2R|Ar-AromN|Ar-Br|Ar-CO2R|Ar-X,60.0,Brc1nnc(Br)[nH]1.COC(=O)c1ccc(B(O)O)cc1>>COC(=O)c1ccc(-n2nc(Br)nc2Br)cc1,Cu(OAc)2,,Py,DCM,,,,0.5773502691896257
Ar-OR|H-AromN -> Ar-AromN || Any-OR|Ar-OR|R-OR,Ar-OR|H-AromN -> Ar-AromN || Any-OR|Ar-OR|R-OR,False,"H-AromN,AromN-H,Benzimidazole","Ar-OR,Any-OR,R-OR,Any-OH","Ar-AromN,Any-AromN,Ar-OR,Any-OR,R-OR",Ar-OR|H-AromN -> Ar-AromN || Any-OR|Ar-OR|R-OR,Any-OH|Any-OR|Ar-OR|AromN-H|Benzimidazole|H-AromN|R-OR,Any-AromN|Any-OR|Ar-AromN|Ar-OR|R-OR,99.0,c1ccc2[nH]cnc2c1.COc1ccc(B(O)c2ccc(OC)cc2)cc1>>COc1ccc(-n2cnc3ccccc32)cc1,Cu(OAc)2,,,MeOH,TMEDA,,,0.7071067811865475
Ar-B(OH)2|H-NHR -> H-NR2 || None,Ar-B(OH)2|H-NHR -> H-NR2 || None,False,"Ar-B(OH)2,Any-B(OH)2","H-NHR,Any-NH2","H-NR2,Any-NHR",Ar-B(OH)2|H-NHR -> H-NR2 || None,Any-B(OH)2|Any-NH2|Ar-B(OH)2|H-NHR,Any-NHR|H-NR2,99.0,OB(O)c1ccccc1.NCc1ccccc1>>c1ccc(CNc2ccccc2)cc1,2133472-58-7,,,MeOH,,,,1.4823176532039277
Ar-B(OH)2|H-Amide -> Ar-Amide || Any-Amide|Any-AromN|Any-C=C|Ar-AromN|H-Alkenyl,Ar-B(OH)2|H-Amide -> Ar-Amide || Any-Amide|Any-AromN|Any-C=C|Ar-AromN|H-Alkenyl,False,"Ar-B(OH)2,Any-B(OH)2,Ar-AromN,Any-AromN","H-Amide,Any-Amide,Any-CONHR,H-Alkenyl,Any-C=C,Alkenyl-CONHR","Ar-AromN,Any-AromN,Ar-Amide,Any-Amide,Any-CONR2,H-Alkenyl,Any-C=C,Alkenyl-CONR2",Ar-B(OH)2|H-Amide -> Ar-Amide || Any-Amide|Any-AromN|Any-C=C|Ar-AromN|H-Alkenyl,Alkenyl-CONHR|Any-Amide|Any-AromN|Any-B(OH)2|Any-C=C|Any-CONHR|Ar-AromN|Ar-B(OH)2|H-Alkenyl|H-Amide,Alkenyl-CONR2|Any-Amide|Any-AromN|Any-C=C|Any-CONR2|Ar-Amide|Ar-AromN|H-Alkenyl,56.0,OB(O)c1ccc2c3ccccc3n(-c3ccccc3)c2c1.O=C1NC(=O)C(=C[c-]23->[Fe+2]456789%10(<-[cH]%11[cH]->4[cH]->5[cH-]->6[cH]->7%11)<-[cH]([cH]->8[cH]->92)[cH]->%103)S1>>O=C1SC(=C[c-]23->[Fe+2]456789%10(<-[cH]%11[cH]->4[cH]->5[cH-]->6[cH]->7%11)<-[cH]([cH]->8[cH]->92)[cH]->%103)C(=O)N1c1ccc2c3ccccc3n(-c3ccccc3)c2c1,Pd(OAc)2,,Et3N,DCM,,,,0.0
Ar-B(OH)2|H-Amide -> Ar-Amide || Any-Amide|Any-C=C|Ar-CF3|H-Alkenyl,Ar-B(OH)2|H-Amide -> Ar-Amide || Any-Amide|Any-C=C|Ar-CF3|H-Alkenyl,False,"Ar-CF3,Ar-B(OH)2,Any-B(OH)2","H-Amide,Any-Amide,Any-CONHR,H-Alkenyl,Any-C=C,Alkenyl-CONHR","Ar-CF3,Ar-Amide,Any-Amide,Any-CONR2,H-Alkenyl,Any-C=C,Alkenyl-CONR2",Ar-B(OH)2|H-Amide -> Ar-Amide || Any-Amide|Any-C=C|Ar-CF3|H-Alkenyl,Alkenyl-CONHR|Any-Amide|Any-B(OH)2|Any-C=C|Any-CONHR|Ar-B(OH)2|Ar-CF3|H-Alkenyl|H-Amide,Alkenyl-CONR2|Any-Amide|Any-C=C|Any-CONR2|Ar-Amide|Ar-CF3|H-Alkenyl,52.0,OB(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.O=C1NC(=O)C(=C[c-]23->[Fe+2]456789%10(<-[cH]%11[cH]->4[cH]->5[cH-]->6[cH]->7%11)<-[cH]([cH]->8[cH]->92)[cH]->%103)S1>>O=C1SC(=C[c-]23->[Fe+2]456789%10(<-[cH]%11[cH]->4[cH]->5[cH-]->6[cH]->7%11)<-[cH]([cH]->8[cH]->92)[cH]->%103)C(=O)N1c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Pd(OAc)2,,Et3N,DCM,,,,0.0
Ar-B(OH)2|H-Amide -> Ar-Amide || Any-Amide|Any-C=C|Ar-NAr2|H-Alkenyl,Ar-B(OH)2|H-Amide -> Ar-Amide || Any-Amide|Any-C=C|Ar-NAr2|H-Alkenyl,False,"Ar-B(OH)2,Any-B(OH)2,Ar-NAr2","H-Amide,Any-Amide,Any-CONHR,H-Alkenyl,Any-C=C,Alkenyl-CONHR","Ar-NAr2,Ar-Amide,Any-Amide,Any-CONR2,H-Alkenyl,Any-C=C,Alkenyl-CONR2",Ar-B(OH)2|H-Amide -> Ar-Amide || Any-Amide|Any-C=C|Ar-NAr2|H-Alkenyl,Alkenyl-CONHR|Any-Amide|Any-B(OH)2|Any-C=C|Any-CONHR|Ar-B(OH)2|Ar-NAr2|H-Alkenyl|H-Amide,Alkenyl-CONR2|Any-Amide|Any-C=C|Any-CONR2|Ar-Amide|Ar-NAr2|H-Alkenyl,63.0,OB(O)c1ccc(N(c2ccccc2)c2ccccc2)cc1.O=C1NC(=O)C(=C[c-]23->[Fe+2]456789%10(<-[cH]%11[cH]->4[cH]->5[cH-]->6[cH]->7%11)<-[cH]([cH]->8[cH]->92)[cH]->%103)S1>>O=C1SC(=C[c-]23->[Fe+2]456789%10(<-[cH]%11[cH]->4[cH]->5[cH-]->6[cH]->7%11)<-[cH]([cH]->8[cH]->92)[cH]->%103)C(=O)N1c1ccc(N(c2ccccc2)c2ccccc2)cc1,Pd(OAc)2,,Et3N,DCM,,,,0.0
Ar-Bpin|H-Sulfonamide -> Ar-Sulfonamide || Any-Sulfonamide|Pyridine|R-H-acidic,Ar-Bpin|H-Sulfonamide -> Ar-Sulfonamide || Any-Sulfonamide|Pyridine|R-H-acidic,False,"R-H-acidic,H-Sulfonamide,Any-Sulfonamide,Pyridine","Ar-Bpin,Any-Bpin,Pyridine","R-H-acidic,Ar-Sulfonamide,Any-Sulfonamide,Pyridine",Ar-Bpin|H-Sulfonamide -> Ar-Sulfonamide || Any-Sulfonamide|Pyridine|R-H-acidic,Any-Bpin|Any-Sulfonamide|Ar-Bpin|H-Sulfonamide|Pyridine|R-H-acidic,Any-Sulfonamide|Ar-Sulfonamide|Pyridine|R-H-acidic,51.0,CS(=O)(=O)Nc1cccnc1.CC1(C)OB(c2cccnc2)OC1(C)C>>CS(=O)(=O)N(c1cccnc1)c1cccnc1,tetrakis(acetonitrile)copper(I) hexafluorophosphate,,K3PO4,MeCN,,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NO2|Any-NR2|Ar-NO2|Ar-NR2|Pyrimidine|R-SR|RCH2-SR,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NO2|Any-NR2|Ar-NO2|Ar-NR2|Pyrimidine|R-SR|RCH2-SR,False,"Ar-B(OH)2,Any-B(OH)2,Ar-NO2,Any-NO2","H-NHR,Any-NH2,Ar-NR2,Any-NR2,RCH2-SR,R-SR,Pyrimidine","Ar-NO2,Any-NO2,Ar-NR2,Any-NR2,Ar-NHAr,RCH2-SR,R-SR,Pyrimidine",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NO2|Any-NR2|Ar-NO2|Ar-NR2|Pyrimidine|R-SR|RCH2-SR,Any-B(OH)2|Any-NH2|Any-NO2|Any-NR2|Ar-B(OH)2|Ar-NO2|Ar-NR2|H-NHR|Pyrimidine|R-SR|RCH2-SR,Any-NO2|Any-NR2|Ar-NHAr|Ar-NO2|Ar-NR2|Pyrimidine|R-SR|RCH2-SR,60.0,O=[N+]([O-])c1ccc(B(O)O)cc1.Nc1nc(N2CCSCC2)c2ccccc2n1>>O=[N+]([O-])c1ccc(Nc2nc(N3CCSCC3)c3ccccc3n2)cc1,CuO,,Py,DCM,,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NR2|Ar-Br|Ar-NR2|Ar-X|Pyrimidine|R-SR|RCH2-SR,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NR2|Ar-Br|Ar-NR2|Ar-X|Pyrimidine|R-SR|RCH2-SR,False,"Ar-Br,Ar-X,Ar-B(OH)2,Any-B(OH)2","H-NHR,Any-NH2,Ar-NR2,Any-NR2,RCH2-SR,R-SR,Pyrimidine","Ar-Br,Ar-X,Ar-NR2,Any-NR2,Ar-NHAr,RCH2-SR,R-SR,Pyrimidine",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NR2|Ar-Br|Ar-NR2|Ar-X|Pyrimidine|R-SR|RCH2-SR,Any-B(OH)2|Any-NH2|Any-NR2|Ar-B(OH)2|Ar-Br|Ar-NR2|Ar-X|H-NHR|Pyrimidine|R-SR|RCH2-SR,Any-NR2|Ar-Br|Ar-NHAr|Ar-NR2|Ar-X|Pyrimidine|R-SR|RCH2-SR,64.0,OB(O)c1ccc(Br)cc1.Nc1nc(N2CCSCC2)c2ccccc2n1>>Brc1ccc(Nc2nc(N3CCSCC3)c3ccccc3n2)cc1,CuO,,Py,DCM,,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NR2|Ar-NR2|Furan|Pyrimidine|R-SR|RCH2-SR,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NR2|Ar-NR2|Furan|Pyrimidine|R-SR|RCH2-SR,False,"Ar-B(OH)2,Any-B(OH)2,Furan","H-NHR,Any-NH2,Ar-NR2,Any-NR2,RCH2-SR,R-SR,Pyrimidine","Ar-NR2,Any-NR2,Ar-NHAr,RCH2-SR,R-SR,Furan,Pyrimidine",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NR2|Ar-NR2|Furan|Pyrimidine|R-SR|RCH2-SR,Any-B(OH)2|Any-NH2|Any-NR2|Ar-B(OH)2|Ar-NR2|Furan|H-NHR|Pyrimidine|R-SR|RCH2-SR,Any-NR2|Ar-NHAr|Ar-NR2|Furan|Pyrimidine|R-SR|RCH2-SR,63.0,OB(O)c1ccco1.Nc1nc(N2CCSCC2)c2ccccc2n1>>c1coc(Nc2nc(N3CCSCC3)c3ccccc3n2)c1,CuO,,Py,DCM,,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NR2|Ar-NR2|Pyrimidine|R-SR|RCH2-SR|Thiophene,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NR2|Ar-NR2|Pyrimidine|R-SR|RCH2-SR|Thiophene,False,"Ar-B(OH)2,Any-B(OH)2,Thiophene","H-NHR,Any-NH2,Ar-NR2,Any-NR2,RCH2-SR,R-SR,Pyrimidine","Ar-NR2,Any-NR2,Ar-NHAr,RCH2-SR,R-SR,Thiophene,Pyrimidine",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NR2|Ar-NR2|Pyrimidine|R-SR|RCH2-SR|Thiophene,Any-B(OH)2|Any-NH2|Any-NR2|Ar-B(OH)2|Ar-NR2|H-NHR|Pyrimidine|R-SR|RCH2-SR|Thiophene,Any-NR2|Ar-NHAr|Ar-NR2|Pyrimidine|R-SR|RCH2-SR|Thiophene,60.0,OB(O)c1cccs1.Nc1nc(N2CCSCC2)c2ccccc2n1>>c1csc(Nc2nc(N3CCSCC3)c3ccccc3n2)c1,CuO,,Py,DCM,,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NR2|Ar-NR2|Pyridine|Pyrimidine|R-SR|RCH2-SR,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NR2|Ar-NR2|Pyridine|Pyrimidine|R-SR|RCH2-SR,False,"Ar-B(OH)2,Any-B(OH)2,Pyridine","H-NHR,Any-NH2,Ar-NR2,Any-NR2,RCH2-SR,R-SR,Pyrimidine","Ar-NR2,Any-NR2,Ar-NHAr,RCH2-SR,R-SR,Pyridine,Pyrimidine",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NR2|Ar-NR2|Pyridine|Pyrimidine|R-SR|RCH2-SR,Any-B(OH)2|Any-NH2|Any-NR2|Ar-B(OH)2|Ar-NR2|H-NHR|Pyridine|Pyrimidine|R-SR|RCH2-SR,Any-NR2|Ar-NHAr|Ar-NR2|Pyridine|Pyrimidine|R-SR|RCH2-SR,63.0,OB(O)c1ccncc1.Nc1nc(N2CCSCC2)c2ccccc2n1>>c1ccc2c(N3CCSCC3)nc(Nc3ccncc3)nc2c1,CuO,,Py,DCM,,,,0.0
Ar-Bpin|H-Sulfonamide -> Ar-Sulfonamide || Any-Sulfonamide|Ar-R|Pyrimidine,Ar-Bpin|H-Sulfonamide -> Ar-Sulfonamide || Any-Sulfonamide|Ar-R|Pyrimidine,False,"Ar-R,H-Sulfonamide,Any-Sulfonamide","Ar-Bpin,Any-Bpin,Pyrimidine","Ar-R,Ar-Sulfonamide,Any-Sulfonamide,Pyrimidine",Ar-Bpin|H-Sulfonamide -> Ar-Sulfonamide || Any-Sulfonamide|Ar-R|Pyrimidine,Any-Bpin|Any-Sulfonamide|Ar-Bpin|Ar-R|H-Sulfonamide|Pyrimidine,Any-Sulfonamide|Ar-R|Ar-Sulfonamide|Pyrimidine,56.0,CNS(=O)(=O)c1ccc(C)cc1.CC1(C)OB(c2cncnc2)OC1(C)C>>Cc1ccc(S(=O)(=O)N(C)c2cncnc2)cc1,tetrakis(acetonitrile)copper(I) hexafluorophosphate,,K3PO4,MeCN,,,,0.0
Ar-Bpin|H-Sulfonamide -> Ar-Sulfonamide || Any-OR|Any-Sulfonamide|Ar-OR|Ar-R|Pyridine|R-OR,Ar-Bpin|H-Sulfonamide -> Ar-Sulfonamide || Any-OR|Any-Sulfonamide|Ar-OR|Ar-R|Pyridine|R-OR,False,"Ar-R,H-Sulfonamide,Any-Sulfonamide","Ar-Bpin,Any-Bpin,Ar-OR,Any-OR,R-OR,Pyridine","Ar-R,Ar-OR,Any-OR,R-OR,Ar-Sulfonamide,Any-Sulfonamide,Pyridine",Ar-Bpin|H-Sulfonamide -> Ar-Sulfonamide || Any-OR|Any-Sulfonamide|Ar-OR|Ar-R|Pyridine|R-OR,Any-Bpin|Any-OR|Any-Sulfonamide|Ar-Bpin|Ar-OR|Ar-R|H-Sulfonamide|Pyridine|R-OR,Any-OR|Any-Sulfonamide|Ar-OR|Ar-R|Ar-Sulfonamide|Pyridine|R-OR,63.0,CNS(=O)(=O)c1ccc(C)cc1.COc1cncc(B2OC(C)(C)C(C)(C)O2)c1>>COc1cncc(N(C)S(=O)(=O)c2ccc(C)cc2)c1,tetrakis(acetonitrile)copper(I) hexafluorophosphate,,K3PO4,MeCN,,,,0.0
Ar-Bpin|H-Sulfonamide -> Ar-Sulfonamide || Any-Sulfonamide|Ar-Br|Ar-X|R-H-acidic,Ar-Bpin|H-Sulfonamide -> Ar-Sulfonamide || Any-Sulfonamide|Ar-Br|Ar-X|R-H-acidic,False,"R-H-acidic,H-Sulfonamide,Any-Sulfonamide","Ar-Br,Ar-X,Ar-Bpin,Any-Bpin","R-H-acidic,Ar-Br,Ar-X,Ar-Sulfonamide,Any-Sulfonamide",Ar-Bpin|H-Sulfonamide -> Ar-Sulfonamide || Any-Sulfonamide|Ar-Br|Ar-X|R-H-acidic,Any-Bpin|Any-Sulfonamide|Ar-Bpin|Ar-Br|Ar-X|H-Sulfonamide|R-H-acidic,Any-Sulfonamide|Ar-Br|Ar-Sulfonamide|Ar-X|R-H-acidic,69.0,CS(=O)(=O)Nc1ccccc1.CC1(C)OB(c2ccc(Br)cc2)OC1(C)C>>CS(=O)(=O)N(c1ccccc1)c1ccc(Br)cc1,tetrakis(acetonitrile)copper(I) hexafluorophosphate,,K3PO4,MeCN,,,,0.0
Ar-Bpin|H-Sulfonamide -> Ar-Sulfonamide || Any-CO2H|Any-CO2R|Any-Sulfonamide|Ar-Ar|Ar-Br|Ar-CO2H|Ar-CO2R|Ar-Cl|Ar-F|Ar-R|Ar-X|Benzofuran|R-H-acidic,Ar-Bpin|H-Sulfonamide -> Ar-Sulfonamide || Any-CO2H|Any-CO2R|Any-Sulfonamide|Ar-Ar|Ar-Br|Ar-CO2H|Ar-CO2R|Ar-Cl|Ar-F|Ar-R|Ar-X|Benzofuran|R-H-acidic,False,"R-H-acidic,Ar-Ar,Ar-R,Ar-F,Ar-X,Ar-CO2H,Any-CO2H,H-Sulfonamide,Any-Sulfonamide,Benzofuran","Ar-Cl,Ar-X,Ar-Br,Ar-Bpin,Any-Bpin,Ar-CO2R,Any-CO2R","R-H-acidic,Ar-Ar,Ar-R,Ar-Cl,Ar-X,Ar-Br,Ar-F,Ar-CO2H,Any-CO2H,Ar-CO2R,Any-CO2R,Ar-Sulfonamide,Any-Sulfonamide,Benzofuran",Ar-Bpin|H-Sulfonamide -> Ar-Sulfonamide || Any-CO2H|Any-CO2R|Any-Sulfonamide|Ar-Ar|Ar-Br|Ar-CO2H|Ar-CO2R|Ar-Cl|Ar-F|Ar-R|Ar-X|Benzofuran|R-H-acidic,Any-Bpin|Any-CO2H|Any-CO2R|Any-Sulfonamide|Ar-Ar|Ar-Bpin|Ar-Br|Ar-CO2H|Ar-CO2R|Ar-Cl|Ar-F|Ar-R|Ar-X|Benzofuran|H-Sulfonamide|R-H-acidic,Any-CO2H|Any-CO2R|Any-Sulfonamide|Ar-Ar|Ar-Br|Ar-CO2H|Ar-CO2R|Ar-Cl|Ar-F|Ar-R|Ar-Sulfonamide|Ar-X|Benzofuran|R-H-acidic,63.0,CS(=O)(=O)Nc1cc2oc(-c3ccc(F)cc3)c(C(=O)O)c2cc1C1CC1.COC(=O)c1cc(B2OC(C)(C)C(C)(C)O2)cc(Cl)c1Br>>COC(=O)c1cc(N(c2cc3oc(-c4ccc(F)cc4)c(C(=O)O)c3cc2C2CC2)S(C)(=O)=O)cc(Cl)c1Br,tetrakis(acetonitrile)copper(I) hexafluorophosphate,,Et3N,MeCN / PhMe,,,,0.0
Ar-B(OH)2|H-Amide -> Ar-Amide || Any-Amide|Any-C=C|H-Alkenyl,Ar-B(OH)2|H-Amide -> Ar-Amide || Any-Amide|Any-C=C|H-Alkenyl,False,"Ar-B(OH)2,Any-B(OH)2","H-Amide,Any-Amide,Any-CONHR,H-Alkenyl,Any-C=C,Alkenyl-CONHR","Ar-Amide,Any-Amide,Any-CONR2,H-Alkenyl,Any-C=C,Alkenyl-CONR2",Ar-B(OH)2|H-Amide -> Ar-Amide || Any-Amide|Any-C=C|H-Alkenyl,Alkenyl-CONHR|Any-Amide|Any-B(OH)2|Any-C=C|Any-CONHR|Ar-B(OH)2|H-Alkenyl|H-Amide,Alkenyl-CONR2|Any-Amide|Any-C=C|Any-CONR2|Ar-Amide|H-Alkenyl,66.0,OB(O)c1ccc2ccccc2c1.O=C1NC(=O)C(=C[c-]23->[Fe+2]456789%10(<-[cH]%11[cH]->4[cH]->5[cH-]->6[cH]->7%11)<-[cH]([cH]->8[cH]->92)[cH]->%103)S1>>O=C1SC(=C[c-]23->[Fe+2]456789%10(<-[cH]%11[cH]->4[cH]->5[cH-]->6[cH]->7%11)<-[cH]([cH]->8[cH]->92)[cH]->%103)C(=O)N1c1ccc2ccccc2c1,Pd(OAc)2,,Et3N,DCM,,,,0.7071067811865475
Ar-B(OH)2|H-NHR -> H-NR2 || Alkenyl-COR|Any-C=C|Any-OR|Ar-Alkenyl|Ar-C=C|Ar-OR|H-Alkenyl|Pyridine|R-OR,Ar-B(OH)2|H-NHR -> H-NR2 || Alkenyl-COR|Any-C=C|Any-OR|Ar-Alkenyl|Ar-C=C|Ar-OR|H-Alkenyl|Pyridine|R-OR,False,"Ar-B(OH)2,Any-B(OH)2","Ar-OR,Any-OR,R-OR,Alkenyl-COR,H-NHR,Any-NH2,Ar-C=C,Ar-Alkenyl,H-Alkenyl,Any-C=C,Pyridine","H-NR2,Any-NHR,Ar-OR,Any-OR,R-OR,Alkenyl-COR,Ar-C=C,Ar-Alkenyl,H-Alkenyl,Any-C=C,Pyridine",Ar-B(OH)2|H-NHR -> H-NR2 || Alkenyl-COR|Any-C=C|Any-OR|Ar-Alkenyl|Ar-C=C|Ar-OR|H-Alkenyl|Pyridine|R-OR,Alkenyl-COR|Any-B(OH)2|Any-C=C|Any-NH2|Any-OR|Ar-Alkenyl|Ar-B(OH)2|Ar-C=C|Ar-OR|H-Alkenyl|H-NHR|Pyridine|R-OR,Alkenyl-COR|Any-C=C|Any-NHR|Any-OR|Ar-Alkenyl|Ar-C=C|Ar-OR|H-Alkenyl|H-NR2|Pyridine|R-OR,72.0,OB(O)c1ccccc1.COc1ccc(C(=O)/C=C(\N)c2ccccn2)cc1>>COc1ccc(C(=O)/C=C(\Nc2ccccc2)c2ccccn2)cc1,Cu(OAc)2,Et3N,,EDC,,,,0.0
Ar-B(OH)2|H-NHR -> H-NR2 || Alkenyl-COR|Any-C=C|Any-OR|Ar-Alkenyl|Ar-C=C|Ar-Cl|Ar-OR|Ar-X|H-Alkenyl|R-OR,Ar-B(OH)2|H-NHR -> H-NR2 || Alkenyl-COR|Any-C=C|Any-OR|Ar-Alkenyl|Ar-C=C|Ar-Cl|Ar-OR|Ar-X|H-Alkenyl|R-OR,False,"Ar-B(OH)2,Any-B(OH)2","Ar-Cl,Ar-X,Ar-OR,Any-OR,R-OR,Alkenyl-COR,H-NHR,Any-NH2,Ar-C=C,Ar-Alkenyl,H-Alkenyl,Any-C=C","Ar-Cl,Ar-X,H-NR2,Any-NHR,Ar-OR,Any-OR,R-OR,Alkenyl-COR,Ar-C=C,Ar-Alkenyl,H-Alkenyl,Any-C=C",Ar-B(OH)2|H-NHR -> H-NR2 || Alkenyl-COR|Any-C=C|Any-OR|Ar-Alkenyl|Ar-C=C|Ar-Cl|Ar-OR|Ar-X|H-Alkenyl|R-OR,Alkenyl-COR|Any-B(OH)2|Any-C=C|Any-NH2|Any-OR|Ar-Alkenyl|Ar-B(OH)2|Ar-C=C|Ar-Cl|Ar-OR|Ar-X|H-Alkenyl|H-NHR|R-OR,Alkenyl-COR|Any-C=C|Any-NHR|Any-OR|Ar-Alkenyl|Ar-C=C|Ar-Cl|Ar-OR|Ar-X|H-Alkenyl|H-NR2|R-OR,90.0,OB(O)c1ccccc1.COc1ccc(C(=O)/C=C(\N)c2ccc(Cl)cc2)cc1>>COc1ccc(C(=O)/C=C(\Nc2ccccc2)c2ccc(Cl)cc2)cc1,Cu(OAc)2,Et3N,,EDC,,,,0.0
Ar-B(OH)2|H-NHR -> H-NR2 || Alkenyl-COR|Any-C=C|Any-OR|Ar-Alkenyl|Ar-C=C|Ar-OR|H-Alkenyl|R-OR,Ar-B(OH)2|H-NHR -> H-NR2 || Alkenyl-COR|Any-C=C|Any-OR|Ar-Alkenyl|Ar-C=C|Ar-OR|H-Alkenyl|R-OR,False,"Ar-B(OH)2,Any-B(OH)2","Ar-OR,Any-OR,R-OR,Alkenyl-COR,H-NHR,Any-NH2,Ar-C=C,Ar-Alkenyl,H-Alkenyl,Any-C=C","H-NR2,Any-NHR,Ar-OR,Any-OR,R-OR,Alkenyl-COR,Ar-C=C,Ar-Alkenyl,H-Alkenyl,Any-C=C",Ar-B(OH)2|H-NHR -> H-NR2 || Alkenyl-COR|Any-C=C|Any-OR|Ar-Alkenyl|Ar-C=C|Ar-OR|H-Alkenyl|R-OR,Alkenyl-COR|Any-B(OH)2|Any-C=C|Any-NH2|Any-OR|Ar-Alkenyl|Ar-B(OH)2|Ar-C=C|Ar-OR|H-Alkenyl|H-NHR|R-OR,Alkenyl-COR|Any-C=C|Any-NHR|Any-OR|Ar-Alkenyl|Ar-C=C|Ar-OR|H-Alkenyl|H-NR2|R-OR,93.0,OB(O)c1ccccc1.COc1ccc(C(=O)/C=C(\N)c2ccccc2)cc1OC>>COc1ccc(C(=O)/C=C(\Nc2ccccc2)c2ccccc2)cc1OC,Cu(OAc)2,Et3N,,EDC,,,,1.151939193960228
Ar-B(OH)2|H-NHR -> H-NR2 || Alkenyl-COR|Any-C=C|Ar-Alkenyl|Ar-C=C|H-Alkenyl,Ar-B(OH)2|H-NHR -> H-NR2 || Alkenyl-COR|Any-C=C|Ar-Alkenyl|Ar-C=C|H-Alkenyl,False,"Ar-B(OH)2,Any-B(OH)2","Alkenyl-COR,H-NHR,Any-NH2,Ar-C=C,Ar-Alkenyl,H-Alkenyl,Any-C=C","H-NR2,Any-NHR,Alkenyl-COR,Ar-C=C,Ar-Alkenyl,H-Alkenyl,Any-C=C",Ar-B(OH)2|H-NHR -> H-NR2 || Alkenyl-COR|Any-C=C|Ar-Alkenyl|Ar-C=C|H-Alkenyl,Alkenyl-COR|Any-B(OH)2|Any-C=C|Any-NH2|Ar-Alkenyl|Ar-B(OH)2|Ar-C=C|H-Alkenyl|H-NHR,Alkenyl-COR|Any-C=C|Any-NHR|Ar-Alkenyl|Ar-C=C|H-Alkenyl|H-NR2,83.0,OB(O)c1ccccc1.N/C(=C\C(=O)c1ccc2ccccc2c1)c1ccccc1>>O=C(/C=C(\Nc1ccccc1)c1ccccc1)c1ccc2ccccc2c1,Cu(OAc)2,Et3N,,EDC,,,,0.060522753266880246
