reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive,Secondary Solvent,Coupling Reagent,Is_Intramolecular,reaction_smiles
C-O_Coupling,1.0,-2.347671363322019,Ar-OH,Ar-I,CuI,245065-66-1,Cs2CO3,MeCN,,,,False,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1
C-O_Coupling,7.0,-2.1476273192010575,Ar-OH,Ar-I,CuI,794544-99-3,Cs2CO3,MeCN,,,,False,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1
C-O_Coupling,7.0,-2.1476273192010575,Ar-OH,Ar-I,CuI,880413-56-9,Cs2CO3,MeCN,,,,False,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1
C-O_Coupling,8.0,-2.114286645180897,Ar-OH,Ar-I,CuI,83753-57-5,Cs2CO3,MeCN,,,,False,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1
C-O_Coupling,6.0,0.0,Ar-Br,RCH2-OH,1239478-87-5,,Cs2CO3,PhMe,,,,False,FC(F)(F)c1ccc(Br)cc1.CC(C)(C)OC(=O)N[C@@H](CO)Cc1ccccc1>>FC(F)(F)c1ccccc1.CC(C)(C)OC(=O)N[C@@H](COc1ccc(C(F)(F)F)cc1)Cc1ccccc1
C-O_Coupling,9.0,-0.7071067811865476,R2CH-OH,Ar-Cl,2194573-99-2,,NaOtBu,THF,,,,False,CCC(C)O.Clc1ccc(N2CCOCC2)cc1>>c1ccc(N2CCOCC2)cc1.CCC(C)Oc1ccc(N2CCOCC2)cc1
C-O_Coupling,27.0,0.0,R2CH-OH,Ar-Br,2194573-99-2,,NaOtBu,THF,,,,False,CCC(C)O.Brc1ccc(N2CCOCC2)cc1>>c1ccc(N2CCOCC2)cc1.CCC(C)Oc1ccc(N2CCOCC2)cc1
C-O_Coupling,7.0,-1.1398421521421938,RCH2-OH,Ar-Br,7758-02-3,,KOH,DMAc,18C6,,,False,CCCCC(CC)CO.Brc1cccnc1>>CCCCC(CC)COc1cccnc1.CCCCC(CC)COc1ccncc1
C-O_Coupling,2.0,0.0,RCH2-OH,Ar-Cl,18C6,,KOH,PhMe,,,,False,OCCc1ccccc1.O=[N+]([O-])c1ccc(-c2nnc3cncc(Cl)n23)cc1>>O=[N+]([O-])c1ccc(-c2nnc3c(OCCc4ccccc4)nccn23)cc1.O=[N+]([O-])c1ccc(-c2nnc3cncc(OCCc4ccccc4)n23)cc1
C-O_Coupling,77.0,0.0,RCH2-OH,Ar-Br,18C6,,KOH,PhMe,,,,False,OCCc1ccccc1.O=[N+]([O-])c1ccccc1-c1nnc2cncc(Br)n12>>O=[N+]([O-])c1ccccc1-c1nnc2cncc(OCCc3ccccc3)n12.O=c1[nH]ccn2c(-c3ccccc3[N+](=O)[O-])nnc12
