reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive,Secondary Solvent,Coupling Reagent,Is_Intramolecular,reaction_smiles,spectator_groups
C-N Coupling,72.0,-0.33,RCH2-NH2,Ar-OH,Palladium,,,water,,,,False,NCCc1ccccc1.Oc1ccc2ccc(O)cc2c1>>c1ccc(CCNc2ccc3ccc(NCCc4ccccc4)cc3c2)cc1,
C-N Coupling,75.0,-0.15,Ar-OH,RCH2-NH2,Palladium,,,water,,,,False,Oc1cccc2ccccc12.Cc1ccc(CCN)cc1>>Cc1ccc(CCNc2cccc3ccccc23)cc1,
C-N Coupling,76.0,-0.38,Bn-NH2,Ar-OH,Palladium,,,water,,,,False,NCc1ccccc1.Oc1ccc2ccccc2c1>>c1ccc(CNc2ccc3ccccc3c2)cc1,
C-N Coupling,77.0,-0.13,Bn-NH2,Ar-OH,Palladium,,,water,,,,False,NCc1ccccc1.COc1ccc2ccc(O)cc2c1>>COc1ccc2ccc(NCc3ccccc3)cc2c1,OR
C-N Coupling,75.0,0.0,RCH2-OH,Ar-Amide,CuI,,Cs2CO3,EtOH,,,,False,CCO.Nc1cc(Cl)ccc1C(=O)Nc1ccccc1>>Cc1nc2cc(Cl)ccc2c(=O)n1-c1ccccc1,Cl / X
C-N Coupling,75.0,0.0,H-Alkynyl,Ar-Cl,CuI,13965-03-2,Et3N,DMF,,,,False,C#Cc1ccccc1.Clc1nc2ccccc2nc1Cl.C#CCO.C1COCCN1>>C(#Cc1nc2ccccc2n2c(N3CCOCC3)c(N3CCOCC3)cc12)c1ccccc1,C#C / Pyrimidine / OR / Any-C#C
C-N Coupling,60.0,0.0,H-Alkynyl,Ar-Cl,CuI,13965-03-2,Et3N,DMF,,,,False,C#CCCC.Clc1nc2ccccc2nc1Cl.C#CCO.C1CCNC1>>CCCC#Cc1nc2ccccc2n2c(N3CCCC3)c(N3CCCC3)cc12,C#C / Pyrimidine / Any-C#C
C-N Coupling,70.0,0.0,H-Alkynyl,Ar-Cl,CuI,13965-03-2,Et3N,DMF,,,,False,C#Cc1ccccc1.Clc1nc2ccccc2nc1Cl.C#CCO.C1CCNCC1>>C(#Cc1nc2ccccc2n2c(N3CCCCC3)c(N3CCCCC3)cc12)c1ccccc1,C#C / Pyrimidine / Any-C#C
C-N Coupling,65.0,0.0,H-Alkynyl,Ar-Cl,CuI,13965-03-2,Et3N,DMF,,,,False,C#CCCCC.Clc1nc2ccccc2nc1Cl.C#CCO.C1COCCN1>>CCCCC#Cc1nc2ccccc2n2c(N3CCOCC3)c(N3CCOCC3)cc12,C#C / Pyrimidine / OR / Any-C#C
C-N Coupling,58.0,0.0,RCH2-OH,Ar-NO2,Nickel,,,"EtOH / water / 1,4-Dioxane",,,,False,CCO.O=[N+]([O-])c1cc([N+](=O)[O-])c(NC2CCCCC2)cc1NC1CCCCC1.N#Cc1nc(Cl)c(Cl)nc1C#N>>Cc1nc2cc3c(cc2n1C1CCCCC1)N(C1CCCCC1)c1nc(C#N)c(C#N)nc1N3,NR2 / NHR / CN / Pyrimidine
C-N Coupling,68.0,0.71,Any-CONHR,Ar-I,CuI,,K3PO4,PhMe,,,,False,CNC=O.I[c-]12->[Fe+2]3456789(<-[cH]%10[cH]->3[cH]->4[cH-]->5[cH]->6%10)<-[cH]([cH]->7[cH]->81)[cH]->92>>CN(C=O)[c-]12->[Fe+2]3456789(<-[cH]%10[cH]->3[cH]->4[cH-]->5[cH]->6%10)<-[cH]([cH]->7[cH]->81)[cH]->92,
C-N Coupling,60.0,-0.71,Any-CONHR,Ar-I,CuI,,K3PO4,PhMe,,,,False,CCNC=O.I[c-]12->[Fe+2]3456789(<-[cH]%10[cH]->3[cH]->4[cH-]->5[cH]->6%10)<-[cH]([cH]->7[cH]->81)[cH]->92>>CCN(C=O)[c-]12->[Fe+2]3456789(<-[cH]%10[cH]->3[cH]->4[cH-]->5[cH]->6%10)<-[cH]([cH]->7[cH]->81)[cH]->92,
C-N Coupling,55.0,-0.58,Ar-I,Any-CONHR,CuI,,K3PO4,PhMe,,,,False,I[c-]12->[Fe+2]3456789(<-[cH]%10[cH]->3[cH]->4[cH-]->5[cH]->6%10)<-[cH]([cH]->7[cH]->81)[cH]->92.O=CNCc1ccccc1>>O=CN(Cc1ccccc1)[c-]12->[Fe+2]3456789(<-[cH]%10[cH]->3[cH]->4[cH-]->5[cH]->6%10)<-[cH]([cH]->7[cH]->81)[cH]->92,
C-N Coupling,55.0,-0.58,Any-CONHR,Ar-I,CuI,,K3PO4,PhMe,,,,False,CNC=O.C[c-]12->[Fe+2]3456789(<-[cH]([cH]->3[cH]->41)[cH]->52)<-[cH]1[cH]->6[cH]->7[c-]->8(I)[cH]->91>>CN(C=O)[c-]12->[Fe+2]3456789(<-[cH]%10[cH]->3[cH]->4[c-]->5(C)[cH]->6%10)<-[cH]([cH]->7[cH]->81)[cH]->92,
C-N Coupling,50.0,0.0,Any-CONHR,Ar-I,CuI,,K3PO4,PhMe,,,,False,CNC=O.CCOC(=O)[c-]12->[Fe+2]3456789(<-[cH]%10[cH]->3[cH]->4[c-]->5(I)[cH]->6%10)<-[cH]([cH]->7[cH]->81)[cH]->92>>CCOC(=O)[c-]12->[Fe+2]3456789(<-[cH]([cH]->3[cH]->41)[cH]->52)<-[cH]1[cH]->6[cH]->7[c-]->8(N(C)C=O)[cH]->91,CO2R
