reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups
Acetal_ketal_formation,92,-0.09,Ar-CHO,RCH2-OR,,,,,,,,False,O=Cc1ccco1.CCOC(OCC)OCC>>CCOC(OCC)c1ccco1,Furan / OR
Acetal_ketal_formation,80,0.0,Alkyl-H-acidic,R2CH-OR,,,,,,,,False,CC(=O)CCc1ccccc1.CC(C)OC(OC(C)C)OC(C)C>>CC(C)OC(C)(CCc1ccccc1)OC(C)C,OR
Acetal_ketal_formation,95,0.56,RCH2-OH,RCH2-CHO,,,,,,,,False,OCCO.CC(C)CC=O>>CC(C)CC1OCCO1,
Acetal_ketal_formation,90,-0.4,CH3-OH,Ar-CHO,,,,,,,,False,CO.O=Cc1ccc(Cl)cc1>>COC(OC)c1ccc(Cl)cc1,Cl / X
Acetal_ketal_formation,87,-0.59,CH3-OH,Ar-CHO,,,,,,,,False,CO.O=Cc1ccccc1>>COC(OC)c1ccccc1,
Acetal_ketal_formation,80,-1.64,RCH2-OR,Any-C=C,,,,,,,,False,CCOC(OCC)OCC.O=C/C=C/c1ccccc1>>CCOC(/C=C/c1ccccc1)OCC,OR / Dienophile / C=C / Motif-C=C / Any-Dienophile
Acetal_ketal_formation,99,1.06,CH3-OH,Ar-CHO,,,,,,,,False,CO.O=Cc1ccc(Cl)cc1>>COC(OC)c1ccc(Cl)cc1,Cl / X
Acetal_ketal_formation,100,1.35,Alkyl-H-acidic,R2CH-OH,,,,,,,,False,CC(C)=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO>>CC1(C)O[C@H]([C@H]2COC(C)(C)O2)[C@@H]([C@H]2COC(C)(C)O2)O1,
Acetal_ketal_formation,90,-0.1,Ar-CHO,CH3-OH,,,,,,,,False,O=Cc1ccc2ccccc2c1.CO>>COC(OC)c1ccc2ccccc2c1,
Acetal_ketal_formation,95,0.0,RCH2-CHO,Ar-COR,,,,,,,,False,CCCCCC=O.CC(=O)c1ccccc1.OCCO>>CCCCCC1OCCO1.CC1(c2ccccc2)OCCO1,
Acetal_ketal_formation,81,-1.91,R2CH-OR,Alkyl-H-acidic,,,,,,,,False,COC(OC)OC.O=C1CCCCCCCCCCC1>>COC1(OC)CCCCCCCCCCC1,OR
Acetal_ketal_formation,95,0.6,R2CH-OH,Alkyl-H-acidic,,,,,,,,False,CC(O)CO.CCC(C)=O>>CCC1(C)OCC(C)O1,
Acetal_ketal_formation,95,0.62,CH3-OH,RCH2-CHO,,,,,,,,False,CO.CCCCCCCCC=O>>CCCCCCCCC(OC)OC,
Acetal_ketal_formation,99,1.3,RCH2-OH,Ar-CHO,,,,,,,,False,OCCO.O=Cc1ccc([N+](=O)[O-])cc1>>O=[N+]([O-])c1ccc(C2OCCO2)cc1,NO2 / NR2
Acetal_ketal_formation,85,0.0,RCH2-OH,R3C-CHO,,,,,,,,False,OCCO.O=CC1(CO)CCCCC1>>OCC1(C2OCCO2)CCCCC1,OH / OR
Acetal_ketal_formation,90,0.0,Alkyl-CHO,Alkyl-H-acidic,,,,,,,,False,CC=O.CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C>>CC1O[C@H](CCC(C)(C)O)[C@@](C)([C@H]2CC[C@@]3(O)C4=CC(=O)[C@@H]5C[C@@H](O)[C@@H](O)C[C@]5(C)[C@H]4CC[C@]23C)O1,acidic / Dienophile / C=C / Cyclohexene / COR / OH / OR / Any-Dienophile / Motif-C=C
Acetal_ketal_formation,81,-1.57,CH3-OH,Ar-CHO,,,,,,,,False,CO.O=Cc1ccccc1>>COC(OC)c1ccccc1,
Acetal_ketal_formation,95,0.89,RCH2-OH,Ar-CHO,,,,,,,,False,OCCO.CC(=O)c1ccc(C=O)cc1>>CC(=O)c1ccc(C2OCCO2)cc1,COR / acidic
Acetal_ketal_formation,99,1.3,RCH2-OH,Ar-CHO,,,,,,,,False,CCO.O=Cc1ccc([N+](=O)[O-])cc1>>CCOC(OCC)c1ccc([N+](=O)[O-])cc1,NO2 / NR2
Acetal_ketal_formation,93,0.71,RCH2-CHO,R2CH-OH,,,,,,,,False,CCCCCCC=O.O[C@H](c1ccccc1)[C@H](O)c1ccccc1>>CCCCCCC1O[C@H](c2ccccc2)[C@@H](c2ccccc2)O1,
Acetal_ketal_formation,94,0.47,Ar-CHO,RCH2-OH,,,,,,,,False,O=Cc1cccc([N+](=O)[O-])c1.OCCO>>O=[N+]([O-])c1cccc(C2OCCO2)c1,NO2 / NR2
Acetal_ketal_formation,83,-0.71,Ar-CHO,RCH2-OH,,,,,,,,False,O=Cc1cccc(C(F)(F)F)c1.OC[C@@H]1[C@H](CO)[C@H]2C=C[C@@H]1O2>>FC(F)(F)c1cccc([C@@H]2OC[C@@H]3[C@H](CO2)[C@H]2C=C[C@@H]3O2)c1,CF3 / F / X / C=C / Dienophile / Cyclohexene / OR / Motif-C=C / Any-Dienophile
Acetal_ketal_formation,98,0.45,CH3-OH,Any-C=C,,,,,,,,False,CO.CCCCCCC/C=C/C=O>>CCCCCCC/C=C/C(OC)OC,C=C / Dienophile / Motif-C=C / Any-Dienophile
Acetal_ketal_formation,96,0.0,CH3-OH,Ar-CHO,,,,,,,,False,CO.O=Cc1cc(Br)cs1>>COC(OC)c1cc(Br)cs1,Br / X / Thiophene
Acetal_ketal_formation,90,0.0,Ar-COR,R2CH-OH,,,,,,,,False,CC(=O)c1ccccc1.COC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(O)CO>>COC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1COC(C)(c2ccccc2)O1,CF3 / F / X / OR
Acetal_ketal_formation,98,0.89,CH3-OH,Ar-CHO,,,,,,,,False,CO.O=Cc1ccc(Cl)cc1>>COC(OC)c1ccc(Cl)cc1,Cl / X
Acetal_ketal_formation,90,-0.29,RCH2-OH,RCH2-CHO,,,,,,,,False,CCO.CCCCCCCC=O>>CCCCCCCC(OCC)OCC,
