reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
Negishi_coupling,89,0.0,Ar-Cl,Ar-Zn,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,O=[N+]([O-])c1ccccc1Cl.[Cl][Zn][c]1ccccc1>>O=[N+]([O-])c1ccccc1-c1ccccc1,NO2 / NR2,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,92,-1.15,Ar-Cl,R2CH-Zn,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,N#Cc1ccc(Cl)cc1.[Cl][Zn][CH]1CCCCC1>>N#Cc1ccc(C2CCCCC2)cc1,CN,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,83,0.0,Ar-Cl,R2CH-Zn,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,Cc1ccc(C=O)c(Cl)c1.[Cl][Zn][CH]1CC1>>Cc1ccc(C=O)c(C2CC2)c1,CHO,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,93,0.0,Ar-Cl,Ar-Zn,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,CC(=O)c1ccc(Cl)cc1.Cc1cccc[c]1[Zn][Cl]>>CC(=O)c1ccc(-c2ccccc2C)cc1,COR / acidic,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,76,-1.02,Ar-Cl,RCH2-Zn,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,COc1ccc(Cl)nn1.CCC[CH2][Zn][Cl]>>CCCCc1ccc(OC)nn1,OR,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,71,0.0,Ar-Cl,R2CH-Zn,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,Clc1ccccn1.[Cl][Zn][CH]1CCCCC1>>c1ccc(C2CCCCC2)nc1,Pyridine,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,78,0.0,Ar-Cl,RCH2-Zn,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,Clc1ccc(-c2ccccc2)cc1.[Cl][Zn][CH2]c1ccccc1>>c1ccc(Cc2ccc(-c3ccccc3)cc2)cc1,,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,80,0.0,Ar-Cl,Ar-Zn,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,COC(=O)c1ccc(Cl)cc1.COc1cc[c]([Zn][Cl])cc1>>COC(=O)c1ccc(-c2ccc(OC)cc2)cc1,CO2R / OR,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,85,0.0,Ar-Cl,RCH2-Zn,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,Clc1cnc2ccccc2n1.CCC[CH2][Zn][Cl]>>CCCCc1cnc2ccccc2n1,Pyrimidine,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,94,0.0,Ar-Cl,RCH2-Zn,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,CC(=O)c1ccc(Cl)cc1.[Cl][Zn][CH2]c1ccccc1>>CC(=O)c1ccc(Cc2ccccc2)cc1,COR / acidic,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
