reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,80,0.71,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccccc2)S(=O)(=O)c2ccc(OC)cc2)ccc(OC)c1OC>>CC(=O)O.COc1ccc(S(=O)(=O)c2cc3ccc(OC)c(OC)c3cc2-c2ccccc2)cc1,SR / SO2R / OR,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,81,-0.15,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccccc2)S(=O)(=O)c2cccc(C)c2)ccc(OC)c1OC>>CC(=O)O.COc1ccc2cc(S(=O)(=O)c3cccc(C)c3)c(-c3ccccc3)cc2c1OC,SR / SO2R / OR,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,84,0.86,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccccc2)S(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc(OC)c1OC>>CC(=O)O.COc1ccc2cc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c(-c3ccccc3)cc2c1OC,SR / SO2R / OR,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,76,0.0,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccccc2)S(C)(=O)=O)ccc(OC)c1OC>>CC(=O)O.COc1ccc2cc(S(C)(=O)=O)c(-c3ccccc3)cc2c1OC,SO2R / SR / OR / acidic,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,70,0.0,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccccc2)S(=O)(=O)CCCC)ccc(OC)c1OC>>CC(=O)O.CCCCS(=O)(=O)c1cc2ccc(OC)c(OC)c2cc1-c1ccccc1,SO2R / SR / OR / acidic,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,72,-0.71,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccc(F)cc2)S(=O)(=O)c2ccccc2)ccc(OC)c1OC>>CC(=O)O.COc1ccc2cc(S(=O)(=O)c3ccccc3)c(-c3ccc(F)cc3)cc2c1OC,SR / SO2R / OR / F / X,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,74,-0.71,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccccc2)S(=O)(=O)c2ccccc2)ccc(OC)c1OC>>CC(=O)O.COc1ccc2cc(S(=O)(=O)c3ccccc3)c(-c3ccccc3)cc2c1OC,SR / SO2R / OR,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,74,0.0,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccc(-c3ccccc3)cc2)S(=O)(=O)c2ccccc2)ccc(OC)c1OC>>CC(=O)O.COc1ccc2cc(S(=O)(=O)c3ccccc3)c(-c3ccc(-c4ccccc4)cc3)cc2c1OC,SR / SO2R / OR,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,78,0.0,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccc(-c3ccccc3)cc2)S(C)(=O)=O)ccc(OC)c1OC>>CC(=O)O.COc1ccc2cc(S(C)(=O)=O)c(-c3ccc(-c4ccccc4)cc3)cc2c1OC,SO2R / SR / OR / acidic,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,80,0.0,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccc(F)cc2)S(C)(=O)=O)ccc(OC)c1OC>>CC(=O)O.COc1ccc2cc(S(C)(=O)=O)c(-c3ccc(F)cc3)cc2c1OC,SO2R / SR / OR / F / X / acidic,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
