material_id,condition_group_id,centroid_similarity,assignment_margin,assignment_status,observation_count,exact_recipe_id_count,condition_display,parse_warnings
CMAT1:006bcf480aca94a265764f289274c3d2d0449265925e665143776630e038ac07,CGPOC1:790925c3f0ac14d309541f4422607c04817106804bdd6a7d731e01775c06a3a6,0.900526,0.105027,supported,1,1,DBU [base]; BrettPhos Pd(crotyl)OTf [catalyst]; BrettPhos [ligand]; MeTHF [solvent],
CMAT1:006ed0f1a23eb665be1177a581dc48f4cf86c4bf7a858d426f39f37a5615e4f6,CGPOC1:69272f58a91c281dd3ff808e10659a260710954999dfc5db68598d221ec76803,0.980019,0.174858,supported,9,6,Octanoic acid [additive]; TMEDA [additive]; VPhos Pd G4 [catalyst]; VPhos [ligand]; PhMe [solvent]; water [solvent],
CMAT1:007268d03a8a0f50f6f114e581c6c49061e11bd9b8ba683365559b7714131e38,CGPOC1:dedcb068aec02b77e922ad830b96af5114115e6b121982ffc7b6a9ac23cc5d90,0.977304,0.137541,supported,2,2,K3PO4 [base]; Cu(MeCN)4BF4 [catalyst]; trans-NN-Dimethylcyclohexane-12-diamine [ligand]; DMSO [solvent],
CMAT1:0072ec1c1747b338a34b8b90add3abb273f060ff4b6002dbf7a19659cdcc87e1,CGPOC1:5d8523fadcb062da6dcaf7cdf7fa13af2036908b69648f3f8ee9e39d99c2183b,0.958882,0.014042,review,1,1,NaHCO3 [base]; P(tBu)3 Pd(crotyl)Cl [catalyst]; P(tBu)3 [ligand]; EtOH [solvent],
CMAT1:007a12572493723fcae9cf637eee78d673bf1b772311d8cddf0b17490a4dc6a6,CGPOC1:f2cb104d30cf0c67e52de60eb27e3057f366c56536726c895de91cdfda1d281f,0.970694,0.208339,supported,2,2,Na2CO3 [base]; pyridine [base]; Copper(II)acetate [catalyst]; bpy [ligand]; tAmOH [solvent],
CMAT1:0083ffbcfe8c9456d44617e60aefa25d2b719ac2ccbb20b3f21799ef9ccfb342,CGPOC1:ad662e0c528de30b378f104eedbee58b737a57a46a8ffb6e66e1bcdb4c51b9ab,0.921564,0.074292,supported,1,1,BSA [additive]; lutidine [base]; pyBOP [coupling_reagent]; MeCN [solvent]; THF [solvent]; No ligand,
CMAT1:0087fc4995a07c42f794a5f6576b653e04743b2a3d45e626aaa11779866bdc8e,CGPOC1:ced0d9c9aa264a48e4dbf22f5c515d59a69574f9a83083a06c636e80fb4b49d6,0.973366,0.064578,supported,1,1,NaHCO3 [base]; (R)-BINAP Pd(allyl)Cl [catalyst]; BINAP [ligand]; iPrOH [solvent],
CMAT1:0087ffb30ec1443c296619dcf1117f9a46733d53826eab0376a816142fdc3c4b,CGPOC1:f25ada27b91bb52008934d8b71fe858aebbddeb3b33b34338fc0298789d68321,0.991464,0.097616,supported,1,1,K3PO4 [base]; CuO [catalyst]; DL-Proline [ligand]; Propionitrile [solvent]; water [solvent],
CMAT1:008a569e368ea5535df10523155bd360b74049e603f1b838dea5ecd19d35a17e,CGPOC1:9c3100d6c392dd9d80e0a93ef5698314fd0914ffca5009efa5e49ae9abf56b18,0.906385,0.121735,supported,16,12,K3PO4 [base]; AlphosPd)2cod [catalyst]; AlPhos [ligand]; PhMe [solvent]; water [solvent],
CMAT1:008a57f5f01af5b0df726ee44caf82a93cfc015c43ea4b45f6af421b15d6ceeb,CGPOC1:9d8272de2b6af67c26b5fa98cb994d9b7f338349697d44358fa59a95e8e7bb50,0.829663,0.127372,provisional,2,1,K3PO4 [base]; QPhosPd G6 Br [catalyst]; QPhos [ligand]; MeCN [solvent],
