reaction_smiles,detected_reaction_type,reaction_key
O=C(O)/C=C/c1ccc(-c2ccccc2)cc1>>O=C(Cl)/C=C/c1ccc(-c2ccccc2)cc1,Acyl_Halides_formation,|Alkenyl-CO2H -> Acyl-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkenyl|Ar-Ar
Cc1ccccc1/C=C/C(=O)O>>Cc1ccccc1/C=C/C(=O)Cl,Acyl_Halides_formation,|Alkenyl-CO2H -> Acyl-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkenyl|Ar-Alkyl
O=C(O)c1ccc2c(c1)OCO2>>O=C(F)c1ccc2c(c1)OCO2,Acyl_Halides_formation,|Ar-CO2H -> Ar-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-OR
O=C(O)CCNC(=O)OCC1c2ccccc2-c2ccccc21>>O=C(Cl)CCNC(=O)OCC1c2ccccc2-c2ccccc21,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkyl|Ar-Ar|R_acidic-H
O=C(O)c1ccc(CBr)cc1>>O=C(Cl)c1ccc(CBr)cc1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Bn-Br
O=C(O)c1ccc(C(=O)c2ccccc2)cc1>>O=C(Cl)c1ccc(C(=O)c2ccccc2)cc1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-COR
O=C(O)c1ccc(-c2ccc3ccccc3c2)o1>>O=C(Cl)c1ccc(-c2ccc3ccccc3c2)o1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Ar|Furan|HeteroAr-H
O=C(O)c1ccc(-c2cccc(O)c2)o1>>O=C(Cl)c1ccc(-c2cccc(O)c2)o1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Ar|Ar-OH|Furan|HeteroAr-H
O=C(O)Cc1c[nH]c2ccccc12>>O=C(Cl)Cc1c[nH]c2ccccc12,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkyl|AromN-H|HeteroAr-H|Indole|R_acidic-H
O=C(O)c1cccc(Cl)c1>>O=C(Cl)c1cccc(Cl)c1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Cl
O=C(O)c1cccc(Cl)c1Cl>>O=C(Cl)c1cccc(Cl)c1Cl,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Cl
O=C(O)c1cccc(-c2ccccc2)c1>>O=C(Cl)c1cccc(-c2ccccc2)c1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Ar
O=C(O)c1ccc(Cl)cc1>>O=C(Cl)c1ccc(Cl)cc1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Cl
CCCCOc1ccc(C(=O)O)cc1>>CCCCOc1ccc(C(=O)Cl)cc1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-OR
O=C(O)c1cc(F)ccc1F>>O=C(Cl)c1cc(F)ccc1F,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-F
O=C(O)c1ccc2ccccc2c1>>O=C(Cl)c1ccc2ccccc2c1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O
CCCCCCCCCCCCCCCC(=O)O>>CCCCCCCCCCCCCCCC(=O)Cl,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: R_acidic-H
CN(C)c1ccc(C(=O)O)cc1>>CN(C)c1ccc(C(=O)F)cc1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-NR2|CH3-NR2
CCc1ccc(C(=O)O)cc1>>CCc1ccc(C(=O)F)cc1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-Alkyl
O=C(O)CC(F)(F)F>>O=C(Cl)CC(F)(F)F,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Alkyl-CF3|R_acidic-H
CCC(=O)O>>CCC(=O)Cl,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: R_acidic-H
O=C(O)CCCCCCCCC(=O)O>>O=C(Cl)CCCCCCCCC(=O)Cl,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COCl | bond_formed: C-Cl; C-Cl | bond_formed_labeled: C-Cl; C-Cl | bond_broken: C-O | spectators: R_acidic-H
O=C(O)C(Cl)Cl>>O=C(Cl)C(Cl)Cl,Acyl_Halides_formation,|Alkyl-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Alkyl-Cl|R_acidic-H
N#Cc1ccccc1C(=O)O>>N#Cc1ccccc1C(=O)Cl,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-CN
