Reaction_Key,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Product_Type,All_Reactant_Motifs,All_Product_Motifs,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-Br|RCH2-NR2 -> Alkyl-H-acidic || Ar-F|Ar-X,False,"Ar-Br,Ar-X,Ar-F","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-F,Ar-X,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NR2|Ar-Br|Ar-F|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Ar-F|Ar-X|H-NR2,73.0,Fc1ccc(Br)cc1.C1CN=C2CCCN2C1>>O=C1CCCN1CCCNc1ccc(F)cc1,CuI,,,DMSO,,,,0.0
Ar-I|RCH2-NR2 -> Alkyl-H-acidic || Any-NO2|Ar-NO2,False,"Ar-I,Ar-X,Ar-NO2,Any-NO2","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-NO2,Any-NO2,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NO2|Any-NR2|Ar-I|Ar-NO2|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Any-NO2|Ar-NO2|H-NR2,80.0,O=[N+]([O-])c1ccc(I)cc1.C1CN=C2CCCN2C1>>O=C1CCCN1CCCNc1ccc([N+](=O)[O-])cc1,CuI,,,DMSO,,,,1.014722137803819
Ar-Cl|RCH2-NR2 -> Alkyl-H-acidic || Any-NO2|Ar-NO2,False,"Ar-Cl,Ar-X,Ar-NO2,Any-NO2","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-NO2,Any-NO2,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NO2|Any-NR2|Ar-Cl|Ar-NO2|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Any-NO2|Ar-NO2|H-NR2,74.0,O=[N+]([O-])c1ccc(Cl)cc1.C1CCC2=NCCCN2CC1>>O=C1CCCCCN1CCCNc1ccc([N+](=O)[O-])cc1,CuI,,,DMSO,,,,0.6301260378126045
Ar-I|RCH2-NR2 -> Alkyl-H-acidic || None,False,"Ar-I,Ar-X","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NR2|Ar-I|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|H-NR2,71.0,Ic1ccccc1.C1CCC2=NCCCN2CC1>>O=C1CCCCCN1CCCNc1ccccc1,CuI,,,DMSO,,,,-0.7071067811865475
Ar-Cl|RCH2-NR2 -> Alkyl-H-acidic || Any-NO2|Ar-NO2,False,"Ar-Cl,Ar-X,Ar-NO2,Any-NO2","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-NO2,Any-NO2,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NO2|Any-NR2|Ar-Cl|Ar-NO2|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Any-NO2|Ar-NO2|H-NR2,71.0,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.C1CN=C2CCCN2C1>>O=C1CCCN1CCCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],CuI,,,DMSO,,,,-0.6301260378126045
Ar-Br|RCH2-NR2 -> Alkyl-H-acidic || Ar-F|Ar-X,False,"Ar-Br,Ar-X,Ar-F","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-F,Ar-X,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NR2|Ar-Br|Ar-F|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Ar-F|Ar-X|H-NR2,73.0,Fc1ccc(Br)cc1.C1CCC2=NCCCN2CC1>>O=C1CCCCCN1CCCNc1ccc(F)cc1,CuI,,,DMSO,,,,0.0
Ar-Br|RCH2-NR2 -> Alkyl-H-acidic || Any-NO2|Ar-NO2,False,"Ar-Br,Ar-X,Ar-NO2,Any-NO2","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-NO2,Any-NO2,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NO2|Any-NR2|Ar-Br|Ar-NO2|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Any-NO2|Ar-NO2|H-NR2,77.0,O=[N+]([O-])c1ccc(Br)cc1.C1CCC2=NCCCN2CC1>>O=C1CCCCCN1CCCNc1ccc([N+](=O)[O-])cc1,CuI,,,DMSO,,,,0.32025630761017654
Ar-Cl|RCH2-NR2 -> Alkyl-H-acidic || Any-NO2|Ar-NO2,False,"Ar-Cl,Ar-X,Ar-NO2,Any-NO2","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-NO2,Any-NO2,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NO2|Any-NR2|Ar-Cl|Ar-NO2|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Any-NO2|Ar-NO2|H-NR2,75.0,O=[N+]([O-])c1ccc(Cl)cc1.C1CN=C2CCCN2C1>>O=C1CCCN1CCCNc1ccc([N+](=O)[O-])cc1,CuI,,,DMSO,,,,1.0502100630210074
Ar-Br|RCH2-NR2 -> Alkyl-H-acidic || Ar-CF3,False,"Ar-Br,Ar-X,Ar-CF3","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-CF3,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NR2|Ar-Br|Ar-CF3|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Ar-CF3|H-NR2,70.0,FC(F)(F)c1cccc(Br)c1.C1CCC2=NCCCN2CC1>>O=C1CCCCCN1CCCNc1cccc(C(F)(F)F)c1,CuI,,,DMSO,,,,0.0
Ar-X|RCH2-NR2 -> Alkyl-H-acidic || Ar-Cl|Ar-X,False,"Ar-Cl,Ar-X,Ar-Br","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-Cl,Ar-X,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NR2|Ar-Br|Ar-Cl|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Ar-Cl|Ar-X|H-NR2,70.0,Clc1ccc(Br)cc1.C1CCC2=NCCCN2CC1>>O=C1CCCCCN1CCCNc1ccc(Cl)cc1,CuI,,,DMSO,,,,-1.1952286093343936
Ar-Br|RCH2-NR2 -> Alkyl-H-acidic || None,False,"Ar-Br,Ar-X","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NR2|Ar-Br|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|H-NR2,71.0,Brc1ccccc1.C1CN=C2CCCN2C1>>O=C1CCCN1CCCNc1ccccc1,CuI,,,DMSO,,,,0.0
Ar-Cl|RCH2-NR2 -> Alkyl-H-acidic || Any-NO2|Ar-NO2,False,"Ar-Cl,Ar-X,Ar-NO2,Any-NO2","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-NO2,Any-NO2,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NO2|Any-NR2|Ar-Cl|Ar-NO2|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Any-NO2|Ar-NO2|H-NR2,70.0,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.C1CCC2=NCCCN2CC1>>O=C1CCCCCN1CCCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],CuI,,,DMSO,,,,-1.0502100630210074
Ar-I|RCH2-NR2 -> Alkyl-H-acidic || Ar-CF3,False,"Ar-I,Ar-X,Ar-CF3","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-CF3,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NR2|Ar-CF3|Ar-I|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Ar-CF3|H-NR2,76.0,FC(F)(F)c1ccc(I)cc1.C1CCC2=NCCCN2CC1>>O=C1CCCCCN1CCCNc1ccc(C(F)(F)F)cc1,CuI,,,DMSO,,,,0.7071067811865476
Ar-I|RCH2-NR2 -> Alkyl-H-acidic || Alkyl-OR|Any-OR|Ar-OR,False,"Ar-I,Ar-X,Ar-OR,Alkyl-OR,Any-OR","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,H-NR2,Any-NHR,Ar-OR,Alkyl-OR,Any-OR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Alkyl-OR|Any-Imino|Any-NR2|Any-OR|Ar-I|Ar-OR|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Alkyl-OR|Any-Amide|Any-NHR|Any-OR|Ar-OR|H-NR2,70.0,COc1ccc(I)cc1.C1CCC2=NCCCN2CC1>>COc1ccc(NCCCN2CCCCCC2=O)cc1,CuI,,,DMSO,,,,-0.7071067811865475
Ar-I|RCH2-NR2 -> Alkyl-H-acidic || Ar-F|Ar-X,False,"Ar-I,Ar-X,Ar-F","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-F,Ar-X,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NR2|Ar-F|Ar-I|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Ar-F|Ar-X|H-NR2,74.0,Fc1ccc(I)cc1.C1CCC2=NCCCN2CC1>>O=C1CCCCCN1CCCNc1ccc(F)cc1,CuI,,,DMSO,,,,-0.7071067811865475
Ar-Cl|RCH2-NR2 -> Alkyl-H-acidic || Ar-CF3,False,"Ar-Cl,Ar-X,Ar-CF3","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-CF3,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NR2|Ar-CF3|Ar-Cl|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Ar-CF3|H-NR2,71.0,FC(F)(F)c1ccc(Cl)cc1.C1CCC2=NCCCN2CC1>>O=C1CCCCCN1CCCNc1ccc(C(F)(F)F)cc1,CuI,,,DMSO,,,,0.0
Ar-I|RCH2-NR2 -> Alkyl-H-acidic || Any-NO2|Ar-NO2,False,"Ar-I,Ar-X,Ar-NO2,Any-NO2","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-NO2,Any-NO2,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NO2|Any-NR2|Ar-I|Ar-NO2|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Any-NO2|Ar-NO2|H-NR2,77.0,O=[N+]([O-])c1ccc(I)c([N+](=O)[O-])c1.C1CN=C2CCCN2C1>>O=C1CCCN1CCCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],CuI,,,DMSO,,,,-0.338240712601273
Ar-Cl|RCH2-NR2 -> Alkyl-H-acidic || None,False,"Ar-Cl,Ar-X","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NR2|Ar-Cl|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|H-NR2,70.0,Clc1ccccc1.C1CN=C2CCCN2C1>>O=C1CCCN1CCCNc1ccccc1,CuI,,,DMSO,,,,0.0
Ar-X|RCH2-NR2 -> Alkyl-H-acidic || Ar-Cl|Ar-X,False,"Ar-Cl,Ar-X,Ar-I","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-Cl,Ar-X,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NR2|Ar-Cl|Ar-I|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Ar-Cl|Ar-X|H-NR2,72.0,Clc1ccccc1I.C1CN=C2CCCN2C1>>O=C1CCCN1CCCNc1ccccc1Cl,CuI,,,DMSO,,,,0.0
Ar-X|RCH2-NR2 -> Alkyl-H-acidic || Ar-Cl|Ar-X,False,"Ar-Cl,Ar-X,Ar-Br","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-Cl,Ar-X,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NR2|Ar-Br|Ar-Cl|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Ar-Cl|Ar-X|H-NR2,72.0,Clc1ccc(Br)cc1.C1CN=C2CCCN2C1>>O=C1CCCN1CCCNc1ccc(Cl)cc1,CuI,,,DMSO,,,,0.0
Ar-Cl|RCH2-NR2 -> Alkyl-H-acidic || Ar-F|Ar-X,False,"Ar-Cl,Ar-X,Ar-F","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-F,Ar-X,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NR2|Ar-Cl|Ar-F|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Ar-F|Ar-X|H-NR2,71.0,Fc1ccc(Cl)cc1.C1CN=C2CCCN2C1>>O=C1CCCN1CCCNc1ccc(F)cc1,CuI,,,DMSO,,,,0.0
Ar-I|RCH2-NR2 -> Alkyl-H-acidic || Any-NO2|Ar-NO2,False,"Ar-I,Ar-X,Ar-NO2,Any-NO2","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-NO2,Any-NO2,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NO2|Any-NR2|Ar-I|Ar-NO2|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Any-NO2|Ar-NO2|H-NR2,75.0,O=[N+]([O-])c1ccc(I)c([N+](=O)[O-])c1.C1CCC2=NCCCN2CC1>>O=C1CCCCCN1CCCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],CuI,,,DMSO,,,,-1.2402159462046676
Ar-X|RCH2-NR2 -> Alkyl-H-acidic || Ar-Cl|Ar-X,False,"Ar-Cl,Ar-X,Ar-I","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-Cl,Ar-X,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NR2|Ar-Cl|Ar-I|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Ar-Cl|Ar-X|H-NR2,72.0,Clc1ccc(I)cc1.C1CCC2=NCCCN2CC1>>O=C1CCCCCN1CCCNc1ccc(Cl)cc1,CuI,,,DMSO,,,,0.0
Ar-I|RCH2-NR2 -> Alkyl-H-acidic || Ar-F|Ar-X,False,"Ar-I,Ar-X,Ar-F","RCH2-NR2,Alkyl-NR2,Any-NR2,Any-Imino","Alkyl-H-acidic,Ar-F,Ar-X,H-NR2,Any-NHR,Alkyl-Amide,Any-Amide",Alkyl-NR2|Any-Imino|Any-NR2|Ar-F|Ar-I|Ar-X|RCH2-NR2,Alkyl-Amide|Alkyl-H-acidic|Any-Amide|Any-NHR|Ar-F|Ar-X|H-NR2,76.0,Fc1ccc(I)cc1.C1CN=C2CCCN2C1>>O=C1CCCN1CCCNc1ccc(F)cc1,CuI,,,DMSO,,,,0.7071067811865475
Ar-Br|H-AromN -> Ar-AromN || Any-NO2|Ar-NO2,False,"H-AromN,AromN-H,Imidazole","Ar-Br,Ar-X,Ar-NO2,Any-NO2","Ar-NO2,Any-NO2,Ar-AromN,Any-AromN",Any-NO2|Ar-Br|Ar-NO2|Ar-X|AromN-H|H-AromN|Imidazole,Any-AromN|Any-NO2|Ar-AromN|Ar-NO2,73.0,c1c[nH]cn1.O=[N+]([O-])c1cccc(Br)c1>>O=[N+]([O-])c1cccc(-n2ccnc2)c1,Cu(0),,K2CO3,DMF,,,,-0.8392110031308134
H-AromN -> Ar-AromN || Any-NO2|Ar-Br|Ar-NO2|Ar-X,False,"H-AromN,AromN-H,Imidazole","Ar-Br,Ar-X,Ar-NO2,Any-NO2","Ar-Br,Ar-X,Ar-NO2,Any-NO2,Ar-AromN,Any-AromN",Any-NO2|Ar-Br|Ar-NO2|Ar-X|AromN-H|H-AromN|Imidazole,Any-AromN|Any-NO2|Ar-AromN|Ar-Br|Ar-NO2|Ar-X,8.0,c1c[nH]cn1.O=[N+]([O-])c1cccc(Br)c1>>O=[N+]([O-])c1cccc(-n2ccnc2)c1.Brc1cccc(-n2ccnc2)c1,Cu(0),,K2CO3,DMF,,,,0.0
Ar-C#C -> Ar-Ar || Ar-Cl|Ar-R|Ar-X,True,"Ar-C#C,Ar-R,Ar-Cl,Ar-X,Ar-I,Ar-Amide,Any-Amide,Alkyl-C#C",,"Ar-Ar,Ar-R,Ar-Cl,Ar-X,Pyrimidine",Alkyl-C#C|Any-Amide|Ar-Amide|Ar-C#C|Ar-Cl|Ar-I|Ar-R|Ar-X,Ar-Ar|Ar-Cl|Ar-R|Ar-X|Pyrimidine,79.0,Cc1ccc(N(C(=O)c2ccccc2)C(C#Cc2ccccc2)c2cccc(Cl)c2)c(I)c1>>Cc1ccc2nc(-c3cccc(Cl)c3)c3c(-c4ccccc4)nnn3c2c1,CuI,N,DIPEA,DMF,,,,0.7071067811865476
Ar-C#C -> Ar-Ar || None,True,"Ar-C#C,Ar-R,Ar-I,Ar-X,Ar-Amide,Any-Amide,Alkyl-C#C",,"Ar-Ar,Pyrimidine",Alkyl-C#C|Any-Amide|Ar-Amide|Ar-C#C|Ar-I|Ar-R|Ar-X,Ar-Ar|Pyrimidine,80.0,O=C(c1ccccc1)N(c1ccccc1I)C(C#Cc1ccccc1)c1ccccc1>>c1ccc(-c2nnn3c2c(-c2ccccc2)nc2ccccc23)cc1,CuI,N,DIPEA,DMF,,,,0.0
Ar-C#C -> Ar-Ar || Ar-F|Ar-R|Ar-X,True,"Ar-C#C,Ar-R,Ar-I,Ar-X,Ar-F,Ar-Amide,Any-Amide,Alkyl-C#C",,"Ar-Ar,Ar-R,Ar-F,Ar-X,Pyrimidine",Alkyl-C#C|Any-Amide|Ar-Amide|Ar-C#C|Ar-F|Ar-I|Ar-R|Ar-X,Ar-Ar|Ar-F|Ar-R|Ar-X|Pyrimidine,74.0,Cc1ccc(N(C(=O)c2ccccc2)C(C#Cc2cccc(F)c2)c2ccccc2)c(I)c1>>Cc1ccc2nc(-c3ccccc3)c3c(-c4cccc(F)c4)nnn3c2c1,CuI,N,DIPEA,DMF,,,,0.0
Ar-C#C -> Ar-Ar || Ar-F|Ar-X,True,"Ar-C#C,Ar-R,Ar-I,Ar-X,Ar-F,Ar-Amide,Any-Amide,Alkyl-C#C",,"Ar-Ar,Ar-F,Ar-X,Pyrimidine",Alkyl-C#C|Any-Amide|Ar-Amide|Ar-C#C|Ar-F|Ar-I|Ar-R|Ar-X,Ar-Ar|Ar-F|Ar-X|Pyrimidine,77.0,O=C(c1ccccc1)N(c1ccc(F)cc1I)C(C#Cc1ccccc1)c1ccccc1>>Fc1ccc2nc(-c3ccccc3)c3c(-c4ccccc4)nnn3c2c1,CuI,N,DIPEA,DMF,,,,0.0
Ar-C#C -> Ar-Ar || Ar-Cl|Ar-R|Ar-X,True,"Ar-C#C,Ar-R,Ar-Cl,Ar-X,Ar-I,Ar-Amide,Any-Amide,Alkyl-C#C",,"Ar-Ar,Ar-R,Ar-Cl,Ar-X,Pyrimidine",Alkyl-C#C|Any-Amide|Ar-Amide|Ar-C#C|Ar-Cl|Ar-I|Ar-R|Ar-X,Ar-Ar|Ar-Cl|Ar-R|Ar-X|Pyrimidine,73.0,Cc1ccc(N(C(=O)c2ccccc2)C(C#Cc2ccccc2)c2ccc(Cl)cc2)c(I)c1>>Cc1ccc2nc(-c3ccc(Cl)cc3)c3c(-c4ccccc4)nnn3c2c1,CuI,N,DIPEA,DMF,,,,-0.7071067811865476
Ar-C#C -> Ar-Ar || Ar-R,True,"Ar-C#C,Ar-R,Ar-I,Ar-X,Ar-Amide,Any-Amide,Alkyl-C#C",,"Ar-Ar,Ar-R,Pyrimidine",Alkyl-C#C|Any-Amide|Ar-Amide|Ar-C#C|Ar-I|Ar-R|Ar-X,Ar-Ar|Ar-R|Pyrimidine,91.0,Cc1ccc(C#CC(c2ccccc2)N(C(=O)c2ccccc2)c2ccc(C)cc2I)cc1>>Cc1ccc(-c2nnn3c2c(-c2ccccc2)nc2ccc(C)cc23)cc1,CuI,N,DIPEA,DMF,,,,0.7071067811865475
Ar-C#C -> Ar-Ar || Ar-R,True,"Ar-C#C,Ar-R,Ar-I,Ar-X,Ar-Amide,Any-Amide,Alkyl-C#C",,"Ar-Ar,Ar-R,Pyrimidine",Alkyl-C#C|Any-Amide|Ar-Amide|Ar-C#C|Ar-I|Ar-R|Ar-X,Ar-Ar|Ar-R|Pyrimidine,86.0,Cc1ccc(N(C(=O)c2ccccc2)C(C#Cc2ccccc2)c2ccccc2)c(I)c1>>Cc1ccc2nc(-c3ccccc3)c3c(-c4ccccc4)nnn3c2c1,CuI,N,DIPEA,DMF,,,,-0.7071067811865475
Ar-Br|H-NR2 -> Ar-NR2 || Benzothiophene,False,"H-NR2,Any-NHR","Ar-Br,Ar-X,Benzothiophene","Ar-NR2,Any-NR2,Benzothiophene",Any-NHR|Ar-Br|Ar-X|Benzothiophene|H-NR2,Any-NR2|Ar-NR2|Benzothiophene,79.0,CCNCC.Brc1ccc2sc3ccccc3c2c1>>CCN(CC)c1ccc2sc3ccccc3c2c1,Cu2O,,NaOtBu,NMP,,,,0.7071067811865475
Ar-Br|H-NHR -> H-NR2 || Benzothiophene,False,"H-NHR,Any-NH2","Ar-Br,Ar-X,Benzothiophene","H-NR2,Any-NHR,Benzothiophene",Any-NH2|Ar-Br|Ar-X|Benzothiophene|H-NHR,Any-NHR|Benzothiophene|H-NR2,81.0,CCN.Brc1ccc2sc3ccccc3c2c1>>CCNc1ccc2sc3ccccc3c2c1,Cu2O,,,NMP,,,,0.7071067811865475
Ar-Br|H-NR2 -> Ar-NR2 || Benzothiophene,False,"H-NR2,Any-NHR","Ar-Br,Ar-X,Benzothiophene","Ar-NR2,Any-NR2,Benzothiophene",Any-NHR|Ar-Br|Ar-X|Benzothiophene|H-NR2,Any-NR2|Ar-NR2|Benzothiophene,71.0,C1CCNC1.Brc1ccc2sc3ccccc3c2c1>>c1ccc2c(c1)sc1ccc(N3CCCC3)cc12,Cu2O,,NaOtBu,NMP,,,,-0.7071067811865475
Ar-Br|H-NHR -> H-NR2 || Benzothiophene,False,"H-NHR,Any-NH2","Ar-Br,Ar-X,Benzothiophene","H-NR2,Any-NHR,Benzothiophene",Any-NH2|Ar-Br|Ar-X|Benzothiophene|H-NHR,Any-NHR|Benzothiophene|H-NR2,77.0,CCCCCCN.Brc1ccc2sc3ccccc3c2c1>>CCCCCCNc1ccc2sc3ccccc3c2c1,Cu2O,,Cs2CO3,NMP,,,,-0.7071067811865475
Any-SO2R|Ar-I|H-Amide -> Ar-Amide || Alkenyl-Alkenyl|Any-Amide|Any-C=C-C=C|Ar-Alkenyl|Ar-C=C|Ar-R|Furan,False,"Alkenyl-Alkenyl,Any-C=C-C=C,H-Amide,Any-Amide,Ar-C=C,Ar-Alkenyl,Alkenyl-CONHR,Furan","Ar-R,Ar-I,Ar-X","Alkenyl-Alkenyl,Any-C=C-C=C,Ar-R,Ar-Amide,Any-Amide,Ar-C=C,Ar-Alkenyl,Alkenyl-CONR2,Furan",Alkenyl-Alkenyl|Alkenyl-CONHR|Alkyl-F|Alkyl-X|Any-Amide|Any-C=C-C=C|Any-SO2R|Any-X|Ar-Alkenyl|Ar-C=C|Ar-I|Ar-R|Ar-X|Furan|H-Amide,Alkenyl-Alkenyl|Alkenyl-CONR2|Any-Amide|Any-C=C-C=C|Ar-Alkenyl|Ar-Amide|Ar-C=C|Ar-R|Furan,78.0,O=C1NC(c2ccco2)=C2C(=O)NC(c3ccco3)=C12.CCCCCCCCCCC(CCCCCCCC)Cc1ccc([I+]c2ccc(CC(CCCCCCCC)CCCCCCCCCC)cc2)cc1.O=S(=O)([O-])C(F)(F)F>>CCCCCCCCCCC(CCCCCCCC)Cc1ccc(N2C(=O)C3=C(c4ccco4)N(c4ccc(CC(CCCCCCCC)CCCCCCCCCC)cc4)C(=O)C3=C2c2ccco2)cc1,CuI,dtbbpy,K2CO3,DMF,,,,0.0
Any-Hydrazine|Ar-Br -> Ar-AromN || Alkyl-AromN|Any-AromN,False,"Any-Hydrazine,Ar-Hydrazine","Ar-Br,Ar-X,Ar-CHO,Any-CHO,Alkyl-AromN,Any-AromN","Ar-AromN,Any-AromN,Alkyl-AromN",Alkyl-AromN|Any-AromN|Any-CHO|Any-Hydrazine|Ar-Br|Ar-CHO|Ar-Hydrazine|Ar-X,Alkyl-AromN|Any-AromN|Ar-AromN,76.0,NNc1ccccc1.Cn1ncc(C=O)c1Br>>Cn1ncc2cnn(-c3ccccc3)c21,CuI,,K2CO3,EtOH / DMF,HOAc,,,0.0
Ar-Br|Ar-Hydrazine|H-Cl -> Ar-AromN || Alkyl-AromN|Any-AromN|Any-CN|Ar-CN,False,"H-Cl,Any-X","Ar-CN,Any-CN,Ar-Hydrazine,Any-Hydrazine","Ar-CN,Any-CN,Ar-AromN,Any-AromN,Alkyl-AromN",Alkyl-AromN|Any-AromN|Any-CHO|Any-CN|Any-Hydrazine|Any-X|Ar-Br|Ar-CHO|Ar-CN|Ar-Hydrazine|Ar-X|H-Cl,Alkyl-AromN|Any-AromN|Any-CN|Ar-AromN|Ar-CN,76.0,Cl.N#Cc1ccc(NN)cc1.Cn1ncc(C=O)c1Br>>Cn1ncc2cnn(-c3ccc(C#N)cc3)c21,CuI,,NaOAc / K2CO3,EtOH / DMF,,,,0.0
