V2_Pair,Reaction_Type,Count,Avg_Yield,Success_Rate
Ar-I + R-H-acidic,Arylation-acidic-C-H,96,5.845104166666666,0.0
Ar-OH + Ar-OH,Cyclization,96,3.3204166666666666,0.0
Ar-Cl + ,Hydrolysis,96,2.5745833333333334,0.0
 + Any-NHR,amide_formation,96,9.49,0.0
Ar-Br + ,Arylation-acidic-C-H,96,20.783541666666668,20.833333333333336
 + Ar-NH2,Sandmeyer,96,1.1812500000000001,0.0
Ar-Br + Ar-BF3K,Suzuki,96,32.203541666666666,19.791666666666664
Ar-Br + R-H-acidic,Alkylation,96,1.8411458333333333,0.0
"Ar-Br,Ar-Cl + ",Negishi-in-situ,96,1.9398958333333332,0.0
"Ar-Br,Vinyl-I + ",Suzuki-in-situ,96,5.207291666666666,0.0
Ar-Cl + ,Suzuki,96,1.1144791666666667,0.0
Ar-F + R2CH-OH,SNAr,96,11.848958333333334,10.416666666666668
Ar-Cl + R-BF3K,Suzuki,96,30.642291666666665,35.41666666666667
 + Any-Alkyne,Sonogashira,81,18.924567901234568,8.641975308641975
Ar-Br + Ar-H,CH-Activation,72,20.233472222222222,8.333333333333332
Ar-Br + ,CS-Coupling,72,28.307222222222222,23.61111111111111
 + ,Fluorination-oxidative,48,4.078125,2.083333333333333
 + ,Halogenation-Chlorination,48,19.38416666666667,4.166666666666666
Ar-I + ,CC-Coupling,48,14.440833333333332,2.083333333333333
 + R2CH-OH,Deoxyfluorination,48,45.06729166666667,60.416666666666664
 + Ar-NH2,Oxidation,48,18.77625,14.583333333333334
R-Cl + ,Alkylation,48,2.79125,0.0
Ar-Cl + ,C_N_Coupling,48,3.0629166666666667,0.0
Ar-Cl + R2CH-OH,CO-Coupling,48,8.302083333333334,4.166666666666666
R-I + ,Negishi-in-situ,36,2.7288888888888887,0.0
 + Any-Alkene,Reduction,24,58.64083333333334,83.33333333333334
 + Any-NH2,Cyclization,24,70.135,79.16666666666666
 + ,Reduction,24,79.6225,83.33333333333334
Ar-Cl + R-B(OH)2,Suzuki,24,3.21875,0.0
"Ar-Br,Ar-Cl + ",Suzuki,24,27.398333333333337,8.333333333333332
Ar-Br + Any-SH,CS-Coupling,24,4.429583333333333,0.0
Ar-Cl + R-M,Negishi,24,3.7258333333333336,0.0
"Ar-Br,Ar-OH + Ar-OH",SNAr,24,2.2550000000000003,0.0
Ar-Cl + Any-NH2,SNAr,24,18.694166666666664,8.333333333333332
R-Br + Any-NH2,Alkylation,24,68.66958333333334,79.16666666666666
R-Br + Any-Lactam,C_N_Coupling,24,8.551666666666668,8.333333333333332
Ar-I + ,CS-Coupling,24,51.68125,54.166666666666664
Ar-OH + Ar-OH,Protection,24,4.837916666666667,4.166666666666666
R-Cl + Any-Lactam,Cyclization,24,18.879166666666666,8.333333333333332
R-I + ,Alkylation,24,5.5575,0.0
Ar-Br + R-B(OR)2,Suzuki,18,0.0,0.0
 + Any-Urea,C_N_Coupling,8,11.075,0.0
