Reaction_Type_Standardized,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-Br|Ar-CO2H -> Ar-CF3|Ar-CO2R|Ar-COR|Ar-R|Pyrimidine || Ar-CF3|Ar-R|Pyrimidine,False,"Ar-R,Ar-CO2H","Ar-Br,Ar-CF3,Pyrimidine","Ar-Br,Ar-CF3,Pyrimidine|Ar-R,Ar-CO2H",75.0,Cc1ccc(C(=O)O)cc1.FC(F)(F)c1ncc(Br)cn1>>Cc1ccc(C(=O)c2cnc(C(F)(F)F)nc2)cc1.Cc1ccc(C(=O)Oc2cnc(C(F)(F)F)nc2)cc1,NiBr2(dme),870987-63-6,Cs2CO3 / K3PO4,DMF / MeCN,,,,0.0
Ar-Br|Ar-CO2H -> Ar-CO2R|Ar-COR|Ar-R|R-C=CH2 || Ar-CO2R|Ar-R|R-C=CH2,False,"Ar-R,Ar-CO2H","Ar-Br,Ar-CO2R,R-C=CH2","Ar-Br,Ar-CO2R,R-C=CH2|Ar-R,Ar-CO2H",70.0,Cc1ccc(C(=O)O)cc1.C=CCCCCOC(=O)c1ccc(Br)cc1>>C=CCCCCOC(=O)c1ccc(C(=O)c2ccc(C)cc2)cc1.C=CCCCCOC(=O)c1ccc(OC(=O)c2ccc(C)cc2)cc1,NiBr2(dme),870987-63-6,Cs2CO3 / K3PO4,DMF / MeCN,,,,0.0
Ar-Br|Ar-CO2H -> Ar-CO2R|Ar-COR|Ar-R|R-C=C || Ar-CO2R|Ar-R|R-C=C,False,"Ar-R,Ar-CO2H","Ar-Br,Ar-CO2R,R-C=C","Ar-Br,Ar-CO2R,R-C=C|Ar-R,Ar-CO2H",74.0,Cc1ccc(C(=O)O)cc1.CC(C)=CCC/C(C)=C/COC(=O)c1ccc(Br)cc1>>CC(C)=CCC/C(C)=C/COC(=O)c1ccc(C(=O)c2ccc(C)cc2)cc1.CC(C)=CCC/C(C)=C/COC(=O)c1ccc(OC(=O)c2ccc(C)cc2)cc1,NiBr2(dme),870987-63-6,Cs2CO3 / K3PO4,DMF / MeCN,,,,0.0
Ar-Br|RCH2-OH -> Ar-OR || Ar-R|R3C-NHR,False,RCH2-OH,,RCH2-OH,95.0,CO.[Na].CC1(C)NC(C)(C)c2cc(Br)c(Br)cc21>>COc1cc2c(cc1OC)C(C)(C)NC2(C)C,CuI,,,MeOH / DMF,,,,0.9894703721204334
Ar-I|Ar-OH -> Ar-OR || Ar-R,False,"Ar-R,Ar-OH",Ar-I,"Ar-I|Ar-R,Ar-OH",86.0,CCc1ccc(O)cc1.Ic1ccccc1>>CCc1ccc(Oc2ccccc2)cc1,CuBr,1655-07-8,Cs2CO3,DMSO,,,,-0.28327886186626583
Ar-I|Ar-OH -> Ar-OR || None,False,Ar-OH,Ar-I,Ar-I|Ar-OH,93.0,Oc1ccccc1.Ic1ccccc1>>c1ccc(Oc2ccccc2)cc1,Palladium,9004-34-6,K2CO3,DMSO,water,,,0.5146214993068738
Ar-CHO|Ar-Cl|RCH2-NHR|RCH2-OH -> Ar-Imino|Ar-NHR|Ar-NR2|Ar-OR || None,False,RCH2-OH,Ar-Cl,Ar-Cl|RCH2-OH,81.0,CO.Clc1nc(Cl)nc(Cl)n1.C1CCNCC1.O=Cc1ccccc1>>COc1nc(NN=Cc2ccccc2)nc(N2CCCCC2)n1,HOAc,,Na2CO3,Me2CO / water / EtOH,,,,0.17277368511627203
Ar-CHO|Ar-Cl|RCH2-NHR|RCH2-OH -> Ar-Imino|Ar-NHR|Ar-NR2|Ar-OR || Ar-Cl,False,RCH2-OH,Ar-Cl,Ar-Cl|RCH2-OH,86.0,CO.Clc1nc(Cl)nc(Cl)n1.C1CCNCC1.O=Cc1ccc(Cl)cc1>>COc1nc(NN=Cc2ccc(Cl)cc2)nc(N2CCCCC2)n1,HOAc,,Na2CO3,Me2CO / water / EtOH,,,,1.0366421106976322
Ar-CHO|Ar-Cl|RCH2-NHR|RCH2-OH -> Ar-Imino|Ar-NHR|Ar-NR2|Ar-OR || Ar-Br,False,RCH2-OH,Ar-Cl,Ar-Cl|RCH2-OH,85.0,CO.Clc1nc(Cl)nc(Cl)n1.C1CCNCC1.O=Cc1ccc(Br)cc1>>COc1nc(NN=Cc2ccc(Br)cc2)nc(N2CCCCC2)n1,HOAc,,Na2CO3,Me2CO / water / EtOH,,,,0.8638684255813601
Ar-CHO|Ar-Cl|RCH2-NHR|RCH2-OH -> Ar-Imino|Ar-NHR|Ar-NR2|Ar-OR || RCH2-OR,False,RCH2-OH,Ar-Cl,Ar-Cl|RCH2-OH,74.0,CO.Clc1nc(Cl)nc(Cl)n1.C1COCCN1.O=Cc1ccccc1>>COc1nc(NN=Cc2ccccc2)nc(N2CCOCC2)n1,HOAc,,Na2CO3,Me2CO / water / EtOH,,,,-1.0366421106976322
Ar-CHO|Ar-Cl|RCH2-NHR|RCH2-OH -> Ar-Imino|Ar-NHR|Ar-NR2|Ar-OR || Ar-Cl|RCH2-OR,False,RCH2-OH,Ar-Cl,Ar-Cl|RCH2-OH,77.0,CO.Clc1nc(Cl)nc(Cl)n1.C1COCCN1.O=Cc1ccc(Cl)cc1>>COc1nc(NN=Cc2ccc(Cl)cc2)nc(N2CCOCC2)n1,HOAc,,Na2CO3,Me2CO / water / EtOH,,,,-0.5183210553488161
Ar-CHO|Ar-Cl|RCH2-NHR|RCH2-OH -> Ar-Imino|Ar-NHR|Ar-NR2|Ar-OR || Ar-Br|RCH2-OR,False,RCH2-OH,Ar-Cl,Ar-Cl|RCH2-OH,76.0,CO.Clc1nc(Cl)nc(Cl)n1.C1COCCN1.O=Cc1ccc(Br)cc1>>COc1nc(NN=Cc2ccc(Br)cc2)nc(N2CCOCC2)n1,HOAc,,Na2CO3,Me2CO / water / EtOH,,,,-0.6910947404650881
Ar-CHO|Ar-Cl|Ar-NH2|RCH2-OH -> Ar-Imino|Ar-NHR|Ar-OR || None,False,Ar-NH2,RCH2-OH,Ar-NH2|RCH2-OH,83.0,Nc1ccccc1.CO.Clc1nc(Cl)nc(Cl)n1.O=Cc1ccccc1>>COc1nc(NN=Cc2ccccc2)nc(Nc2ccccc2)n1,HOAc,,Na2CO3,Me2CO / water / EtOH,,,,0.8728715609439711
Ar-CHO|Ar-Cl|Ar-NH2|RCH2-OH -> Ar-Imino|Ar-NHR|Ar-OR || Ar-Cl,False,Ar-NH2,RCH2-OH,Ar-NH2|RCH2-OH,81.0,Nc1ccccc1.CO.Clc1nc(Cl)nc(Cl)n1.O=Cc1ccc(Cl)cc1>>COc1nc(NN=Cc2ccc(Cl)cc2)nc(Nc2ccccc2)n1,HOAc,,Na2CO3,Me2CO / water / EtOH,,,,0.21821789023599394
Ar-CHO|Ar-Cl|Ar-NH2|RCH2-OH -> Ar-Imino|Ar-NHR|Ar-OR || Ar-Br,False,Ar-NH2,RCH2-OH,Ar-NH2|RCH2-OH,77.0,Nc1ccccc1.CO.Clc1nc(Cl)nc(Cl)n1.O=Cc1ccc(Br)cc1>>COc1nc(NN=Cc2ccc(Br)cc2)nc(Nc2ccccc2)n1,HOAc,,Na2CO3,Me2CO / water / EtOH,,,,-1.0910894511799605
Ar-Cl|RCH2-OH -> Ar-OR || Ar-Alkenyl|Pyridine|R-C=C,False,"Ar-Alkenyl,RCH2-OH,R-C=C","Ar-Cl,Pyridine","Ar-Alkenyl,RCH2-OH,R-C=C|Ar-Cl,Pyridine",82.0,OCC=Cc1ccccc1.Clc1ccccn1>>C(=Cc1ccccc1)COc1ccccn1,18C6,,KOH,PhMe,,,,0.0
Ar-Cl|RCH2-OH -> Ar-OR || Pyridine|R-C=C,False,"Ar-Cl,Pyridine","RCH2-OH,R-C=C","Ar-Cl,Pyridine|RCH2-OH,R-C=C",87.0,Clc1ccccn1.CC(C)=CCO>>CC(C)=CCOc1ccccn1,18C6,,KOH,PhMe,,,,-0.296078262731896
Ar-Cl|RCH2-OH -> Ar-OR || Pyridine|R-C=C,False,"Ar-Cl,Pyridine","RCH2-OH,R-C=C","Ar-Cl,Pyridine|RCH2-OH,R-C=C",86.0,Clc1ccccn1.CCCC=CCO>>CCCC=CCOc1ccccn1,18C6,,KOH,PhMe,,,,-0.4934637712198267
Ar-Cl|RCH2-OH -> Ar-OR || Pyridine|R-C=C,False,"Ar-Cl,Pyridine","RCH2-OH,R-C=C","Ar-Cl,Pyridine|RCH2-OH,R-C=C",96.0,Clc1ccccn1.CC(C)=CCCC(C)=CCO>>CC(C)=CCCC(C)=CCOc1ccccn1,18C6,,KOH,PhMe,,,,1.4803913136594802
Ar-Cl|R2CH-OH -> Ar-OR || Pyridine|R-C=C,False,"Ar-Cl,Pyridine","R2CH-OH,R-C=C","Ar-Cl,Pyridine|R2CH-OH,R-C=C",86.0,Clc1ccccn1.CCCC=CC(O)CC>>CCCC=CC(CC)Oc1ccccn1,18C6,,KOH,PhMe,,,,0.7071067811865476
Ar-Cl|R2CH-OH -> Ar-OR || Pyridine|R-C=C,False,"Ar-Cl,Pyridine","R2CH-OH,R-C=C","Ar-Cl,Pyridine|R2CH-OH,R-C=C",80.0,Clc1ccccn1.CCCC=CC(C)O>>CCCC=CC(C)Oc1ccccn1,18C6,,KOH,PhMe,,,,-0.7071067811865476
Ar-Cl|Ar-NH2|Ar-OH -> Ar-NHR|Ar-OR || Ar-Br|Ar-OR|Ar-R|Pyrimidine,False,"Ar-OH,Ar-OR","Ar-Cl,Ar-Br,Pyrimidine","Ar-Cl,Ar-Br,Pyrimidine|Ar-OH,Ar-OR",81.0,CCOc1ccccc1O.Clc1ncc(Br)c(Cl)n1.Cc1cccc(N)c1>>CCOc1ccccc1Oc1nc(Nc2cccc(C)c2)ncc1Br,p-TsOH,,DIPEA,EtOH / THF,,,,0.0
Ar-Cl|Ar-NH2|Ar-OH -> Ar-NHR|Ar-OR || Ar-Br|Ar-Cl|Ar-R|Pyrimidine,False,"Ar-Cl,Ar-OH","Ar-Cl,Ar-Br,Pyrimidine","Ar-Cl,Ar-Br,Pyrimidine|Ar-Cl,Ar-OH",82.0,Oc1cc(Cl)cc(Cl)c1.Clc1ncc(Br)c(Cl)n1.Cc1cccc(N)c1>>Cc1cccc(Nc2ncc(Br)c(Oc3cc(Cl)cc(Cl)c3)n2)c1,p-TsOH,,DIPEA,EtOH / THF,,,,0.0
Ar-Cl|Ar-NH2|Ar-OH -> Ar-NHR|Ar-OR || Ar-Br|Ar-NO2|Ar-R|Pyrimidine,False,"Ar-NO2,Ar-OH","Ar-Cl,Ar-Br,Pyrimidine","Ar-Cl,Ar-Br,Pyrimidine|Ar-NO2,Ar-OH",77.0,O=[N+]([O-])c1cccc(O)c1.Clc1ncc(Br)c(Cl)n1.Cc1cccc(N)c1>>Cc1cccc(Nc2ncc(Br)c(Oc3cccc([N+](=O)[O-])c3)n2)c1,p-TsOH,,DIPEA,EtOH / THF,,,,0.0
Ar-Cl|Ar-NH2|Ar-OH -> Ar-NHR|Ar-OR || Ar-Br|Ar-R|Pyrimidine,False,"Ar-Br,Ar-OH","Ar-Cl,Ar-Br,Pyrimidine","Ar-Br,Ar-OH|Ar-Cl,Ar-Br,Pyrimidine",91.0,Oc1ccc(Br)cc1.Clc1ncc(Br)c(Cl)n1.Cc1cccc(N)c1>>Cc1cccc(Nc2ncc(Br)c(Oc3ccc(Br)cc3)n2)c1,p-TsOH,,DIPEA,EtOH / THF,,,,0.0
Ar-Cl|Ar-NH2|Ar-OH -> Ar-NHR|Ar-OR || Ar-Br|Ar-F|Ar-NO2|Ar-OR|Pyrimidine,False,"Ar-F,Ar-NO2,Ar-OH","Ar-Cl,Ar-Br,Pyrimidine","Ar-Cl,Ar-Br,Pyrimidine|Ar-F,Ar-NO2,Ar-OH",87.0,O=[N+]([O-])c1ccc(O)c(F)c1.Clc1ncc(Br)c(Cl)n1.COc1cc(N)cc(OC)c1OC>>COc1cc(Nc2ncc(Br)c(Oc3ccc([N+](=O)[O-])cc3F)n2)cc(OC)c1OC,p-TsOH,,DIPEA,EtOH / THF,,,,1.082542542237882
Ar-Cl|Ar-NH2|Ar-OH -> Ar-NHR|Ar-OR || Ar-Br|Ar-Cl|Ar-F|Ar-NO2|Pyrimidine,False,"Ar-F,Ar-NO2,Ar-OH","Ar-Cl,Ar-Br,Pyrimidine","Ar-Cl,Ar-Br,Pyrimidine|Ar-F,Ar-NO2,Ar-OH",70.0,O=[N+]([O-])c1ccc(O)c(F)c1.Clc1ncc(Br)c(Cl)n1.Nc1ccc(Cl)cc1>>O=[N+]([O-])c1ccc(Oc2nc(Nc3ccc(Cl)cc3)ncc2Br)c(F)c1,p-TsOH,,DIPEA,EtOH / THF,,,,-0.8892313739811184
Ar-Cl|Ar-NH2|Ar-OH -> Ar-NHR|Ar-OR || Ar-Br|Ar-F|Ar-NO2|Pyrimidine,False,"Ar-F,Ar-NO2,Ar-OH","Ar-Cl,Ar-Br,Pyrimidine","Ar-Cl,Ar-Br,Pyrimidine|Ar-F,Ar-NO2,Ar-OH",76.0,O=[N+]([O-])c1ccc(O)c(F)c1.Clc1ncc(Br)c(Cl)n1.Nc1ccc(Br)cc1>>O=[N+]([O-])c1ccc(Oc2nc(Nc3ccc(Br)cc3)ncc2Br)c(F)c1,p-TsOH,,DIPEA,EtOH / THF,,,,-0.1933111682567653
Ar-Cl|Bn-OH -> Bn-OR || Ar-Cl|Pyridine|Pyrimidine,False,"Ar-Cl,Pyrimidine","Ar-Cl,Bn-OH,Pyridine","Ar-Cl,Bn-OH,Pyridine|Ar-Cl,Pyrimidine",84.0,Clc1ccc2nc(Cl)cnc2c1.OCc1ccc(Cl)nc1>>Clc1ccc2nc(OCc3ccc(Cl)nc3)cnc2c1,56-37-1,,K2CO3,DMF,,,,0.0
Ar-Cl|Bn-OH -> Bn-OR || Ar-Cl|Pyrimidine|Thiazole,False,"Ar-Cl,Pyrimidine","Ar-Cl,Bn-OH,Thiazole","Ar-Cl,Bn-OH,Thiazole|Ar-Cl,Pyrimidine",85.0,Clc1ccc2nc(Cl)cnc2c1.OCc1cnc(Cl)s1>>Clc1ccc2nc(OCc3cnc(Cl)s3)cnc2c1,56-37-1,,K2CO3,DMF,,,,0.0
Ar-Cl|Bn-OH -> Bn-OR || Ar-Cl|Pyrimidine,False,Bn-OH,"Ar-Cl,Pyrimidine","Ar-Cl,Pyrimidine|Bn-OH",83.0,OCc1ccccc1.Clc1ccc2nc(Cl)cnc2c1>>Clc1ccc2nc(OCc3ccccc3)cnc2c1,56-37-1,,K2CO3,DMF,,,,0.7071067811865475
Ar-Cl|RCH2-OH -> Ar-OR || Ar-NR2|Ar-R|Bn-NR2|Pyrimidine|R2CH-NR2|RCH2-NBoc|RCH2-NR2,False,"R2CH-NR2,RCH2-NR2,RCH2-OH","Ar-R,Ar-Cl,Ar-NR2,Bn-NR2,RCH2-NBoc,Pyrimidine","Ar-R,Ar-Cl,Ar-NR2,Bn-NR2,RCH2-NBoc,Pyrimidine|R2CH-NR2,RCH2-NR2,RCH2-OH",90.0,CN1CCC[C@H]1CO.CC(C)(C)OC(=O)N1CCN(c2nc(Cl)nc3c2CCN(Cc2ccccc2)C3)CC1>>CN1CCC[C@H]1COc1nc2c(c(N3CCN(C(=O)OC(C)(C)C)CC3)n1)CCN(Cc1ccccc1)C2,Pd(OAc)2,rac-BINAP,Cs2CO3,PhMe / EtOAc / water,,,,0.0
Ar-Cl|RCH2-OH -> Ar-OR || Ar-OR|Ar-R|Bn-NR2|Pyrimidine|R2CH-NR2|RCH2-NR2,False,"R2CH-NR2,RCH2-NR2,RCH2-OH","Ar-R,Ar-Cl,Ar-OR,Bn-NR2,Pyrimidine","Ar-R,Ar-Cl,Ar-OR,Bn-NR2,Pyrimidine|R2CH-NR2,RCH2-NR2,RCH2-OH",83.0,CN1CCC[C@H]1CO.COc1nc(Cl)nc2c1CCN(Cc1ccccc1)C2>>COc1nc(OC[C@@H]2CCCN2C)nc2c1CCN(Cc1ccccc1)C2,Pd(OAc)2,RuPhos,Cs2CO3,PhMe / EtOAc / water,,,,0.0
Ar-Cl|Ar-OH -> Ar-OR || Ar-NO2,False,"Ar-Cl,Ar-NO2",Ar-OH,"Ar-Cl,Ar-NO2|Ar-OH",90.0,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.Oc1ccccc1>>O=[N+]([O-])c1ccc(Oc2ccccc2)c([N+](=O)[O-])c1,Py,,Et3N,Me2CO,,,,0.2650886856195901
Ar-Cl|Ar-OH -> Ar-OR || Ar-NO2|Ar-R,False,"Ar-Cl,Ar-NO2","Ar-R,Ar-OH","Ar-Cl,Ar-NO2|Ar-R,Ar-OH",91.0,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.CC(C)(C)c1ccc(O)cc1>>CC(C)(C)c1ccc(Oc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,Py,,Et3N,Me2CO,,,,0.30000587382374005
Ar-Br|Ar-OH -> Ar-OR || Ar-Ar|Ar-R|Isoquinoline|Quinoline,False,"Ar-R,Ar-OH","Ar-Ar,Ar-R,Ar-Br,Quinoline,Isoquinoline","Ar-Ar,Ar-R,Ar-Br,Quinoline,Isoquinoline|Ar-R,Ar-OH",71.0,Cc1ccc(O)cc1.Cc1ccc2c(c1)nc(-c1ccc(Br)cc1)c1ccccc12>>Cc1ccc(Oc2ccc(-c3nc4cc(C)ccc4c4ccccc34)cc2)cc1,CuI,,K2CO3,"1,4-Dioxane",,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-OH|Ar-R|R-CONHR|R-F|R-H-acidic|R2CH-CO2R|R2CH-NHAc|R2CH-NHBoc|RCH2-CO2H,False,"Ar-Br,R-F,R-CONHR","R-H-acidic,Ar-R,Ar-OH,RCH2-CO2H,R2CH-CO2R,R2CH-NHBoc,R2CH-NHAc","Ar-Br,R-F,R-CONHR|R-H-acidic,Ar-R,Ar-OH,RCH2-CO2H,R2CH-CO2R,R2CH-NHBoc,R2CH-NHAc",75.0,O=C(Nc1ccccc1Br)C(F)(F)F.COC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C>>COC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(Oc2ccccc2NC(=O)C(F)(F)F)cc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C,CuI,Palladium,,THF / MeOH / DCM,,,,0.0
Ar-Cl|RCH2-OH -> Ar-OR || Ar-Ar|Ar-NO2|Ar-R|Pyrimidine,False,"Ar-R,RCH2-OH","Ar-Ar,Ar-Cl,Ar-NO2,Pyrimidine","Ar-Ar,Ar-Cl,Ar-NO2,Pyrimidine|Ar-R,RCH2-OH",84.0,OCCc1ccccc1.O=[N+]([O-])c1ccc(-c2nnc3c(Cl)nccn23)cc1>>O=[N+]([O-])c1ccc(-c2nnc3c(OCCc4ccccc4)nccn23)cc1,18C6,,KOH,PhMe,,,,0.5563610591764345
Ar-Cl|RCH2-OH -> Ar-OR || Ar-Cl|Ar-R|Pyrimidine,False,"Ar-R,RCH2-OH","Ar-Cl,Pyrimidine","Ar-Cl,Pyrimidine|Ar-R,RCH2-OH",81.0,OCCc1ccccc1.Clc1cncc(Cl)n1>>Clc1cncc(OCCc2ccccc2)n1,18C6,,KOH,PhMe,,,,-0.2402393780691026
Ar-Br|RCH2-OH -> Ar-OR || Ar-Br|Ar-R|Pyrimidine,False,"Ar-R,RCH2-OH","Ar-Br,Pyrimidine","Ar-Br,Pyrimidine|Ar-R,RCH2-OH",82.0,OCCc1ccccc1.Brc1cncc(Br)n1>>Brc1cncc(OCCc2ccccc2)n1,18C6,,KOH,PhMe,,,,0.0
Ar-I|RCH2-OH -> Ar-OR || Ar-I|Ar-R|Pyrimidine,False,"Ar-R,RCH2-OH","Ar-I,Pyrimidine","Ar-I,Pyrimidine|Ar-R,RCH2-OH",78.0,OCCc1ccccc1.Ic1cncc(I)n1>>Ic1cncc(OCCc2ccccc2)n1,18C6,,KOH,PhMe,,,,0.0
Ar-Cl|RCH2-OH -> Ar-OR || Ar-R|Pyrimidine,False,"Ar-R,RCH2-OH","Ar-Cl,Pyrimidine","Ar-Cl,Pyrimidine|Ar-R,RCH2-OH",75.0,OCCc1ccccc1.Clc1cncc2nncn12>>c1ccc(CCOc2cncc3nncn23)cc1,18C6,,KOH,PhMe,,,,-0.8579977788182248
Ar-Cl|RCH2-OH -> Ar-OR || Ar-Ar|Ar-NO2|Ar-R|Pyrimidine,False,"Ar-R,RCH2-OH","Ar-Ar,Ar-Cl,Ar-NO2,Pyrimidine","Ar-Ar,Ar-Cl,Ar-NO2,Pyrimidine|Ar-R,RCH2-OH",86.0,OCCc1ccccc1.O=[N+]([O-])c1ccccc1-c1nnc2cncc(Cl)n12>>O=[N+]([O-])c1ccccc1-c1nnc2cncc(OCCc3ccccc3)n12,18C6,,KOH,PhMe,,,,0.5980881386146671
Ar-Cl|Ar-OH -> Ar-OR || Pyrimidine|R-AromN,False,Ar-OH,"Ar-Cl,R-AromN,Pyrimidine","Ar-Cl,R-AromN,Pyrimidine|Ar-OH",98.0,Oc1ccccc1.Cn1ccc2c(Cl)ncnc21>>Cn1ccc2c(Oc3ccccc3)ncnc21,CuI,,K3PO4,DMF,,,,1.0
Ar-Cl|Ar-OH -> Ar-OR || Ar-CHO|Pyrimidine|R-AromN,False,"Ar-CHO,Ar-OH","Ar-Cl,R-AromN,Pyrimidine","Ar-CHO,Ar-OH|Ar-Cl,R-AromN,Pyrimidine",79.0,O=Cc1cccc(O)c1.Cn1ccc2c(Cl)ncnc21>>Cn1ccc2c(Oc3cccc(C=O)c3)ncnc21,CuI,,K3PO4,DMF,,,,0.0
Ar-Cl|Ar-OH -> Ar-OR || Ar-NO2|Pyrimidine|R-AromN,False,"Ar-NO2,Ar-OH","Ar-Cl,R-AromN,Pyrimidine","Ar-Cl,R-AromN,Pyrimidine|Ar-NO2,Ar-OH",75.0,O=[N+]([O-])c1ccccc1O.Cn1ccc2c(Cl)ncnc21>>Cn1ccc2c(Oc3ccccc3[N+](=O)[O-])ncnc21,CuI,,K3PO4,DMF,,,,0.0
Ar-Cl|Ar-OH -> Ar-OR || Ar-OR|Pyrimidine|R-AromN,False,"Ar-OH,Ar-OR","Ar-Cl,R-AromN,Pyrimidine","Ar-Cl,R-AromN,Pyrimidine|Ar-OH,Ar-OR",79.0,COc1cccc(O)c1.Cn1ccc2c(Cl)ncnc21>>COc1cccc(Oc2ncnc3c2ccn3C)c1,CuI,,K3PO4,DMF,,,,0.7071067811865476
Ar-Cl|Ar-OH -> Ar-OR || Pyridine|Pyrimidine|R-AromN,False,"Ar-OH,Pyridine","Ar-Cl,R-AromN,Pyrimidine","Ar-Cl,R-AromN,Pyrimidine|Ar-OH,Pyridine",73.0,Oc1cccnc1.Cn1ccc2c(Cl)ncnc21>>Cn1ccc2c(Oc3cccnc3)ncnc21,CuI,,K3PO4,DMF,,,,-0.7071067811865475
Ar-Cl|Ar-OH -> Ar-OR || Pyrimidine|R-AromN,False,Ar-OH,"Ar-Cl,R-AromN,Pyrimidine","Ar-Cl,R-AromN,Pyrimidine|Ar-OH",94.0,Oc1ccccc1.CC(C)n1ccc2c(Cl)ncnc21>>CC(C)n1ccc2c(Oc3ccccc3)ncnc21,CuI,,K3PO4,DMF,,,,-1.0
Ar-Cl|Ar-OH -> Ar-OR || Pyrimidine|R-AromN,False,Ar-OH,"Ar-Cl,R-AromN,Pyrimidine","Ar-Cl,R-AromN,Pyrimidine|Ar-OH",96.0,Oc1ccccc1.Cn1ccc2cnc(Cl)nc21>>Cn1ccc2cnc(Oc3ccccc3)nc21,CuI,,K3PO4,DMF,,,,0.0
Ar-Cl|Ar-OH -> Ar-OR || Ar-OR|Pyrimidine|R-AromN,False,"Ar-OH,Ar-OR","Ar-Cl,R-AromN,Pyrimidine","Ar-Cl,R-AromN,Pyrimidine|Ar-OH,Ar-OR",70.0,COc1ccccc1O.Cn1ccc2cnc(Cl)nc21>>COc1ccccc1Oc1ncc2ccn(C)c2n1,CuI,,K3PO4,DMF,,,,-0.7071067811865476
Ar-Cl|Ar-OH -> Ar-OR || Pyridine|Pyrimidine|R-AromN,False,"Ar-OH,Pyridine","Ar-Cl,R-AromN,Pyrimidine","Ar-Cl,R-AromN,Pyrimidine|Ar-OH,Pyridine",75.0,Oc1cccnc1.Cn1ccc2cnc(Cl)nc21>>Cn1ccc2cnc(Oc3cccnc3)nc21,CuI,,K3PO4,DMF,,,,0.7071067811865475
Ar-Br|Ar-OH -> Ar-OR || Pyridine|R-AromN,False,Ar-OH,"Ar-Br,R-AromN,Pyridine","Ar-Br,R-AromN,Pyridine|Ar-OH",87.0,Oc1ccccc1.Cn1ccc2c(Br)ccnc21>>Cn1ccc2c(Oc3ccccc3)ccnc21,CuI,,K3PO4,DMF,,,,0.0
Ar-Cl|Ar-OH -> Ar-OR || Pyridine|R-AromN,False,Ar-OH,"Ar-Cl,R-AromN,Pyridine","Ar-Cl,R-AromN,Pyridine|Ar-OH",78.0,Oc1ccccc1.CC(C)n1ccc2c(Cl)ccnc21>>CC(C)n1ccc2c(Oc3ccccc3)ccnc21,CuI,,K3PO4,DMF,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-CHO|Ar-OR,False,"Ar-Br,Ar-CHO","Ar-OH,Ar-OR","Ar-Br,Ar-CHO|Ar-OH,Ar-OR",91.0,O=Cc1ccc(Br)cc1.COc1ccc(O)cc1.[Na]>>COc1ccc(Oc2ccc(C=O)cc2)cc1,Pd(dba)2,DPPF,,PhMe / THF,,,,0.9441977726950346
Ar-I|Bn-OH -> Bn-OR || Ar-CO2R|Ar-NH2|Ar-R,False,"Ar-R,Ar-I,Ar-NH2","Ar-CO2R,Bn-OH","Ar-CO2R,Bn-OH|Ar-R,Ar-I,Ar-NH2",80.0,CC(C)c1cc(I)cc(C(C)C)c1N.COC(=O)c1ccc(CO)cc1>>COC(=O)c1ccc(COc2cc(C(C)C)c(N)c(C(C)C)c2)cc1,CuI,tmphen,Cs2CO3,PhMe,,,,0.0
Ar-I|RCH2-OH -> Ar-OR || Ar-NH2|Ar-R,False,"Ar-R,Ar-I,Ar-NH2",RCH2-OH,"Ar-R,Ar-I,Ar-NH2|RCH2-OH",91.0,CC(C)c1cc(I)cc(C(C)C)c1N.CO>>COc1cc(C(C)C)c(N)c(C(C)C)c1,CuI,tmphen,Cs2CO3,PhMe,,,,0.628970902033151
Ar-F|Ar-OH -> Ar-NO2|Ar-OR || Ar-NO2|Ar-OR|Ar-R,False,"Ar-R,Ar-OH,Ar-OR","Ar-F,Ar-NO2","Ar-F,Ar-NO2|Ar-R,Ar-OH,Ar-OR",83.0,Cc1cc2c(cc1O)C(C)(C)CC1(CC(C)(C)c3cc(O)c(C)cc3O1)O2.O=[N+]([O-])c1ccc(F)cc1>>Cc1cc2c(cc1Oc1ccc([N+](=O)[O-])cc1)C(C)(C)CC1(CC(C)(C)c3cc(Oc4ccc([N+](=O)[O-])cc4)c(C)cc3O1)O2,K2CO3,,,DMF,,,,-0.6990646878529253
