Reaction_Type_Standardized,AREA_TOTAL_REDUCED,z-Score,Reactant_A,Reactant_B,Reactant_A_Type,Reactant_B_Type,Reactant_A_Category,Reactant_B_Category,Catalyst,Ligand,Base,Solvent,Secondary Solvent,Additive,Coupling Reagent,Reaction_Type_V2,Reactant_A_Motifs,Reactant_B_Motifs,Is_V2_Mapped
C_N_Coupling,91.56,1.09,ArNHR,ArBr,ArBr,ArNHR,ArX*,Aniline-type,XantPhos Pd(allyl)Cl,XantPhos,NaOtBu,tAmOH,,,,c_n_cross_coupling,Ar-Br,Ar-NHR,True
C_N_Coupling,0.0,-0.41,RNH2 a-branch,ArI,ArI,RNH2-a-branch,ArX*,Aliphatic-amine,AlPhosPd G6 Br,AlPhos,K3PO4,CPME,water,,,c_n_cross_coupling,Ar-I,Any-NH2,True
Cyclization,29.68,-0.1,ArBr,ArBr,ArBr,,ArX*,,,No Ligand,lutidine,MeCN,,,PyBrOP,Cyclization,Ar-Br,,True
Cyclization,3.57,-1.02,ArBr,ArBr,ArBr,,ArX*,,,No Ligand,DIPEA,CPME,,,T3P,Cyclization,Ar-Br,,True
Cyclization,49.99,0.62,ArBr,ArBr,ArBr,,ArX*,,,No Ligand,NMI,THF,,,Diethylchlorophosphate,Cyclization,Ar-Br,,True
Suzuki,40.7,0.63,ArB(OR)2,ArBr,ArBr,ArB(OR)2,ArX*,ArB*,dppfPdCl2,dppf,KOH,tAmOH,water,,,suzuki_miyaura,Ar-Br,Ar-B(OR)2,True
CO-Coupling,0.07,-0.87,ArBr,ArBr,ArBr,,ArX*,,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,Dioxane,water,,,c_o_coupling,Ar-Br,,True
CO-Coupling,34.71,0.14,ArBr,ArBr,ArBr,,ArX*,,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,KOH,iPrOH,water,,,c_o_coupling,Ar-Br,,True
CO-Coupling,32.35,0.07,ArBr,ArBr,ArBr,,ArX*,,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,KOH,iPrOH,,DMI,,c_o_coupling,Ar-Br,,True
Suzuki,46.55,-0.88,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,P(Cy)3 Pd(crotyl)Cl,P(Cy)3,KOH,PrOH,water,,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
Borylation-Miyaura,39.28,1.48,ArBr,ArBr,ArBr,,ArX*,,AmPhos Pd(crotyl)Cl,AmPhos,Potassium 2-ethylhexanoate,PhMe,,,,miyaura_borylation,Ar-Br,,True
Borylation-Miyaura,0.0,-0.8,ArBr,ArBr,ArBr,,ArX*,,P(tBu)(Cy)2)2PdCl2,P(tBu)(Cy)2,Potassium 2-ethylhexanoate,HFIP,,,,miyaura_borylation,Ar-Br,,True
Suzuki,0.0,-0.82,ArB(OR)2,ArCl,ArCl,ArB(OR)2,ArX*,ArB*,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,DIPEA,PhMe,,,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
Suzuki,0.16,-0.79,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,DIPEA,PhMe,,,,suzuki_miyaura,Ar-Cl,Ar-B(OH)2,True
Suzuki,52.36,0.29,ArBF3K,ArCl,ArCl,ArBF3K,ArX*,ArB*,dppfPdCl2,dppf,Na2CO3,iPrOAc,water,TBAB,,suzuki_miyaura,Ar-Cl,Ar-BF3K,True
C_N_Coupling,20.4,-0.95,ArCl,ArNH2,ArCl,ArNH2,ArX*,Aniline-type,QPhos Pd(crotyl)Cl,QPhos,KHMDS,MeCN,,,,c_n_cross_coupling,Ar-Cl,Ar-NH2,True
Cyclization,0.0,-0.39,ArOH,ArOH,ArOH,ArOH,ArOH,ArOH,,No Ligand,DIPEA,CPME,,,T3P,Cyclization,Ar-OH,Ar-OH,True
Salt-formation,55.93,0.04,R3N,R3N,,,,,,No Ligand,,CPME,,,,Salt-formation,,,True
Salt-formation,99.25,1.0,R3N,R3N,,,,,,No Ligand,,TBME,,,,Salt-formation,,,True
Arylation-acidic-C-H,40.07,0.85,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,RuPhos Pd(crotyl)Cl,RuPhos,Cs2CO3,anisole,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,34.25,0.62,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,BrettPhos Pd(crotyl)OTf,BrettPhos,K3PO4,PhMe,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,0.0,-0.75,ArBr,Alkyl-H acidic,,Alkyl-H-acidic,,Alkyl-C-H,XPhos Pd G4,XPhos,Cs2CO3,CPME,water,,,Arylation-acidic-C-H,,R-H-acidic,True
amide_formation,83.79,1.18,RCO2H or M,RNH2 a-branch,,"RCO2H, RNH2-a-branch",,"Aliphatic-amine, Acyl-source",,No Ligand,NMM,MeCN,,,T3P,amide_coupling,,"Any-CO2H,Any-NH2",False
amide_formation,78.86,0.95,RCO2H or M,RNH2 a-branch,,"RCO2H, RNH2-a-branch",,"Aliphatic-amine, Acyl-source",,No Ligand,NMI,TBME,,HOPS,EDC,amide_coupling,,"Any-CO2H,Any-NH2",False
Arylation-acidic-C-H,10.01,-0.06,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,Jackie CPhos Pd G4,Jackie CPhos,K2CO3,tAmOH,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,13.69,0.21,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,BrettPhos Pd(crotyl)OTf,BrettPhos,K3PO4,PhMe,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
C_N_Coupling,0.0,-0.71,RNH2 a-branch,ArCl,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,QPhos Pd(crotyl)Cl,QPhos,K3PO4,MeCN,water,,,c_n_cross_coupling,Ar-Cl,Any-NH2,True
C_N_Coupling,0.0,-0.71,RNH2 a-branch,ArCl,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,DPEPhosPdCl2,DPEPhos,K2HPO4,tAmOH,,,,c_n_cross_coupling,Ar-Cl,Any-NH2,True
C_N_Coupling,0.0,-0.71,RNH2 a-branch,ArCl,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,bridged tBuPhosphinito PdCl2,tBuPhosphinito,TMSOK,CPME,,,,c_n_cross_coupling,Ar-Cl,Any-NH2,True
C_N_Coupling,39.12,0.86,RNH2 a-branch,ArCl,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,,No Ligand,,MeCN,,CuF2,,c_n_cross_coupling,Ar-Cl,Any-NH2,True
C_N_Coupling,4.12,-0.9,ArCl,RNH2 a-branch,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,Me3(OMe)tBuXPhos Pd G3,Me3(OMe)-tBuXPhos,K3PO4,MeCN,water,,,c_n_cross_coupling,Ar-Cl,Any-NH2,True
Arylation-acidic-C-H,55.78,1.3,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,BrettPhos Pd(crotyl)OTf,BrettPhos,K3PO4,PhMe,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,0.0,-0.94,ArBr,Alkyl-H acidic,,Alkyl-H-acidic,,Alkyl-C-H,XPhos Pd G4,XPhos,Cs2CO3,CPME,water,,,Arylation-acidic-C-H,,R-H-acidic,True
Arylation-acidic-C-H,71.26,1.43,Alkyl-H acidic,Alkyl-Br,Alkyl-Br,Alkyl-H-acidic,Alkyl-X,Alkyl-C-H,BrettPhos Pd(crotyl)OTf,BrettPhos,K3PO4,PhMe,,,,Arylation-acidic-C-H,R-Br,R-H-acidic,True
Arylation-acidic-C-H,17.63,-0.42,Alkyl-H acidic,Alkyl-Br,,Alkyl-H-acidic,,Alkyl-C-H,XPhos Pd G4,XPhos,Cs2CO3,CPME,water,,,Arylation-acidic-C-H,,R-H-acidic,True
Arylation-acidic-C-H,31.09,2.75,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,BrettPhos Pd(crotyl)OTf,BrettPhos,K3PO4,PhMe,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
