Reaction_Type_Standardized,AREA_TOTAL_REDUCED,z-Score,Reactant_A,Reactant_B,Reactant_A_Type,Reactant_B_Type,Reactant_A_Category,Reactant_B_Category,Catalyst,Ligand,Base,Solvent,Secondary Solvent,Additive,Coupling Reagent,Reaction_Type_V2,Reactant_A_Motifs,Reactant_B_Motifs,Is_V2_Mapped
Arylation-acidic-C-H,99.26,1.76,Alkyl-H acidic,ArBr,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,[Pd(allyl)(Me4-tBu-XPhos)]OTf,Me4tBuXPhos,K2CO3,THF,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,0.0,-0.87,Alkyl-H acidic,ArBr,ArBr,,ArX*,,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,NEt3,DMSO,,,,Arylation-acidic-C-H,Ar-Br,,True
Arylation-acidic-C-H,97.14,1.7,Alkyl-H acidic,ArBr,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,[Pd(allyl)(Me4-tBu-XPhos)]OTf,Me4tBuXPhos,K2CO3,THF,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,45.8,0.34,Alkyl-H acidic,ArBr,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,AlPhosPd G6 Br,AlPhos,K2CO3,DMI,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,22.38,-0.28,Alkyl-H acidic,ArBr,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,[Pd(allyl)(Me4-tBu-XPhos)]OTf,Me4tBuXPhos,K2CO3,THF,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,0.0,-0.87,Alkyl-H acidic,ArBr,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,GPhos Pd G6 Br,GPhos,DBU,DMSO,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,0.0,-0.87,Alkyl-H acidic,ArBr,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,GPhos Pd G6 Br,GPhos,DBU,DMSO,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,28.6,-0.12,Alkyl-H acidic,ArBr,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,GPhos Pd G6 Br,GPhos,K3PO4,THF,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,86.99,1.29,Alkyl-H acidic,ArBr,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,NEt3,DMSO,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,77.69,1.05,Alkyl-H acidic,ArBr,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,NEt3,DMI,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,90.75,1.39,Alkyl-H acidic,ArBr,,Alkyl-H-acidic,,Alkyl-C-H,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,NEt3,DMSO,EtOH,,,Arylation-acidic-C-H,,R-H-acidic,True
Arylation-acidic-C-H,46.94,0.26,Alkyl-H acidic,ArBr,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,NEt3,DMSO,EtOH,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,0.0,-0.95,Alkyl-H acidic,ArBr,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,NEt3,DMSO,EtOH,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,98.58,1.59,Alkyl-H acidic,ArBr,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,NEt3,DMSO,EtOH,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,5.64,-0.81,Alkyl-H acidic,ArBr,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,,DMSO,EtOH,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,38.98,0.05,Alkyl-H acidic,ArBr,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,,No Ligand,NEt3,DMI,MIBK,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,2.16,-0.9,Alkyl-H acidic,ArBr,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,GPhos Pd G6 Br,GPhos,DBU,DMSO,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,29.41,-0.19,Alkyl-H acidic,ArBr,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,GPhos Pd G6 Br,GPhos,NEt3,DMSO,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
CH-Activation,10.94,-0.01,Ar-H,ArBr,ArBr,Ar-H,ArX*,ArH,dppdtbpf)PdCl2,dppdtbpf,K2CO3,nBuOAc,,AdCOOH,,CH-Activation,Ar-Br,Ar-H,True
Deprotection,11.53,-1.45,Protecting Group,Protecting Group,,,,,,No Ligand,,PrOH,,,,Deprotection,,,True
Deprotection,93.16,1.09,Protecting Group,Protecting Group,,,,,,No Ligand,,anisole,,HFIP,,Deprotection,,,True
Deprotection,69.53,0.35,Protecting Group,Protecting Group,,,,,,No Ligand,,anisole,,HFIP,,Deprotection,,,True
C_N_Coupling,0.0,-0.27,ArBr,Urea,ArBr,Urea,ArX*,Amide-type,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,DBU,PhMe,,,,c_n_cross_coupling,Ar-Br,Any-Urea,True
Cyanation,0.0,-0.63,ArBr,ArBr,ArBr,,ArX*,,"CuI, P(tBu)3 Pd G6",P(tBu)3,,DMI,,,,Cyanation,Ar-Br,,True
Cyanation,0.0,-0.63,ArBr,ArBr,ArBr,,ArX*,,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,,DMI,,Zn,,Cyanation,Ar-Br,,True
Cyanation,0.0,-0.63,ArBr,ArBr,ArBr,,ArX*,,XantPhos Pd(allyl)Cl,XantPhos,,Dioxane,,,,Cyanation,Ar-Br,,True
C_N_Coupling,44.3,0.99,ArBr,RNH2,ArBr,RNH2,ArX*,Aliphatic-amine,CataCXiumA Pd(allyl)Cl,CataCXiumA,K3PO4,PhMe,water,,,c_n_cross_coupling,Ar-Br,Any-NH2,True
C_N_Coupling,0.0,-1.16,ArBr,RNH2,ArBr,RNH2,ArX*,Aliphatic-amine,dpppPdCl2,dppp,Cs2CO3,EtOH,water,,,c_n_cross_coupling,Ar-Br,Any-NH2,True
C_N_Coupling,0.0,-0.27,ArCl,R2NH a-branch,ArCl,R2NH-a-branch,ArX*,Aliphatic-amine,GPhos Pd G6 Br,GPhos,NaOtBu,Dioxane,,,,c_n_cross_coupling,Ar-Cl,Any-NHR,True
Negishi,3.32,-0.2,ArCl,ArCl,ArCl,,ArX*,,CX31,SIPr,,PhMe,,CuI,,negishi,Ar-Cl,,True
Negishi,2.74,-0.26,ArCl,ArCl,ArCl,,ArX*,,AlphosPd)2cod,AlPhos,,PhMe,,KOPiv,,negishi,Ar-Cl,,True
CO-Coupling,1.56,-0.56,ArBr,ArBr,ArBr,,ArX*,,(R)-BINAP Pd(allyl)Cl,BINAP,NaOtBu,MeTHF,,,,c_o_coupling,Ar-Br,,True
C_N_Coupling,46.72,2.11,R2NH,ArCl,ArCl,R2NH,ArX*,Aliphatic-amine,RuPhos Pd(crotyl)Cl,RuPhos,Cs2CO3,tAmOH,,,,c_n_cross_coupling,Ar-Cl,Any-NHR,True
Negishi-in-situ,16.23,4.84,ArCl,Alkyl-Br,"Alkyl-Br, ArCl",,"ArX*, Alkyl-X",,Ni(COD)(DQ),Weix 2-pyridylcarboxamidine,,DMAc,,NaI,,negishi,"R-Br,Ar-Cl",,False
Suzuki,10.07,-0.56,ArI,ArB(OR)2,ArI,ArB(OR)2,ArX*,ArB*,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,K2CO3,tAmOH,,,,suzuki_miyaura,Ar-I,Ar-B(OR)2,True
Suzuki,13.48,0.54,ArI,ArB(OR)2,ArI,,ArX*,,P(tBu)3 Pd G6,P(tBu)3,Cs2CO3,PhMe,,,,suzuki_miyaura,Ar-I,,True
CO-Coupling,15.1,0.52,ArI,Alkyl-OH a-branch,ArI,ROH-a-branch,ArX*,ROH,Cu(MeCN)4BF4,8-Quinolol,NaOtBu,MeTHF,,,,c_o_coupling,Ar-I,R2CH-OH,True
C_N_Coupling,4.81,0.61,RNH2,ArCl,ArCl,RNH2,ArX*,Aliphatic-amine,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,KHMDS,PhMe,,,,c_n_cross_coupling,Ar-Cl,Any-NH2,True
C_N_Coupling,3.0,-0.36,ArCl,R2NH,ArCl,R2NH,ArX*,Aliphatic-amine,XPhos Pd(crotyl)Cl,XPhos,NaOtBu,PhMe,,,,c_n_cross_coupling,Ar-Cl,Any-NHR,True
CO-Coupling,40.56,2.05,alkyl-OH primary,ArCl,ArCl,,ArX*,,RuPhos Pd(crotyl)Cl,RuPhos,LiOtBu,MeTHF,,,,c_o_coupling,Ar-Cl,,True
Alkylation,0.0,-1.53,R2NH a-branch,Alkyl-Cl,Alkyl-Cl,R2NH-a-branch,Alkyl-X,Aliphatic-amine,,No Ligand,lutidine,MeCN,,TBAI,,Alkylation,R-Cl,Any-NHR,True
Alkylation,96.85,1.24,R2NH a-branch,Alkyl-Cl,Alkyl-Cl,R2NH-a-branch,Alkyl-X,Aliphatic-amine,,No Ligand,K2CO3,MeCN,,TBAI,,Alkylation,R-Cl,Any-NHR,True
CC-Coupling,0.0,-0.34,ArBr,ArBr,ArBr,,ArX*,,RockPhos Pd G3,RockPhos,"K3PO4, Potassium 2-ethylhexanoate",MeCN,water,,,CC-Coupling,Ar-Br,,True
Condensation,1.22,-0.86,hydrazide,hydrazide,,,,,,No Ligand,morpholine,TFE,,,,Condensation,,,True
Condensation,0.0,-0.9,hydrazide,hydrazide,,,,,,No Ligand,morpholine,TFE,,,,Condensation,,,True
Suzuki,3.37,-2.16,ArB(OH)2,ArCl,ArCl,ArB(OH)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,K2CO3,Brij 35,water,,,suzuki_miyaura,Ar-Cl,Ar-B(OH)2,True
Suzuki,87.78,0.41,ArB(OH)2,ArCl,ArCl,ArB(OH)2,ArX*,ArB*,dppf Pd G3,dppf,K2CO3,Dioxane,water,,,suzuki_miyaura,Ar-Cl,Ar-B(OH)2,True
Suzuki,38.93,-0.25,ArB(OR)2,ArCl,ArCl,ArB(OR)2,ArX*,ArB*,cataCXiumA Pd G3,CataCXiumA,KOH,MeCN,water,,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
Suzuki,100.0,1.63,ArB(OR)2,ArCl,ArCl,ArB(OR)2,ArX*,ArB*,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,Cs2CO3,THF,water,water,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
Suzuki,35.17,-0.37,ArB(OR)2,ArCl,ArCl,ArB(OR)2,ArX*,ArB*,dppf Pd G3,dppf,K2CO3,Dioxane,water,,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
Suzuki,50.43,0.6,ArB(OH)2,ArBr,ArBr,ArB(OH)2,ArX*,ArB*,SPhos Pd(crotyl)Cl,SPhos,K3PO4,tAmOH,water,,,suzuki_miyaura,Ar-Br,Ar-B(OH)2,True
amide_formation,0.0,-0.66,ArNH2,RCO2H or M,,"ArNH2, RCO2H",,"Aniline-type, Acyl-source",,No Ligand,DMAP,DMI,,,TCFH,amide_coupling,,"Ar-NH2,Any-CO2H",False
C_N_Coupling,0.0,-0.67,ArCl,arom. NH,ArCl,arom-NH,ArX*,Aniline-type,CataCXiumA Pd(allyl)Cl,CataCXiumA,K3PO4,MeTHF,water,,,c_n_cross_coupling,Ar-Cl,AromN-H,True
C_N_Coupling,4.63,0.15,Ar2NH,ArBr,ArBr,Ar2NH,ArX*,Aniline-type,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,LiHMDS,nBuOAc,,,,c_n_cross_coupling,Ar-Br,Ar-NHAr,True
C_N_Coupling,2.67,-0.11,Ar2NH,ArBr,ArBr,Ar2NH,ArX*,Aniline-type,QPhos Pd(crotyl)Cl,QPhos,TMSOK,PhMe,,,,c_n_cross_coupling,Ar-Br,Ar-NHAr,True
C_N_Coupling,0.0,-0.45,Ar2NH,ArBr,ArBr,Ar2NH,ArX*,Aniline-type,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,LiHMDS,Dioxane,,,,c_n_cross_coupling,Ar-Br,Ar-NHAr,True
C_N_Coupling,78.56,1.86,ArBr,Lactam,ArBr,Lactam,ArX*,Amide-type,[Pd(allyl)(Me4-tBu-XPhos)]OTf,Me4tBuXPhos,DBU,Dioxane,,,,c_n_cross_coupling,Ar-Br,Any-Lactam,True
C_N_Coupling,92.47,1.23,RNH2 a-branch,ArBr,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,Cs2CO3,iPrOAc,water,,,c_n_cross_coupling,Ar-Br,Any-NH2,True
C_N_Coupling,4.4,-0.44,ArNH2,ArCl,ArCl,ArNH2,ArX*,Aniline-type,meCgPPh Pd G3,meCgPPh,KHMDS,PhMe,,,,c_n_cross_coupling,Ar-Cl,Ar-NH2,True
C_N_Coupling,23.24,1.72,ArNH2,ArCl,ArCl,ArNH2,ArX*,Aniline-type,Pd-PEPPSI-IHept Cl 3-chloropyridine,IHept Cl,TMSOK,TBME,,,,c_n_cross_coupling,Ar-Cl,Ar-NH2,True
Suzuki,26.58,-0.41,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,dpppPdCl2,dppp,Na2CO3,tAmOH,water,TPGS-750M,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
Suzuki,23.44,-0.5,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,dcypfPdCl2,dcypf,K3PO4,tAmOH,water,Brij 35,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
Suzuki,94.04,1.43,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,Pd-PEPPSI-IHept Cl 3-chloropyridine,IHept Cl,K3PO4,THF,water,,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
Cyclization,0.0,-1.06,ArBr,ArBr,ArBr,,ArX*,,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,Li2CO3,tAmOH,,,,Cyclization,Ar-Br,,True
Cyclization,17.68,-0.25,ArBr,ArBr,ArBr,,ArX*,,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,LiOtBu,MeCN,,,,Cyclization,Ar-Br,,True
Cyclization,52.5,1.34,ArBr,ArBr,ArBr,,ArX*,,AlPhosPd G6 Br,AlPhos,TMSOK,iPrOAc,,Potassium 2-ethylhexanoate,,Cyclization,Ar-Br,,True
C_N_Coupling,0.0,-0.54,ArBr,Urea,ArBr,Urea,ArX*,Amide-type,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,K3PO4,PhMe,water,TBAC,,c_n_cross_coupling,Ar-Br,Any-Urea,True
Hydrolysis,18.56,-0.37,ArBr,ArBr,ArBr,,ArX*,,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,Dioxane,water,,,Hydrolysis,Ar-Br,,True
C_N_Coupling,83.01,1.83,R2NH,ArBr,,R2NH,,Aliphatic-amine,AlPhosPd G6 Br,AlPhos,KHMDS,PhMe,,Potassium 2-ethylhexanoate,,c_n_cross_coupling,,Any-NHR,True
CO-Coupling,20.81,9.58,ArI,ArI,ArI,,ArX*,,Cu(MeCN)4BF4,8-Quinolol,NaOtBu,MeTHF,,,,c_o_coupling,Ar-I,,True
C_N_Coupling,0.0,-0.44,ArBr,RNH2,ArBr,RNH2,ArX*,Aliphatic-amine,AlPhosPd G6 Br,AlPhos,NaOtBu,Dioxane,,,,c_n_cross_coupling,Ar-Br,Any-NH2,True
C_N_Coupling,25.96,0.15,R2NH,ArI,ArI,R2NH,ArX*,Aliphatic-amine,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,CsF,DMI,,,,c_n_cross_coupling,Ar-I,Any-NHR,True
Sonogashira,50.98,3.48,ArBr,alkyne,ArBr,alkyne,ArX*,Alkyne,"Cu(MeCN)4BF4, XPhos Pd G2",XPhos,NEt3,DMF,,,,sonogashira,Ar-Br,Any-Alkyne,True
Suzuki,78.4,0.97,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,dcypfPdCl2,dcypf,K3PO4,anisole,water,,,suzuki_miyaura,Ar-Br,Ar-B(OR)2,True
Suzuki,49.88,0.13,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,dppf Pd G3,dppf,K2CO3,Dioxane,water,,,suzuki_miyaura,Ar-Br,Ar-B(OR)2,True
Suzuki,0.0,-1.04,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,SPhos Pd(crotyl)Cl,SPhos,KOH,nBuOAc,water,,,suzuki_miyaura,Ar-Br,Ar-B(OH)2,True
Suzuki,2.92,-0.86,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,AmPhos2PdCl2,AmPhos,,TBME,,,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
Suzuki,0.0,-0.94,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,dppfPdCl2,dppf,,TBME,,,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
Suzuki,10.63,-0.65,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,dppf Pd G3,dppf,Na2CO3,THF,water,,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
C_N_Coupling,18.33,-0.28,Lactam,ArBr,ArBr,Lactam,ArX*,Amide-type,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,Na2CO3,CPME,water,,,c_n_cross_coupling,Ar-Br,Any-Lactam,True
C_N_Coupling,1.4,-0.96,Lactam,ArBr,ArBr,Lactam,ArX*,Amide-type,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,Na2CO3,CPME,water,,,c_n_cross_coupling,Ar-Br,Any-Lactam,True
C_N_Coupling,80.83,2.24,Lactam,ArBr,ArBr,Lactam,ArX*,Amide-type,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,LiHMDS,tAmOH,,,,c_n_cross_coupling,Ar-Br,Any-Lactam,True
C_N_Coupling,0.28,-0.74,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,Pd-PEPPSI-IHept Cl 3-chloropyridine,IHept Cl,K2HPO4,DMI,,,,c_n_cross_coupling,Ar-Br,Ar-NH2,True
C_N_Coupling,0.0,-0.76,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,rac-BINAP Pd G3,BINAP,KOH,tAmOH,water,,,c_n_cross_coupling,Ar-Br,Ar-NH2,True
C_N_Coupling,73.52,1.53,RCONHR,RCONHR,,,,,CuI,"1,10-Phenanthroline",K3PO4,Dioxane,,,,c_n_cross_coupling,,,True
Mitsunobu,0.0,-0.34,ArOH,ArOH,ArOH,ArOH,ArOH,ArOH,,No Ligand,DIPEA,DMF,,,,Mitsunobu,Ar-OH,Ar-OH,True
C_N_Coupling,49.79,1.15,ArNHR,ArBr,ArBr,ArNHR,ArX*,Aniline-type,dppfPdCl2,dppf,NaOtBu,Ph2O,,,,c_n_cross_coupling,Ar-Br,Ar-NHR,True
C_N_Coupling,14.62,-0.32,ArNHR,ArBr,ArBr,ArNHR,ArX*,Aniline-type,rac-BINAP Pd G3,BINAP,KHMDS,PhMe,,,,c_n_cross_coupling,Ar-Br,Ar-NHR,True
Suzuki,0.0,-0.59,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,Cs2CO3,tAmOH,,,,suzuki_miyaura,Ar-Br,Ar-B(OH)2,True
Cyclization,0.0,-0.34,ArBr,ArBr,ArBr,,ArX*,,PPh3)2PdCl2,PPh3,K3PO4,Dioxane,,,,Cyclization,Ar-Br,,True
Suzuki,0.0,-0.8,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,K3PO4,EtOH,water,,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
C_N_Coupling,0.0,-0.38,ArBr,RNH2 a-branch,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,AlphosPd)2cod,AlPhos,NaOtBu,PhMe,,,,c_n_cross_coupling,Ar-Br,Any-NH2,True
Suzuki,0.0,-0.76,ArB(OR)2,ArBr,ArBr,ArB(OR)2,ArX*,ArB*,CataCXiumA Pd(allyl)Cl,CataCXiumA,K3PO4,PhMe,,water,,suzuki_miyaura,Ar-Br,Ar-B(OR)2,True
Borylation-Miyaura,15.95,0.08,ArBr,ArBr,ArBr,,ArX*,,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,Cs2CO3,THF,,,,miyaura_borylation,Ar-Br,,True
Borylation-Miyaura,8.82,-0.28,ArBr,ArBr,ArBr,,ArX*,,dppf Pd G3,dppf,Cs2CO3,iPrOAc,,,,miyaura_borylation,Ar-Br,,True
Borylation-Miyaura,7.18,-0.36,ArBr,ArBr,ArBr,,ArX*,,AlphosPd)2cod,AlPhos,Cs2CO3,propylene carbonate,,,,miyaura_borylation,Ar-Br,,True
