reaction_type,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive,reaction_smiles,smiles,reactant_smiles,product_smiles,reaction_key,reactant_types_key,product_type,reactant_a_all_motifs,reactant_b_all_motifs,all_reactant_motifs,all_product_motifs,reacted_motifs,formed_motifs,spectator_motifs,is_intramolecular,coupling_reagent,secondary_solvent,catalytic_system,condition_core,raw_reagents,raw_solvents
Alkyl-H-acidic|R2CH-OR -> R3C-OR || Alkyl-OR|Any-OR|CH3-OR,90,-0.08808535981127374,R2CH-OR,Alkyl-H-acidic,p-TsOH,1318-93-0,,MeOH,,COC(OC)OC.O=C1CCCCCCCCCCC1>>COC1(OC)CCCCCCCCCCC1,COC(OC)OC.O=C1CCCCCCCCCCC1>>COC1(OC)CCCCCCCCCCC1,COC(OC)OC.O=C1CCCCCCCCCCC1,COC1(OC)CCCCCCCCCCC1,Alkyl-H-acidic|R2CH-OR -> R3C-OR || Alkyl-OR|Any-OR|CH3-OR,Alkyl-H-acidic|R2CH-OR,"R3C-OR,CH3-OR,Alkyl-OR,Any-OR","R2CH-OR,CH3-OR,Alkyl-OR,Any-OR","Alkyl-H-acidic,RCH2-COR,Alkyl-COR,Any-COR",Alkyl-COR|Alkyl-H-acidic|Alkyl-OR|Any-COR|Any-OR|CH3-OR|R2CH-OR|RCH2-COR,Alkyl-OR|Any-OR|CH3-OR|R3C-OR,Alkyl-COR|Alkyl-H-acidic|Alkyl-OR|Any-COR|Any-OR|CH3-OR|R2CH-OR|RCH2-COR,R3C-OR,Alkyl-OR|Any-OR|CH3-OR,False,,,"p-TsOH, 1318-93-0",,[],"[{""name"": ""MeOH"", ""cas"": ""67-56-1""}]"
Alkyl-H-acidic|R2CH-OR -> R3C-OR || Alkyl-OR|Any-OR|CH3-OR,80,-2.0530664632935234,Alkyl-H-acidic,R2CH-OR,6192-52-5,,K2CO3,MeOH / water,,O=C1CCCCC1.COC(OC)OC>>COC1(OC)CCCCC1,O=C1CCCCC1.COC(OC)OC>>COC1(OC)CCCCC1,O=C1CCCCC1.COC(OC)OC,COC1(OC)CCCCC1,Alkyl-H-acidic|R2CH-OR -> R3C-OR || Alkyl-OR|Any-OR|CH3-OR,Alkyl-H-acidic|R2CH-OR,"R3C-OR,CH3-OR,Alkyl-OR,Any-OR","Alkyl-H-acidic,RCH2-COR,Alkyl-COR,Any-COR","R2CH-OR,CH3-OR,Alkyl-OR,Any-OR",Alkyl-COR|Alkyl-H-acidic|Alkyl-OR|Any-COR|Any-OR|CH3-OR|R2CH-OR|RCH2-COR,Alkyl-OR|Any-OR|CH3-OR|R3C-OR,Alkyl-COR|Alkyl-H-acidic|Alkyl-OR|Any-COR|Any-OR|CH3-OR|R2CH-OR|RCH2-COR,R3C-OR,Alkyl-OR|Any-OR|CH3-OR,False,,,6192-52-5,K2CO3,"[{""name"": ""K2CO3"", ""cas"": ""584-08-7"", ""role"": ""BASE""}]","[{""name"": ""MeOH"", ""cas"": ""67-56-1""}, {""name"": ""water"", ""cas"": ""7732-18-5""}]"
Ar-CHO|RCH2-OH -> H-Alkenyl || Alkyl-C=CH2|Any-C=C|Any-Dienophile|Any-NO2|Any-NR2|Ar-NO2|Ar-NR2|H-Alkenyl|Motif-C=C,85,0.0,Ar-CHO,RCH2-OH,p-TsOH,25233-30-1,,DCM,,O=Cc1ccc([N+](=O)[O-])cc1.C=CCCO>>C=CCCOC(OCCC=C)c1ccc([N+](=O)[O-])cc1,O=Cc1ccc([N+](=O)[O-])cc1.C=CCCO>>C=CCCOC(OCCC=C)c1ccc([N+](=O)[O-])cc1,O=Cc1ccc([N+](=O)[O-])cc1.C=CCCO,C=CCCOC(OCCC=C)c1ccc([N+](=O)[O-])cc1,Ar-CHO|RCH2-OH -> H-Alkenyl || Alkyl-C=CH2|Any-C=C|Any-Dienophile|Any-NO2|Any-NR2|Ar-NO2|Ar-NR2|H-Alkenyl|Motif-C=C,Ar-CHO|RCH2-OH,"H-Alkenyl,Any-Dienophile,Motif-C=C,Any-C=C,Alkyl-C=CH2,Ar-NO2,Ar-NR2,Any-NO2,Any-NR2,Ar-R,RCH2-OR,R2CH-OR","Ar-NO2,Ar-NR2,Any-NO2,Any-NR2,Ar-CHO,Any-CHO","H-Alkenyl,Any-Dienophile,Motif-C=C,Any-C=C,Alkyl-C=CH2,RCH2-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-C=CH2|Alkyl-OH|Any-C=C|Any-CHO|Any-Dienophile|Any-NO2|Any-NR2|Any-OH|Ar-CHO|Ar-NO2|Ar-NR2|H-Alkenyl|H-OR|Motif-C=C|RCH2-OH,Alkyl-C=CH2|Any-C=C|Any-Dienophile|Any-NO2|Any-NR2|Ar-NO2|Ar-NR2|Ar-R|H-Alkenyl|Motif-C=C|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Alkyl-C=CH2|Any-C=C|Any-Dienophile|Ar-R|H-Alkenyl|Motif-C=C|R2CH-OR|RCH2-OR,Alkyl-C=CH2|Any-C=C|Any-Dienophile|Any-NO2|Any-NR2|Ar-NO2|Ar-NR2|H-Alkenyl|Motif-C=C,False,,,"p-TsOH, 25233-30-1",,[],"[{""name"": ""DCM"", ""cas"": ""75-09-2""}]"
Ar-CHO|Bn-OH -> Ar-R || Ar-R|Furan,85,0.0,Ar-CHO,Bn-OH,7783-52-0,,,PhMe,,O=Cc1ccco1.OCc1ccccc1>>c1ccc(COC(OCc2ccccc2)c2ccco2)cc1,O=Cc1ccco1.OCc1ccccc1>>c1ccc(COC(OCc2ccccc2)c2ccco2)cc1,O=Cc1ccco1.OCc1ccccc1,c1ccc(COC(OCc2ccccc2)c2ccco2)cc1,Ar-CHO|Bn-OH -> Ar-R || Ar-R|Furan,Ar-CHO|Bn-OH,"Ar-R,Bn-OR,R2CH-OR,RCH2-OR,Alkyl-OR,Any-OR,Furan","Ar-CHO,Any-CHO,Furan","Ar-R,Bn-OH,RCH2-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|Ar-R|Bn-OH|Furan|H-OR|RCH2-OH,Alkyl-OR|Any-OR|Ar-R|Bn-OR|Furan|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|Bn-OH|H-OR|RCH2-OH,Alkyl-OR|Any-OR|Ar-R|Bn-OR|R2CH-OR|RCH2-OR,Ar-R|Furan,False,,,7783-52-0,,[],"[{""name"": ""PhMe"", ""cas"": ""108-88-3""}]"
CH3-OH|RCH2-CHO -> Ar-R || Alkyl-OH|Alkyl-SR|Any-OH|Any-SR|Ar-R|Bn-SR|H-OR|RCH2-SR,84,0.0,RCH2-CHO,CH3-OH,TFA,346440-54-8,,Et2O,,O=CCSCc1ccccc1.CO>>COC(OC)[C@H](SCc1ccccc1)[C@H](O)CSCc1ccccc1,O=CCSCc1ccccc1.CO>>COC(OC)[C@H](SCc1ccccc1)[C@H](O)CSCc1ccccc1,O=CCSCc1ccccc1.CO,COC(OC)[C@H](SCc1ccccc1)[C@H](O)CSCc1ccccc1,CH3-OH|RCH2-CHO -> Ar-R || Alkyl-OH|Alkyl-SR|Any-OH|Any-SR|Ar-R|Bn-SR|H-OR|RCH2-SR,CH3-OH|RCH2-CHO,"Ar-R,Bn-SR,R2CH-SR,RCH2-SR,Alkyl-SR,Any-SR,R2CH-OR,CH3-OR,Alkyl-OR,Any-OR,R2CH-OH,Alkyl-OH,Any-OH,H-OR","Ar-R,RCH2-CHO,Alkyl-CHO,Any-CHO,Bn-SR,RCH2-SR,Alkyl-SR,Any-SR,Alkyl-H-acidic","CH3-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-CHO|Alkyl-H-acidic|Alkyl-OH|Alkyl-SR|Any-CHO|Any-OH|Any-SR|Ar-R|Bn-SR|CH3-OH|H-OR|RCH2-CHO|RCH2-SR,Alkyl-OH|Alkyl-OR|Alkyl-SR|Any-OH|Any-OR|Any-SR|Ar-R|Bn-SR|CH3-OR|H-OR|R2CH-OH|R2CH-OR|R2CH-SR|RCH2-SR,Alkyl-CHO|Alkyl-H-acidic|Any-CHO|CH3-OH|RCH2-CHO,Alkyl-OR|Alkyl-SR|Any-OR|Any-SR|Ar-R|Bn-SR|CH3-OR|R2CH-OH|R2CH-OR|R2CH-SR|RCH2-SR,Alkyl-OH|Alkyl-SR|Any-OH|Any-SR|Ar-R|Bn-SR|H-OR|RCH2-SR,False,,,"TFA, 346440-54-8",,"[{""name"": ""9037-24-5"", ""cas"": ""9037-24-5"", ""role"": ""UNK""}]","[{""name"": ""Et2O"", ""cas"": ""60-29-7""}]"
Alkyl-H-acidic|Alkyl-Si -> RCH2-OR || Alkyl-Br|Alkyl-X|Any-X|RCH2-Br|RCH2-X,89,-0.7071067811865476,Alkyl-H-acidic,Alkyl-Si,81628-07-1,,,CHCl3,,O=C(CBr)CBr.C[Si](C)(C)OCCO[Si](C)(C)C>>BrCC1(CBr)OCCO1,O=C(CBr)CBr.C[Si](C)(C)OCCO[Si](C)(C)C>>BrCC1(CBr)OCCO1,O=C(CBr)CBr.C[Si](C)(C)OCCO[Si](C)(C)C,BrCC1(CBr)OCCO1,Alkyl-H-acidic|Alkyl-Si -> RCH2-OR || Alkyl-Br|Alkyl-X|Any-X|RCH2-Br|RCH2-X,Alkyl-H-acidic|Alkyl-Si,"RCH2-OR,R3C-OR,RCH2-Br,Alkyl-Br,RCH2-X,Alkyl-X,Any-X","Alkyl-H-acidic,RCH2-COR,Alkyl-COR,Any-COR,RCH2-Br,Alkyl-Br,RCH2-X,Alkyl-X,Any-X","Alkyl-Si,Any-Si,Any-OR",Alkyl-Br|Alkyl-COR|Alkyl-H-acidic|Alkyl-Si|Alkyl-X|Any-COR|Any-OR|Any-Si|Any-X|RCH2-Br|RCH2-COR|RCH2-X,Alkyl-Br|Alkyl-X|Any-X|R3C-OR|RCH2-Br|RCH2-OR|RCH2-X,Alkyl-COR|Alkyl-H-acidic|Alkyl-Si|Any-COR|Any-OR|Any-Si|RCH2-COR,R3C-OR|RCH2-OR,Alkyl-Br|Alkyl-X|Any-X|RCH2-Br|RCH2-X,False,,,81628-07-1,,[],"[{""name"": ""CHCl3"", ""cas"": ""67-66-3""}]"
Ar-CHO|RCH2-OH -> Ar-R || Furan,85,-1.2019082092436753,Ar-CHO,RCH2-OH,9032-43-3,,,,,O=Cc1ccco1.OCC(CO)(CO)CO>>c1coc(C2OCC3(CO2)COC(c2ccco2)OC3)c1,O=Cc1ccco1.OCC(CO)(CO)CO>>c1coc(C2OCC3(CO2)COC(c2ccco2)OC3)c1,O=Cc1ccco1.OCC(CO)(CO)CO,c1coc(C2OCC3(CO2)COC(c2ccco2)OC3)c1,Ar-CHO|RCH2-OH -> Ar-R || Furan,Ar-CHO|RCH2-OH,"Ar-R,RCH2-OR,R2CH-OR,Furan","Ar-CHO,Any-CHO,Furan","RCH2-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|Furan|H-OR|RCH2-OH,Ar-R|Furan|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|Furan|R2CH-OR|RCH2-OR,Furan,False,,,9032-43-3,,[],[]
Alkyl-H-acidic|R2CH-OR -> R3C-OR || Alkyl-Ester|Alkyl-H-acidic|Alkyl-OR|Any-CO2R|Any-OR|CH3-OR|RCH2-CO2R,88,-0.7071067811865476,R2CH-OR,Alkyl-H-acidic,p-TsOH,,Et3N,MeOH,,COC(OC)OC.CCOC(=O)CCC(C)=O>>CCOC(=O)CCC(C)(OC)OC,COC(OC)OC.CCOC(=O)CCC(C)=O>>CCOC(=O)CCC(C)(OC)OC,COC(OC)OC.CCOC(=O)CCC(C)=O,CCOC(=O)CCC(C)(OC)OC,Alkyl-H-acidic|R2CH-OR -> R3C-OR || Alkyl-Ester|Alkyl-H-acidic|Alkyl-OR|Any-CO2R|Any-OR|CH3-OR|RCH2-CO2R,Alkyl-H-acidic|R2CH-OR,"RCH2-CO2R,Alkyl-Ester,Any-CO2R,Alkyl-H-acidic,R3C-OR,CH3-OR,Alkyl-OR,Any-OR","R2CH-OR,CH3-OR,Alkyl-OR,Any-OR","RCH2-CO2R,Alkyl-Ester,Any-CO2R,Alkyl-H-acidic,RCH2-COR,Alkyl-COR,Any-COR",Alkyl-COR|Alkyl-Ester|Alkyl-H-acidic|Alkyl-OR|Any-CO2R|Any-COR|Any-OR|CH3-OR|R2CH-OR|RCH2-CO2R|RCH2-COR,Alkyl-Ester|Alkyl-H-acidic|Alkyl-OR|Any-CO2R|Any-OR|CH3-OR|R3C-OR|RCH2-CO2R,Alkyl-COR|Alkyl-H-acidic|Alkyl-OR|Any-COR|Any-OR|CH3-OR|R2CH-OR|RCH2-COR,R3C-OR,Alkyl-Ester|Alkyl-H-acidic|Alkyl-OR|Any-CO2R|Any-OR|CH3-OR|RCH2-CO2R,False,,,p-TsOH,Et3N,"[{""name"": ""Et3N"", ""cas"": ""121-44-8"", ""role"": ""BASE""}]","[{""name"": ""MeOH"", ""cas"": ""67-56-1""}]"
Ar-CHO|RCH2-OH -> Ar-R || None,96,0.6946891772758225,Ar-CHO,RCH2-OH,H2SO4,,,PhH,,O=Cc1ccccc1.OCC(CO)(CO)CO>>c1ccc(C2OCC3(CO2)COC(c2ccccc2)OC3)cc1,O=Cc1ccccc1.OCC(CO)(CO)CO>>c1ccc(C2OCC3(CO2)COC(c2ccccc2)OC3)cc1,O=Cc1ccccc1.OCC(CO)(CO)CO,c1ccc(C2OCC3(CO2)COC(c2ccccc2)OC3)cc1,Ar-CHO|RCH2-OH -> Ar-R || None,Ar-CHO|RCH2-OH,"Ar-R,RCH2-OR,R2CH-OR","Ar-CHO,Any-CHO","RCH2-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,None,False,,,H2SO4,,[],"[{""name"": ""PhH"", ""cas"": ""71-43-2""}]"
Ar-CHO|R2CH-OR -> Ar-R || Alkyl-OR|Any-OR|CH3-OR|R2CH-OR,95,0.3852211971798217,Ar-CHO,R2CH-OR,TMSCI,,,MeOH,LiClO4,O=Cc1ccccc1.COC(OC)OC>>COC(OC)c1ccccc1,O=Cc1ccccc1.COC(OC)OC>>COC(OC)c1ccccc1,O=Cc1ccccc1.COC(OC)OC,COC(OC)c1ccccc1,Ar-CHO|R2CH-OR -> Ar-R || Alkyl-OR|Any-OR|CH3-OR|R2CH-OR,Ar-CHO|R2CH-OR,"Ar-R,R2CH-OR,CH3-OR,Alkyl-OR,Any-OR","Ar-CHO,Any-CHO","R2CH-OR,CH3-OR,Alkyl-OR,Any-OR",Alkyl-OR|Any-CHO|Any-OR|Ar-CHO|CH3-OR|R2CH-OR,Alkyl-OR|Any-OR|Ar-R|CH3-OR|R2CH-OR,Alkyl-OR|Any-CHO|Any-OR|Ar-CHO|CH3-OR|R2CH-OR,Ar-R,Alkyl-OR|Any-OR|CH3-OR|R2CH-OR,False,,,TMSCI,LiClO4,"[{""name"": ""LiClO4"", ""cas"": ""7791-03-9"", ""role"": ""ADDITIVE""}, {""name"": ""DCM"", ""cas"": ""75-09-2"", ""role"": ""SOLVENT""}]","[{""name"": ""MeOH"", ""cas"": ""67-56-1""}]"
Alkyl-H-acidic|RCH2-OH -> RCH2-OR || None,94,0.6282506443066413,Alkyl-H-acidic,RCH2-OH,7782-42-5,,,PhMe,,O=C1CCCCC1.OCC(CO)(CO)CO>>C1CCC2(CC1)OCC1(CO2)COC2(CCCCC2)OC1,O=C1CCCCC1.OCC(CO)(CO)CO>>C1CCC2(CC1)OCC1(CO2)COC2(CCCCC2)OC1,O=C1CCCCC1.OCC(CO)(CO)CO,C1CCC2(CC1)OCC1(CO2)COC2(CCCCC2)OC1,Alkyl-H-acidic|RCH2-OH -> RCH2-OR || None,Alkyl-H-acidic|RCH2-OH,"RCH2-OR,R3C-OR","Alkyl-H-acidic,RCH2-COR,Alkyl-COR,Any-COR","RCH2-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-COR|Alkyl-H-acidic|Alkyl-OH|Any-COR|Any-OH|H-OR|RCH2-COR|RCH2-OH,R3C-OR|RCH2-OR,Alkyl-COR|Alkyl-H-acidic|Alkyl-OH|Any-COR|Any-OH|H-OR|RCH2-COR|RCH2-OH,R3C-OR|RCH2-OR,None,False,,,7782-42-5,,[],"[{""name"": ""PhMe"", ""cas"": ""108-88-3""}]"
Alkyl-H-acidic|RCH2-OH -> RCH2-OR || None,89,-0.22232998672513793,RCH2-OH,Alkyl-H-acidic,76089-77-5,,Et3N,EtOH,,CCO.CCCCCCC(C)=O>>CCCCCCC(C)(OCC)OCC,CCO.CCCCCCC(C)=O>>CCCCCCC(C)(OCC)OCC,CCO.CCCCCCC(C)=O,CCCCCCC(C)(OCC)OCC,Alkyl-H-acidic|RCH2-OH -> RCH2-OR || None,Alkyl-H-acidic|RCH2-OH,"RCH2-OR,R3C-OR","RCH2-OH,Alkyl-OH,Any-OH,H-OR","Alkyl-H-acidic,RCH2-COR,Alkyl-COR,Any-COR",Alkyl-COR|Alkyl-H-acidic|Alkyl-OH|Any-COR|Any-OH|H-OR|RCH2-COR|RCH2-OH,R3C-OR|RCH2-OR,Alkyl-COR|Alkyl-H-acidic|Alkyl-OH|Any-COR|Any-OH|H-OR|RCH2-COR|RCH2-OH,R3C-OR|RCH2-OR,None,False,,,76089-77-5,Et3N,"[{""name"": ""122-51-0"", ""cas"": ""122-51-0"", ""role"": ""UNK""}, {""name"": ""Et3N"", ""cas"": ""121-44-8"", ""role"": ""BASE""}]","[{""name"": ""EtOH"", ""cas"": ""64-17-5""}]"
Alkyl-H-acidic|R2CH-OR -> R3C-OR || Alkyl-OR|Any-OR|CH3-OR,89,-0.28458347015949875,R2CH-OR,Alkyl-H-acidic,p-TsOH,1318-93-0,,MeOH,,COC(OC)OC.O=C1CCCCCC1>>COC1(OC)CCCCCC1,COC(OC)OC.O=C1CCCCCC1>>COC1(OC)CCCCCC1,COC(OC)OC.O=C1CCCCCC1,COC1(OC)CCCCCC1,Alkyl-H-acidic|R2CH-OR -> R3C-OR || Alkyl-OR|Any-OR|CH3-OR,Alkyl-H-acidic|R2CH-OR,"R3C-OR,CH3-OR,Alkyl-OR,Any-OR","R2CH-OR,CH3-OR,Alkyl-OR,Any-OR","Alkyl-H-acidic,RCH2-COR,Alkyl-COR,Any-COR",Alkyl-COR|Alkyl-H-acidic|Alkyl-OR|Any-COR|Any-OR|CH3-OR|R2CH-OR|RCH2-COR,Alkyl-OR|Any-OR|CH3-OR|R3C-OR,Alkyl-COR|Alkyl-H-acidic|Alkyl-OR|Any-COR|Any-OR|CH3-OR|R2CH-OR|RCH2-COR,R3C-OR,Alkyl-OR|Any-OR|CH3-OR,False,,,"p-TsOH, 1318-93-0",,[],"[{""name"": ""MeOH"", ""cas"": ""67-56-1""}]"
Ar-CHO|RCH2-OH -> Ar-R || Ar-R,85,-1.255067560013433,RCH2-OH,Ar-CHO,20244-61-5,,NaOH,EtOH / water,,OCCO.Cc1ccccc1C=O>>Cc1ccccc1C1OCCO1,OCCO.Cc1ccccc1C=O>>Cc1ccccc1C1OCCO1,OCCO.Cc1ccccc1C=O,Cc1ccccc1C1OCCO1,Ar-CHO|RCH2-OH -> Ar-R || Ar-R,Ar-CHO|RCH2-OH,"Ar-R,RCH2-OR,R2CH-OR","RCH2-OH,Alkyl-OH,Any-OH,H-OR","Ar-CHO,Any-CHO,Ar-R",Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|Ar-R|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Ar-R,False,,,20244-61-5,NaOH,"[{""name"": ""122-51-0"", ""cas"": ""122-51-0"", ""role"": ""UNK""}, {""name"": ""NaOH"", ""cas"": ""1310-73-2"", ""role"": ""BASE""}]","[{""name"": ""EtOH"", ""cas"": ""64-17-5""}, {""name"": ""water"", ""cas"": ""7732-18-5""}]"
RCH2-CHO|RCH2-OH -> RCH2-OR || None,97,0.9003880266350629,RCH2-CHO,RCH2-OH,7782-42-5,,,PhH,,CCCCCCC=O.OCC(CO)(CO)CO>>CCCCCCC1OCC2(CO1)COC(CCCCCC)OC2,CCCCCCC=O.OCC(CO)(CO)CO>>CCCCCCC1OCC2(CO1)COC(CCCCCC)OC2,CCCCCCC=O.OCC(CO)(CO)CO,CCCCCCC1OCC2(CO1)COC(CCCCCC)OC2,RCH2-CHO|RCH2-OH -> RCH2-OR || None,RCH2-CHO|RCH2-OH,"RCH2-OR,R2CH-OR","RCH2-CHO,Alkyl-CHO,Any-CHO,Alkyl-H-acidic","RCH2-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-CHO|Alkyl-H-acidic|Alkyl-OH|Any-CHO|Any-OH|H-OR|RCH2-CHO|RCH2-OH,R2CH-OR|RCH2-OR,Alkyl-CHO|Alkyl-H-acidic|Alkyl-OH|Any-CHO|Any-OH|H-OR|RCH2-CHO|RCH2-OH,R2CH-OR|RCH2-OR,None,False,,,7782-42-5,,[],"[{""name"": ""PhH"", ""cas"": ""71-43-2""}]"
RCH2-CHO|RCH2-OH -> RCH2-OR || None,97,0.9003880266350629,RCH2-OH,RCH2-CHO,91611-40-4,,,PhMe,,OCCO.CCCCCCCC=O>>CCCCCCCC1OCCO1,OCCO.CCCCCCCC=O>>CCCCCCCC1OCCO1,OCCO.CCCCCCCC=O,CCCCCCCC1OCCO1,RCH2-CHO|RCH2-OH -> RCH2-OR || None,RCH2-CHO|RCH2-OH,"RCH2-OR,R2CH-OR","RCH2-OH,Alkyl-OH,Any-OH,H-OR","RCH2-CHO,Alkyl-CHO,Any-CHO,Alkyl-H-acidic",Alkyl-CHO|Alkyl-H-acidic|Alkyl-OH|Any-CHO|Any-OH|H-OR|RCH2-CHO|RCH2-OH,R2CH-OR|RCH2-OR,Alkyl-CHO|Alkyl-H-acidic|Alkyl-OH|Any-CHO|Any-OH|H-OR|RCH2-CHO|RCH2-OH,R2CH-OR|RCH2-OR,None,False,,,91611-40-4,,[],"[{""name"": ""PhMe"", ""cas"": ""108-88-3""}]"
Ar-CHO|CH3-OH -> Ar-R || Any-OH|Ar-OH|H-OR,100,0.98519941896189,CH3-OH,Ar-CHO,14283-07-9,,NaHCO3,MeOH / water,,CO.O=Cc1ccc(O)cc1>>COC(OC)c1ccc(O)cc1,CO.O=Cc1ccc(O)cc1>>COC(OC)c1ccc(O)cc1,CO.O=Cc1ccc(O)cc1,COC(OC)c1ccc(O)cc1,Ar-CHO|CH3-OH -> Ar-R || Any-OH|Ar-OH|H-OR,Ar-CHO|CH3-OH,"Ar-OH,Any-OH,H-OR,Ar-R,R2CH-OR,CH3-OR,Alkyl-OR,Any-OR","CH3-OH,Alkyl-OH,Any-OH,H-OR","Ar-CHO,Any-CHO,Ar-OH,Any-OH,H-OR",Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|Ar-OH|CH3-OH|H-OR,Alkyl-OR|Any-OH|Any-OR|Ar-OH|Ar-R|CH3-OR|H-OR|R2CH-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|CH3-OH|H-OR,Alkyl-OR|Any-OR|Ar-R|CH3-OR|R2CH-OR,Any-OH|Ar-OH|H-OR,False,,,14283-07-9,NaHCO3,"[{""name"": ""149-73-5"", ""cas"": ""149-73-5"", ""role"": ""UNK""}, {""name"": ""NaHCO3"", ""cas"": ""144-55-8"", ""role"": ""BASE""}]","[{""name"": ""MeOH"", ""cas"": ""67-56-1""}, {""name"": ""water"", ""cas"": ""7732-18-5""}]"
Ar-CHO|CH3-OH -> Ar-R || Furan,93,0.2632060745714252,CH3-OH,Ar-CHO,7601-90-3,7631-86-9,,MeOH,,CO.O=Cc1ccco1>>COC(OC)c1ccco1,CO.O=Cc1ccco1>>COC(OC)c1ccco1,CO.O=Cc1ccco1,COC(OC)c1ccco1,Ar-CHO|CH3-OH -> Ar-R || Furan,Ar-CHO|CH3-OH,"Ar-R,R2CH-OR,CH3-OR,Alkyl-OR,Any-OR,Furan","CH3-OH,Alkyl-OH,Any-OH,H-OR","Ar-CHO,Any-CHO,Furan",Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|CH3-OH|Furan|H-OR,Alkyl-OR|Any-OR|Ar-R|CH3-OR|Furan|R2CH-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|CH3-OH|H-OR,Alkyl-OR|Any-OR|Ar-R|CH3-OR|R2CH-OR,Furan,False,,,"7601-90-3, 7631-86-9",,"[{""name"": ""149-73-5"", ""cas"": ""149-73-5"", ""role"": ""UNK""}]","[{""name"": ""MeOH"", ""cas"": ""67-56-1""}]"
Ar-CHO -> Ar-R || Any-X|Ar-Cl|Ar-X|R2CH-OR|RCH2-OR,2,0.0,Ar-CHO,RCH2-OR,13463-67-7,14808-79-8,,EtOH,,O=Cc1ccc(Cl)cc1.CCOC(OCC)OCC.O=Cc1cccc(Cl)c1>>CCOC(OCC)c1ccc(Cl)cc1.CCOC(OCC)c1cccc(Cl)c1,O=Cc1ccc(Cl)cc1.CCOC(OCC)OCC.O=Cc1cccc(Cl)c1>>CCOC(OCC)c1ccc(Cl)cc1.CCOC(OCC)c1cccc(Cl)c1,O=Cc1ccc(Cl)cc1.CCOC(OCC)OCC.O=Cc1cccc(Cl)c1,CCOC(OCC)c1ccc(Cl)cc1.CCOC(OCC)c1cccc(Cl)c1,Ar-CHO -> Ar-R || Any-X|Ar-Cl|Ar-X|R2CH-OR|RCH2-OR,Ar-CHO|RCH2-OR,"Ar-R,Ar-Cl,Ar-X,Any-X,RCH2-OR,R2CH-OR","Ar-CHO,Any-CHO,Ar-Cl,Ar-X,Any-X","RCH2-OR,R2CH-OR",Any-CHO|Any-X|Ar-CHO|Ar-Cl|Ar-X|R2CH-OR|RCH2-OR,Any-X|Ar-Cl|Ar-R|Ar-X|R2CH-OR|RCH2-OR,Any-CHO|Ar-CHO,Ar-R|R2CH-OR|RCH2-OR,Any-X|Ar-Cl|Ar-X|R2CH-OR|RCH2-OR,False,,,"13463-67-7, 14808-79-8",,[],"[{""name"": ""EtOH"", ""cas"": ""64-17-5""}]"
CH3-OH|RCH2-CHO -> R2CH-OR || Ar-R,93,0.08716277134307326,CH3-OH,RCH2-CHO,2236-01-3,,,MeOH,,CO.O=CCCc1ccccc1>>COC(CCc1ccccc1)OC,CO.O=CCCc1ccccc1>>COC(CCc1ccccc1)OC,CO.O=CCCc1ccccc1,COC(CCc1ccccc1)OC,CH3-OH|RCH2-CHO -> R2CH-OR || Ar-R,CH3-OH|RCH2-CHO,"Ar-R,R2CH-OR,CH3-OR,Alkyl-OR,Any-OR","CH3-OH,Alkyl-OH,Any-OH,H-OR","Ar-R,RCH2-CHO,Alkyl-CHO,Any-CHO,Alkyl-H-acidic",Alkyl-CHO|Alkyl-H-acidic|Alkyl-OH|Any-CHO|Any-OH|Ar-R|CH3-OH|H-OR|RCH2-CHO,Alkyl-OR|Any-OR|Ar-R|CH3-OR|R2CH-OR,Alkyl-CHO|Alkyl-H-acidic|Alkyl-OH|Any-CHO|Any-OH|CH3-OH|H-OR|RCH2-CHO,Alkyl-OR|Any-OR|CH3-OR|R2CH-OR,Ar-R,False,,,2236-01-3,,[],"[{""name"": ""MeOH"", ""cas"": ""67-56-1""}]"
