reaction_type,yield,z_score,reactant_1,orig_reactant_1,reactant_2,orig_reactant_2,catalyst,ligand,base,solvent,additive
suzuki_miyaura,54.96,0.53,Ar-Br,ArBr,Ar-B(OH)2,ArB(OH)2,PPh3)2PdCl2,PPh3,K2CO3,"PhMe, water",
suzuki_miyaura,7.76,-2.39,Ar-Br,ArBr,Ar-B(OH)2,ArB(OH)2,PPh3)2PdCl2,PPh3,K2CO3,"PhMe, water",
cn_coupling,0.0,-0.4,Ar-Br,ArBr,R2CH-NHR,R2NH a-branch,rac-BINAP Pd G3,BINAP,LiHMDS,PhMe,
cn_coupling,91.65,0.69,Ar-Cl,ArCl,Ar-NH2,ArNH2,BrettPhos Pd(crotyl)OTf,BrettPhos,KOAc,Dioxane,
cn_coupling,64.37,-0.51,Ar-Cl,ArCl,Ar-NH2,ArNH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,KOAc,PhMe,TBAB
cn_coupling,76.32,0.02,Ar-Cl,ArCl,Ar-NH2,ArNH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"PhMe, water",
cn_coupling,92.08,0.71,Ar-Cl,ArCl,Ar-NH2,ArNH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"MeCN, water",
cn_coupling,94.03,0.8,Ar-Cl,ArCl,Ar-NH2,ArNH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"MeCN, water",
cn_coupling,91.44,0.68,Ar-Cl,ArCl,Ar-NH2,ArNH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"MeCN, water",
suzuki_miyaura,6.97,-0.26,Ar-Br,ArBr,Alkenyl-B(OR)2,alkeneB(OR)2,PPh3)2PdCl2,PPh3,K3PO4,"PhMe, water",
suzuki_miyaura,0.0,-0.94,Ar-Br,ArBr,Alkenyl-B(OR)2,alkeneB(OR)2,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,"PhMe, water",
cn_coupling,9.72,0.86,Ar-NH2,ArNH2,Ar-Cl,ArCl,BrettPhos Pd(crotyl)OTf,BrettPhos,K2CO3,PhMe,
cn_coupling,5.45,0.17,Ar-NH2,ArNH2,Ar-Cl,ArCl,BrettPhos Pd(crotyl)OTf,BrettPhos,K2CO3,"Dioxane, water",
cn_coupling,0.0,-0.71,Ar-NH2,ArNH2,Ar-Cl,ArCl,QPhos Pd(crotyl)Cl,QPhos,K3PO4,o-Xylene,
co_coupling,0.0,-0.37,Ar-Br,ArBr,Ar-OH,ArOH,QPhos Pd(crotyl)Cl,QPhos,K3PO4,Dioxane,
suzuki_miyaura,41.98,0.74,Alkenyl-B(OR)2,alkeneB(OR)2,Ar-Br,ArBr,dpppPdCl2,dppp,K3PO4,"PhMe, water",
suzuki_miyaura,1.84,-1.64,Alkenyl-B(OR)2,alkeneB(OR)2,Ar-Br,ArBr,dpppPdCl2,dppp,K3PO4,"PhMe, water",
suzuki_miyaura,4.74,-0.86,Ar-I,ArI,Ar-B(OR)2,ArB(OR)2,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,K2CO3,PhMe,water
suzuki_miyaura,68.78,1.68,Ar-I,ArI,Ar-B(OR)2,ArB(OR)2,PPh3)2PdCl2,PPh3,Cs2CO3,PhMe,
cn_coupling,34.81,1.77,Ar-I,ArI,Ar-NHR,ArNHR,XantPhos Pd G2,XantPhos,K3PO4,PhMe,
cn_coupling,0.41,-0.61,Ar-I,ArI,Ar-NHR,ArNHR,rac-BINAP Pd G3,BINAP,LiHMDS,PhMe,
suzuki_miyaura,58.02,1.43,Ar-Br,ArBr,Ar-B(OR)2,ArB(OR)2,AmPhos2PdCl2,AmPhos,K2CO3,"PhMe, water",
suzuki_miyaura,15.03,-0.73,Ar-Br,ArBr,Ar-BF3K,ArBF3K,PPh3)2PdCl2,PPh3,,"PhMe, water",
suzuki_miyaura,79.46,-0.09,Alkenyl-B(OR)2,alkeneB(OR)2,Ar-Cl,ArCl,dppfPdCl2,dppf,K3PO4,"Dioxane, water",
suzuki_miyaura,44.03,-0.03,Ar-Br,ArBr,Ar-B(OH)2,ArB(OH)2,AmPhos2PdCl2,AmPhos,K2CO3,"PhMe, water",
suzuki_miyaura,0.0,-1.73,Ar-Br,ArBr,Ar-B(OH)2,ArB(OH)2,dtbpfPdCl2,dtbpf,K3PO4,"tAmOH, water",
amide_formation,9.04,-0.31,R-CO2H,RCO2H or M,R-NH2,RNH2,,No Ligand,DBU,MeCN,PyBrOP
cn_coupling,57.89,2.29,Ar-OSO2R,ArOSO2R,R-NH2,RNH2,AlphosPd)2cod,AlPhos,Cs2CO3,PhMe,water
cn_coupling,2.59,-0.63,Ar-OSO2R,ArOSO2R,R-NH2,RNH2,BrettPhos Pd(crotyl)OTf,BrettPhos,Cs2CO3,PhMe,water
cn_coupling,0.0,-0.9,R-NH2,RNH2,Ar-OSO2R,ArOSO2R,AlphosPd)2cod,AlPhos,Cs2CO3,PhMe,water
cn_coupling,0.3,-0.89,R-NH2,RNH2,Ar-OSO2R,ArOSO2R,BrettPhos Pd(crotyl)OTf,BrettPhos,NaOtBu,PhMe,
