Reaction_Type_Standardized,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
R3C-Br|RCH2-NHR -> R3C-NR2|RCH2-NR2 || Any-N3|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR,"Ar-R,RCH2-NHR","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3|Ar-R,RCH2-NHR",81.0,c1ccc2c(c1)CCCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCCc3ccccc32)C(=O)Nc2ccccc21,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,-0.4942887108157433
R3C-Br|RCH2-NHR -> R3C-NR2|RCH2-NR2 || Any-N3|Ar-F|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR,"Ar-R,Ar-F,RCH2-NHR","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3","Ar-R,Ar-F,RCH2-NHR|Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3",79.0,Fc1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3cc(F)ccc32)C(=O)Nc2ccccc21,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,-0.7071067811865476
R3C-Br|RCH2-NHR -> R3C-NR2|RCH2-NR2 || Any-N3|Ar-Cl|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR,"Ar-R,Ar-Cl,RCH2-NHR","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3","Ar-R,Ar-Cl,RCH2-NHR|Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3",88.0,Clc1ccc2c(c1)NCC2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccc(Cl)cc32)C(=O)Nc2ccccc21,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,1.0
Any-CO-R|R-CCH|R-CONHR|R-H-acidic|R2CH-OH -> Ar-Ar|Ar-CONHR || Ar-Cl|Ar-NHR|Ar-R,"R-H-acidic,Ar-Cl,Ar-NHR,Any-CO-R,R-CONHR","Ar-R,R2CH-OH,R-CCH","Ar-R,R2CH-OH,R-CCH|R-H-acidic,Ar-Cl,Ar-NHR,Any-CO-R,R-CONHR",72.0,CC(=O)CC(=O)Nc1ccc(Cl)cc1.C#CC(O)c1ccccc1>>Cc1c(C(=O)Nc2ccc(Cl)cc2)c(C)n(-c2ccc(Cl)cc2)c1-c1ccccc1,Ni(cod)2,CuI,,PhMe,,,,0.0
Any-CO-R|R-CCH|R-CONHR|R-H-acidic|R2CH-OH -> Ar-Ar|Ar-CONHR || Ar-Br|Ar-NHR|Ar-R,"Ar-R,R2CH-OH,R-CCH","R-H-acidic,Ar-Br,Ar-NHR,Any-CO-R,R-CONHR","Ar-R,R2CH-OH,R-CCH|R-H-acidic,Ar-Br,Ar-NHR,Any-CO-R,R-CONHR",68.0,C#CC(O)c1ccccc1.CC(=O)CC(=O)Nc1ccc(Br)cc1>>Cc1c(C(=O)Nc2ccc(Br)cc2)c(C)n(-c2ccc(Br)cc2)c1-c1ccccc1,Ni(cod)2,CuI,,PhMe,,,,0.0
Any-CO-R|R-CCH|R-CONHR|R-H-acidic|R2CH-OH -> Ar-Ar|Ar-CONHR || Ar-Cl|Ar-NHR|Ar-R,"R-H-acidic,Ar-Cl,Ar-NHR,Any-CO-R,R-CONHR","Ar-R,Ar-Cl,R2CH-OH,R-CCH","Ar-R,Ar-Cl,R2CH-OH,R-CCH|R-H-acidic,Ar-Cl,Ar-NHR,Any-CO-R,R-CONHR",70.0,CC(=O)CC(=O)Nc1ccc(Cl)cc1.C#CC(O)c1ccc(Cl)cc1>>Cc1c(C(=O)Nc2ccc(Cl)cc2)c(C)n(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,Ni(cod)2,CuI,,PhMe,,,,0.0
Ar-NH2 -> Ar-NHR || Ar-OH|Ar-R,"Ar-R,Ar-OH","Ar-R,Ar-NH2","Ar-R,Ar-NH2|Ar-R,Ar-OH",75.0,CC(C)(C)c1cc(O)c(O)c(C(C)(C)C)c1.Cc1cc(N)c(N)cc1C>>Cc1cc(Nc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(Nc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)cc1C,,,,MeCN,,,,0.0
Ar-NH2|Ar-OH -> Ar-NHR|R2CH-NHR || RCH2-OR,Ar-OH,"Ar-NH2,RCH2-OR","Ar-NH2,RCH2-OR|Ar-OH",74.0,Oc1ccccc1.COc1ccc(N)cc1>>COc1ccc(NC2CCCCC2)cc1.COc1ccc(Nc2ccccc2)cc1,63310-18-9,,,PhMe,,,,-0.07345531603115876
Ar-NH2|Ar-OH -> Ar-NHR || Ar-R|RCH2-OR,"Ar-R,Ar-OH","Ar-NH2,RCH2-OR","Ar-NH2,RCH2-OR|Ar-R,Ar-OH",99.0,Cc1ccc(O)cc1.COc1ccc(N)cc1>>COc1ccc(Nc2ccc(C)cc2)cc1,63310-18-9,,,PhMe,,,,0.6757373783994859
Ar-NH2|Ar-OH -> Ar-NHR || Ar-R|RCH2-OR,"Ar-R,Ar-OH","Ar-NH2,RCH2-OR","Ar-NH2,RCH2-OR|Ar-R,Ar-OH",96.0,Cc1cccc(O)c1.COc1ccc(N)cc1>>COc1ccc(Nc2cccc(C)c2)cc1,63310-18-9,,,PhMe,,,,0.47301616487964016
