Reaction_Type_Standardized,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Any-H|Ar-CO2H|RCH2-NH2 -> Ar-CONHR|RCH2-NHR || Ar-CONR2|Ar-NR2|Ar-R|R3C-F|RCH2-F|RCH2-NR2,False,Any-H,"RCH2-NH2,RCH2-F","Any-H|RCH2-NH2,RCH2-F",85.0,Cl.NCCCF.O=C(O)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1>>O=C(NCCCF)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,,,DIPEA,DMF,,HBTU,,-0.2783318509385189
Ar-CO2H|RCH2-NH2 -> Ar-CONHR|RCH2-NHR || Ar-Ar|Ar-R|R3C-F|R3C-OR|RCH2-OR|Thiazole,False,"RCH2-NH2,R3C-OR,RCH2-OR,R3C-F","Ar-Ar,Ar-R,Ar-CO2H,Thiazole","Ar-Ar,Ar-R,Ar-CO2H,Thiazole|RCH2-NH2,R3C-OR,RCH2-OR,R3C-F",99.0,NCCCCC1(C(F)(F)F)OCCO1.Cc1cnc(-c2nc(C(=O)O)c(C3CC3)s2)s1>>Cc1cnc(-c2nc(C(=O)NCCCCC3(C(F)(F)F)OCCO3)c(C3CC3)s2)s1,,,,DCM,DMAP,EDCI·HCl,,0.7071067811865476
Ar-CO2H|Ar-NH2 -> Ar-CONHR|Ar-NHR || Ar-CONHR|Ar-R|Propargyl-H|R-CCH|R3C-F|RCH2-NHR,False,"Ar-R,Ar-NH2,R3C-F","Propargyl-H,Ar-CO2H,Ar-CONHR,RCH2-NHR,R-CCH","Ar-R,Ar-NH2,R3C-F|Propargyl-H,Ar-CO2H,Ar-CONHR,RCH2-NHR,R-CCH",89.0,Nc1ccc(C(F)(F)F)cc1.C#CCNC(=O)c1ccc(C(=O)O)cc1>>C#CCNC(=O)c1ccc(C(=O)Nc2ccc(C(F)(F)F)cc2)cc1,,,Et3N,THF,HOBt,,,0.0
Any-H|R2CH-CO2H|R2CH-NH2 -> R-CONHR|R2CH-NHR || Any-CHCH2|Any-Ester|Any-NHR|Ar-OR|Ar-R|Propargyl-H|R-CCH|R-CHCH2|R-CONHR|R-CONR2|R-H-acidic|R-SO2NHR|R2CH-NHR|R2CH-NR2|RCH2-NR2,False,"R-H-acidic,Ar-R,Propargyl-H,Ar-OR,R2CH-NH2,Any-NHR,R-CCH,R-CONHR,R-SO2NHR",Any-H,"Any-H|R-H-acidic,Ar-R,Propargyl-H,Ar-OR,R2CH-NH2,Any-NHR,R-CCH,R-CONHR,R-SO2NHR",76.0,C#CCOc1ccc(C[C@H](N)C(=O)NS(=O)(=O)C2CC2)cc1.Cl.C=CC[C@H]1C[C@@H](C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)O)N(C(=O)[C@@H](NC(=O)[C@H](C)N(C)C(=O)OC(C)(C)C)C(C)(C)C)C1>>C#CCOc1ccc(C[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H]2C[C@H](CC=C)CN2C(=O)[C@@H](NC(=O)[C@H](C)N(C)C(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C2CC2)cc1,,,NMM,DMF / water,LiCl,HATU,,0.0
RCH2-CO2H|RCH2-NH2 -> R-CONHR|RCH2-NHR || R-H-acidic|RCH2-Ester|RCH2-NHR,False,"R-H-acidic,RCH2-NH2,RCH2-Ester","R-H-acidic,RCH2-NHR,RCH2-CO2H","R-H-acidic,RCH2-NH2,RCH2-Ester|R-H-acidic,RCH2-NHR,RCH2-CO2H",80.0,COC(=O)CN.CC(C)(C)OC(=O)NCC(=O)O>>COC(=O)CNC(=O)CNC(=O)OC(C)(C)C,,,Et3N / NaHCO3,EDC / water,,,,-1.1059406372589775
R2CH-NH2|RCH2-CO2H -> R-CONHR|R2CH-NHR || Ar-NHR|Ar-OR|Ar-R|AromN-H|Pyrimidine|R-AromN|R-CONHR|R-H-acidic|R2CH-OH|R3C-OR|RCH2-OR,False,"R-H-acidic,AromN-H,Ar-NHR,R-AromN,RCH2-CO2H,R-CONHR,Pyrimidine","Ar-R,Ar-OR,R2CH-NH2,R3C-OR,RCH2-OR,R2CH-OH","Ar-R,Ar-OR,R2CH-NH2,R3C-OR,RCH2-OR,R2CH-OH|R-H-acidic,AromN-H,Ar-NHR,R-AromN,RCH2-CO2H,R-CONHR,Pyrimidine",91.0,CC(C)C(=O)Nc1nc(=O)c2ncn(CC(=O)O)c2[nH]1.COc1ccc(C(OC[C@@H](N)[C@@H](C)O)(c2ccccc2)c2ccc(OC)cc2)cc1>>COc1ccc(C(OC[C@@H](NC(=O)Cn2cnc3c(=O)nc(NC(=O)C(C)C)[nH]c32)[C@@H](C)O)(c2ccccc2)c2ccc(OC)cc2)cc1,,,Et3N,DMF,,,,0.0
Ar-NH2|RCH2-CO2H -> Ar-NHR|R-CONHR || Alkenyl-CN|Ar-Alkenyl|R-H-acidic|RCH2-NHR,False,"R-H-acidic,RCH2-NHR,RCH2-CO2H","Ar-Alkenyl,Ar-NH2,Alkenyl-CN","Ar-Alkenyl,Ar-NH2,Alkenyl-CN|R-H-acidic,RCH2-NHR,RCH2-CO2H",70.0,CC(C)(C)OC(=O)NCC(=O)O.N#C/C=C/c1ccccc1N>>CC(C)(C)OC(=O)NCC(=O)Nc1ccccc1/C=C/C#N,,,,DMF / water,HOBt / NH4Cl,EDCI·HCl,,0.0
Ar-Br|R2CH-CO2H|RCH2-NHR -> Ar-CN|R-CONR2|RCH2-NR2 || Any-Ester|Ar-R|Pyridine|R-H-acidic|RCH2-NR2,False,"RCH2-NHR,RCH2-NR2,Any-Ester","R-H-acidic,Ar-R,Ar-Br,R2CH-CO2H,Pyridine","R-H-acidic,Ar-R,Ar-Br,R2CH-CO2H,Pyridine|RCH2-NHR,RCH2-NR2,Any-Ester",73.0,CC(C)(C)OC(=O)N1CCNCC1.O=C(O)C(c1ccc(Br)cc1)c1cccnc1.N#[C-]->[Fe+2](<-[C-]#N)(<-[C-]#N)(<-[C-]#N)(<-[C-]#N)<-[C-]#N.[K+]>>CC(C)(C)OC(=O)N1CCN(C(=O)C(c2ccc(C#N)cc2)c2cccnc2)CC1,Pd(OAc)2,,DIPEA / K2CO3,DMF / DMAc,,HATU,,0.0
R3C-CO2H|R3C-NH2 -> R-CONHR|R3C-NHR || Any-N3|R-CONHR|R-Si|R3C-Ester|R3C-NHR,False,"R3C-NHR,R3C-CO2H,R-CONHR,Any-N3","R-Si,R3C-NH2,R3C-NHR,R3C-Ester,R-CONHR","R-Si,R3C-NH2,R3C-NHR,R3C-Ester,R-CONHR|R3C-NHR,R3C-CO2H,R-CONHR,Any-N3",81.0,CC(C)(N=[N+]=[N-])C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)O.CC(C)(N)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)OCC[Si](C)(C)C>>CC(C)(N=[N+]=[N-])C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)OCC[Si](C)(C)C,,,,MeCN,,,,0.9609876522409436
R3C-CO2H|RCH2-NH2 -> R-CONHR|RCH2-NHR || Ar-R|Furan,False,"Ar-R,R3C-CO2H,Furan",RCH2-NH2,"Ar-R,R3C-CO2H,Furan|RCH2-NH2",78.0,C=C1CC[C@H]2[C@@](C)(CCC[C@]2(C)C(=O)O)[C@@H]1CCc1ccoc1.CCCCN>>C=C1CC[C@H]2[C@@](C)(CCC[C@]2(C)C(=O)NCCCC)[C@@H]1CCc1ccoc1,,,,DCM,,,,0.0
R2CH-CO2H|R2CH-NH2 -> R-CONHR|R2CH-NHR || Ar-R|AromN-H|Indole|R-CONHR|R-H-acidic|R2CH-Ester|R2CH-NHR,False,"R-H-acidic,Ar-R,AromN-H,R2CH-NHR,R2CH-CO2H,Indole","R-H-acidic,Ar-R,AromN-H,R2CH-NH2,R2CH-NHR,R2CH-Ester,R-CONHR,Indole","R-H-acidic,Ar-R,AromN-H,R2CH-NH2,R2CH-NHR,R2CH-Ester,R-CONHR,Indole|R-H-acidic,Ar-R,AromN-H,R2CH-NHR,R2CH-CO2H,Indole",98.0,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O.COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CC[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OC>>COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OC,,,Et3N,DCM,HOSu,DCC,,0.7071067811865476
Ar-CO2H|R2CH-NH2 -> Ar-CONHR|R2CH-NHR || Any-Ester|Ar-R|R-H-acidic|R2CH-Ester|R2CH-NR2|RCH2-Ester|RCH2-NR2|Thiazole,False,"R-H-acidic,Ar-R,R2CH-NH2,R2CH-Ester","R-H-acidic,Ar-R,Ar-CO2H,R2CH-NR2,RCH2-NR2,RCH2-Ester,Any-Ester,Thiazole","R-H-acidic,Ar-R,Ar-CO2H,R2CH-NR2,RCH2-NR2,RCH2-Ester,Any-Ester,Thiazole|R-H-acidic,Ar-R,R2CH-NH2,R2CH-Ester",93.0,COC(=O)[C@@H](N)Cc1ccccc1.CC(=O)O[C@H](C[C@H](C(C)C)N(C)C(=O)OC(C)(C)C)c1nc(C(=O)O)cs1>>COC(=O)[C@H](Cc1ccccc1)NC(=O)c1csc([C@@H](C[C@H](C(C)C)N(C)C(=O)OC(C)(C)C)OC(C)=O)n1,,,Et3N,DMF,,HATU,,0.39285862539007377
Any-H|Ar-CO2H|Bn-NH2 -> Ar-CONHR|Ar-Ester|Bn-NHR || Ar-Ester|Pyridine,False,"Ar-CO2H,Pyridine","Ar-Ester,Bn-NH2","Ar-CO2H,Pyridine|Ar-Ester,Bn-NH2",87.0,O=C(O)c1cccc(C(=O)O)n1.COC(=O)c1ccc(CN)cc1.Cl>>COC(=O)c1ccc(CNC(=O)c2cccc(C(=O)NCc3ccc(C(=O)OC)cc3)n2)cc1,,,,DCM,DMAP,EDCI·HCl,,0.40409509710385527
Ar-NH2|R3C-CO2H -> Ar-NHR|R-CONHR || Ar-Ar|Ar-CONR2|Ar-Ester|Ar-F|Ar-OR|Ar-R|Pyridine|RCH2-NR2|RCH2-OR,False,"Ar-NH2,Ar-Ester","Ar-Ar,Ar-R,Ar-F,Ar-OR,Ar-CONR2,RCH2-NR2,RCH2-OR,R3C-CO2H,Pyridine","Ar-Ar,Ar-R,Ar-F,Ar-OR,Ar-CONR2,RCH2-NR2,RCH2-OR,R3C-CO2H,Pyridine|Ar-NH2,Ar-Ester",83.0,CCOC(=O)c1nnc(N)s1.CC(C)(C(=O)O)[C@@H]1c2ccc(-c3ccc(C(=O)N4CCOCC4)cc3)nc2Oc2c(F)cccc21>>CCOC(=O)c1nnc(NC(=O)C(C)(C)[C@@H]2c3ccc(-c4ccc(C(=O)N5CCOCC5)cc4)nc3Oc3c(F)cccc32)s1,,,DIPEA,MeCN,HOBt,EDCI·HCl,,0.0
Ar-CO2H|Ar-NH2 -> Ar-CONHR|Ar-NHR || Ar-R|Pyridine|R-AromN,False,"Ar-R,Ar-CO2H,R-AromN","Ar-R,Ar-NH2,Pyridine","Ar-R,Ar-CO2H,R-AromN|Ar-R,Ar-NH2,Pyridine",70.0,O=C(O)c1cn(Cc2ccccc2)nn1.Cc1ccc(N)nc1>>Cc1ccc(NC(=O)c2cn(Cc3ccccc3)nn2)nc1,DMF,,Et3N / NaHCO3,DCM / water,,,,0.0
Ar-CO2H|R2CH-NH2 -> Ar-CONHR|R2CH-NHR || Ar-I|R-H-acidic|R2CH-Ester,False,"Ar-I,Ar-CO2H","R-H-acidic,R2CH-NH2,R2CH-Ester","Ar-I,Ar-CO2H|R-H-acidic,R2CH-NH2,R2CH-Ester",74.0,O=C(O)c1cc(I)cc(I)c1.CCCCOC(=O)[C@H](C)N>>CCCCOC(=O)[C@H](C)NC(=O)c1cc(I)cc(I)c1,DMF,,Et3N,DCM,,,,-0.9684505636102068
R3C-CO2H|R3C-F|RCH2-CO2H|RCH2-NH2 -> R-CONHR|RCH2-NHR || Any-CONHR|Any-SR|Ar-R|R-CONHR|R-H-acidic|R2CH-NHR|RCH2-NHR,False,"R-H-acidic,R2CH-NHR,Any-SR,RCH2-CO2H,Any-CONHR","R-H-acidic,Ar-R,RCH2-NH2,RCH2-NHR,R-CONHR","R-H-acidic,Ar-R,RCH2-NH2,RCH2-NHR,R-CONHR|R-H-acidic,R2CH-NHR,Any-SR,RCH2-CO2H,Any-CONHR",72.0,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21.NCCCCCCNC(=O)CCCc1ccc2ccc3cccc4ccc1c2c34.O=C(O)C(F)(F)F>>O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCCCCCNC(=O)CCCc1ccc2ccc3cccc4ccc1c2c34,,,Et3N,DMF,,EDCI·HCl,,0.0
Ar-Alkenyl|Ar-CO2H|Ar-NO2|RCH2-NHR -> Ar-Ar|Ar-CONR2|AromN-H|Indole|RCH2-NR2 || Ar-OR|RCH2-OR,False,"Ar-Alkenyl,Ar-NO2,Ar-OR,Ar-CO2H","RCH2-NHR,RCH2-OR","Ar-Alkenyl,Ar-NO2,Ar-OR,Ar-CO2H|RCH2-NHR,RCH2-OR",92.0,O=C(O)c1cccc([N+](=O)[O-])c1/C=C/c1ccc2c(c1)OCO2.C1COCCN1>>O=C(c1cccc2[nH]c(-c3ccc4c(c3)OCO4)cc12)N1CCOCC1,Pd(OAc)2,DMF,Et3N,,,,,0.0
R2CH-CO2H|R2CH-NH2 -> R-CONHR|R2CH-NHR || Ar-R|R-H-acidic|R2CH-Ester|R2CH-NHR,False,"R-H-acidic,R2CH-NH2,R2CH-Ester","R-H-acidic,Ar-R,R2CH-NHR,R2CH-CO2H","R-H-acidic,Ar-R,R2CH-NHR,R2CH-CO2H|R-H-acidic,R2CH-NH2,R2CH-Ester",84.0,COC(=O)[C@@H](N)CC(C)C.CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O>>COC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,,,Et3N / NaHCO3,EDC / water,,,,-0.15873305713863706
Ar-CO2H|Ar-NH2 -> Ar-CONHR|Ar-NHR || Ar-Cl|Ar-OR|Ar-R|Pyrimidine|R3C-F,False,"Ar-R,Ar-NH2,R3C-F","Ar-Cl,Ar-OR,Ar-CO2H,Pyrimidine","Ar-Cl,Ar-OR,Ar-CO2H,Pyrimidine|Ar-R,Ar-NH2,R3C-F",92.0,Nc1cccc(C(F)(F)F)c1.O=C(O)c1cccc2cc(Oc3cc(Cl)ncn3)ccc12>>O=C(Nc1cccc(C(F)(F)F)c1)c1cccc2cc(Oc3cc(Cl)ncn3)ccc12,DMAP,,Et3N,DMF / MeCN,,T3P,,0.0
Any-CO2H|RCH2-NH2 -> Any-CONHR|Any-Imino|Any-OH|Ar-Br|Ar-OH|Ar-R|RCH2-NHR || Any-Imino|Any-OH|Any-SR|Ar-Br|Ar-OH|Ar-R,False,"Ar-R,Ar-Br,Ar-OH,Any-OH,Any-CO2H,Any-Imino","RCH2-NH2,Any-SR","Ar-R,Ar-Br,Ar-OH,Any-OH,Any-CO2H,Any-Imino|RCH2-NH2,Any-SR",85.0,O=C(O)/C(Cc1ccc(O)c(Br)c1)=N/O.NCCSSCCN>>O=C(NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O)/C(Cc1ccc(O)c(Br)c1)=N/O,,,Et3N,"1,4-Dioxane / MeOH",,DCC,,0.0
Ar-CO2H|R2CH-NH2 -> Ar-CONHR|Quinoline|R2CH-NHR || Quinoline,False,"Ar-CO2H,Quinoline",R2CH-NH2,"Ar-CO2H,Quinoline|R2CH-NH2",98.0,O=C(O)c1ccc2ccccc2n1.N[C@@H]1CCCC[C@H]1N>>O=C(N[C@@H]1CCCC[C@H]1NC(=O)c1ccc2ccccc2n1)c1ccc2ccccc2n1,DMAP,,,DCM / water,,EDCI·HCl,,0.632236802809762
R2CH-NH2|R3C-CO2H -> R-CONHR|R2CH-NHR || Any-CO-R|Ar-NHR|Ar-OR|Ar-R|R-CONHR|R-H-acidic,False,"R-H-acidic,Ar-R,Any-CO-R,R3C-CO2H","R-H-acidic,Ar-R,Ar-NHR,Ar-OR,R2CH-NH2,R-CONHR","R-H-acidic,Ar-R,Any-CO-R,R3C-CO2H|R-H-acidic,Ar-R,Ar-NHR,Ar-OR,R2CH-NH2,R-CONHR",85.0,CC(C)c1ccc2c(c1)C(=O)C[C@H]1[C@](C)(C(=O)O)CCC[C@]21C.COc1cc(NC(=O)[C@H](N)Cc2ccccc2)cc(OC)c1OC>>COc1cc(NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4C(=O)C[C@@H]23)cc(OC)c1OC,,,Et3N,DCM,,,,0.0967641249645257
Ar-CO2H|Ar-NH2 -> Ar-CONHR|Ar-NHR || Ar-Ar|Ar-OR|Ar-SR,False,"Ar-Ar,Ar-SR,Ar-CO2H","Ar-NH2,Ar-OR","Ar-Ar,Ar-SR,Ar-CO2H|Ar-NH2,Ar-OR",75.0,CSc1cc(-c2cccs2)oc(=O)c1C(=O)O.COc1ccccc1N>>COc1ccccc1NC(=O)c1c(SC)cc(-c2cccs2)oc1=O,,,DIPEA,DMF,,HATU,,-0.9236060987562228
Propargyl-NH2|R3C-CO2H -> R-CONHR|RCH2-NHR || Propargyl-H|R-CCH|R2CH-OH|RCH2-OH,False,"RCH2-OH,R2CH-OH,R3C-CO2H","Propargyl-H,Propargyl-NH2,R-CCH","Propargyl-H,Propargyl-NH2,R-CCH|RCH2-OH,R2CH-OH,R3C-CO2H",93.0,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1.C#CCN>>C#CCNC(=O)[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)[C@@](C)(CO)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,TBTU,,DIPEA,THF,,,,0.0
Ar-NH2|RCH2-CO2H -> Ar-NHR|R-CONHR || Ar-OR|R-H-acidic|R3C-F,False,"Ar-NH2,Ar-OR,R3C-F","R-H-acidic,RCH2-CO2H","Ar-NH2,Ar-OR,R3C-F|R-H-acidic,RCH2-CO2H",76.0,Nc1ccc(OC(F)(F)F)cc1.CC(C)=CCCC(=O)O>>CC(C)=CCCC(=O)Nc1ccc(OC(F)(F)F)cc1,DMAP,,,DCM,,,,0.0
Alkenyl-CO2H|Ar-Alkyne|Ar-CCH|R2CH-NHR -> Any-Alkene|Any-CO-R|Any-Dienophile|Any-Lactam|Cyclohexene|R-CONR2|R-H-acidic || Alkenyl-Ester|Any-NHR|Ar-Br|Ar-R,False,Alkenyl-CO2H,"Ar-Alkyne,Ar-CCH","Alkenyl-CO2H|Ar-Alkyne,Ar-CCH",74.0,C=C(C)C(=O)O.C#Cc1ccccc1.CCOC(=O)C1=C(C)NC(=S)NC1c1ccc(Br)cc1>>CCOC(=O)C1=C(C)NC2=C(C(=O)c3ccccc3)CC(C)C(=O)N2C1c1ccc(Br)cc1,Pd(OAc)2,DPEPhos,NaOH,"1,4-Dioxane / water",NH4Cl,,,-0.5915926764187358
RCH2-CO2H|RCH2-NH2 -> R-CONHR|RCH2-NHR || Ar-Ar|Ar-NH2|Ar-NHR|Ar-OR|Ar-R|R-H-acidic|RCH2-Ester,False,"R-H-acidic,RCH2-NH2,RCH2-Ester","R-H-acidic,Ar-Ar,Ar-R,Ar-NH2,Ar-NHR,Ar-OR,RCH2-CO2H","R-H-acidic,Ar-Ar,Ar-R,Ar-NH2,Ar-NHR,Ar-OR,RCH2-CO2H|R-H-acidic,RCH2-NH2,RCH2-Ester",4.0,COC(=O)CCCCCCCCCCCN.Nc1nc(NCCc2ccc(OCCCC(=O)O)cc2)nc2nc(-c3ccco3)nn12>>COC(=O)CCCCCCCCCCCNC(=O)CCCOc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1,,,DIPEA,DMF,,COMU,,0.0
Ar-CO2H|R2CH-NH2 -> Ar-CONHR|R2CH-NHR || Ar-NH2|Ar-NHR|Ar-OR|Ar-R|R-CONHR|R-H-acidic|R2CH-Ester|R2CH-NHR|RCH2-NH2,False,"R-H-acidic,RCH2-NH2,R2CH-NH2,R2CH-Ester","R-H-acidic,Ar-R,Ar-NH2,Ar-NHR,Ar-OR,Ar-CO2H,R2CH-NHR,R-CONHR","R-H-acidic,Ar-R,Ar-NH2,Ar-NHR,Ar-OR,Ar-CO2H,R2CH-NHR,R-CONHR|R-H-acidic,RCH2-NH2,R2CH-NH2,R2CH-Ester",92.0,COC(=O)[C@@H](N)CCCCN.CC(C)(C)OC(=O)N[C@@H](CCc1ccc(OCc2ccccc2)cc1)C(=O)Nc1cc(C(=O)O)ccc1N>>COC(=O)[C@H](CCCCN)NC(=O)c1ccc(N)c(NC(=O)[C@H](CCc2ccc(OCc3ccccc3)cc2)NC(=O)OC(C)(C)C)c1,,,DIPEA,DMF,,HBTU,,0.0
Ar-CO2H|R2CH-NH2 -> Ar-CONHR|R2CH-NHR || Pyridine|R3C-CO2H,False,"Ar-CO2H,Pyridine","R2CH-NH2,R3C-CO2H","Ar-CO2H,Pyridine|R2CH-NH2,R3C-CO2H",78.0,O=C(O)c1ccncc1.C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](N)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12>>C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](NC(=O)c6ccncc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,DMAP,,,DCM,,CDI,,0.7071067811865475
Alkenyl-Alkenyl|R2CH-CO2H|R2CH-NH2|R3C-Cl -> R-CONHR|R2CH-NHR || Ar-R|R-H-acidic|R2CH-Ester|R2CH-NHR,False,"R-H-acidic,Ar-R,R2CH-NHR,R2CH-CO2H","Alkenyl-Alkenyl,R3C-Cl","Alkenyl-Alkenyl,R3C-Cl|R-H-acidic,Ar-R,R2CH-NHR,R2CH-CO2H",96.0,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O.ClC1(Cl)C=CC=CC=C1.COC(=O)[C@H](C)N>>O=c1cccccc1.COC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,,,Et3N,DCM,,,,0.0
Ar-CO2H|Ar-NH2 -> Ar-CONHR|Ar-NHR || Ar-Br|Ar-CN|Thiazole,False,"Ar-CN,Ar-CO2H,Thiazole","Ar-Br,Ar-NH2","Ar-Br,Ar-NH2|Ar-CN,Ar-CO2H,Thiazole",85.0,N#Cc1csc(C(=O)O)n1.Nc1cccc(Br)c1>>N#Cc1csc(C(=O)Nc2cccc(Br)c2)n1,,,NMM,THF,,i‑BuOCOCl,,0.0
Ar-CO2H|RCH2-NH2 -> Ar-CONHR|RCH2-NHR || Ar-R|R2CH-NR2|RCH2-NR2,False,"Ar-R,Ar-CO2H","RCH2-NH2,R2CH-NR2,RCH2-NR2","Ar-R,Ar-CO2H|RCH2-NH2,R2CH-NR2,RCH2-NR2",98.0,Cc1ccc(C(=O)O)cc1.NCCCCN1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21>>Cc1ccc(C(=O)NCCCCN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1,,,DIPEA,THF,,EDCI·HCl,,0.7071067811865475
R2CH-CO2H|R3C-NH2 -> R-CONHR|R3C-NHR || Any-CHCH2|Any-CONHR|Any-CONR2|Any-OR|R-CHCH2|R-H-acidic|R-Si|R2CH-NHR|R3C-Ester|RCH2-NR2,False,"R3C-NH2,R3C-Ester,Any-CHCH2,R-CHCH2","R-H-acidic,R-Si,R2CH-NHR,RCH2-NR2,Any-OR,R2CH-CO2H,Any-CONHR,Any-CONR2,Any-CHCH2,R-CHCH2","R-H-acidic,R-Si,R2CH-NHR,RCH2-NR2,Any-OR,R2CH-CO2H,Any-CONHR,Any-CONR2,Any-CHCH2,R-CHCH2|R3C-NH2,R3C-Ester,Any-CHCH2,R-CHCH2",76.0,C=C[C@@H]1C[C@]1(N)C(=O)OCC.C=CCCCCN(C)C(=O)N[C@@H](CCO[Si](C)(C)C(C)(C)C)C(=O)O>>C=CCCCCN(C)C(=O)N[C@@H](CCO[Si](C)(C)C(C)(C)C)C(=O)N[C@]1(C(=O)OCC)C[C@H]1C=C,,,DIPEA,DCM,,TBTU,,0.0
R2CH-NH2|RCH2-CO2H -> R-CONHR|R2CH-NHR || Ar-NR2|Ar-OH|Ar-R|Ar-SO2NR2|Bn-OH|R-CONR2|R-H-acidic|R2CH-OH|RCH2-NR2|RCH2-OR,False,"R-H-acidic,Ar-R,Ar-NR2,Ar-OH,RCH2-NR2,RCH2-OR,RCH2-CO2H,R-CONR2","Ar-R,Ar-SO2NR2,Bn-OH,R2CH-NH2,RCH2-NR2,R2CH-OH","Ar-R,Ar-SO2NR2,Bn-OH,R2CH-NH2,RCH2-NR2,R2CH-OH|R-H-acidic,Ar-R,Ar-NR2,Ar-OH,RCH2-NR2,RCH2-OR,RCH2-CO2H,R-CONR2",71.0,Cc1c(O)cccc1N(CC(=O)O)CC(=O)N1CCOCC1.CC(C)CN(C[C@H](O)[C@@H](N)Cc1ccccc1)S(=O)(=O)c1ccc(CO)cc1>>Cc1c(O)cccc1N(CC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(CC(C)C)S(=O)(=O)c1ccc(CO)cc1)CC(=O)N1CCOCC1,,,Et3N,DMF,HOBt,EDCI·HCl,,0.0
Ar-NH2|RCH2-CO2H -> Ar-NHR|R-CONHR || Any-Lactam|Any-NHR|Ar-Imino|Ar-OR|Ar-R|R-CONHR|R-H-acidic,False,"R-H-acidic,Ar-R,Ar-OR,RCH2-CO2H","R-H-acidic,Ar-NH2,Any-Lactam,Any-NHR,R-CONHR,Ar-Imino","R-H-acidic,Ar-NH2,Any-Lactam,Any-NHR,R-CONHR,Ar-Imino|R-H-acidic,Ar-R,Ar-OR,RCH2-CO2H",75.0,O=C(O)CCc1ccc2c(c1)OCO2.Nc1ccc(C2=NNC(=O)CC2)cc1>>O=C1CCC(c2ccc(NC(=O)CCc3ccc4c(c3)OCO4)cc2)=NN1,,,,DMF / DCM,HOBt,EDCI·HCl,,0.0
