Reaction_Type_Standardized,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-OR|Ar-R|Pyridine,False,"Ar-NH2,Pyridine","Ar-R,Ar-B(OH)2,Ar-OR","Ar-NH2,Pyridine|Ar-R,Ar-B(OH)2,Ar-OR",88.0,Nc1ccccn1.OB(O)c1ccc(OCc2ccccc2)cc1>>c1ccc(COc2ccc(Nc3ccccn3)cc2)cc1,Cu(OAc)2,,K3PO4,DMSO,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-R|Quinoline,False,"Ar-NH2,Quinoline","Ar-R,Ar-B(OH)2","Ar-NH2,Quinoline|Ar-R,Ar-B(OH)2",90.0,Nc1cccc2cccnc12.Cc1cccc(B(O)O)c1>>Cc1cccc(Nc2cccc3cccnc23)c1,Cu(0),1644565-61-6,Et3N,EDC,,,,-0.7071067811865476
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-OR|Quinoline,False,"Ar-NH2,Quinoline","Ar-B(OH)2,Ar-OR","Ar-B(OH)2,Ar-OR|Ar-NH2,Quinoline",90.0,Nc1cccc2cccnc12.COc1ccc(B(O)O)cc1>>COc1ccc(Nc2cccc3cccnc23)cc1,Cu(0),1644565-61-6,Et3N,EDC,,,,0.7071067811865475
Ar-B(OH)2|RCH2-NHR -> Ar-NR2 || RCH2-OR,False,Ar-B(OH)2,"RCH2-NHR,RCH2-OR","Ar-B(OH)2|RCH2-NHR,RCH2-OR",42.0,OB(O)c1ccccc1.C1COCCN1>>c1ccc(N2CCOCC2)cc1.c1ccc(B2OB(c3ccccc3)OB(c3ccccc3)O2)cc1,7447-39-4,,Py,DCM,,,,-1.2080808993852439
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Any-Ester|Ar-OR,False,"Ar-B(OH)2,Ar-OR","Ar-NH2,Any-Ester","Ar-B(OH)2,Ar-OR|Ar-NH2,Any-Ester",73.0,COc1ccc(B(O)O)cc1.CC(C)(C)OC(=O)n1ncc2cc(N)ccc21>>COc1ccc(Nc2ccc3c(cnn3C(=O)OC(C)(C)C)c2)cc1,Cu(OAc)2,,DIPEA,DMF,,,,-0.13245323570650247
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Any-Ester|Ar-OR,False,"Ar-B(OH)2,Ar-OR","Ar-NH2,Any-Ester","Ar-B(OH)2,Ar-OR|Ar-NH2,Any-Ester",76.0,COc1ccc(B(O)O)cc1.CC(C)(C)OC(=O)n1ncc2c(N)cccc21>>COc1ccc(Nc2cccc3c2cnn3C(=O)OC(C)(C)C)cc1,Cu(OAc)2,,DIPEA,DMF,,,,1.0596258856520369
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-CHO|Ar-Ester|Thiophene,False,"Ar-NH2,Ar-Ester,Thiophene","Ar-B(OH)2,Ar-CHO","Ar-B(OH)2,Ar-CHO|Ar-NH2,Ar-Ester,Thiophene",52.0,COC(=O)c1ccsc1N.O=Cc1cccc(B(O)O)c1>>COC(=O)c1ccsc1Nc1cccc(C=O)c1,Cu(OAc)2,,Et3N,EDC,,,,-0.7071067811865475
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-CHO|Ar-Ester|Thiophene,False,"Ar-NH2,Ar-Ester,Thiophene","Ar-B(OH)2,Ar-CHO","Ar-B(OH)2,Ar-CHO|Ar-NH2,Ar-Ester,Thiophene",72.0,COC(=O)c1ccsc1N.O=Cc1ccc(B(O)O)cc1>>COC(=O)c1ccsc1Nc1ccc(C=O)cc1,Cu(OAc)2,,Et3N,EDC,,,,0.7071067811865475
Ar-B(OH)2|AromN-H|Imidazole -> Ar-AromN || None,False,Ar-B(OH)2,"AromN-H,Imidazole","Ar-B(OH)2|AromN-H,Imidazole",98.0,OB(O)c1ccccc1.c1c[nH]cn1>>c1ccc(-n2ccnc2)cc1,1620815-25-9,,,MeOH,,,,0.9187959765430125
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Any-Ester,False,Ar-B(OH)2,"Ar-NH2,Any-Ester","Ar-B(OH)2|Ar-NH2,Any-Ester",75.0,OB(O)c1ccccc1.CC(C)(C)OC(=O)n1ncc2cc(N)ccc21>>CC(C)(C)OC(=O)n1ncc2cc(Nc3ccccc3)ccc21,Cu(OAc)2,,DIPEA,DMF,,,,1.1042686641847734
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Any-Ester,False,Ar-B(OH)2,"Ar-NH2,Any-Ester","Ar-B(OH)2|Ar-NH2,Any-Ester",68.0,OB(O)c1ccccc1.CC(C)(C)OC(=O)n1ncc2c(N)cccc21>>CC(C)(C)OC(=O)n1ncc2c(Nc3ccccc3)cccc21,Cu(OAc)2,,DIPEA,DMF,,,,-0.25982792098465146
