Compound,CAS,smiles,source
"2,3-Dichloro-1,3-butadiene",1653-19-6,C=C(Cl)C(=C)Cl,registry
"2,3-Dichloromaleic anhydride",1122-17-4,O=C1OC(=O)C(Cl)=C1Cl,registry
"2,5-Dichlorobenzoic acid",50-79-3,O=C(O)c1cc(Cl)ccc1Cl,registry
Didodecylamine,3007-31-6,CCCCCCCCCCCCNCCCCCCCCCCCC,registry_or_pubchem_previous
Didodecyldimethylammonium bromide,3282-73-3,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,registry
"Diethanolamine (2,2'-iminodiethanol)",111-42-2,OCCNCCO,registry
Diethyl acetamidomalonate,1068-90-2,CCOC(=O)C(NC(C)=O)C(=O)OCC,registry
Diethylamine,109-89-7,CCNCC,registry
Diethylamine hydrochloride,660-68-4,CCNCC,registry
Diethylene glycol ditosylate,7460-82-4,Cc1ccc(S(=O)(=O)OCCOCCOS(=O)(=O)c2ccc(C)cc2)cc1,registry
"Diethylenetriaminepenta-acetic acid (DTPA, DEPTAPAC)",67-43-6,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,registry
"2,2-Diethyl-1,3-propanediol",115-76-4,CCC(CC)(CO)CO,registry
Diethyl ketone (3-pentanone),96-22-0,CCC(=O)CC,registry
"Diglycolic acid (2-oxapentane-1,5-dioic acid)",110-99-6,O=C(O)COCC(=O)O,registry
sym-Diethylthiourea,105-55-5,CCNC(=S)NCC,registry
Diiodomethane (methylene diiodide),75-11-6,C(I)I,registry_or_pubchem_previous
Diisopropanolamine,110-97-4,CC(CNCC(C)O)O,registry
"1-(3-Dimethylaminopropyl)-3-ethylcarbodiimide hydrochloride (EDCI, DEC, 1-ethyl-3-(3- dimethylaminopropyl) carbodiimide hydrochloride)",25952-53-8,CCN=C=NCCCN(C)C,registry
Dimethyl adipimidate dihydrochloride,14620-72-5,COC(=N)CCCCC(=N)OC,registry
Dimethylamine hydrochloride,506-59-2,CNC,registry
"meso-2,3-Dimercaptosuccinic acid (DMSA)",304-55-2,C(C(C(=O)O)S)(C(=O)O)S,registry
"��,��-Dimethylacrylic acid (senecioic acid, 3-methyl-2-butenoic acid)",541-47-9,CC(=CC(=O)O)C,registry
"1,3-Dimethylbutadiene sulfone (1,3-dimethylsulfolene, 2,4-dimethyl-2,5-dihydrothiophen-1,1-dioxide)",10033-92-8,CC1C=C(CS1(=O)=O)C,registry_or_pubchem_previous
"N,N-Dimethylbiuret",7710-35-2,CN(C)C(=O)NC(=O)N,registry_or_pubchem_previous
"Dimethyldioctadecylammonium bromide (dioctadecyldimethylammonium bromide, distearyldimethyl- ammonium bromide)",3700-67-2,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-],registry_or_pubchem_previous
"2,2-Dimethylglutaric acid (2,2-dimethylpentane-1,5-dioic acid)",681-57-2,CC(C)(CCC(=O)O)C(=O)O,registry
"trans-d,l-2,4-Dimethylglutaric acid (d,l-2,4-dimethylpentane-1,5-dioic acid)",2121-67-7,CC(CC(C)C(=O)O)C(=O)O,registry_or_pubchem_previous
"3,3-Dimethylglutaric acid",4839-46-7,CC(C)(CC(=O)O)CC(=O)O,registry
"3,3-Dimethylglutaric anhydride",4160-82-1,CC1(C)CC(=O)OC(=O)C1,registry
Dimethylglyoxime,95-45-4,CC(=NO)C(C)=NO,registry
"1,1-Dimethylhydrazine",57-14-7,CN(C)N,registry
Dimethyl itaconate,617-52-7,C=C(CC(=O)OC)C(=O)OC,registry
Dimethyl oxalate,553-90-2,COC(=O)C(=O)OC,registry
Dimethylmaleic anhydride,766-39-2,CC1=C(C)C(=O)OC1=O,registry
Dimethylmalonic acid,595-46-0,CC(C)(C(=O)O)C(=O)O,registry
Dimethylolurea [di-(hydroxymethyl)urea],140-95-4,O=C(NCO)NCO,registry
"(��)-2,3-Dimethylsuccinic acid",13545-04-5,CC(C(=O)O)C(C)C(=O)O,registry
"2,2-Dimethyl-1,3-propanediol (neopentyl glycol)",126-30-7,CC(C)(CO)CO,registry
"2,2-Dimethylsuccinic acid",597-43-3,CC(C)(CC(=O)O)C(=O)O,registry
Dimethyl sulfone,67-71-0,CS(C)(=O)=O,registry
"N,N-Dimethylthiocarbamoyl chloride (DMTCC)",16420-13-6,CN(C)C(=S)Cl,registry
"meso-2,3-Dimethylsuccinic acid",608-40-2,CC(C(=O)O)C(C)C(=O)O,registry
"1,4-Dithioerythritol (DTE, erythro-2,3-dihydroxy-1,4-dithiobutane)",6892-68-8,OC(CS)C(O)CS,registry
"2,2-Dinitropropane",595-49-3,CC(C)([N+](=O)[O-])[N+](=O)[O-],registry
Di-n-propyl sulfide,111-47-7,CCCSCCC,registry
Dithiooxamide (rubeanic acid),79-40-3,C(=S)(C(=S)N)N,registry_or_pubchem_previous
"N,N-Dioctadecyl methylamine (proton ionophore III )",4088-22-6,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,registry
"RS-1,4-Dithiothreitol (DTT, Cleland's reagent)","3483-12-3, 27565-41-9",OC(CS)C(O)CS,registry
sym-Dimethylurea,96-31-1,CNC(=O)NC,registry
1-Docosanol (behenyl alcohol),661-19-8,CCCCCCCCCCCCCCCCCCCCCCO,registry
"1-Dodecanol (dodecyl alcohol, lauryl alcohol)",112-53-8,CCCCCCCCCCCCO,registry
Docosane (C22),629-97-0,CCCCCCCCCCCCCCCCCCCCCC,registry
Docosanoic acid (behenic acid),112-85-6,CCCCCCCCCCCCCCCCCCCCCC(=O)O,registry
"Dodecane-1,10-dioic acid (decane-1,10-dicarboxylic acid)",693-23-2,O=C(O)CCCCCCCCCCC(=O)O,registry
"Dodecyl ether (didodecyl ether, lauryl ether)",4542-57-8,CCCCCCCCCCCCOCCCCCCCCCCCC,registry_or_pubchem_previous
Dodecylamine (lauryl amine),124-22-1,CCCCCCCCCCCCN,registry
Dodecylammonium butyrate,17615-97-3,CCCCCCCCCCCCN.CCCC(=O)O,registry_or_pubchem_previous
Dodecylammonium propionate,17448-65-6,CCCCCCCCCCCC[NH3+].CCC(=O)[O-],pubchem_name
"Dodecyldimethylamine N-oxide (DDAO, DDMAO)",1643-20-5,CCCCCCCCCCCC[N+](C)(C)[O-],registry
N-Dodecane,112-40-3,CCCCCCCCCCCC,registry
Dodecyl- trimethylammonium chloride,112-00-5,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],registry
Dodecyltrimethylammonium bromide,1119-94-4,CCCCCCCCCCCC[N+](C)(C)C,registry
Eicosane (C20),112-95-8,CCCCCCCCCCCCCCCCCCCC,registry
Elaidic (trans-oleic) acid,112-79-8,CCCCCCCCC=CCCCCCCCC(=O)O,registry
Erucic acid (cis-13-docosenoic acid),112-86-7,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O,registry_or_pubchem_previous
Ethyl acetimidate hydrochloride,2208-07-3,CCOC(=N)C.Cl,registry_or_pubchem_previous
Ethylamine hydrochloride,557-66-4,CCN,registry
"Ethylene dimyristate [1,2-bis(myristoyloxy)ethane]",627-84-9,CCCCCCCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCCCCC,registry_or_pubchem_previous
"Ethylene dipalmitate [1,2-bis(palmitoyloxy)ethane]",624-03-3,CCCCCCCCCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCCCCCCC,registry_or_pubchem_previous
"Ethylene distearate [1,2-bis(stearoyloxy)ethane]",627-83-8,CCCCCCCCCCCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCCCCCCCCC,registry_or_pubchem_previous
Ethylenediaminetetraacetic acid (EDTA),60-00-4,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,registry
"N,N'-Ethylenediaminediacetic acid (EDDA)",5657-17-0,C(CNCC(=O)O)NCC(=O)O,registry_or_pubchem_previous
Ethyl malonate monoamide,7597-56-0,CCOC(=O)CC(=O)N,registry_or_pubchem_previous
Ethyl nitroacetate,626-35-7,CCOC(=O)C[N+](=O)[O-],registry
Ethyl stearate,111-61-5,CCCCCCCCCCCCCCCCCC(=O)OCC,registry
"Ethyl 4,4,4-trifluoroacetoacetate (ethyl 3-oxo-4,4,4-trifluorobutyrate)",372-31-6,CCOC(=O)CC(=O)C(F)(F)F,registry
Ethyl thioglycolate (ethyl 2-mercaptoacetate),623-51-8,CCOC(=O)CS,registry
N-Ethylthiourea,625-53-6,CCNC(N)=S,registry
Fluoroacetamide,640-19-7,NC(=O)CF,registry
Formamidine acetate,3473-63-0,N=CN,registry
Formamidine hydrochloride,6313-33-3,C(=N)N.Cl,registry_or_pubchem_previous
N-Formyl tert-butylamine (N-tert-butylformamide),2425-74-3,CC(C)(C)NC=O,registry
Formyl hydrazine (formic acid hydrazide),624-84-0,NNC=O,registry
"Fumaric (trans-but-2-ene-1,4-dioic) acid",110-17-8,C(=CC(=O)O)C(=O)O,registry
Glutaric acid,110-94-1,C(CC(=O)O)CC(=O)O,registry_or_pubchem_previous
dl-Glyceraldehyde,56-82-6,C(C(C=O)O)O,registry_or_pubchem_previous
Glycolic (��-hydroxyacetic) acid,79-14-1,O=C(O)CO,registry
Guanidine,113-00-8,C(=N)(N)N,registry_or_pubchem_previous
Guanidine carbonate,593-85-1,C(=N)(N)N.C(=N)(N)N.C(=O)(O)O,registry
Guanidine hydrochloride,50-01-1,C(=N)(N)N,registry
"dl-Glyceraldehyde Dimer [(��) 3,6-dihydroxy-1,4-dioxane-2,5-dimethanol]","51795-26-7, 26793-98-6",C(C1C(OC(C(O1)O)CO)O)O,pubchem_cas
1-Heptadecanol,1454-85-9,CCCCCCCCCCCCCCCCCO,registry
Heptadecanoic acid (margaric),506-12-7,CCCCCCCCCCCCCCCCC(=O)O,registry
"The triglyceride, glyceryl 1,2,3- triheptadecanoate (triheptadecanoin)",2438-40-6,CCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC,registry
N-Heptaldehyde,111-71-7,CCCCCCC=O,registry
N-Heptaldoxime,629-31-2,CCCCCCC=NO,registry
"1,14-Hexadecanedioic acid (Thaspic acid)",505-54-4,O=C(O)CCCCCCCCCCCCCCC(=O)O,registry
Hexachloroethane,67-72-1,ClC(Cl)(Cl)C(Cl)(Cl)Cl,registry
Hexacosane (C-26),630-01-3,CCCCCCCCCCCCCCCCCCCCCCCCCC,registry
"Hexacosanoic acid (cerotic acid, cerotinic acid)",506-46-7,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,registry
Hexadecanoic acid (palmitic acid),57-10-3,CCCCCCCCCCCCCCCC(=O)O,registry
N-Hexadecane (Cetane),544-76-3,CCCCCCCCCCCCCCCC,registry
"Hfacac has been prepared from a mixture of Na wire (0.34mole) covered with dry Et2O and CF3CO2Et (0.27mole see [383-63- 1]) at 0o, to which was added trifluoroacetone (0.27mol, see",421-50-1,CC(=O)C(F)(F)F,registry
"Hexamethylene glycol (1,6-hexanediol)",629-11-8,OCCCCCCO,registry
