Compound,CAS,smiles,source
"Dipicolinic acid (pyridine-2,6-dicarboxylic acid)",499-83-2,C1=CC(=NC(=C1)C(=O)O)C(=O)O,registry
"R-(+)-��, ��-Diphenyl-2-pyrrolidinemethanol (��, ��-Diphenyl-D-prolinol)",22348-32-9,OC(c1ccccc1)(c1ccccc1)C1CCCN1,registry
The S-(-)-hydrochloride,148719-90-8,C1C[C@H](NC1)C(C2=CC=CC=C2)(C3=CC=CC=C3)O.Cl,registry_or_pubchem_previous
"as above. S-(-)-��, ��-Diphenyl-2-pyrrolidinemethanol (��, ��-diphenyl-L-prolinol)",112068-01-6,OC(c1ccccc1)(c1ccccc1)C1CCCN1,registry
"1,3-Di-(4-pyridyl)-propane",17252-51-6,c1cc(CCCc2ccncc2)ccn1,registry
"1,3-Dithiane",505-23-7,C1CSCSC1,registry
1-Dodecylpyridinium chloride,104-74-5,CCCCCCCCCCCC[n+]1ccccc1,registry
"2,2'-Dithiobis(benzothiazole)",120-78-5,C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3,registry_or_pubchem_previous
"2,5-Distyrylpyrazine",14990-02-4,C1=CC=C(C=C1)/C=C/C2=CN=C(C=N2)/C=C/C3=CC=CC=C3,registry_or_pubchem_previous
"4,4'-Dithiodimorpholine (S,S��-di-N,N��-dimorpholine, dimorpholine-N,N��-disulfide)",103-34-4,C1COCCN1SSN2CCOCC2,registry_or_pubchem_previous
"Ellipticine (5,11-dimethylpyrido[4,3:b]carbazole)",519-23-3,Cc1c2cc[nH]cc2c(C)c2c1nc1ccccc12,registry
"trans-1,2-Di-(2-pyridyl)-ethylene",1437-15-6,C(=Cc1ccccn1)c1ccccn1,registry
"trans-1,2-Di-(4-pyridyl)-ethylene",13362-78-2,C(=Cc1ccncc1)c1ccncc1,registry
"D-Erythronic acid ��-lactone (3R-3,4-dihydroxyfuran-2-one)",15667-21-7,O=C1OCC(O)C1O,registry
"Elymoclavine (8,9-didehydro-6-methylergoline-8-methanol)",548-43-6,CN1CC(CO)=CC2c3cccc4[nH]cc(c34)CC21,registry
Emetine hydrochloride,316-42-7,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,registry
Ergocornine,564-36-3,CC(C)C1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]cc(c56)CC4N(C)C3)(C(C)C)C(=O)N12,registry
Ergocristine,511-08-0,CC(C)C1(NC(=O)C2C=C3c4cccc5[nH]cc(c45)CC3N(C)C2)OC2(O)C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O,registry
Ergotamine,113-15-5,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)CC21,registry
Ergotamine,379-79-3,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)CC21.CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)CC21,registry
��-Ergocryptine,511-09-1,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]cc(c56)CC4N(C)C3)(C(C)C)C(=O)N12,registry
"2-Ethyl-1,2-benzisoxazolium tetrafluoroborate",4611-62-5,CC[n+]1cc2ccccc2o1.F[B-](F)(F)F,registry
"Eserine (Physostigmine, Physostol, [(3aS-cis)-1,2,3,3a,8,8a-hexahydro-1,3a,8-trimethyl-pyrrolo[2,3- b]indol-5-ol methylcarbamate ester]",57-47-6,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,registry
Ethylene thiourea (2-imidazolidinethione),96-45-7,S=C1NCCN1,registry
N-Ethylcarbazole,86-28-2,CCn1c2ccccc2c2ccccc21,registry
"(��)-3-Ethyl-3-phenyl-2,6-piperidinedione (Glutethimide)",77-21-4,CCC1(c2ccccc2)CCC(=O)NC1=O,registry
(��)-3-Ethyl-5-phenylhydantoin (Ethotoin),86-35-1,CCn1c(O)c(-c2ccccc2)[nH]c1=O,registry
"2-Ethyl-isothionicotinamide (ethionamide, 3-ethyl 4-pyrdinecarbothioamide)",536-33-4,CCc1cc(C(N)=S)ccn1,registry
Ethyl hydrocupreine hydrochloride (Optochin),3413-58-9,CCOc1ccc2nccc(C(O)C3CC4CCN3CC4CC)c2c1,registry
Ethylene urea (2-imidazolidone),120-93-4,O=C1NCCN1,registry
N-Ethyl-5-phenylisoxazolinium-3'-sulfonate (Woodward��s reagent K),4156-16-5,CC[n+]1ccc(-c2cccc(S(=O)(=O)[O-])c2)o1,registry
3-Fluoro-4-iodopyridine,22282-75-3,Fc1cnccc1I,registry
4-Ethylpyridine-1-oxide,14906-55-9,CCc1cc[n+]([O-])cc1,registry
"4-Fluoro-7-nitrobenzofurazan (4-fluoro-7-nitrobenzo-2-oxa-1,3-diazole)",29270-56-2,C1=C(C2=NON=C2C(=C1)F)[N+](=O)[O-],registry_or_pubchem_previous
Flavone (2-phenyl-4H-1-benzopyran-4-one),525-82-6,O=c1cc(-c2ccccc2)oc2ccccc12,registry
Fluorescein [9-(o-carboxyphenyl)-6-hydroxy-3H-xanthene-3-one],2321-07-5,C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O,registry_or_pubchem_previous
Fluoresceinamine (mixture of 5- and 6-aminofluorescein),27599-63-9,C1=CC2=C(C=C1N)C3(C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O)OC2=O.C1=CC2=C(C=C1N)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O,registry_or_pubchem_previous
"5-Fluorouracil (5-fluoropyrimidinedi-2,4-[1H,3H]-one, 5-FU)",51-21-8,O=c1[nH]cc(F)c(=O)[nH]1,registry
"Fluram (Fluorescamine, 4-phenyl-spiro[furan-2(3H)-1-phthalan]-3,3'-dione)",38183-12-9,O=C1OC2(OC=C(c3ccccc3)C2=O)c2ccccc21,registry
"Fumagillin {2,4,6,8-decatetraene-1,10-dioic acid mono[4-(1,2-epoxy-1,5-dimethyl-4-hexenyl)-5-methoxy-1- oxaspiro[2.5]oct-6-yl] ester}",23110-15-8,CC(=CC[C@@H]1[C@@](O1)(C)[C@H]2[C@@H]([C@@H](CC[C@]23CO3)OC(=O)/C=C/C=C/C=C/C=C/C(=O)O)OC)C,registry_or_pubchem_previous
Furan-2-carboxylic (2-furoic) acid,88-14-2,O=C(O)c1ccco1,registry
3-(2-Furanyl)acrylic acid,539-47-9,O=C(O)C=Cc1ccco1,registry
"Furan-2,5-dione (maleic anhydride)",108-31-6,O=C1C=CC(=O)O1,registry
"Furan-3,4-dicarboxylic acid",3387-26-6,C1=C(C(=CO1)C(=O)O)C(=O)O,registry_or_pubchem_previous
Furan-3-carboxylic (3-furoic) acid,488-93-7,O=C(O)c1ccoc1,registry
"(2S,6��R)(+)-Griseofulvin",126-07-8,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,registry
"(��)-Furoin [1,2-di-(2-furyl)-2-hydroxyethanone]",552-86-3,O=C(c1ccco1)C(O)c1ccco1,registry
Furil,492-94-4,C1=COC(=C1)C(=O)C(=O)C2=CC=CO2,registry
Fusaric acid (5-n-butylpyridine-2-carboxylic acid),536-69-6,CCCCc1ccc(C(=O)O)nc1,registry
Gramine (3-dimethylaminoethylindole),87-52-5,CN(C)Cc1c[nH]c2ccccc12,registry
Guanosine (H2O),118-00-3,Nc1nc(=O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,registry
Guanylic acid (guanosine-5'-monophosphoric acid),85-32-5,Nc1nc(=O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1,registry
"Harmaline (7-methoxy-1-methyl-4,9-dihydro-3H-��-carboline, 4,9-dihydro-7-methoxy-1-methyl-3H- pyrido[3,4-b]indole)",304-21-2,COc1ccc2c3c([nH]c2c1)C(C)=NCC3,registry
"m 60-62o, [��] D 20 +38 (c 1 CHCl3) for the S-(+)-isomer",115459-65-9,O=C(OCC1CO1)c1ccc([N+](=O)[O-])cc1,registry
"Harmane (2-methyl-��-carboline, 1-methyl-9H-pyrido[3,4-b]indole, Aribine)",486-84-0,Cc1nccc2c1[nH]c1ccccc12,registry
"Harmine (7-methoxy-1-methyl-9H-pyrido[3,4-b]indole)",442-51-3,COc1ccc2c(c1)[nH]c1c(C)nccc12,registry
Harmine hydrochloride (hydrate),343-27-1,COc1ccc2c(c1)[nH]c1c(C)nccc12,registry
"Hesperetin (3',5,7-trihydroxy-4'-methoxyflavanone)",520-33-2,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,registry
"Histamine [4-(2-aminoethyl)imidazole, ��-aminoethylglyoxaline, 1H-imidazole-4-ethanamine]",51-45-6,NCCc1c[nH]cn1,registry
Histamine dihydrochloride (Maxamine),56-92-8,NCCc1c[nH]cn1,registry
"1-Hydrazinophthalazine (hydralazine, Alphapress)",86-54-4,NNc1nncc2ccccc12,registry
2-Hydrazinopyridine,4930-98-7,NNc1ccccn1,registry
"4-Hydroxyacridine (4-acridinol, neo-oxine)",18123-20-1,Oc1cccc2cc3ccccc3nc12,registry
The hydrochloride (hydralazine hydrochloride),304-20-1,NNc1nncc2ccccc12,registry
2-Hydroxybenzothiazole (benzothiazol-2(3H)-one),934-34-9,O=c1[nH]c2ccccc2s1,registry
3-Hydroxyflavone (Flavanol),577-85-5,O=c1c(O)c(-c2ccccc2)oc2ccccc12,registry
4-Hydroxycoumarin (4-hydroxy-1-benzopyran-2-one),1076-38-6,O=c1cc(O)c2ccccc2o1,registry
N-2-Hydroxyethylpiperazine-N'-2-ethanesulfonic acid (HEPES),7365-45-9,O=S(=O)(O)CCN1CCN(CCO)CC1,registry
1-Hydroxyphenazine (Hemipyocyanine),528-71-2,Oc1cccc2nc3ccccc3nc12,registry
2-(2-Hydroxyphenyl)benzothiazole,3411-95-8,Oc1ccccc1-c1nc2ccccc2s1,registry
2-(2-Hydroxyphenyl)benzoxazole,835-64-3,Oc1ccccc1-c1nc2ccccc2o1,registry
4-Hydroxy-2-n-nonylquinoline N-oxide,316-66-5,CCCCCCCCCc1cc(=O)c2ccccc2n1O,registry
5-(Hydroxymethyl)furfural,67-47-0,O=Cc1ccc(CO)o1,registry
7-Hydroxy-4-methylcoumarin (4-methylumbelliferone(��) hydrate),90-33-5,Cc1cc(=O)oc2cc(O)ccc12,registry
8-Hydroxy-2-methylquinoline,826-81-3,Cc1ccc2cccc(O)c2n1,registry
"(+)-2-(��-Hydroxypropyl)piperidine [2-piperidinepropanol, R-1-(S-2-piperidyl)propan-1-ol, (+)-��- conhydrine]",495-20-5,CC[C@H]([C@@H]1CCCCN1)O,registry_or_pubchem_previous
"(��)-2-(��-Hydroxypropyl)piperidine [2-piperidinepropanol, RS-1-(SR-2-piperidyl)propan-1-ol, (��)-��- conhydrine]","8338-62-8, 63401-12-7, 24448-89-3",CCC(C1CCCCN1)O,pubchem_cas
"(��)-7-(2-Hydroxypropyl)theophylline (Proxyphylline, 1,3-dimethyl-3H,7H-purine-2,6-dione)",603-00-9,CC(CN1C=NC2=C1C(=O)N(C(=O)N2C)C)O,registry_or_pubchem_previous
2-Hydroxypyridine (2-pyridone),142-08-5,O=c1cccc[nH]1,registry
3-Hydroxy-2-phenylcinchoninic acid (Oxycincophen),485-89-2,O=C(O)c1c(O)c(-c2ccccc2)nc2ccccc12,registry
6-Hydroxypurine (hypoxanthine),68-94-0,O=c1[nH]cnc2[nH]cnc12,registry
1- Methyl-4-pyridone,695-19-2,CN1C=CC(=O)C=C1,registry_or_pubchem_previous
2(6)-Hydroxypyridine-5(3)-carboxylic acid (6-hydroxynicotinic acid),5006-66-6,C1=CC(=O)NC=C1C(=O)O,registry
3-Hydroxypyridine,109-00-2,Oc1cccnc1,registry
4-Hydroxypyridine (4-pyridone),626-64-2,O=c1cc[nH]cc1,registry
2-Hydroxypyrimidine,557-01-7,C1=CNC(=O)N=C1,registry_or_pubchem_previous
2-Hydroxypyrimidine hydrochloride,38353-09-2,C1=CNC(=O)N=C1.Cl,registry
2-Hydroxyquinoline (carbostyril),59-31-4,O=c1ccc2ccccc2[nH]1,registry
"4(6)-Hydroxy-2,5,6(2,4,5)-triaminopyrimidine sulfate",35011-47-3,Nc1nc(=O)c(N)c(N)[nH]1,registry
"4-Hydroxy-2,2,6,6-tetramethylpiperidine",2403-88-5,CC1(C)CC(O)CC(C)(C)N1,registry
"4-Hydroxypyridine-2,6-dicarboxylic acid (chelidamic acid)",138-60-3,C1C(NC(CC1=O)C(=O)O)C(=O)O,registry
4-Hydroxypyrimidine,"4562-27-0, 51953-17-4",O=c1cc[nH]cn1,registry
"8-Hydroxyquinoline (oxine, 8-quinolinol)",148-24-3,Oc1cccc2cccnc12,registry
8-Hydroxyquinoline-5-sulfonic acid (H2O),"84-88-8, 20946-17-2",O=S(=O)(O)c1ccc(O)c2ncccc12,registry
"1H, 2H-Indazol-3-one (3-hydroxy-1H-indazole) C7H6N2O,",7364-25-2,O=c1[nH][nH]c2ccccc12,registry
1H-Indazole-3-carboxylic acid,4498-67-3,O=C(O)c1[nH]nc2ccccc12,registry
3-Hydroxyxanthone (3-hydroxy-9H-9-xanthenone),3722-51-8,O=c1c2ccccc2oc2cc(O)ccc12,registry
Ibogaine (12-methoxybogamine),83-74-9,CCC1CC2CC3c4[nH]c5ccc(OC)cc5c4CCN(C2)C13,registry
Imidazole (glyoxaline),288-32-4,c1c[nH]cn1,registry
The hydrochloride,1467-16-9,c1c[nH]cn1,registry
"2-Iminothiolane hydrochloride (2-iminotetrahydrothiophene, Traut��s reagent)",4781-83-3,N=C1CCCS1,registry
4'-(Imidazol-1-yl)acetophenone,10041-06-2,CC(=O)c1ccc(-n2ccnc2)cc1,registry
"Indanthrene (N,N��-dihydro-1,2,1��,2��-anthraquinonazine)",81-77-6,O=c1c2ccccc2c(=O)c2c1ccc1[nH]c3c(ccc4c(=O)c5ccccc5c(=O)c43)[nH]c12,registry
"Indazole (1,2-benzopyrazole, 1,2-benzodiazole)",271-44-3,c1ccc2[nH]ncc2c1,registry
Indole,120-72-9,c1ccc2[nH]ccc2c1,registry
Indole-3-acetic acid (heteroauxin),87-51-4,O=C(O)Cc1c[nH]c2ccccc12,registry
3-Indolylbutyric acid (IBA),133-32-4,O=C(O)CCCc1c[nH]c2ccccc12,registry
3-Indolylpyruvic acid,392-12-1,O=C(O)C(=O)Cc1c[nH]c2ccccc12,registry
Indole-2-carboxaldehyde,19005-93-7,O=Cc1cc2ccccc2[nH]1,registry
Indole-3-propionic acid (IPA),830-96-6,O=C(O)CCc1c[nH]c2ccccc12,registry
trans-Indol-3-ylacrylic acid,1204-06-4,O=C(O)C=Cc1c[nH]c2ccccc12,registry
"3-Isobutyl-1-methylxanthine (3-isobutyl-1-methylpurine-2,6-dione)",28822-58-4,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,registry
7-Iodoindole,89976-15-8,Ic1cccc2cc[nH]c12,registry
"Iodinin (1,6-dihydroxyphenazine-5,10-dioxide)",68-81-5,[O-][n+]1c2cccc(O)c2[n+]([O-])c2cccc(O)c21,registry
Iodonitrotetrazolium chloride (2[4-iodophenyl]-3-[4-nitrophenyl]-5-phenyl-2H-tetrazolium chloride),146-68-9,O=[N+]([O-])c1ccc(-[n+]2nc(-c3ccccc3)nn2-c2ccc(I)cc2)cc1,registry
"Isatin (indole-2,3-dione)",91-56-5,O=C1Nc2ccccc2C1=O,registry
"Isatoic anhydride (3,1-benzoxazin-2,4[1-H]-dione)",118-48-9,O=c1[nH]c2ccccc2c(=O)o1,registry
Isonicotinamide (pyridine-4-carboxylic acid amide),1453-82-3,NC(=O)c1ccncc1,registry
Isonicotinic acid (pyridine-4-carboxylic acid),55-22-1,O=C(O)c1ccncc1,registry
Isonicotinic acid hydrazide (isoniazide),54-85-3,NNC(=O)c1ccncc1,registry
1-Isonicotinyl-2-isopropylhydrazide (Iproniazid),54-92-2,CC(C)NNC(=O)c1ccncc1,registry
"1-Isonicotinyl-2-isopropylhydrazide phosphate (Iproniazid phosphate, Marsilide)",305-33-9,CC(C)NNC(=O)c1ccncc1,registry
1-Isonicotinyl-2-salicylidenehydrazide (Salinazide),495-84-1,O=C(NN=Cc1ccccc1O)c1ccncc1,registry
Isoquinoline,119-65-3,c1ccc2cnccc2c1,registry
"Jervine (3��,23��-17,23-epoxy-2-hydroxyvertraman-11-one, a steroidal alkaloid)",469-59-0,CC1=C2C(=O)C3C(CC=C4CC(O)CCC43C)C2CCC12OC1CC(C)CNC1C2C,registry
N-Isopropylcarbazole,1484-09-9,CC(C)n1c2ccccc2c2ccccc21,registry
"Kainic acid H2O (2S,3S,4S-2-carboxy-4-isoprenyl-3-pyrrolidine- acetic acid)",487-79-6,C=C(C)C1CNC(C(=O)O)C1CC(=O)O,registry
"Ketanserin [3(4-p-fluorobenzoylpiperidinyl-N-ethyl)quinazolin-2,4-dione]",74050-98-9,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,registry
"Khellin (4,9-dimethoxy-7-methyl-5-oxofuro[3,2-g]-1,2-chromene)",82-02-0,COc1c2occc2c(OC)c2c(=O)cc(C)oc12,registry
Kojic acid [(5-hydroxy-2-hydroxymethyl)-4H-pyran-4-one],501-30-4,O=c1cc(CO)occ1O,registry
Kynurenic acid (4-hydroxyquinoline-2-carboxylic acid),492-27-3,O=C(O)c1cc(=O)c2ccccc2[nH]1,registry
L-Kynurenine [2-amino-3-(2-aminobenzoyl)-4-propionic acid],343-65-7,Nc1ccccc1C(=O)CC(N)C(=O)O,registry
L-Kynurenine sulfate,16055-80-4,Nc1ccccc1C(=O)CC(N)C(=O)O,registry
The hydrobromide,83646-41-7,c1cc2c3c(c1)CCCN3CCC2,registry
"2,3-Lutidine (2,3-dimethylpyridine)",583-61-9,Cc1cccnc1C,registry
"2,4-Lutidine (2,4-dimethylpyridine)",108-47-4,Cc1ccnc(C)c1,registry
"Luminol (5-aminophthalazin-1,4-dione)",521-31-3,Nc1cccc2c(=O)[nH][nH]c(=O)c12,registry
"dl-Lupinine (1-hydroxymethyloctahydroquinolizine, 1-hydroxymethylquinolizidine)",10248-30-3,C1CCN2CCC[C@H]([C@H]2C1)CO,registry_or_pubchem_previous
(+)-Lysergic acid,82-58-6,CN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)O,registry_or_pubchem_previous
"(��)-Mellein [(��)-3,4-dihydro-8-hydroxy-3-methyl-2-benzopyran-1-one, 8-hydroxy-3-methylisochroman-1- one]",1200-93-7,CC1CC2=C(C(=CC=C2)O)C(=O)O1,registry_or_pubchem_previous
2-Mercaptobenzimidazole,583-39-1,C1=CC=C2C(=C1)NC(=S)N2,registry
2-Mercaptobenzothiazole,149-30-4,S=c1[nH]c2ccccc2s1,registry
Lycorine,476-28-8,C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,registry_or_pubchem_previous
Maltol (3-hydroxy-2-methyl-4-pyrone),118-71-8,CC1=C(C(=O)C=CO1)O,registry
"Meconic acid (3-hydroxy-��-pyrone-2,6-dicarboxylic acid)",497-59-6,C1=C(OC(=C(C1=O)O)C(=O)O)C(=O)O,registry_or_pubchem_previous
"Melamine (2,4,6-triamino-1,3,5-triazine)",108-78-1,C1(=NC(=NC(=N1)N)N)N,registry_or_pubchem_previous
2-Mercapto-1-methylimidazole,60-56-0,Cn1cc[nH]c1=S,registry
2-Mercaptoimidazole,872-35-5,S=c1[nH]cc[nH]1,registry
"5-(p-Methoxyphenyl)-1,2-dithiole-3-thione",42766-10-9,COC1=CC=C(C=C1)C2=CC(=S)SS2,pubchem_name
5-Methoxyindole,1006-94-6,COc1ccc2[nH]ccc2c1,registry
6-Mercaptopurine monohydrate,6112-76-1,S=c1[nH]cnc2[nH]cnc12,registry
6-Methylaminopurine,443-72-1,CNC1=NC=NC2=C1NC=N2,registry_or_pubchem_previous
1-Methylguanine,938-85-2,CN1C(=O)C2=C(N=CN2)N=C1N,registry_or_pubchem_previous
2-Methylene-oxetan-2-one (diketene),674-82-8,C=C1CC(=O)O1,registry_or_pubchem_previous
5-Methylcytosine [4-amino-5-methylpyrimidin-2(1H)-one],554-01-8,Cc1c[nH]c(=O)nc1N,registry
9-Methylcarbazole (N-methylcarbazole),1484-12-4,Cn1c2ccccc2c2ccccc21,registry
"Methylene Blue [3,7-bis-(dimethylamino)phenothiazin-5-ium chloride",61-73-4,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],registry_or_pubchem_previous
"Methylene Green [3,7-bis-(dimethylamino)-4-nitrophenothiazin-5-ium chloride]",2679-01-8,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C(=C3S2)[N+](=O)[O-].[Cl-],registry_or_pubchem_previous
2-Methylimidazole (2-methylglyoxaline),693-98-1,Cc1ncc[nH]1,registry
2-Methylindole,95-20-5,Cc1cc2ccccc2[nH]1,registry
3-Methylindole (skatole),83-34-1,Cc1c[nH]c2ccccc12,registry
4(5)-Methylimidazole,822-36-6,Cc1c[nH]cn1,registry
7-Methylguanine,578-76-7,CN1C=NC2=C1C(=O)NC(=N2)N,registry_or_pubchem_previous
"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine hydrochloride (MPTP.HCl)",23007-85-4,CN1CC=C(c2ccccc2)CC1,registry
3-Methyl-1-phenyl-5-pyrazolone,89-25-8,Cc1cc(=O)n(-c2ccccc2)[nH]1,registry
"5-Methyl-1,10-phenanthroline",3002-78-6,Cc1cc2cccnc2c2ncccc12,registry
5-Methylphenazinium methyl sulfate (PMS),299-11-6,COS(=O)(=O)[O-].C[n+]1c2ccccc2nc2ccccc21,registry
N-Methylphenothiazine (10-methylphenothiazine),1207-72-3,CN1c2ccccc2Sc2ccccc21,registry
S(+)-2-methylpiperazine,74879-18-8,CC1CNCCN1,registry
1-Methyl-4-piperidone,1445-73-4,CN1CCC(=O)CC1,registry
"2-Methylpyridine (2-picoline, ��?picoline)",109-06-8,Cc1ccccn1,registry
"2-Picoline Borane Complex,",3999-38-0,Cc1ccccn1.[B],registry
4-Methylpyridine (4-picoline),108-89-4,Cc1ccncc1,registry
4-Methylquinoline (lepidine),491-35-0,Cc1ccnc2ccccc12,registry
"(��)-3-Methylsulfolane (3-methyltetrahydrothiophene-1,1-dioxide)",872-93-5,CC1CCS(=O)(=O)C1,registry
6(4)-Methyl-2-thiouracil,56-04-2,C(C(=O)CO)O,registry
7-Methylquinoline,612-60-2,Cc1ccc2cccnc2c1,registry
1-Methyluric acid,708-79-2,CN1C(=O)C2=C(NC(=O)N2)NC1=O,registry_or_pubchem_previous
"1-Methylxanthine (1-methyl-purin-2,6(3-H,7-H)-dione)",6136-37-4,CN1C(=O)C2=C(NC1=O)N=CN2,registry_or_pubchem_previous
2-Methyltricycloquinazoline,2642-52-6,,unresolved
3-Methyluric acid,39717-48-1,CN1C2=C(C(=O)NC1=O)NC(=O)N2,pubchem_name
3-Methylxanthine,1076-22-8,CN1C2=C(C(=O)NC1=O)NC=N2,registry
5-Methyltryptamine hydrochloride (3-[2-aminoethyl]-5-methylindole hydrochloride),1010-95-3,Cc1ccc2[nH]cc(CCN)c2c1,registry
6-Methyluracil,626-48-2,Cc1cc(=O)[nH]c(=O)[nH]1,registry
7-Methylxanthine,552-62-5,Cn1cnc2[nH]c(=O)[nH]c(=O)c21,registry
8-Methylxanthine,17338-96-4,CC1=NC2=C(N1)C(=O)NC(=O)N2,registry_or_pubchem_previous
9-Methyluric acid,"30345-24-5, 55441-71-9",CN1C=NC2=C1N(C(=O)NC2=O)O,pubchem_cas
9-Methylxanthine,1198-33-0,CN1C=NC2=C1NC(=O)NC2=O,registry_or_pubchem_previous
Morpholine,110-91-8,C1COCCN1,registry
"(��)-Naringenin (4',5,7-trihydroxyflavanone)","480-41-1, 67604-48-2",O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,registry
"1,5-Naphthyridine",254-79-5,c1cnc2cccnc2c1,registry
"1,8-Naphthyridine",254-60-4,c1cnc2ncccc2c1,registry
2-(N-Morpholino)ethanesulfonic acid (MES),4432-31-9,C1COCCN1CCS(=O)(=O)O,registry_or_pubchem_previous
"Murexide (ammonium purpurate, 5,5��-nitrilobarbituric acid)",3051-09-0,C1(=C(NC(=O)NC1=O)[O-])N=C2C(=O)NC(=O)NC2=O.[NH4+],registry_or_pubchem_previous
Naphthol AS-acetate (3-acetoxynaphthoic acid anilide),1163-67-3,CC(=O)Oc1cc2ccccc2cc1C(=O)Nc1ccccc1,registry
"��-Naphthoflavone (7,8-benzoflavone)",604-59-1,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,registry
4'-Nitrobenzo-15-crown-5,60835-69-0,O=[N+]([O-])c1ccc2c(c1)OCCOCCOCCOCCO2,registry
4'-Nitrobenzo-18-crown-6,53408-96-1,O=[N+]([O-])c1ccc2c(c1)OCCOCCOCCOCCOCCO2,registry
4-(4-Nitrobenzyl)pyridine (PNBP),1083-48-3,O=[N+]([O-])c1ccc(Cc2ccncc2)cc1,registry
"5-Nitro-1,10-phenanthroline",4199-88-6,O=[N+]([O-])c1cc2cccnc2c2ncccc12,registry
5-Nitrobarbituric acid (dilituric acid),480-68-2,O=c1[nH]c(O)c([N+](=O)[O-])c(=O)[nH]1,registry
5-Nitroindole,6146-52-7,O=[N+]([O-])c1ccc2[nH]ccc2c1,registry
Its hydrochloride,2104-92-9,C1=CC(=CN=C1)/C=N/NC(=S)N.Cl,registry_or_pubchem_previous
"Neutral Red (2-amino-8-dimethylamino-3-methylphenazine HCl, Basic Red 5, CI 50040)",553-24-2,Cc1cc2nc3ccc(N(C)C)cc3nc2cc1N,registry
Nicotinaldehyde thiosemicarbazone,3608-75-1,C1=CC=NC(=C1)C=NNC(=S)N,registry_or_pubchem_previous
"Nicotinic acid (Niacin is also used for the acid, pyridine-3-carboxylic acid)",59-67-6,C1=CC(=CN=C1)C(=O)[O-],registry
Nicotinic acid hydrazide,553-53-7,NNC(=O)c1cccnc1,registry
Nile Blue A (a benzophenoxazinium sulfate dye),3625-57-8,CC[N+](CC)=c1ccc2nc3c(cc(N)c4ccccc43)oc-2c1.CC[N+](CC)=c1ccc2nc3c(cc(N)c4ccccc43)oc-2c1,registry
"Nitron [1,4-diphenyl-3-phenylamino-(1H)-1,2,4-triazolium (hydroxide) inner salt]",2218-94-2,c1ccc(N=c2[n-][n+](-c3ccccc3)cn2-c2ccccc2)cc1,registry
2-Oxazolidinone (ethylene carbamate),497-25-6,O=C1NCCO1,registry
3-Nitro-2-pyridinesulfenyl chloride,68206-45-1,O=[N+]([O-])c1cccnc1SCl,registry
4-Nitroquinoline 1-oxide,56-57-5,O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,registry
5-Nitroquinoline,607-34-1,O=[N+]([O-])c1cccc2ncccc12,registry
"5-Nitrouracil (2,4-dihydroxy-5-nitropyrimidine)",611-08-5,C1=C(C(=O)NC(=O)N1)[N+](=O)[O-],registry_or_pubchem_previous
8-Nitroquinoline,607-35-2,O=[N+]([O-])c1cccc2cccnc12,registry
Octadecyl isonicotinate (hydrogen ionophore IV ETH 1778),103225-02-1,CCCCCCCCCCCCCCCCCCOC(=O)C1=CC=NC=C1,registry_or_pubchem_previous
