reaction_smiles,reaction_label,spectator_groups
CNc1ccccc1.C=C[Si](C)(C)c1sc2ccccc2c1Br>>CC1CN(c2ccccc2)c2c(sc3ccccc23)[Si]1(C)C,(HeteroAr–Br + Ar–NH–R) OR (intramolecular HeteroAr–Br / H2C=CHR1) OR (intramolecular HeteroAr–Br / HeteroAr–SiR3) →,
COc1ccc([N+](=O)[O-])cc1.COC(=O)c1cccc(Br)c1>>COC(=O)c1cccc(Nc2ccc(OC)cc2)c1,,
c1ccc2[nH]cnc2c1.Cc1cc(Br)cc(Br)c1>>Cc1cc(Br)cc(-n2cnc3ccccc32)c1,Ar–Br + AromN–H → Ar–AromN,heteroaryl_nitrogen; aryl_halide
Cc1ccc(NC(=O)c2ccccc2)c(-c2occc2Br)c1>>Cc1ccc2c(c1)c1occc1n2C(=O)c1ccccc1,intramolecular (5-membered ring) HeteroAr–Br / R–C(O)–NHR → HeteroAr–N(C(O)–R)(Ar),
Cc1ccc(Br)nc1.CC(C)(C)OC(=O)N1CCNCC1>>Cc1ccc(N2CCN(C(=O)OC(C)(C)C)CC2)nc1,HeteroAr–Br + R1R2–NH → HeteroAr–NR1R2,heteroaryl_nitrogen; carbamate
O=C(O)c1cc([N+](=O)[O-])ccc1F.CC(C)(C)OC(=O)N1CCNCC1>>CC(C)(C)OC(=O)N1CCN(c2ccc([N+](=O)[O-])cc2C(=O)O)CC1,Ar–F + R1R2–NH → Ar–NR1R2,carboxylic_acid; nitro; tertiary_amine; carbamate
CC(C)(C)N1C(=O)N1C(C)(C)C.CCOC(=O)/C=C(\C)c1ccccc1I>>CCOC(=O)c1c(C)c2ccccc2n1C(C)(C)C,,
Nc1ccc(I)cc1F.CC(C)(C)OC(=O)N1CCNC(=O)C1>>CC(C)(C)OC(=O)N1CCN(c2ccc(N)c(F)c2)C(=O)C1,Ar–I + R–C(O)–NHR → Ar–N(C(O)–R)(R),aryl_halide; primary_amine; carbamate
Brc1ccc(Br)cc1.c1c[nH]cn1>>Brc1ccc(-n2ccnc2)cc1,Ar–Br + AromN–H → Ar–AromN,aryl_halide; heteroaryl_nitrogen
Clc1ncc(Cl)c(Cl)n1.CS(=O)(=O)c1cccc(CN)c1>>CS(=O)(=O)c1cccc(CNc2nc(Cl)ncc2Cl)c1,HeteroAr–Cl + R–NH2 → HeteroAr–NH–R,aryl_halide; heteroaryl_nitrogen; aryl_halide; heteroaryl_nitrogen; sulfone
COC(=O)c1ccc2[nH]ccc2c1.Brc1cccc2cccnc12>>COC(=O)c1ccc2c(ccn2-c2cccc3cccnc23)c1,Ar–Br + AromN–H → Ar–AromN,ester; heteroaryl_nitrogen
C=CCNC.O=C(C(=O)c1ccccc1F)c1ccccc1>>C=CCN(C)c1ccccc1C(=O)C(=O)c1ccccc1,Ar–F + R1R2–NH → Ar–NR1R2,alkene; ketone; ketone
CNc1ccccc1.CC(C)(C)c1ccc(Cl)cc1>>CN(c1ccccc1)c1ccc(C(C)(C)C)cc1,Ar–Cl + Ar–NH–R → Ar–N(Ar)(R),
c1ccc(C(c2ccccc2)N2CCNCC2)cc1.Cc1cc(OCc2cn(-c3ccc(S(N)(=O)=O)cc3)nn2)nc(Cl)n1>>Cc1cc(OCc2cn(-c3ccc(S(N)(=O)=O)cc3)nn2)nc(N2CCN(C(c3ccccc3)c3ccccc3)CC2)n1,HeteroAr–Cl + R1R2–NH → HeteroAr–NR1R2,tertiary_amine; heteroaryl_nitrogen; heteroaryl_nitrogen; ether; heteroaryl_nitrogen; heteroaryl_nitrogen; heteroaryl_nitrogen; sulfonamide
Nc1ccc(Br)cc1.Clc1nc2ccccc2s1>>Brc1ccc(N(c2nc3ccccc3s2)c2nc3ccccc3s2)cc1,(HeteroAr–Cl + Ar–NH2) OR (intramolecular Ar–Br / Ar–NH2) →,
Ic1ccccc1-c1ccccc1.CN1CCNC(c2ccccc2)C1>>CN1CCN(c2ccccc2-c2ccccc2)C(c2ccccc2)C1,Ar–I + R1R2–NH → Ar–NR1R2,tertiary_amine
COc1cc(-c2cnc(F)c(F)c2)cc(OC)c1OC>>COc1cc(-c2c[nH]c(=NN)c(F)c2)cc(OC)c1OC,,
