canonical_reaction_smiles,reaction_display_label_detailed,original_reaction_type,detected_reaction_family,detection_status,transformation_class,signature_id,evidence_quality,transformation_confidence,stereochemical_changes,reaction_completeness_status,product_heavy_atom_coverage,product_element_excess,partial_transformation_class,removed_fragment,installed_fragment,installed_fragment_key,fragment_source_status,fragment_source_candidates,missing_product_atom_elements,chemistry_status,condition_status,condition_stage_status,index_eligibility,admission_reasons,warnings,spectators,reactivity_profile
C1=CCCCCC1>>FC1CCCCCC1Br,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.777778,"{""Br"":1,""F"":1}",,,,,,,,rejected,unresolved_retained,unassigned_multistage,ineligible,condition_identifier_uncertainty; multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C#CCCCC>>CCCCC(Br)=CBr,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.75,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CCOC(=O)C=Cc1cc2cc(C)cc(C)c2nc1Cl>>CCOC(=O)C(Br)C(Br)c1cc2cc(C)cc(C)c2nc1Cl,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.909091,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
Cn1c(=O)c2nc(C#Cc3ccccc3)cnc2n(C)c1=O>>Cn1c(=O)c2nc(/C(Br)=C(\Br)c3ccccc3)cnc2n(C)c1=O,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.916667,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C=CCc1cccc2ccccc12>>BrCC(Br)Cc1cccc2ccccc12,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.866667,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CC1=CCCCC1>>CC1(Br)CCCCC1Br,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.777778,"{""Br"":2}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
COc1ccc(/C=C/C(=O)c2ccccc2)cc1>>COc1ccc([C@H](Br)[C@H](Br)C(=O)c2ccccc2)cc1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.9,"{""Br"":2}",,,,,,,,rejected,resolved_complete,unassigned_multistage,ineligible,multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C=CCCCCCCCC>>CCCCCCCCC(Cl)CCl,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.833333,"{""Cl"":2}",,,,,,,,rejected,resolved_complete,unassigned_multistage,ineligible,multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CC=CC[N+](C)(C)C.[Br-]>>CC(Br)C(Br)C[N+](C)(C)C.[Br-],,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.818182,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
Cc1nc2ccccc2c(O)c1CC=C(Cl)Cl>>Cc1nc2ccccc2c(O)c1CC(Br)C(Cl)(Cl)Br,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.894737,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C[Si](C)(Cl)/C=C/c1ccccc1>>C[Si](C)(Cl)[C@H](Br)[C@@H](Br)c1ccccc1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.857143,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
c1ccc(C2=C(c3ccccc3)C(c3ccccc3)=C2c2ccccc2)cc1>>BrC1(c2ccccc2)C(c2ccccc2)=C(c2ccccc2)C1(Br)c1ccccc1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.933333,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
COc1cc(OC)c(C(=O)/C=C/c2ccc(OC)c(OC)c2)c(OC(C)=O)c1>>COc1cc(OC)c(C(=O)C(Br)C(Br)c2ccc(OC)c(OC)c2)c(OC(C)=O)c1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.933333,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
O=C(c1ccccc1)N1C=CC(Cc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])C=C1>>O=C(c1ccccc1)N1C=CC(Cc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])C(Br)C1Br,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.9375,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CCCC#CCCC>>CCC/C(Br)=C(\Br)CCC,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.8,"{""Br"":2}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C(#Cc1ccccc1)c1ccccc1>>BrC(=C(Br)c1ccccc1)c1ccccc1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.875,"{""Br"":2}",,,,,,,,rejected,resolved_complete,unassigned_multistage,ineligible,multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CCOC(=O)C=Cc1ccccc1>>CCOC(=O)C(Br)C(Br)c1ccccc1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.866667,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C1=CCCC=C1>>Br[C@@H]1[C@H](Br)[C@@H](Br)CC[C@H]1Br.Br[C@H]1[C@H](Br)[C@@H](Br)CC[C@@H]1Br,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.3,"{""Br"":8,""C"":6}",,,,,,,,rejected,resolved_complete,unassigned_multistage,ineligible,multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C=COC=C>>BrCC(Br)OC(Br)CBr,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.555556,"{""Br"":4}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C=CCCCCCCCCCCCCCCCC>>CCCCCCCCCCCCCCCCC(Br)CBr,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.9,"{""Br"":2}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C=CCCCCCCCCCC>>CCCCCCCCCCC(F)CBr,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.857143,"{""Br"":1,""F"":1}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
O=C(/C=C/c1cccc([N+](=O)[O-])c1)c1ccccc1>>O=C(c1ccccc1)[C@@H](Br)[C@@H](Br)c1cccc([N+](=O)[O-])c1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.904762,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
COC1C=CC(OC)O1>>COC1OC(OC)C(Br)C1Br,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.818182,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C=CCN1C(=O)C(=O)c2ccccc21>>O=C1C(=O)N(CC(Br)CBr)c2ccccc21,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.875,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
O=C(C=Cc1ccccc1)c1ccccc1>>O=C(c1ccccc1)[C@H](Br)[C@@H](Br)c1ccccc1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.888889,"{""Br"":2}",,,,,,,,rejected,unusable,single_stage,ineligible,no_condition_identifiers; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C#Cc1ccccc1Br>>Br/C=C(/Br)c1ccccc1Br,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.818182,"{""Br"":2}",,,,,,,,rejected,unresolved_retained,unassigned_multistage,ineligible,condition_identifier_uncertainty; multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
FC(F)=C(F)c1ccccc1>>FC(F)(Cl)C(F)(Cl)c1ccccc1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.846154,"{""Cl"":2}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C=C(CO)CCc1ccccc1>>OC[C@@](Br)(CBr)CCc1ccccc1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.857143,"{""Br"":2}",,,,,,,,rejected,unresolved_retained,unassigned_multistage,ineligible,condition_identifier_uncertainty; multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C=C(OC)C(C)=O>>COC(Br)(CBr)C(C)=O,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.777778,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C=C(C)Cc1ccccc1>>CC(Br)(CBr)Cc1ccccc1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.833333,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C1=CC2CCC1C2>>Br[C@@H]1[C@@H]2CC[C@@H](C2)[C@H]1Br,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.777778,"{""Br"":2}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C#CCN1CCCCC1>>Br/C=C(/Br)CN1CCCCC1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.818182,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CCC/C=C/CO>>CCC[C@@H](Br)[C@@H](Br)CO,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.777778,"{""Br"":2}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
[C-]#[N+]CC(=O)OC>>COC(=O)CN=C(Br)Br,,Addition of Halogens to Double or Triple Bonds,,unavailable,,,unresolved,0.0,,incomplete,0.777778,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CCC/C(C)=C/CO>>CCC[C@@](C)(Br)[C@@H](Br)CO,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.8,"{""Br"":2}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C=CC[N+]1(CC)CCCCC1.[Br-]>>CC[N+]1(CC(Br)CBr)CCCCC1.[Br-],,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.857143,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C/C=C/CCCCC>>CCCCC[C@H](Br)[C@@H](C)Br,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.8,"{""Br"":2}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CCOC(=O)C=Cc1ccc([N+](=O)[O-])cc1>>CCOC(=O)C(Br)C(Br)c1ccc([N+](=O)[O-])cc1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.888889,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C#Cc1ccccc1>>Br/C=C(/Br)c1ccccc1.Br/C=C(\Br)c1ccccc1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.4,"{""Br"":4,""C"":8}",,,,,,,,rejected,resolved_complete,unassigned_multistage,ineligible,multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C#CCCCCC>>CCCCC/C(Br)=C\Br,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.777778,"{""Br"":2}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CCOC(=O)/C=C\C(=O)OCC>>CCOC(=O)[C@@H](Br)[C@H](Br)C(=O)OCC,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.857143,"{""Br"":2}",,,,,,,,rejected,resolved_complete,unassigned_multistage,ineligible,multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
O=C(/C=C/c1ccc(Br)cc1)c1ccccc1>>O=C(c1ccccc1)[C@@H](Br)[C@@H](Br)c1ccc(Br)cc1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.894737,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C=COC(=O)/C=C/C>>C/C=C/C(=O)OC(Br)CBr,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.8,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
O=C(C=Cc1ccccc1)c1ccccc1NS(=O)(=O)c1ccccc1>>O=C(c1ccccc1NS(=O)(=O)c1ccccc1)C(Br)C(Br)c1ccccc1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.928571,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C=C(CNC(C)(C)C)C(=O)OC>>COC(=O)C(Br)(CBr)CNC(C)(C)C,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.857143,"{""Br"":2}",,,,,,,,rejected,resolved_complete,unassigned_multistage,ineligible,multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C1=CCCC=C1>>Br[C@H]1[C@H](Br)[C@@H](Br)CC[C@@H]1Br,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.6,"{""Br"":4}",,,,,,,,rejected,resolved_complete,unassigned_multistage,ineligible,multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C=C(C)c1ccc2ccccc2c1C1c2ccccc2-c2ccccc21>>CC(Br)(CBr)c1ccc2ccccc2c1C1c2ccccc2-c2ccccc21,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.928571,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C[C@H](Br)[C@H](Br)[C@H](O)[C@@H](Br)/C=C\CO>>C[C@H](Br)[C@H](Br)[C@H](O)[C@@H](Br)[C@H](Br)[C@@H](Br)CO,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.866667,"{""Br"":2}",,,,,,,,rejected,resolved_complete,unassigned_multistage,ineligible,multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CC1=CC(=NC(=O)c2ccccc2)C=C(C)C1=O>>CC1=C(Cl)C(=NC(=O)c2ccccc2)C(Cl)C(C)(Cl)C1=O,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.857143,"{""Cl"":3}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
COc1ccc(C=CC(=O)c2ccccc2)cc1>>COc1ccc(C(Br)C(Br)C(=O)c2ccccc2)cc1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.9,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C/C=C/Cc1cc(C)ccc1C>>Cc1ccc(C)c(CC(Br)C(C)Br)c1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.857143,"{""Br"":2}",,,,,,,,rejected,resolved_complete,unassigned_multistage,ineligible,multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C=CCN(C=O)NC=O>>O=CNN(C=O)CC(Br)CBr,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.818182,"{""Br"":2}",,,,,,,,rejected,resolved_complete,unassigned_multistage,ineligible,multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CC(C)=CC1=NOC(C)(COCc2ccccc2)C1>>CC1(COCc2ccccc2)CC(C(Br)C(C)(C)Br)=NO1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.904762,"{""Br"":2}",,,,,,,,rejected,unresolved_retained,unassigned_multistage,ineligible,condition_identifier_uncertainty; multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C=CC#CC[N+](C)(C)CCC.[Br-]>>CCC[N+](C)(C)CC#CC(Br)CBr.[Br-],,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.857143,"{""Br"":2}",,,,,,,,rejected,unusable,single_stage,ineligible,no_condition_identifiers; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CC1=CC(=O)C=C/C1=N\S(=O)(=O)c1ccccc1>>CC1=CC(=O)C(Cl)C(Cl)C1=NS(=O)(=O)c1ccccc1,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.9,"{""Cl"":2}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
Cc1cc(O)c(C(=O)C=Cc2c3ccccc3cc3ccccc23)cc1Cl>>Cc1cc(O)c(C(=O)C(Br)C(Br)c2c3ccccc3cc3ccccc23)cc1Cl,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.931034,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
C#CC(C)(C)OOC(C)(C)C>>CC(C)(C)OOC(C)(C)C(Br)=CBr,,Addition of Halogens to Double or Triple Bonds,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.846154,"{""Br"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
