canonical_reaction_smiles,reaction_display_label_detailed,original_reaction_type,detected_reaction_family,detection_status
Brc1ccc2ccc3cccc4ccc1c2c34.COc1ccc(S)cc1>>COc1ccc(Sc2ccc3ccc4cccc5ccc2c3c45)cc1,Ar¹–Br + Ar²–SH → Ar¹–S–Ar²; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
COc1nc(N2CCN(C)CC2)ncc1I.Nc1cccc(S)c1>>COc1nc(N2CCN(C)CC2)ncc1Sc1cccc(N)c1,HeteroAr–I + Ar–SH → HeteroAr–S–Ar; edits: C–I bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
CN1CCN(c2cc(OCc3ccccc3)c(I)cn2)CC1.N#Cc1ccc(S)cc1>>CN1CCN(c2cc(OCc3ccccc3)c(Sc3ccc(C#N)cc3)cn2)CC1,HeteroAr–I + Ar–SH → HeteroAr–S–Ar; edits: C–I bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Brc1cccc2cn[nH]c12.SC1CCCCC1>>c1cc(SC2CCCCC2)c2[nH]ncc2c1,Ar–Br + R–SH → Ar–S–R; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Clc1ccc2nccnc2c1.Sc1ccccc1>>c1ccc(Sc2ccc3nccnc3c2)cc1,Ar¹–Cl + Ar²–SH → Ar¹–S–Ar²; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Cc1ccc(OP(=S)(S)Oc2ccc(C)cc2)cc1.Nc1cccc(Cl)c1.[Na]>>Cc1ccc(OP(=S)(Oc2ccc(C)cc2)Sc2cccc(N)c2)cc1,Ar–Cl + Other–SH → Ar–S–Other; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
O=Cc1oc2ccccc2c1Cl.Sc1ccc(Cl)cc1>>O=Cc1oc2ccccc2c1Sc1ccc(Cl)cc1,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Cc1ccc(C)c(S)c1.O=Cc1oc2ccccc2c1Cl>>Cc1ccc(C)c(Sc2c(C=O)oc3ccccc23)c1,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Cc1ccc(S)cc1.O=Cc1oc2ccc(Br)cc2c1Cl>>Cc1ccc(Sc2c(C=O)oc3ccc(Br)cc23)cc1,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Cc1ccc(S)cc1.N#Cc1oc2ccccc2c1Cl>>Cc1ccc(Sc2c(C#N)oc3ccccc23)cc1,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
