sample_row,reaction_smiles,cleaned_reaction_smiles,cleanup_applied,coordination_removed,counterion_removed,routing_route,routing_excluded,scope_excluded,scope_reason,decision,formed_motifs
643,O=C(CCc1ccccc1O)N(Cc1ccccc1)Cc1ccccc1.O=[N+]([O-])c1ccccc1F>>O=C(CCc1ccccc1Oc1ccccc1[N+](=O)[O-])N(Cc1ccccc1)Cc1ccccc1,O=C(CCc1ccccc1O)N(Cc1ccccc1)Cc1ccccc1.O=[N+]([O-])c1ccccc1F>>O=C(CCc1ccccc1Oc1ccccc1[N+](=O)[O-])N(Cc1ccccc1)Cc1ccccc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
644,N#Cc1ccc(-c2ccc(O)c(Cl)c2)cc1.CCOC(=O)c1cnc(Nc2ccc(C#N)cc2)nc1Cl>>CCOC(=O)c1cnc(Nc2ccc(C#N)cc2)nc1Oc1ccc(-c2ccc(C#N)cc2)cc1Cl,N#Cc1ccc(-c2ccc(O)c(Cl)c2)cc1.CCOC(=O)c1cnc(Nc2ccc(C#N)cc2)nc1Cl>>CCOC(=O)c1cnc(Nc2ccc(C#N)cc2)nc1Oc1ccc(-c2ccc(C#N)cc2)cc1Cl,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,HeteroAr-OR
645,Oc1ccc(OC(F)(F)F)cc1.Cc1noc(C)c1[I+]c1ccc(Oc2ccc(Br)cc2)cc1.O=S(=O)([O-])C(F)(F)F>>FC(F)(F)Oc1ccc(Oc2ccc(Oc3ccc(Br)cc3)cc2)cc1,Oc1ccc(OC(F)(F)F)cc1.Cc1noc(C)c1[I+]c1ccc(Oc2ccc(Br)cc2)cc1.O=S(=O)([O-])C(F)(F)F>>FC(F)(F)Oc1ccc(Oc2ccc(Oc3ccc(Br)cc3)cc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
646,Cc1ccc(CO)cc1.FC(F)(F)c1ccc(Br)cc1>>Cc1ccc(COc2ccc(C(F)(F)F)cc2)cc1,Cc1ccc(CO)cc1.FC(F)(F)c1ccc(Br)cc1>>Cc1ccc(COc2ccc(C(F)(F)F)cc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
647,CN(CCCO)C(=O)OC(C)(C)C.Fc1cc(Br)ccn1>>CN(CCCOc1cc(Br)ccn1)C(=O)OC(C)(C)C,CN(CCCO)C(=O)OC(C)(C)C.Fc1cc(Br)ccn1>>CN(CCCOc1cc(Br)ccn1)C(=O)OC(C)(C)C,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,HeteroAr-OR
648,CCO.N#Cc1ccc(Br)cc1>>CCOc1ccc(C#N)cc1,CCO.N#Cc1ccc(Br)cc1>>CCOc1ccc(C#N)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
649,Clc1ccnc(Cl)n1.O=C(Nc1ccc(F)cc1)c1ccccc1Nc1ccc(O)cc1>>O=C(Nc1ccc(F)cc1)c1ccccc1Nc1ccc(Oc2ccnc(Cl)n2)cc1,Clc1ccnc(Cl)n1.O=C(Nc1ccc(F)cc1)c1ccccc1Nc1ccc(O)cc1>>O=C(Nc1ccc(F)cc1)c1ccccc1Nc1ccc(Oc2ccnc(Cl)n2)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,HeteroAr-OR
650,O=C(O)c1ccsc1.N#Cc1ccc(I)cc1>>N#Cc1ccc(OC(=O)c2ccsc2)cc1,O=C(O)c1ccsc1.N#Cc1ccc(I)cc1>>N#Cc1ccc(OC(=O)c2ccsc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-COOR
651,Cc1cccc(O)c1.CCc1ccc(NC(=O)NC(=O)CSc2nc(Cl)cc(C(F)(F)F)n2)cc1>>CCc1ccc(NC(=O)NC(=O)CSc2nc(Oc3cccc(C)c3)cc(C(F)(F)F)n2)cc1,Cc1cccc(O)c1.CCc1ccc(NC(=O)NC(=O)CSc2nc(Cl)cc(C(F)(F)F)n2)cc1>>CCc1ccc(NC(=O)NC(=O)CSc2nc(Oc3cccc(C)c3)cc(C(F)(F)F)n2)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,HeteroAr-OR
652,Oc1cccc(Nc2ccccc2)c1.COc1cc(F)cc(OC)c1C=O>>COc1cc(Oc2cccc(Nc3ccccc3)c2)cc(OC)c1C=O,Oc1cccc(Nc2ccccc2)c1.COc1cc(F)cc(OC)c1C=O>>COc1cc(Oc2cccc(Nc3ccccc3)c2)cc(OC)c1C=O,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
