reaction_smiles,reaction_label,spectator_groups
CC(O)COc1ccccc1.Clc1nsc2ccccc12>>CC(COc1ccccc1)Oc1nsc2ccccc12,HeteroAr–Cl + R–OH → HeteroAr–O–R,ether; heteroaryl_nitrogen
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O.Cc1ccnc(Cl)c1>>Cc1ccnc(O[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1,HeteroAr–Cl + R–OH → HeteroAr–O–R,heteroaryl_nitrogen
Clc1cc(Cl)nc(-c2ccccc2)n1.CO/C=C(/C(=O)OC)c1ccccc1O>>CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Cl)nc(-c2ccccc2)n1,HeteroAr–Cl + Ar–OH → HeteroAr–O–Ar,heteroaryl_nitrogen; aryl_halide; heteroaryl_nitrogen; alkene; ester; ether
C=CC(=O)Nc1cccc(O)c1.Clc1nc(Cl)c2sccc2n1>>C=CC(=O)Nc1cccc(Oc2nc(Cl)nc3ccsc23)c1,HeteroAr–Cl + Ar–OH → HeteroAr–O–Ar,amide; alkene; heteroaryl_nitrogen; aryl_halide; heteroaryl_nitrogen
CO.[N-]=[N+]=NCC(=O)c1ccc([N+](=O)[O-])cc1.O=Cc1c(Cl)c2ccccc2oc1=O>>COc1c(C=C(N=[N+]=[N-])C(=O)c2ccc([N+](=O)[O-])cc2)c(=O)oc2ccccc12,HeteroAr–Cl + R–OH →,
CO.[N-]=[N+]=NCC(=O)c1ccccc1.O=Cc1c(Cl)c2ccccc2oc1=O>>COc1c(C=C(N=[N+]=[N-])C(=O)c2ccccc2)c(=O)oc2ccccc12,HeteroAr–Cl + R–OH →,
COCCOCCOCCO.Fc1ccc(N=Nc2ccccc2)nc1>>COCCOCCOCCOc1ccc(N=Nc2ccccc2)nc1,HeteroAr–F + R–OH → HeteroAr–O–R,ether; ether; ether; heteroaryl_nitrogen; azo
ON=C(c1ccccc1)c1ccccc1.O=C(/C=C/c1ccc(Br)cc1)c1ccc(F)cc1>>O=C(/C=C/c1ccc(ON=C(c2ccccc2)c2ccccc2)cc1)c1ccc(F)cc1,Ar–Br + N–OH → Ar–O–N,imine; alkene; ketone; aryl_halide
CCO.O=[N+]([O-])c1ccc(Cl)cc1>>CCOc1ccc([N+](=O)[O-])cc1,Ar–Cl + R–OH → Ar–O–R,nitro; tertiary_amine
O=[N+]([O-])c1ccc(Cl)cc1.CCC/C=C/CO>>CCC/C=C/COc1ccc([N+](=O)[O-])cc1,Ar–Cl + R–OH → Ar–O–R,nitro; tertiary_amine; alkene
