cluster_id,cluster_count,motif_signature,event_signature,recommended_action,candidate_rank,candidate_reaction_id,candidate_name,candidate_category,score,reactant_overlap,product_overlap,matched_reacted_motifs,matched_formed_motifs
RCH2-SH -> RCH2-SR || events:c_s_bond_formation|intermolecular_or_multi_component,2,RCH2-SH -> RCH2-SR,c_s_bond_formation|intermolecular_or_multi_component,review_slot_constraints_and_missing_product_patterns,3,Suzuki_miyaura,Suzuki_miyaura,,0.0,0.0,0.0,,
RCH2-SH -> RCH2-SR || events:c_s_bond_formation|intermolecular_or_multi_component,2,RCH2-SH -> RCH2-SR,c_s_bond_formation|intermolecular_or_multi_component,review_slot_constraints_and_missing_product_patterns,4,Miyaura_borylation,Miyaura_borylation,,0.0,0.0,0.0,,
RCH2-SH -> RCH2-SR || events:c_s_bond_formation|intermolecular_or_multi_component,2,RCH2-SH -> RCH2-SR,c_s_bond_formation|intermolecular_or_multi_component,review_slot_constraints_and_missing_product_patterns,5,Ircatalyzed_CH_borylation,Ircatalyzed_CH_borylation,,0.0,0.0,0.0,,
Alkyl-F|Alkyl-I|Ar-I|HeteroAr-H -> Ar-CF3 || events:c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,2,Alkyl-F|Alkyl-I|Ar-I|HeteroAr-H -> Ar-CF3,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,review_slot_constraints_and_missing_product_patterns,1,Trifluoromethylation,Trifluoromethylation,,0.675,0.5,1.0,Ar-I|HeteroAr-H,Ar-CF3
Alkyl-F|Alkyl-I|Ar-I|HeteroAr-H -> Ar-CF3 || events:c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,2,Alkyl-F|Alkyl-I|Ar-I|HeteroAr-H -> Ar-CF3,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,review_slot_constraints_and_missing_product_patterns,2,Alkyl_Nucleophilic_Substitution,Alkyl_Nucleophilic_Substitution,,0.325,0.5,0.0,Alkyl-F|Alkyl-I,
Alkyl-F|Alkyl-I|Ar-I|HeteroAr-H -> Ar-CF3 || events:c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,2,Alkyl-F|Alkyl-I|Ar-I|HeteroAr-H -> Ar-CF3,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,review_slot_constraints_and_missing_product_patterns,3,Suzuki_miyaura,Suzuki_miyaura,,0.1625,0.25,0.0,Ar-I,
Alkyl-F|Alkyl-I|Ar-I|HeteroAr-H -> Ar-CF3 || events:c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,2,Alkyl-F|Alkyl-I|Ar-I|HeteroAr-H -> Ar-CF3,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,review_slot_constraints_and_missing_product_patterns,4,Miyaura_borylation,Miyaura_borylation,,0.1625,0.25,0.0,Ar-I,
Alkyl-F|Alkyl-I|Ar-I|HeteroAr-H -> Ar-CF3 || events:c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,2,Alkyl-F|Alkyl-I|Ar-I|HeteroAr-H -> Ar-CF3,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,review_slot_constraints_and_missing_product_patterns,5,Ircatalyzed_CH_borylation,Ircatalyzed_CH_borylation,,0.1625,0.25,0.0,HeteroAr-H,
none -> RCH2-COR|R_acidic-H || events:c_o_bond_formation|intramolecular_likely,2,none -> RCH2-COR|R_acidic-H,c_o_bond_formation|intramolecular_likely,consider_new_reaction_family_or_multistep_record_bucket,1,Oxidation_alcohol,Oxidation_alcohol,,0.175,0.0,0.5,,RCH2-COR
none -> RCH2-COR|R_acidic-H || events:c_o_bond_formation|intramolecular_likely,2,none -> RCH2-COR|R_acidic-H,c_o_bond_formation|intramolecular_likely,consider_new_reaction_family_or_multistep_record_bucket,2,Wacker_oxidation,Wacker_oxidation,,0.175,0.0,0.5,,RCH2-COR
none -> RCH2-COR|R_acidic-H || events:c_o_bond_formation|intramolecular_likely,2,none -> RCH2-COR|R_acidic-H,c_o_bond_formation|intramolecular_likely,consider_new_reaction_family_or_multistep_record_bucket,3,Suzuki_miyaura,Suzuki_miyaura,,0.0,0.0,0.0,,
none -> RCH2-COR|R_acidic-H || events:c_o_bond_formation|intramolecular_likely,2,none -> RCH2-COR|R_acidic-H,c_o_bond_formation|intramolecular_likely,consider_new_reaction_family_or_multistep_record_bucket,4,Miyaura_borylation,Miyaura_borylation,,0.0,0.0,0.0,,
none -> RCH2-COR|R_acidic-H || events:c_o_bond_formation|intramolecular_likely,2,none -> RCH2-COR|R_acidic-H,c_o_bond_formation|intramolecular_likely,consider_new_reaction_family_or_multistep_record_bucket,5,Ircatalyzed_CH_borylation,Ircatalyzed_CH_borylation,,0.0,0.0,0.0,,
