Reaction_Type,Num_Experiments,Num_Reactant_Pairs,Num_Catalysts,Avg_Yield,Success_Rate,Top_Catalyst,Top_Reactant_Pair
Multi-Event:Amid+Ann+LGDisp+C-N,46,21,3,78.76086956521739,100.0,Pd(OAc)2,Ar-Br|Ar-COOH + Ar-Br|Alkyl-NHCOR|Ar-CONHR
Multi-Event:C-S+C-C,46,14,1,83.43478260869566,100.0,Pd2(dba)3,Ar-SH + HeteroAr-H
Arylation_Ar_H,44,11,4,81.27272727272727,97.72727272727273,Pd(TFA)2,Ar-I + Alkyl-F
Multi-Event:Ann+LGDisp+C-O,43,15,2,87.25581395348837,97.67441860465115,CuTC,Ar-OH + HeteroAr-Cl|Ar-OH|HeteroAr-OR
Oxidation_aldehyde_to_carboxylic_acid,42,21,1,56.833333333333336,61.904761904761905,"[(S,S)-Teth-MsDPEN-RuCl]",Ar-COOH + Ar-CHO
Quinazolinone_annulation,41,12,2,88.0,100.0,CuI,Ar-NHCOR|Ar-COR + Alkyl-H
Multi-Event:Ann+C-N+C-S,40,23,3,78.25,97.5,CuI,Alkyl-SH + Inorganic
Multi-Event:Amid+Ann+C-N+C-O,34,12,2,71.8529411764706,82.35294117647058,Pd(OAc)2,Ar-COOH + HeteroAr-NH2
Multi-Event:Ann+C-N+C-S+C-C,33,23,1,74.06060606060606,87.87878787878788,[Ir(OMe)(cod)]2,RCH2-COOR|RCH2-CN|R_acidic-H + R2CH-NH2
Multi-Event:C-N+C-O+C-C,31,22,1,67.61290322580645,80.64516129032258,CuI,Alkyl-H + RCH2-CHO|R_acidic-H
Multi-Event:BzOAlk+LGDisp+C-O,30,6,0,86.56666666666666,100.0,,HeteroAr-OH + Bn-Br
Multi-Event:C-N+C-S,30,17,2,74.5,100.0,CuI,RCH2-NHR + Any-SH
General C_C bond formation reaction,29,26,2,0.0,0.0,NiCl2(dme),Ar-Br + Alkenyl-H
Multi-Event:BzOAlk+EsterHyd+LGDisp,25,4,0,83.32,100.0,,Ar-OH + Ar-COOR|Bn-Br
Protection,24,1,0,4.837916666666667,4.166666666666666,,Ar-OH + Ar-OH
Rosenmund_reduction,24,5,1,84.79166666666667,100.0,Pyridinium chlorochromate,Acyl-Cl + Bn-OH|Ar-NH2
Multi-Event:LGDisp+C-S+C-C,24,12,4,80.95833333333333,100.0,CuI,Alkyl-COCl|R_acidic-H + Ar-SH
Multi-Event:Amid+Ann+C-N+C-S,23,10,0,85.73913043478261,100.0,,RCH2-COOH|RCH2-SH + Ar-CHO
Multi-Event:Ann+C-O+C-S+C-C,20,11,4,72.45,80.0,CuCl,RCH2-Alkenyl|Allyl-OR + RCH2-SH
Multi-Event:Ann+LGDisp+C-S,17,9,4,86.52941176470588,100.0,CuI,Ar-CHO + Any-SH
General C_N bond formation reaction,15,13,1,11.0,13.333333333333334,CuI,Ar-CHO + Ar-NH2
Multi-Event:LGDisp+C-N+C-O+C-C,13,6,5,73.07692307692308,92.3076923076923,Nickel nitrate hexahydrate,Alkyl-OCONH2 + Ar-Br
Event:EsterHyd,13,9,2,68.15384615384616,76.92307692307693,Mercury(II)chloride,R2CH-COOR + RCH2-COOH
General C_O bond formation reaction,12,8,0,0.0,0.0,,R3C-Cl + Inorganic
Multi-Event:Ann+C-N+C-O+C-S,12,9,1,73.25,83.33333333333334,[Ir(OMe)(cod)]2,HeteroAr-Cl + RCH2-SH
