"source_file","reaction_id","reaction_type","reaction_smiles"
"Acetal_ketal_formation.csv","31-301-CAS-10157993","Acetal ketal formation","CCO.O=Cc1cccc(Br)c1>>CCOC(OCC)c1cccc(Br)c1"
"Acetal_ketal_formation.csv","31-301-CAS-10161353","Acetal ketal formation","OCCCO.O=C1CCC(c2ccccc2)CC1>>c1ccc(C2CCC3(CC2)OCCCO3)cc1"
"Acetal_ketal_formation.csv","31-301-CAS-10174559","Acetal ketal formation","O=Cc1ccc(O)cc1.OCC1(CO)CC2C=CC1C2>>Oc1ccc(C2OCC3(CO2)CC2C=CC3C2)cc1"
"Acetal_ketal_formation.csv","31-301-CAS-10193411","Acetal ketal formation","OCCO.O=C1CCCCCCC1>>C1CCCC2(CCC1)OCCO2"
"Acetal_ketal_formation.csv","31-301-CAS-10197276","Acetal ketal formation","O=Cc1ccccc1.OCCO>>c1ccc(C2OCCO2)cc1"
"Acetal_ketal_formation.csv","31-301-CAS-10203226","Acetal ketal formation","O=Cc1ccco1.CCOC(OCC)OCC>>CCOC(OCC)c1ccco1"
"Acetal_ketal_formation.csv","31-301-CAS-10213327","Acetal ketal formation","CC(=O)CCc1ccccc1.CC(C)OC(OC(C)C)OC(C)C>>CC(C)OC(C)(CCc1ccccc1)OC(C)C"
"Acetal_ketal_formation.csv","31-301-CAS-1021911","Acetal ketal formation","OCCO.CC(C)CC=O>>CC(C)CC1OCCO1"
"Acetal_ketal_formation.csv","31-301-CAS-10219411","Acetal ketal formation","CO.O=Cc1ccc(Cl)cc1>>COC(OC)c1ccc(Cl)cc1"
"Acetal_ketal_formation.csv","31-301-CAS-10222070","Acetal ketal formation","CO.O=Cc1ccccc1>>COC(OC)c1ccccc1"
"Acetal_ketal_formation.csv","31-301-CAS-10224216","Acetal ketal formation","CCOC(OCC)OCC.O=C/C=C/c1ccccc1>>CCOC(/C=C/c1ccccc1)OCC"
"Acetal_ketal_formation.csv","31-301-CAS-10225837","Acetal ketal formation","CO.O=Cc1ccc(Cl)cc1>>COC(OC)c1ccc(Cl)cc1"
"Acetal_ketal_formation.csv","31-301-CAS-10244942","Acetal ketal formation","CC(C)=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO>>CC1(C)O[C@H]([C@H]2COC(C)(C)O2)[C@@H]([C@H]2COC(C)(C)O2)O1"
"Acetal_ketal_formation.csv","31-301-CAS-10261477","Acetal ketal formation","O=Cc1ccc2ccccc2c1.CO>>COC(OC)c1ccc2ccccc2c1"
"Acetal_ketal_formation.csv","31-301-CAS-10262422","Acetal ketal formation","CCCCCC=O.CC(=O)c1ccccc1.OCCO>>CCCCCC1OCCO1.CC1(c2ccccc2)OCCO1"
"Acetal_ketal_formation.csv","31-301-CAS-10273509","Acetal ketal formation","COC(OC)OC.O=C1CCCCCCCCCCC1>>COC1(OC)CCCCCCCCCCC1"
"Acetal_ketal_formation.csv","31-301-CAS-10287442","Acetal ketal formation","CC(O)CO.CCC(C)=O>>CCC1(C)OCC(C)O1"
"Acetal_ketal_formation.csv","31-301-CAS-10288118","Acetal ketal formation","CO.CCCCCCCCC=O>>CCCCCCCCC(OC)OC"
"Acetal_ketal_formation.csv","31-301-CAS-10296336","Acetal ketal formation","OCCO.O=Cc1ccc([N+](=O)[O-])cc1>>O=[N+]([O-])c1ccc(C2OCCO2)cc1"
"Acyl_Halides_formation.csv","31-084-CAS-23834067","Acyl Halides formation","O=C(O)c1ccccn1>>O=C(Cl)c1cc(Cl)ccn1"
"Acyl_Halides_formation.csv","31-319-CAS-22339474","Acyl Halides formation","COc1ccc(/C=C/C(=O)O)cc1C=O>>COc1ccc(/C=C/C(=O)F)cc1C(F)F"
"Acyl_Halides_formation.csv","31-371-CAS-20867791","Acyl Halides formation","Cc1cc(C)c([13C](=O)O)c(C)c1>>Cc1cc(C)c([13C](=O)Cl)c(C)c1"
"Acyl_Halides_formation.csv","31-371-CAS-20877104","Acyl Halides formation","C=CCCCC(=O)O>>C=CCCCC(=O)Cl"
"Acyl_Halides_formation.csv","31-371-CAS-20877105","Acyl Halides formation","O=C(O)CCl>>O=C(Cl)CCl"
"Acyl_Halides_formation.csv","31-371-CAS-20877106","Acyl Halides formation","O=C(O)CN1C(=O)c2ccccc2C1=O>>O=C(Cl)CN1C(=O)c2ccccc2C1=O"
"Acyl_Halides_formation.csv","31-371-CAS-20922774","Acyl Halides formation","O=C(O)c1cc([N+](=O)[O-])c(F)cc1Cl>>O=C(Cl)c1cc([N+](=O)[O-])c(F)cc1Cl"
"Acyl_Halides_formation.csv","31-371-CAS-20974600","Acyl Halides formation","COc1ccc(C(=O)O)cc1OC>>COc1ccc(C(=O)Cl)cc1OC"
"Acyl_Halides_formation.csv","31-371-CAS-21006861","Acyl Halides formation","O=C(O)/C=C/C(F)(F)F>>O=C(Cl)/C=C/C(F)(F)F"
"Acyl_Halides_formation.csv","31-371-CAS-21006862","Acyl Halides formation","O=C(O)/C=C/C(F)(F)C(F)(F)F>>O=C(Cl)/C=C/C(F)(F)C(F)(F)F"
"Acyl_Halides_formation.csv","31-371-CAS-21100012","Acyl Halides formation","O=Cc1cccc(C(=O)O)c1>>O=Cc1cccc(C(=O)Cl)c1"
"Acyl_Halides_formation.csv","31-371-CAS-21488227","Acyl Halides formation","CCC(CC)COc1ccc(/N=N/c2ccc(OCC(CC)CC)c(C(=O)O)c2)cc1C(=O)O>>CCC(CC)COc1ccc(/N=N/c2ccc(OCC(CC)CC)c(C(=O)Cl)c2)cc1C(=O)Cl"
"Acyl_Halides_formation.csv","31-371-CAS-21500961","Acyl Halides formation","CC1=C(c2ccc(C(F)(F)F)cc2)/C(=C/C(=O)O)NC1=O>>CC1=C(c2ccc(C(F)(F)F)cc2)/C(=C/C(=O)Cl)NC1=O"
"Acyl_Halides_formation.csv","31-371-CAS-21500962","Acyl Halides formation","CC1=C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)/C(=C/C(=O)O)NC1=O>>CC1=C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)/C(=C/C(=O)Cl)NC1=O"
"Acyl_Halides_formation.csv","31-371-CAS-21519111","Acyl Halides formation","C#CCOc1ccc(C(CC(=O)O)(c2ccc(F)cc2)c2ccc(F)cc2)cc1>>C#CCOc1ccc(C(CC(=O)Cl)(c2ccc(F)cc2)c2ccc(F)cc2)cc1"
"Acyl_Halides_formation.csv","31-371-CAS-21536072","Acyl Halides formation","C[C@@H](Br)C(=O)O>>C[C@@H](Br)C(=O)Cl"
"Acyl_Halides_formation.csv","31-371-CAS-21536073","Acyl Halides formation","C[C@H](Br)C(=O)O>>C[C@H](Br)C(=O)Cl"
"Acyl_Halides_formation.csv","31-371-CAS-21561280","Acyl Halides formation","O=C(O)c1c(F)cc(Br)cc1F>>O=C(Cl)c1c(F)cc(Br)cc1F"
"Acyl_Halides_formation.csv","31-371-CAS-21581033","Acyl Halides formation","CC[Si](CC)(CC)O[C@H]1CC[C@]2(C)[C@H]3CC=C4[C@@H]5CC(C)(C)CC[C@]5(C(=O)O)[C@H](O[Si](CC)(CC)CC)C[C@@]4(C)[C@]3(C)CC[C@H]2[C@]1(C)C=O>>CC[Si](CC)(CC)O[C@H]1CC[C@]2(C)[C@H]3CC=C4[C@@H]5CC(C)(C)CC[C@]5(C(=O)Cl)[C@H](O[Si](CC)(CC)CC)C[C@@]4(C)[C@]3(C)CC[C@H]2[C@]1(C)C=O"
